,close,high,low
2025-12-04 20:00:00,0.157119,0.15775,0.157025
2025-12-05 00:00:00,0.157005,0.157455,0.156791
2025-12-05 04:00:00,0.15955,0.160506,0.156944
2025-12-05 08:00:00,0.15841,0.159538,0.15841
2025-12-05 12:00:00,0.158521,0.159421,0.157988
2025-12-05 16:00:00,0.156443,0.158695,0.156399
2025-12-05 20:00:00,0.156804,0.157022,0.156233
2025-12-06 00:00:00,0.157986,0.157986,0.156421
2025-12-06 04:00:00,0.158883,0.158883,0.157717
2025-12-06 08:00:00,0.160818,0.162201,0.158995
2025-12-06 12:00:00,0.159973,0.161448,0.159973
2025-12-06 16:00:00,0.158036,0.160111,0.157956
2025-12-06 20:00:00,0.158242,0.158512,0.15785
2025-12-07 00:00:00,0.070821,0.158388,0.069535
2025-12-07 04:00:00,0.067518,0.07187,0.066087
2025-12-07 08:00:00,0.159373,0.159381,0.066561
2025-12-07 12:00:00,0.158789,0.159634,0.158738
2025-12-07 16:00:00,0.066708,0.158822,0.066356
2025-12-07 20:00:00,0.06767,0.068719,0.066589
2025-12-08 00:00:00,0.0667,0.06783,0.065604
2025-12-08 04:00:00,0.065944,0.066887,0.065503
2025-12-08 08:00:00,0.150332,0.150519,0.065705
2025-12-08 12:00:00,0.149887,0.151578,0.149783
2025-12-08 16:00:00,0.148702,0.150171,0.148698
2025-12-08 20:00:00,0.148044,0.148664,0.147901
2025-12-09 00:00:00,0.065552,0.148309,0.065281
2025-12-09 04:00:00,0.065871,0.066471,0.065371
2025-12-09 08:00:00,0.144282,0.144282,0.06605
2025-12-09 12:00:00,0.143517,0.144302,0.143464
2025-12-09 16:00:00,0.066291,0.143398,0.066211
2025-12-09 20:00:00,0.066351,0.068471,0.065489
2025-12-10 00:00:00,0.136232,0.136347,0.066341
2025-12-10 04:00:00,0.13568,0.136268,0.135624
2025-12-10 08:00:00,0.138304,0.138587,0.135759
2025-12-10 12:00:00,0.066898,0.138337,0.066469
2025-12-10 16:00:00,0.06724,0.068229,0.066848
2025-12-10 20:00:00,0.152987,0.152987,0.067009
2025-12-11 00:00:00,0.151599,0.152271,0.151398
2025-12-11 04:00:00,0.151942,0.152664,0.151514
2025-12-11 08:00:00,0.150308,0.151891,0.150235
2025-12-11 12:00:00,0.149441,0.150264,0.14916
2025-12-11 16:00:00,0.066559,0.150582,0.066402
2025-12-11 20:00:00,0.152484,0.152847,0.06626
2025-12-12 00:00:00,0.15286,0.153229,0.152306
2025-12-12 04:00:00,0.152156,0.153044,0.151975
2025-12-12 08:00:00,0.15287,0.15287,0.151837
2025-12-12 12:00:00,0.164613,0.165099,0.152809
2025-12-12 16:00:00,0.166262,0.166432,0.065133
2025-12-12 20:00:00,0.166685,0.166696,0.165725
2025-12-13 00:00:00,0.168859,0.169491,0.167048
2025-12-13 04:00:00,0.167937,0.169096,0.167937
2025-12-13 08:00:00,0.167609,0.168069,0.167555
2025-12-13 12:00:00,0.166346,0.167629,0.166322
2025-12-13 16:00:00,0.165037,0.166587,0.165037
2025-12-13 20:00:00,0.165523,0.16561,0.164984
2025-12-14 00:00:00,0.165557,0.166028,0.165491
2025-12-14 04:00:00,0.165576,0.16587,0.165312
2025-12-14 08:00:00,0.164849,0.165992,0.164849
2025-12-14 12:00:00,0.173511,0.174571,0.164239
