,close,high,low
2025-12-04 16:00:00,0.093363,0.093577,0.092471
2025-12-04 20:00:00,0.091609,0.09342,0.090533
2025-12-05 00:00:00,0.090572,0.091579,0.090265
2025-12-05 04:00:00,0.090729,0.091508,0.090442
2025-12-05 08:00:00,0.090767,0.090956,0.089891
2025-12-05 12:00:00,0.092271,0.092758,0.090809
2025-12-05 16:00:00,0.092194,0.092693,0.091137
2025-12-05 20:00:00,0.089623,0.091838,0.088971
2025-12-06 00:00:00,0.089986,0.090122,0.089092
2025-12-06 04:00:00,0.091111,0.091274,0.08958
2025-12-06 08:00:00,0.091128,0.091329,0.090426
2025-12-06 12:00:00,0.090502,0.091069,0.089747
2025-12-06 16:00:00,0.091377,0.09138,0.090253
2025-12-06 20:00:00,0.091607,0.092541,0.091571
2025-12-07 00:00:00,0.091929,0.092503,0.091499
2025-12-07 04:00:00,0.091801,0.092445,0.091781
2025-12-07 08:00:00,0.090982,0.091872,0.090823
2025-12-07 12:00:00,0.090333,0.090987,0.090134
2025-12-07 16:00:00,0.088917,0.09056,0.087964
2025-12-07 20:00:00,0.089908,0.090434,0.088733
2025-12-08 00:00:00,0.088188,0.090378,0.087937
2025-12-08 04:00:00,0.088891,0.089352,0.088065
2025-12-08 08:00:00,0.089832,0.090206,0.088785
2025-12-08 12:00:00,0.090091,0.090476,0.089504
2025-12-08 16:00:00,0.089021,0.090302,0.088766
2025-12-08 20:00:00,0.088464,0.089479,0.088277
2025-12-09 00:00:00,0.088592,0.08909,0.088246
2025-12-09 04:00:00,0.088184,0.089031,0.087549
2025-12-09 08:00:00,0.088047,0.088342,0.087323
2025-12-09 12:00:00,0.088456,0.088632,0.087607
2025-12-09 16:00:00,0.090904,0.090904,0.088235
2025-12-09 20:00:00,0.091779,0.092589,0.091015
2025-12-10 00:00:00,0.092053,0.092279,0.091115
2025-12-10 04:00:00,0.090475,0.091966,0.090475
2025-12-10 08:00:00,0.090126,0.090621,0.089949
2025-12-10 12:00:00,0.089207,0.090303,0.089045
2025-12-10 16:00:00,0.089535,0.089804,0.089145
2025-12-10 20:00:00,0.090714,0.090784,0.089479
2025-12-11 00:00:00,0.088632,0.091503,0.088251
2025-12-11 04:00:00,0.08668,0.088641,0.08631
2025-12-11 08:00:00,0.08712,0.087487,0.086488
2025-12-11 12:00:00,0.087773,0.088192,0.086664
2025-12-11 16:00:00,0.086968,0.087845,0.086929
2025-12-11 20:00:00,0.087398,0.087826,0.086667
2025-12-12 00:00:00,0.087616,0.088903,0.086943
2025-12-12 04:00:00,0.087374,0.087843,0.086869
2025-12-12 08:00:00,0.087323,0.087912,0.08709
2025-12-12 12:00:00,0.087244,0.087701,0.086806
2025-12-12 16:00:00,0.084889,0.087643,0.084889
2025-12-12 20:00:00,0.084943,0.085372,0.083944
2025-12-13 00:00:00,0.086205,0.086277,0.084864
2025-12-13 04:00:00,0.087153,0.087215,0.086149
2025-12-13 08:00:00,0.087814,0.087814,0.086473
2025-12-13 12:00:00,0.087631,0.088458,0.087438
2025-12-13 16:00:00,0.088961,0.088961,0.087786
2025-12-13 20:00:00,0.089424,0.089445,0.088408
2025-12-14 00:00:00,0.088451,0.089149,0.087972
2025-12-14 04:00:00,0.088317,0.088499,0.08807
2025-12-14 08:00:00,0.087445,0.088338,0.087373
2025-12-14 12:00:00,0.086624,0.087874,0.086545
2025-12-14 16:00:00,0.085934,0.087198,0.085791
2025-12-14 20:00:00,0.084999,0.086357,0.084863
2025-12-15 00:00:00,0.08418,0.085286,0.083824
2025-12-15 04:00:00,0.085488,0.085849,0.084083
2025-12-15 08:00:00,0.08499,0.085777,0.084961
2025-12-15 12:00:00,0.083425,0.085182,0.083217
2025-12-15 16:00:00,0.081219,0.083368,0.080766
2025-12-15 20:00:00,0.080081,0.081045,0.079222
2025-12-16 00:00:00,0.081193,0.081315,0.079793
2025-12-16 04:00:00,0.081043,0.081143,0.080305
2025-12-16 08:00:00,0.080354,0.081079,0.080194
2025-12-16 12:00:00,0.0815,0.08164,0.080351
2025-12-16 16:00:00,0.08196,0.08196,0.080853
2025-12-16 20:00:00,0.081462,0.082098,0.080954
2025-12-17 00:00:00,0.081407,0.081583,0.081209
2025-12-17 04:00:00,0.080575,0.081612,0.080575
2025-12-17 08:00:00,0.080745,0.080883,0.080239
2025-12-17 12:00:00,0.080782,0.081143,0.080334
2025-12-17 16:00:00,0.080538,0.082705,0.080538
2025-12-17 20:00:00,0.077991,0.080669,0.077286
2025-12-18 00:00:00,0.077753,0.078513,0.077578
2025-12-18 04:00:00,0.077062,0.078107,0.077062
2025-12-18 08:00:00,0.076219,0.077227,0.075808
2025-12-18 12:00:00,0.077217,0.077301,0.07621
2025-12-18 16:00:00,0.078987,0.079445,0.077174
2025-12-18 20:00:00,0.074502,0.079009,0.074502
2025-12-19 00:00:00,0.075993,0.076491,0.074487
2025-12-19 04:00:00,0.077722,0.077818,0.075419
2025-12-19 08:00:00,0.078414,0.078617,0.077195
2025-12-19 12:00:00,0.079131,0.079326,0.078423
2025-12-19 16:00:00,0.079215,0.079697,0.078995
2025-12-19 20:00:00,0.08128,0.08132,0.079368
2025-12-20 00:00:00,0.081561,0.081759,0.08101
2025-12-20 04:00:00,0.08237,0.082455,0.081374
2025-12-20 08:00:00,0.082401,0.082401,0.08166
2025-12-20 12:00:00,0.08223,0.082649,0.081733
2025-12-20 16:00:00,0.081557,0.082327,0.081392
2025-12-20 20:00:00,0.081141,0.081857,0.081114
2025-12-21 00:00:00,0.081698,0.081772,0.081162
2025-12-21 04:00:00,0.081523,0.082295,0.08119
2025-12-21 08:00:00,0.084025,0.084025,0.081308
2025-12-21 12:00:00,0.082826,0.083723,0.08183
2025-12-21 16:00:00,0.079529,0.082429,0.079016
2025-12-21 20:00:00,0.079366,0.079739,0.07875
2025-12-22 00:00:00,0.080212,0.080449,0.079039
2025-12-22 04:00:00,0.080868,0.081047,0.079968
2025-12-22 08:00:00,0.080762,0.081734,0.080717
2025-12-22 12:00:00,0.081335,0.081476,0.080777
2025-12-22 16:00:00,0.08144,0.081723,0.080988
2025-12-22 20:00:00,0.081099,0.081909,0.081099
2025-12-23 00:00:00,0.081278,0.081564,0.080461
2025-12-23 04:00:00,0.081008,0.08212,0.080856
2025-12-23 08:00:00,0.080315,0.080896,0.080022
2025-12-23 12:00:00,0.080589,0.080755,0.08015
2025-12-23 16:00:00,0.080224,0.081104,0.079745
2025-12-23 20:00:00,0.081169,0.081197,0.080103
2025-12-24 00:00:00,0.081502,0.081566,0.080988
2025-12-24 04:00:00,0.081169,0.081995,0.080439
2025-12-24 08:00:00,0.08079,0.081213,0.080328
2025-12-24 12:00:00,0.080989,0.081153,0.080458
2025-12-24 16:00:00,0.08209,0.082343,0.080701
2025-12-24 20:00:00,0.082613,0.082687,0.082052
2025-12-25 00:00:00,0.082379,0.082723,0.082288
2025-12-25 04:00:00,0.082763,0.082812,0.082028
2025-12-25 08:00:00,0.083707,0.083707,0.082537
2025-12-25 12:00:00,0.082671,0.084177,0.082671
2025-12-25 16:00:00,0.083103,0.083103,0.082355
2025-12-25 20:00:00,0.08325,0.083294,0.082525
2025-12-26 00:00:00,0.081169,0.083372,0.081166
2025-12-26 04:00:00,0.082477,0.083147,0.08078
2025-12-26 08:00:00,0.08223,0.082863,0.08223
2025-12-26 12:00:00,0.082273,0.082563,0.081964
2025-12-26 16:00:00,0.081467,0.082651,0.081306
2025-12-26 20:00:00,0.081993,0.082078,0.080924
2025-12-27 00:00:00,0.082283,0.082316,0.081847
2025-12-27 04:00:00,0.082567,0.08271,0.082176
2025-12-27 08:00:00,0.082421,0.082579,0.082279
2025-12-27 12:00:00,0.092104,0.092104,0.081935
2025-12-27 16:00:00,0.08854,0.09326,0.087921
2025-12-27 20:00:00,0.088226,0.088629,0.086703
2025-12-28 00:00:00,0.086963,0.088594,0.086666
2025-12-28 04:00:00,0.087691,0.090526,0.086643
2025-12-28 08:00:00,0.088183,0.090176,0.087178
2025-12-28 12:00:00,0.087144,0.088098,0.086731
2025-12-28 16:00:00,0.08725,0.088115,0.086643
2025-12-28 20:00:00,0.086684,0.088082,0.085815
2025-12-29 00:00:00,0.08495,0.086175,0.08439
2025-12-29 04:00:00,0.084038,0.084773,0.08334
2025-12-29 08:00:00,0.093852,0.097873,0.083666
