,close,high,low
2025-12-04 04:00:00,0.325483,0.329298,0.325406
2025-12-04 08:00:00,0.328,0.328143,0.323931
2025-12-04 12:00:00,0.325236,0.328775,0.324718
2025-12-04 16:00:00,0.328061,0.328124,0.322357
2025-12-04 20:00:00,0.322392,0.328902,0.317008
2025-12-05 00:00:00,0.318975,0.323056,0.318975
2025-12-05 04:00:00,0.320922,0.323485,0.318721
2025-12-05 08:00:00,0.325176,0.325176,0.317587
2025-12-05 12:00:00,0.316856,0.325558,0.31583
2025-12-05 16:00:00,0.314228,0.319195,0.311677
2025-12-05 20:00:00,0.299253,0.312589,0.29386
2025-12-06 00:00:00,0.300976,0.301744,0.297627
2025-12-06 04:00:00,0.30335,0.303492,0.299941
2025-12-06 08:00:00,0.303949,0.304128,0.3002
2025-12-06 12:00:00,0.304246,0.304747,0.300566
2025-12-06 16:00:00,0.306932,0.309373,0.304435
2025-12-06 20:00:00,0.312867,0.317595,0.306779
2025-12-07 00:00:00,0.313965,0.316411,0.312533
2025-12-07 04:00:00,0.316592,0.318488,0.314277
2025-12-07 08:00:00,0.316031,0.320959,0.315153
2025-12-07 12:00:00,0.310393,0.316108,0.310393
2025-12-07 16:00:00,0.302346,0.311104,0.298138
2025-12-07 20:00:00,0.314011,0.315367,0.303119
2025-12-08 00:00:00,0.304125,0.31703,0.302495
2025-12-08 04:00:00,0.313432,0.314974,0.304558
2025-12-08 08:00:00,0.321515,0.322483,0.313794
2025-12-08 12:00:00,0.321098,0.326536,0.321098
2025-12-08 16:00:00,0.320121,0.324742,0.319264
2025-12-08 20:00:00,0.318909,0.324119,0.317469
2025-12-09 00:00:00,0.317868,0.321655,0.317133
2025-12-09 04:00:00,0.31816,0.318817,0.314603
2025-12-09 08:00:00,0.318472,0.318793,0.314176
2025-12-09 12:00:00,0.314867,0.318188,0.313895
2025-12-09 16:00:00,0.330962,0.330962,0.315075
2025-12-09 20:00:00,0.343368,0.347439,0.331821
2025-12-10 00:00:00,0.338584,0.344028,0.333946
2025-12-10 04:00:00,0.335136,0.339707,0.332129
2025-12-10 08:00:00,0.332947,0.335995,0.332335
2025-12-10 12:00:00,0.329061,0.334063,0.328229
2025-12-10 16:00:00,0.330426,0.332304,0.328475
2025-12-10 20:00:00,0.336518,0.336973,0.330017
2025-12-11 00:00:00,0.323768,0.341228,0.323768
2025-12-11 04:00:00,0.306108,0.323405,0.305602
2025-12-11 08:00:00,0.309184,0.311049,0.305207
2025-12-11 12:00:00,0.307311,0.308927,0.305079
2025-12-11 16:00:00,0.302156,0.307283,0.302156
2025-12-11 20:00:00,0.310465,0.311823,0.300939
2025-12-12 00:00:00,0.313894,0.320185,0.309026
2025-12-12 04:00:00,0.311509,0.315477,0.310811
2025-12-12 08:00:00,0.315107,0.319308,0.31095
2025-12-12 12:00:00,0.318078,0.318687,0.313533
2025-12-12 16:00:00,0.304563,0.321383,0.304563
2025-12-12 20:00:00,0.30029,0.30336,0.294922
2025-12-13 00:00:00,0.307009,0.308316,0.300724
2025-12-13 04:00:00,0.311233,0.311662,0.306888
2025-12-13 08:00:00,0.311436,0.311756,0.30811
2025-12-13 12:00:00,0.314179,0.315353,0.311566
2025-12-13 16:00:00,0.314801,0.316499,0.311508
2025-12-13 20:00:00,0.315035,0.317602,0.315035
2025-12-14 00:00:00,0.315739,0.316573,0.313559
2025-12-14 04:00:00,0.313618,0.315653,0.313618
2025-12-14 08:00:00,0.308684,0.31341,0.308042
2025-12-14 12:00:00,0.305663,0.310092,0.304279
2025-12-14 16:00:00,0.304024,0.308173,0.303607
2025-12-14 20:00:00,0.300597,0.304918,0.300331
2025-12-15 00:00:00,0.301402,0.302776,0.300013
2025-12-15 04:00:00,0.308613,0.311472,0.300485
2025-12-15 08:00:00,0.308951,0.314354,0.30874
2025-12-15 12:00:00,0.309555,0.311614,0.309365
2025-12-15 16:00:00,0.292974,0.314009,0.292974
2025-12-15 20:00:00,0.287721,0.29269,0.28328
2025-12-16 00:00:00,0.2927,0.293039,0.284512
2025-12-16 04:00:00,0.289355,0.292792,0.287093
2025-12-16 08:00:00,0.284368,0.289362,0.284169
2025-12-16 12:00:00,0.295576,0.295576,0.284458
2025-12-16 16:00:00,0.295647,0.296102,0.29074
2025-12-16 20:00:00,0.294336,0.297151,0.291619
2025-12-17 00:00:00,0.292859,0.294899,0.292348
2025-12-17 04:00:00,0.292113,0.29494,0.291592
2025-12-17 08:00:00,0.29031,0.292338,0.289369
2025-12-17 12:00:00,0.289206,0.289983,0.286744
2025-12-17 16:00:00,0.289802,0.304305,0.288723
2025-12-17 20:00:00,0.275315,0.288591,0.272351
2025-12-18 00:00:00,0.27301,0.278265,0.271555
2025-12-18 04:00:00,0.270041,0.273664,0.269921
2025-12-18 08:00:00,0.269794,0.27115,0.26723
2025-12-18 12:00:00,0.274055,0.274892,0.270076
2025-12-18 16:00:00,0.283144,0.285229,0.274036
2025-12-18 20:00:00,0.256611,0.282755,0.256611
2025-12-19 00:00:00,0.26072,0.26474,0.256066
2025-12-19 04:00:00,0.265895,0.266125,0.256735
2025-12-19 08:00:00,0.267201,0.269206,0.263545
2025-12-19 12:00:00,0.267935,0.269307,0.266303
2025-12-19 16:00:00,0.273833,0.275398,0.267226
2025-12-19 20:00:00,0.282661,0.282939,0.272548
2025-12-20 00:00:00,0.279619,0.282826,0.279619
2025-12-20 04:00:00,0.278882,0.279742,0.277592
2025-12-20 08:00:00,0.280059,0.280059,0.275991
2025-12-20 12:00:00,0.281571,0.283996,0.279293
2025-12-20 16:00:00,0.279467,0.281949,0.278485
2025-12-20 20:00:00,0.278849,0.281281,0.278803
2025-12-21 00:00:00,0.278147,0.279639,0.278082
2025-12-21 04:00:00,0.275626,0.278549,0.273891
2025-12-21 08:00:00,0.276098,0.277096,0.275443
2025-12-21 12:00:00,0.274923,0.277449,0.274923
2025-12-21 16:00:00,0.2664,0.275471,0.26442
2025-12-21 20:00:00,0.270541,0.270851,0.26661
2025-12-22 00:00:00,0.272234,0.273368,0.268352
2025-12-22 04:00:00,0.274174,0.276926,0.270757
2025-12-22 08:00:00,0.275619,0.276367,0.273397
2025-12-22 12:00:00,0.27609,0.279062,0.275187
2025-12-22 16:00:00,0.275709,0.278074,0.275012
2025-12-22 20:00:00,0.270411,0.277449,0.270411
2025-12-23 00:00:00,0.271212,0.272106,0.268659
2025-12-23 04:00:00,0.270075,0.273599,0.26932
2025-12-23 08:00:00,0.267434,0.270111,0.266851
2025-12-23 12:00:00,0.268779,0.269531,0.266167
2025-12-23 16:00:00,0.265118,0.26763,0.263286
2025-12-23 20:00:00,0.269631,0.27159,0.265122
2025-12-24 00:00:00,0.270433,0.273259,0.268931
2025-12-24 04:00:00,0.267759,0.271524,0.264719
2025-12-24 08:00:00,0.263405,0.268497,0.262684
2025-12-24 12:00:00,0.262724,0.262919,0.261424
2025-12-24 16:00:00,0.26572,0.266068,0.261852
2025-12-24 20:00:00,0.262977,0.26595,0.261444
2025-12-25 00:00:00,0.263331,0.265658,0.262735
2025-12-25 04:00:00,0.264677,0.264991,0.261245
2025-12-25 08:00:00,0.264989,0.266376,0.263596
2025-12-25 12:00:00,0.260274,0.266056,0.259276
2025-12-25 16:00:00,0.26243,0.262666,0.259667
2025-12-25 20:00:00,0.26144,0.263505,0.257448
2025-12-26 00:00:00,0.25207,0.26336,0.252052
2025-12-26 04:00:00,0.264333,0.265928,0.251922
2025-12-26 08:00:00,0.263771,0.267196,0.263018
2025-12-26 12:00:00,0.267009,0.267009,0.263902
2025-12-26 16:00:00,0.262938,0.271556,0.262083
2025-12-26 20:00:00,0.267209,0.267612,0.259887
2025-12-27 00:00:00,0.267381,0.268485,0.266411
2025-12-27 04:00:00,0.271913,0.272111,0.267644
2025-12-27 08:00:00,0.270643,0.272164,0.269756
2025-12-27 12:00:00,0.272975,0.272975,0.269158
2025-12-27 16:00:00,0.273771,0.274018,0.271484
2025-12-27 20:00:00,0.273167,0.27544,0.273104
2025-12-28 00:00:00,0.278307,0.278429,0.272789
2025-12-28 04:00:00,0.276744,0.278566,0.275666
2025-12-28 08:00:00,0.277407,0.27794,0.276482
2025-12-28 12:00:00,0.275485,0.277861,0.27518
2025-12-28 16:00:00,0.275598,0.27726,0.274258
2025-12-28 20:00:00,0.27093,0.276212,0.27093
2025-12-29 00:00:00,0.273526,0.273526,0.269773
2025-12-29 04:00:00,0.28173,0.282079,0.273568
2025-12-29 08:00:00,0.281228,0.283249,0.27931
2025-12-29 12:00:00,0.27595,0.281624,0.27458
2025-12-29 16:00:00,0.273023,0.275766,0.270385
2025-12-29 20:00:00,0.270967,0.274138,0.270709
2025-12-30 00:00:00,0.268612,0.271384,0.268497
2025-12-30 04:00:00,0.267669,0.270074,0.266616
2025-12-30 08:00:00,0.268379,0.269618,0.266403
2025-12-30 12:00:00,0.273395,0.274331,0.268399
2025-12-30 16:00:00,0.274009,0.274299,0.27116
2025-12-30 20:00:00,0.272232,0.275155,0.270013
2025-12-31 00:00:00,0.271735,0.272514,0.269665
2025-12-31 04:00:00,0.268966,0.271809,0.268933
2025-12-31 08:00:00,0.270098,0.270098,0.268994
2025-12-31 12:00:00,0.269873,0.27075,0.267348
2025-12-31 16:00:00,0.268177,0.272103,0.267436
2025-12-31 20:00:00,0.26499,0.268048,0.260775
2026-01-01 00:00:00,0.267789,0.269247,0.262824
2026-01-01 04:00:00,0.265906,0.270372,0.265906
2026-01-01 08:00:00,0.26959,0.2697,0.264307
2026-01-01 12:00:00,0.274115,0.274115,0.26947
2026-01-01 16:00:00,0.280928,0.280928,0.272505
2026-01-01 20:00:00,0.290474,0.290474,0.281178
2026-01-02 00:00:00,0.296169,0.29653,0.289054
2026-01-02 04:00:00,0.299488,0.300185,0.295594
2026-01-02 08:00:00,0.294631,0.299068,0.294328
2026-01-02 12:00:00,0.295703,0.297897,0.29423
2026-01-02 16:00:00,0.299137,0.301029,0.295492
2026-01-02 20:00:00,0.303634,0.304188,0.298317
2026-01-03 00:00:00,0.305596,0.305596,0.302408
