,close,high,low
2025-12-04 12:00:00,1.29,1.33,1.26
2025-12-04 16:00:00,1.35,1.36,1.28
2025-12-04 20:00:00,1.36,1.36,1.33
2025-12-05 00:00:00,1.39,1.39,1.34
2025-12-05 04:00:00,1.32,1.39,1.32
2025-12-05 08:00:00,1.31,1.32,1.31
2025-12-05 12:00:00,1.29,1.31,1.28
2025-12-05 16:00:00,1.3,1.31,1.29
2025-12-05 20:00:00,1.29,1.3,1.27
2025-12-06 00:00:00,1.29,1.3,1.27
2025-12-06 04:00:00,1.39,1.43,1.27
2025-12-06 08:00:00,1.32,1.39,1.32
2025-12-06 12:00:00,1.34,1.35,1.32
2025-12-06 16:00:00,1.32,1.35,1.32
2025-12-06 20:00:00,1.31,1.33,1.31
2025-12-07 00:00:00,1.31,1.32,1.31
2025-12-07 04:00:00,1.3,1.34,1.3
2025-12-07 08:00:00,1.29,1.31,1.29
2025-12-07 12:00:00,1.29,1.3,1.28
2025-12-07 16:00:00,1.27,1.29,1.25
2025-12-07 20:00:00,1.3,1.3,1.27
2025-12-08 00:00:00,1.27,1.3,1.26
2025-12-08 04:00:00,1.3,1.3,1.26
2025-12-08 08:00:00,1.29,1.31,1.29
2025-12-08 12:00:00,1.3,1.3,1.29
2025-12-08 16:00:00,1.27,1.3,1.26
2025-12-08 20:00:00,1.27,1.28,1.26
2025-12-09 00:00:00,1.27,1.27,1.26
2025-12-09 04:00:00,1.29,1.29,1.26
2025-12-09 08:00:00,1.27,1.29,1.25
2025-12-09 12:00:00,1.27,1.27,1.26
2025-12-09 16:00:00,1.29,1.29,1.26
2025-12-09 20:00:00,1.29,1.31,1.29
2025-12-10 00:00:00,1.28,1.29,1.27
2025-12-10 04:00:00,1.28,1.29,1.27
2025-12-10 08:00:00,1.28,1.29,1.28
2025-12-10 12:00:00,1.26,1.28,1.26
2025-12-10 16:00:00,1.26,1.27,1.26
2025-12-10 20:00:00,1.28,1.28,1.26
2025-12-11 00:00:00,1.25,1.29,1.25
2025-12-11 04:00:00,1.17,1.24,1.17
2025-12-11 08:00:00,1.17,1.18,1.17
2025-12-11 12:00:00,1.18,1.18,1.16
2025-12-11 16:00:00,1.16,1.17,1.15
2025-12-11 20:00:00,1.16,1.18,1.15
2025-12-12 00:00:00,1.17,1.19,1.16
2025-12-12 04:00:00,1.21,1.25,1.19
2025-12-12 08:00:00,1.2,1.21,1.2
2025-12-12 12:00:00,1.19,1.2,1.18
2025-12-12 16:00:00,1.16,1.2,1.16
2025-12-12 20:00:00,1.13,1.15,1.12
2025-12-13 00:00:00,1.15,1.16,1.13
2025-12-13 04:00:00,1.14,1.14,1.13
2025-12-13 08:00:00,1.14,1.14,1.13
2025-12-13 12:00:00,1.14,1.15,1.13
2025-12-13 16:00:00,1.14,1.14,1.13
2025-12-13 20:00:00,1.14,1.15,1.14
2025-12-14 00:00:00,1.16,1.16,1.14
2025-12-14 04:00:00,1.14,1.15,1.13
2025-12-14 08:00:00,1.12,1.13,1.12
2025-12-14 12:00:00,1.12,1.13,1.12
2025-12-14 16:00:00,1.1,1.12,1.1
2025-12-14 20:00:00,1.099,1.11,1.097
2025-12-15 00:00:00,1.085,1.1,1.083
2025-12-15 04:00:00,1.077,1.097,1.075
2025-12-15 08:00:00,1.084,1.093,1.079
2025-12-15 12:00:00,1.075,1.089,1.073
2025-12-15 16:00:00,1.055,1.083,1.048
2025-12-15 20:00:00,1.028,1.052,1.01
2025-12-16 00:00:00,1.055,1.056,1.021
2025-12-16 04:00:00,1.19,1.19,1.046
2025-12-16 08:00:00,1.1,1.15,1.081
2025-12-16 12:00:00,1.1,1.11,1.069
2025-12-16 16:00:00,1.1,1.1,1.083
2025-12-16 20:00:00,1.086,1.1,1.077
2025-12-17 00:00:00,1.096,1.097,1.079
2025-12-17 04:00:00,1.1,1.17,1.085
2025-12-17 08:00:00,1.12,1.12,1.094
2025-12-17 12:00:00,1.093,1.12,1.093
2025-12-17 16:00:00,1.09,1.12,1.087
2025-12-17 20:00:00,1.077,1.089,1.069
2025-12-18 00:00:00,1.11,1.11,1.077
2025-12-18 04:00:00,1.1,1.12,1.087
2025-12-18 08:00:00,1.084,1.1,1.076
2025-12-18 12:00:00,1.083,1.1,1.08
2025-12-18 16:00:00,1.11,1.11,1.085
2025-12-18 20:00:00,1.063,1.11,1.061
2025-12-19 00:00:00,1.048,1.071,1.048
2025-12-19 04:00:00,1.075,1.079,1.035
2025-12-19 08:00:00,1.079,1.086,1.072
2025-12-19 12:00:00,1.086,1.088,1.076
2025-12-19 16:00:00,1.078,1.086,1.076
2025-12-19 20:00:00,1.092,1.093,1.075
2025-12-20 00:00:00,1.092,1.097,1.089
2025-12-20 04:00:00,1.081,1.093,1.07
2025-12-20 08:00:00,1.082,1.085,1.076
2025-12-20 12:00:00,1.093,1.093,1.079
2025-12-20 16:00:00,1.084,1.099,1.083
2025-12-20 20:00:00,1.086,1.089,1.083
2025-12-21 00:00:00,1.082,1.087,1.08
2025-12-21 04:00:00,1.078,1.1,1.072
2025-12-21 08:00:00,1.081,1.084,1.073
2025-12-21 12:00:00,1.074,1.087,1.074
2025-12-21 16:00:00,1.065,1.078,1.053
2025-12-21 20:00:00,1.065,1.071,1.061
2025-12-22 00:00:00,1.087,1.095,1.064
2025-12-22 04:00:00,1.095,1.1,1.084
2025-12-22 08:00:00,1.11,1.11,1.084
2025-12-22 12:00:00,1.13,1.14,1.11
2025-12-22 16:00:00,1.19,1.25,1.13
2025-12-22 20:00:00,1.14,1.19,1.14
2025-12-23 00:00:00,1.14,1.15,1.13
2025-12-23 04:00:00,1.14,1.19,1.14
2025-12-23 08:00:00,1.12,1.14,1.12
2025-12-23 12:00:00,1.11,1.13,1.11
2025-12-23 16:00:00,1.11,1.12,1.1
2025-12-23 20:00:00,1.14,1.14,1.12
2025-12-24 00:00:00,1.14,1.14,1.13
2025-12-24 04:00:00,1.11,1.15,1.11
2025-12-24 08:00:00,1.1,1.11,1.098
2025-12-24 12:00:00,1.095,1.11,1.094
2025-12-24 16:00:00,1.12,1.12,1.095
2025-12-24 20:00:00,1.11,1.13,1.11
2025-12-25 00:00:00,1.12,1.13,1.11
2025-12-25 04:00:00,1.12,1.12,1.1
2025-12-25 08:00:00,1.13,1.13,1.12
2025-12-25 12:00:00,1.13,1.13,1.11
2025-12-25 16:00:00,1.13,1.13,1.12
2025-12-25 20:00:00,1.14,1.14,1.13
2025-12-26 00:00:00,1.11,1.14,1.11
2025-12-26 04:00:00,1.12,1.13,1.095
2025-12-26 08:00:00,1.12,1.12,1.12
2025-12-26 12:00:00,1.12,1.13,1.11
2025-12-26 16:00:00,1.1,1.12,1.1
2025-12-26 20:00:00,1.11,1.11,1.095
2025-12-27 00:00:00,1.11,1.11,1.1
2025-12-27 04:00:00,1.12,1.12,1.11
2025-12-27 08:00:00,1.11,1.12,1.11
2025-12-27 12:00:00,1.12,1.12,1.1
2025-12-27 16:00:00,1.12,1.12,1.11
2025-12-27 20:00:00,1.12,1.12,1.12
2025-12-28 00:00:00,1.14,1.14,1.12
2025-12-28 04:00:00,1.12,1.13,1.12
2025-12-28 08:00:00,1.12,1.13,1.12
2025-12-28 12:00:00,1.12,1.13,1.12
2025-12-28 16:00:00,1.12,1.12,1.12
2025-12-28 20:00:00,1.12,1.13,1.11
2025-12-29 00:00:00,1.13,1.13,1.12
2025-12-29 04:00:00,1.15,1.15,1.13
2025-12-29 08:00:00,1.14,1.15,1.13
2025-12-29 12:00:00,1.11,1.14,1.11
2025-12-29 16:00:00,1.12,1.12,1.1
2025-12-29 20:00:00,1.11,1.12,1.11
