,close,high,low
2025-12-04 12:00:00,3181.35,3200.1,3173.68
2025-12-04 16:00:00,3204.49,3209.44,3141.68
2025-12-04 20:00:00,3112.81,3213.75,3068.89
2025-12-05 00:00:00,3130.03,3142.35,3104.11
2025-12-05 04:00:00,3167.63,3182.53,3128.15
2025-12-05 08:00:00,3169.98,3179.96,3148.15
2025-12-05 12:00:00,3127.2,3171.0,3109.37
2025-12-05 16:00:00,3112.04,3138.9,3087.38
2025-12-05 20:00:00,3027.57,3098.74,2991.34
2025-12-06 00:00:00,3017.11,3039.87,3007.35
2025-12-06 04:00:00,3034.19,3038.2,3010.77
2025-12-06 08:00:00,3024.54,3035.46,3019.6
2025-12-06 12:00:00,3032.05,3034.09,3010.99
2025-12-06 16:00:00,3039.41,3052.76,3022.85
2025-12-06 20:00:00,3024.07,3052.56,3024.02
2025-12-07 00:00:00,3033.23,3046.13,3025.08
2025-12-07 04:00:00,3045.86,3049.23,3029.67
2025-12-07 08:00:00,3031.04,3049.97,3028.2
2025-12-07 12:00:00,3027.47,3036.81,3018.16
2025-12-07 16:00:00,2983.86,3041.15,2944.85
2025-12-07 20:00:00,3130.89,3139.79,2992.51
2025-12-08 00:00:00,3045.42,3138.38,3025.57
2025-12-08 04:00:00,3104.69,3118.07,3042.39
2025-12-08 08:00:00,3126.87,3132.03,3104.81
2025-12-08 12:00:00,3135.15,3170.19,3124.15
2025-12-08 16:00:00,3097.72,3162.78,3087.91
2025-12-08 20:00:00,3119.69,3126.15,3080.29
2025-12-09 00:00:00,3119.75,3143.74,3112.79
2025-12-09 04:00:00,3118.49,3132.32,3091.01
2025-12-09 08:00:00,3119.15,3122.8,3093.06
2025-12-09 12:00:00,3112.82,3124.48,3094.89
2025-12-09 16:00:00,3241.39,3241.39,3099.52
2025-12-09 20:00:00,3359.32,3385.44,3242.76
2025-12-10 00:00:00,3316.69,3354.02,3288.49
2025-12-10 04:00:00,3304.82,3321.37,3287.22
2025-12-10 08:00:00,3320.43,3324.26,3304.37
2025-12-10 12:00:00,3308.89,3361.86,3300.37
2025-12-10 16:00:00,3317.33,3328.97,3304.4
2025-12-10 20:00:00,3377.37,3405.95,3318.46
2025-12-11 00:00:00,3321.33,3426.32,3319.92
2025-12-11 04:00:00,3181.45,3319.95,3170.75
2025-12-11 08:00:00,3197.33,3209.8,3179.65
2025-12-11 12:00:00,3190.32,3205.01,3179.46
2025-12-11 16:00:00,3171.86,3198.96,3158.66
2025-12-11 20:00:00,3204.04,3217.37,3154.81
2025-12-12 00:00:00,3230.2,3263.41,3192.12
2025-12-12 04:00:00,3246.85,3258.02,3196.3
2025-12-12 08:00:00,3243.19,3258.12,3231.75
2025-12-12 12:00:00,3233.29,3247.92,3227.12
2025-12-12 16:00:00,3084.6,3242.37,3084.6
2025-12-12 20:00:00,3065.21,3092.48,3047.89
2025-12-13 00:00:00,3080.81,3090.15,3061.51
2025-12-13 04:00:00,3086.52,3090.2,3075.52
2025-12-13 08:00:00,3088.55,3090.21,3081.87
2025-12-13 12:00:00,3111.81,3123.68,3087.88
2025-12-13 16:00:00,3107.58,3119.53,3093.69
2025-12-13 20:00:00,3108.89,3110.1,3094.72
2025-12-14 00:00:00,3110.5,3112.93,3084.58
2025-12-14 04:00:00,3115.41,3121.72,3103.13
2025-12-14 08:00:00,3113.71,3116.53,3101.57
2025-12-14 12:00:00,3073.02,3120.2,3063.74
2025-12-14 16:00:00,3078.32,3102.26,3068.53
2025-12-14 20:00:00,3084.11,3097.38,3073.3
2025-12-15 00:00:00,3059.16,3090.89,3038.83
2025-12-15 04:00:00,3107.61,3131.16,3053.76
2025-12-15 08:00:00,3120.07,3134.05,3101.41
2025-12-15 12:00:00,3150.01,3162.46,3121.02
2025-12-15 16:00:00,2993.09,3150.15,2985.82
2025-12-15 20:00:00,2936.68,3003.28,2903.79
2025-12-16 00:00:00,2957.43,2960.23,2916.28
2025-12-16 04:00:00,2929.76,2966.7,2924.67
2025-12-16 08:00:00,2917.31,2941.31,2900.02
2025-12-16 12:00:00,2949.48,2949.48,2917.69
2025-12-16 16:00:00,2956.54,2956.57,2893.76
2025-12-16 20:00:00,2941.88,2949.97,2908.32
2025-12-17 00:00:00,2955.92,2955.92,2933.58
2025-12-17 04:00:00,2940.97,2955.85,2933.85
2025-12-17 08:00:00,2938.73,2941.41,2908.49
2025-12-17 12:00:00,2924.72,2939.92,2908.16
2025-12-17 16:00:00,2899.82,3011.56,2885.85
2025-12-17 20:00:00,2811.5,2904.95,2788.94
2025-12-18 00:00:00,2820.26,2827.78,2802.15
2025-12-18 04:00:00,2822.79,2834.0,2816.21
2025-12-18 08:00:00,2825.99,2833.01,2818.37
2025-12-18 12:00:00,2848.07,2851.03,2823.0
2025-12-18 16:00:00,2962.98,2979.57,2843.54
2025-12-18 20:00:00,2782.38,2957.68,2779.24
2025-12-19 00:00:00,2817.46,2824.52,2775.25
2025-12-19 04:00:00,2914.67,2914.67,2807.49
2025-12-19 08:00:00,2945.84,2966.41,2898.41
2025-12-19 12:00:00,2960.11,2962.65,2937.34
2025-12-19 16:00:00,2959.34,2981.51,2940.0
2025-12-19 20:00:00,2977.48,2990.3,2940.7
2025-12-20 00:00:00,2970.08,2990.82,2968.28
