,close,high,low
2025-12-04 04:00:00,0.128396,0.129932,0.128277
2025-12-04 08:00:00,0.128711,0.128852,0.127658
2025-12-04 12:00:00,0.12753,0.128652,0.127338
2025-12-04 16:00:00,0.127518,0.127729,0.125375
2025-12-04 20:00:00,0.124587,0.127424,0.122926
2025-12-05 00:00:00,0.124612,0.125294,0.124265
2025-12-05 04:00:00,0.125173,0.12546,0.12457
2025-12-05 08:00:00,0.125053,0.125307,0.12362
2025-12-05 12:00:00,0.12306,0.125142,0.122699
2025-12-05 16:00:00,0.122595,0.123387,0.121614
2025-12-05 20:00:00,0.118648,0.122051,0.117673
2025-12-06 00:00:00,0.120232,0.120232,0.118501
2025-12-06 04:00:00,0.120918,0.12094,0.119515
2025-12-06 08:00:00,0.120369,0.121052,0.119856
2025-12-06 12:00:00,0.120942,0.120947,0.119736
2025-12-06 16:00:00,0.122123,0.122904,0.120972
2025-12-06 20:00:00,0.12351,0.125445,0.122042
2025-12-07 00:00:00,0.122998,0.124468,0.122575
2025-12-07 04:00:00,0.123682,0.124182,0.123158
2025-12-07 08:00:00,0.123168,0.124167,0.122904
2025-12-07 12:00:00,0.121417,0.123237,0.121417
2025-12-07 16:00:00,0.120761,0.122229,0.118827
2025-12-07 20:00:00,0.124286,0.124286,0.120918
2025-12-08 00:00:00,0.120319,0.12475,0.119834
2025-12-08 04:00:00,0.122907,0.123297,0.120315
2025-12-08 08:00:00,0.124343,0.124705,0.12296
2025-12-08 12:00:00,0.123957,0.125746,0.123957
2025-12-08 16:00:00,0.123846,0.124973,0.123525
2025-12-08 20:00:00,0.123212,0.12507,0.123035
2025-12-09 00:00:00,0.12362,0.124462,0.123109
2025-12-09 04:00:00,0.123459,0.12426,0.122594
2025-12-09 08:00:00,0.122995,0.12362,0.121626
2025-12-09 12:00:00,0.122603,0.123214,0.122114
2025-12-09 16:00:00,0.126512,0.126512,0.122792
2025-12-09 20:00:00,0.128043,0.130153,0.126888
2025-12-10 00:00:00,0.126767,0.128166,0.125799
2025-12-10 04:00:00,0.125799,0.127019,0.125683
2025-12-10 08:00:00,0.125139,0.126163,0.124985
2025-12-10 12:00:00,0.12351,0.125193,0.123405
2025-12-10 16:00:00,0.123511,0.123959,0.123255
2025-12-10 20:00:00,0.126545,0.126793,0.1235
2025-12-11 00:00:00,0.123713,0.128117,0.123555
2025-12-11 04:00:00,0.118744,0.123557,0.118368
2025-12-11 08:00:00,0.120239,0.120259,0.118517
2025-12-11 12:00:00,0.120472,0.120573,0.119673
2025-12-11 16:00:00,0.11897,0.120236,0.118965
2025-12-11 20:00:00,0.120736,0.120998,0.11833
2025-12-12 00:00:00,0.12146,0.122749,0.12029
2025-12-12 04:00:00,0.121443,0.122057,0.120497
2025-12-12 08:00:00,0.121716,0.122666,0.120777
2025-12-12 12:00:00,0.12215,0.122292,0.121065
2025-12-12 16:00:00,0.118261,0.122685,0.118261
2025-12-12 20:00:00,0.117622,0.118768,0.11601
2025-12-13 00:00:00,0.119365,0.119451,0.117584
2025-12-13 04:00:00,0.120256,0.120304,0.119371
2025-12-13 08:00:00,0.120671,0.121063,0.119999
2025-12-13 12:00:00,0.120943,0.121866,0.120788
2025-12-13 16:00:00,0.121078,0.121292,0.120422
2025-12-13 20:00:00,0.120989,0.121182,0.120551
2025-12-14 00:00:00,0.121087,0.121138,0.12025
2025-12-14 04:00:00,0.120599,0.121107,0.120599
2025-12-14 08:00:00,0.119499,0.120539,0.119171
