,close,high,low
2025-12-04 20:00:00,1.12,1.13,1.11
2025-12-05 00:00:00,1.11,1.13,1.11
2025-12-05 04:00:00,1.13,1.13,1.11
2025-12-05 08:00:00,1.12,1.13,1.11
2025-12-05 12:00:00,1.13,1.13,1.11
2025-12-05 16:00:00,1.12,1.13,1.11
2025-12-05 20:00:00,1.12,1.13,1.11
2025-12-06 00:00:00,1.12,1.13,1.11
2025-12-06 04:00:00,1.13,1.13,1.11
2025-12-06 08:00:00,1.12,1.13,1.11
2025-12-06 12:00:00,1.12,1.13,1.11
2025-12-06 16:00:00,1.12,1.13,1.11
2025-12-06 20:00:00,1.12,1.13,1.11
2025-12-07 00:00:00,1.12,1.13,1.11
2025-12-07 04:00:00,1.11,1.13,1.11
2025-12-07 08:00:00,1.12,1.13,1.11
2025-12-07 12:00:00,1.12,1.13,1.11
2025-12-07 16:00:00,1.12,1.13,1.11
2025-12-07 20:00:00,1.12,1.13,1.11
2025-12-08 00:00:00,1.12,1.12,1.11
2025-12-08 04:00:00,1.11,1.13,1.11
2025-12-08 08:00:00,1.11,1.13,1.11
2025-12-08 12:00:00,1.12,1.13,1.11
2025-12-08 16:00:00,1.12,1.12,1.11
2025-12-08 20:00:00,1.12,1.12,1.11
2025-12-09 00:00:00,1.12,1.13,1.11
2025-12-09 04:00:00,1.13,1.13,1.11
2025-12-09 08:00:00,1.12,1.13,1.11
2025-12-09 12:00:00,1.11,1.12,1.11
2025-12-09 16:00:00,1.12,1.13,1.11
2025-12-09 20:00:00,1.11,1.13,1.11
2025-12-10 00:00:00,1.12,1.13,1.11
2025-12-10 04:00:00,1.11,1.13,1.11
2025-12-10 08:00:00,1.11,1.13,1.11
2025-12-10 12:00:00,1.11,1.12,1.11
2025-12-10 16:00:00,1.11,1.13,1.11
2025-12-10 20:00:00,1.12,1.13,1.11
2025-12-11 00:00:00,1.12,1.12,1.11
2025-12-11 04:00:00,1.11,1.12,1.11
2025-12-11 08:00:00,1.13,1.13,1.11
2025-12-11 12:00:00,1.12,1.13,1.11
2025-12-11 16:00:00,1.11,1.13,1.11
2025-12-11 20:00:00,1.11,1.13,1.11
2025-12-12 00:00:00,1.12,1.13,1.11
