,close,high,low
2025-12-04 12:00:00,0.109996,0.110756,0.109799
2025-12-04 16:00:00,0.109804,0.110059,0.109253
2025-12-04 20:00:00,0.109017,0.109886,0.108348
2025-12-05 00:00:00,0.10864,0.108975,0.1082
2025-12-05 04:00:00,0.109165,0.109797,0.108585
2025-12-05 08:00:00,0.109243,0.109243,0.10871
2025-12-05 12:00:00,0.108042,0.109242,0.107779
2025-12-05 16:00:00,0.107224,0.108335,0.106599
2025-12-05 20:00:00,0.105637,0.107041,0.10503
2025-12-06 00:00:00,0.105226,0.105774,0.104929
2025-12-06 04:00:00,0.105783,0.105783,0.104903
2025-12-06 08:00:00,0.105208,0.106002,0.105132
2025-12-06 12:00:00,0.106049,0.106353,0.105206
2025-12-06 16:00:00,0.107024,0.107109,0.106107
2025-12-06 20:00:00,0.10668,0.107376,0.106586
2025-12-07 00:00:00,0.107503,0.10792,0.106772
2025-12-07 04:00:00,0.108635,0.108795,0.107514
2025-12-07 08:00:00,0.108264,0.108828,0.108091
2025-12-07 12:00:00,0.10643,0.108247,0.105957
2025-12-07 16:00:00,0.105289,0.106575,0.104634
2025-12-07 20:00:00,0.107636,0.107946,0.105073
2025-12-08 00:00:00,0.105945,0.108205,0.105552
2025-12-08 04:00:00,0.106605,0.106605,0.105595
2025-12-08 08:00:00,0.107756,0.108354,0.106603
2025-12-08 12:00:00,0.108574,0.108865,0.107205
2025-12-08 16:00:00,0.108712,0.108866,0.108381
2025-12-08 20:00:00,0.108516,0.109517,0.108363
2025-12-09 00:00:00,0.108715,0.109517,0.108407
2025-12-09 04:00:00,0.108787,0.109078,0.108227
2025-12-09 08:00:00,0.108849,0.109498,0.10848
2025-12-09 12:00:00,0.108731,0.109177,0.108463
2025-12-09 16:00:00,0.111113,0.111113,0.108666
2025-12-09 20:00:00,0.112378,0.11372,0.110863
2025-12-10 00:00:00,0.111091,0.111997,0.110552
2025-12-10 04:00:00,0.11076,0.111142,0.109979
2025-12-10 08:00:00,0.110009,0.110785,0.109894
2025-12-10 12:00:00,0.10888,0.110067,0.108806
2025-12-10 16:00:00,0.109484,0.109549,0.10901
2025-12-10 20:00:00,0.109382,0.10995,0.108611
2025-12-11 00:00:00,0.108994,0.110059,0.108612
2025-12-11 04:00:00,0.107612,0.109069,0.107612
2025-12-11 08:00:00,0.107101,0.107477,0.106476
2025-12-11 12:00:00,0.106581,0.107169,0.106433
2025-12-11 16:00:00,0.1066,0.107134,0.106177
2025-12-11 20:00:00,0.107226,0.107644,0.106143
2025-12-12 00:00:00,0.107506,0.10795,0.107112
2025-12-12 04:00:00,0.107219,0.10761,0.106658
2025-12-12 08:00:00,0.107468,0.107584,0.106824
2025-12-12 12:00:00,0.107139,0.108158,0.106897
2025-12-12 16:00:00,0.106169,0.107732,0.105735
2025-12-12 20:00:00,0.106376,0.10686,0.105778
2025-12-13 00:00:00,0.106856,0.106877,0.106372
2025-12-13 04:00:00,0.106801,0.107031,0.106384
2025-12-13 08:00:00,0.106988,0.107338,0.106877
2025-12-13 12:00:00,0.10731,0.107529,0.106793
2025-12-13 16:00:00,0.107194,0.107503,0.107039
