,close,high,low
2025-12-04 16:00:00,2.56,2.57,2.53
2025-12-04 20:00:00,2.52,2.57,2.49
2025-12-05 00:00:00,2.51,2.53,2.51
2025-12-05 04:00:00,2.53,2.55,2.51
2025-12-05 08:00:00,2.54,2.55,2.51
2025-12-05 12:00:00,2.49,2.54,2.48
2025-12-05 16:00:00,2.47,2.49,2.44
2025-12-05 20:00:00,2.37,2.46,2.35
2025-12-06 00:00:00,2.36,2.37,2.35
2025-12-06 04:00:00,2.36,2.37,2.35
2025-12-06 08:00:00,2.38,2.38,2.36
2025-12-06 12:00:00,2.42,2.42,2.37
2025-12-06 16:00:00,2.43,2.44,2.42
2025-12-06 20:00:00,2.44,2.48,2.43
2025-12-07 00:00:00,2.47,2.47,2.44
2025-12-07 04:00:00,2.47,2.48,2.46
2025-12-07 08:00:00,2.45,2.48,2.45
2025-12-07 12:00:00,2.39,2.45,2.39
2025-12-07 16:00:00,2.35,2.42,2.32
2025-12-07 20:00:00,2.44,2.45,2.37
2025-12-08 00:00:00,2.35,2.45,2.35
2025-12-08 04:00:00,2.41,2.42,2.36
2025-12-08 08:00:00,2.42,2.43,2.41
2025-12-08 12:00:00,2.44,2.46,2.41
2025-12-08 16:00:00,2.4,2.44,2.4
2025-12-08 20:00:00,2.4,2.43,2.39
2025-12-09 00:00:00,2.41,2.44,2.4
2025-12-09 04:00:00,2.39,2.43,2.37
2025-12-09 08:00:00,2.35,2.39,2.33
2025-12-09 12:00:00,2.34,2.36,2.33
2025-12-09 16:00:00,2.42,2.42,2.34
2025-12-09 20:00:00,2.46,2.48,2.42
2025-12-10 00:00:00,2.43,2.46,2.41
2025-12-10 04:00:00,2.42,2.43,2.39
2025-12-10 08:00:00,2.39,2.42,2.39
2025-12-10 12:00:00,2.36,2.4,2.36
2025-12-10 16:00:00,2.37,2.38,2.35
2025-12-10 20:00:00,2.42,2.42,2.37
2025-12-11 00:00:00,2.35,2.46,2.34
2025-12-11 04:00:00,2.24,2.35,2.23
2025-12-11 08:00:00,2.26,2.27,2.23
2025-12-11 12:00:00,2.24,2.27,2.24
2025-12-11 16:00:00,2.24,2.25,2.24
2025-12-11 20:00:00,2.27,2.28,2.23
2025-12-12 00:00:00,2.29,2.32,2.26
2025-12-12 04:00:00,2.29,2.3,2.26
2025-12-12 08:00:00,2.3,2.31,2.28
2025-12-12 12:00:00,2.31,2.32,2.29
2025-12-12 16:00:00,2.19,2.31,2.19
2025-12-12 20:00:00,2.18,2.2,2.15
2025-12-13 00:00:00,2.23,2.23,2.18
2025-12-13 04:00:00,2.24,2.24,2.22
2025-12-13 08:00:00,2.22,2.24,2.21
2025-12-13 12:00:00,2.22,2.24,2.22
2025-12-13 16:00:00,2.22,2.23,2.21
2025-12-13 20:00:00,2.23,2.23,2.21
2025-12-14 00:00:00,2.23,2.23,2.21
2025-12-14 04:00:00,2.21,2.23,2.21
