,close,high,low
2025-12-04 12:00:00,0.170984,0.172504,0.170984
2025-12-04 16:00:00,0.170079,0.171155,0.168239
2025-12-04 20:00:00,0.165879,0.170924,0.164163
2025-12-05 00:00:00,0.165485,0.166331,0.165135
2025-12-05 04:00:00,0.165625,0.166156,0.165235
2025-12-05 08:00:00,0.16452,0.165642,0.164098
2025-12-05 12:00:00,0.16014,0.164423,0.159862
2025-12-05 16:00:00,0.158736,0.160144,0.157169
2025-12-05 20:00:00,0.157545,0.15829,0.153501
2025-12-06 00:00:00,0.159522,0.159862,0.157947
2025-12-06 04:00:00,0.160921,0.160921,0.158859
2025-12-06 08:00:00,0.161258,0.16134,0.160206
2025-12-06 12:00:00,0.184834,0.189446,0.161057
2025-12-06 16:00:00,0.189135,0.189135,0.181043
2025-12-06 20:00:00,0.18619,0.197751,0.185041
2025-12-07 00:00:00,0.184996,0.186316,0.181819
2025-12-07 04:00:00,0.182966,0.189816,0.182419
2025-12-07 08:00:00,0.18072,0.183215,0.179827
2025-12-07 12:00:00,0.174196,0.182486,0.174196
2025-12-07 16:00:00,0.170274,0.174223,0.167484
2025-12-07 20:00:00,0.174488,0.17463,0.169334
2025-12-08 00:00:00,0.16913,0.174865,0.167575
2025-12-08 04:00:00,0.172375,0.172375,0.169284
2025-12-08 08:00:00,0.172118,0.173411,0.172049
2025-12-08 12:00:00,0.172598,0.174026,0.171302
2025-12-08 16:00:00,0.17037,0.173141,0.17037
2025-12-08 20:00:00,0.172,0.172187,0.17017
2025-12-09 00:00:00,0.170931,0.17229,0.170726
2025-12-09 04:00:00,0.169545,0.17107,0.168846
2025-12-09 08:00:00,0.170113,0.170113,0.168295
2025-12-09 12:00:00,0.169545,0.170277,0.168353
2025-12-09 16:00:00,0.17488,0.17488,0.169563
2025-12-09 20:00:00,0.179045,0.180602,0.174965
2025-12-10 00:00:00,0.178224,0.179018,0.17561
2025-12-10 04:00:00,0.175924,0.177975,0.175318
2025-12-10 08:00:00,0.175019,0.175907,0.174796
2025-12-10 12:00:00,0.175387,0.179618,0.175073
2025-12-10 16:00:00,0.178214,0.178254,0.174995
2025-12-10 20:00:00,0.180222,0.181872,0.178179
2025-12-11 00:00:00,0.177994,0.18212,0.177592
2025-12-11 04:00:00,0.168904,0.177777,0.168895
2025-12-11 08:00:00,0.16963,0.171271,0.168388
2025-12-11 12:00:00,0.169899,0.170094,0.168283
2025-12-11 16:00:00,0.169272,0.170484,0.168608
2025-12-11 20:00:00,0.171073,0.171467,0.168049
2025-12-12 00:00:00,0.17359,0.17596,0.170354
2025-12-12 04:00:00,0.173164,0.173805,0.171702
2025-12-12 08:00:00,0.175113,0.175907,0.172742
2025-12-12 12:00:00,0.175716,0.176577,0.173829
2025-12-12 16:00:00,0.168894,0.175667,0.168894
2025-12-12 20:00:00,0.168188,0.169422,0.166631
2025-12-13 00:00:00,0.170442,0.170442,0.168123
2025-12-13 04:00:00,0.170383,0.170582,0.169805
2025-12-13 08:00:00,0.170248,0.170397,0.169196
2025-12-13 12:00:00,0.171912,0.1735,0.170358
2025-12-13 16:00:00,0.171689,0.172245,0.170592
