,close,high,low
2025-12-04 04:00:00,0.104973,0.105709,0.104339
2025-12-04 08:00:00,0.104407,0.105155,0.104147
2025-12-04 12:00:00,0.103609,0.104862,0.103609
2025-12-04 16:00:00,0.104121,0.104259,0.102536
2025-12-04 20:00:00,0.101514,0.104172,0.099806
2025-12-05 00:00:00,0.100782,0.102043,0.100193
2025-12-05 04:00:00,0.100405,0.101753,0.100392
2025-12-05 08:00:00,0.100918,0.101113,0.099748
2025-12-05 12:00:00,0.099412,0.100964,0.099143
2025-12-05 16:00:00,0.099569,0.100313,0.0986
2025-12-05 20:00:00,0.095108,0.099134,0.094381
2025-12-06 00:00:00,0.095622,0.095827,0.094621
2025-12-06 04:00:00,0.095536,0.096029,0.095219
2025-12-06 08:00:00,0.095085,0.09575,0.094795
2025-12-06 12:00:00,0.095673,0.095673,0.094831
2025-12-06 16:00:00,0.095634,0.09645,0.095203
2025-12-06 20:00:00,0.095234,0.096826,0.095234
2025-12-07 00:00:00,0.095379,0.095999,0.094953
2025-12-07 04:00:00,0.096144,0.096261,0.095337
2025-12-07 08:00:00,0.095436,0.096432,0.095118
2025-12-07 12:00:00,0.094361,0.095408,0.093963
2025-12-07 16:00:00,0.091564,0.094884,0.090639
2025-12-07 20:00:00,0.094638,0.095037,0.091481
2025-12-08 00:00:00,0.091616,0.095466,0.091356
2025-12-08 04:00:00,0.094055,0.094115,0.091601
2025-12-08 08:00:00,0.095261,0.095815,0.094062
2025-12-08 12:00:00,0.096631,0.097442,0.095211
2025-12-08 16:00:00,0.095657,0.097441,0.095315
2025-12-08 20:00:00,0.096073,0.097302,0.095291
2025-12-09 00:00:00,0.096013,0.097113,0.095741
2025-12-09 04:00:00,0.094764,0.096409,0.093985
2025-12-09 08:00:00,0.094423,0.094828,0.093325
2025-12-09 12:00:00,0.093447,0.09445,0.0931
2025-12-09 16:00:00,0.098499,0.098499,0.093406
2025-12-09 20:00:00,0.099463,0.101764,0.098897
2025-12-10 00:00:00,0.098887,0.099461,0.097487
2025-12-10 04:00:00,0.097305,0.098671,0.09698
2025-12-10 08:00:00,0.096306,0.097615,0.096042
2025-12-10 12:00:00,0.095399,0.096829,0.095164
2025-12-10 16:00:00,0.095629,0.095789,0.095004
2025-12-10 20:00:00,0.098438,0.098584,0.095576
2025-12-11 00:00:00,0.095289,0.10022,0.095289
2025-12-11 04:00:00,0.09102,0.095406,0.090774
2025-12-11 08:00:00,0.092172,0.092651,0.090867
2025-12-11 12:00:00,0.091519,0.092157,0.09057
2025-12-11 16:00:00,0.091399,0.092055,0.091086
2025-12-11 20:00:00,0.093678,0.093987,0.091115
2025-12-12 00:00:00,0.094427,0.096453,0.093325
2025-12-12 04:00:00,0.095271,0.096036,0.093718
2025-12-12 08:00:00,0.096264,0.097174,0.095024
2025-12-12 12:00:00,0.096362,0.097124,0.09585
2025-12-12 16:00:00,0.091483,0.09631,0.091483
2025-12-12 20:00:00,0.088344,0.091041,0.087578
2025-12-13 00:00:00,0.090462,0.09076,0.088553
2025-12-13 04:00:00,0.091236,0.091397,0.09051
2025-12-13 08:00:00,0.091283,0.091398,0.090228
2025-12-13 12:00:00,0.091202,0.091684,0.091095
2025-12-13 16:00:00,0.091443,0.091896,0.091075
2025-12-13 20:00:00,0.091571,0.091808,0.091164
2025-12-14 00:00:00,0.091792,0.091828,0.090508
2025-12-14 04:00:00,0.0911,0.091788,0.090825
2025-12-14 08:00:00,0.090069,0.091062,0.089792
2025-12-14 12:00:00,0.089332,0.090442,0.089314
2025-12-14 16:00:00,0.089093,0.089869,0.088472
2025-12-14 20:00:00,0.088158,0.089254,0.087872
2025-12-15 00:00:00,0.087393,0.088355,0.087373
2025-12-15 04:00:00,0.08896,0.090254,0.087277
2025-12-15 08:00:00,0.089634,0.09029,0.089241
2025-12-15 12:00:00,0.089771,0.090514,0.089573
2025-12-15 16:00:00,0.085067,0.09028,0.084387
2025-12-15 20:00:00,0.081902,0.084844,0.081868
2025-12-16 00:00:00,0.083076,0.083076,0.081082
2025-12-16 04:00:00,0.081584,0.083154,0.081397
2025-12-16 08:00:00,0.080089,0.08177,0.08002
2025-12-16 12:00:00,0.083279,0.083279,0.080126
2025-12-16 16:00:00,0.084047,0.084047,0.082127
2025-12-16 20:00:00,0.084322,0.085059,0.083756
2025-12-17 00:00:00,0.083102,0.085721,0.083102
2025-12-17 04:00:00,0.082156,0.083585,0.081886
2025-12-17 08:00:00,0.081477,0.082187,0.08102
2025-12-17 12:00:00,0.080712,0.081581,0.080526
2025-12-17 16:00:00,0.081948,0.083723,0.080607
2025-12-17 20:00:00,0.078628,0.081741,0.078189
2025-12-18 00:00:00,0.078806,0.079829,0.078462
2025-12-18 04:00:00,0.078461,0.079375,0.078288
2025-12-18 08:00:00,0.078623,0.078976,0.077799
2025-12-18 12:00:00,0.078681,0.079537,0.077884
2025-12-18 16:00:00,0.080294,0.080678,0.078504
2025-12-18 20:00:00,0.073896,0.080393,0.073896
2025-12-19 00:00:00,0.074644,0.075931,0.074013
2025-12-19 04:00:00,0.076681,0.076681,0.073564
2025-12-19 08:00:00,0.076961,0.077606,0.076174
2025-12-19 12:00:00,0.077246,0.077285,0.076586
