,close,high,low
2025-12-04 12:00:00,3.79,3.83,3.77
2025-12-04 16:00:00,3.77,3.79,3.7
2025-12-04 20:00:00,3.7,3.78,3.64
2025-12-05 00:00:00,3.69,3.71,3.68
2025-12-05 04:00:00,3.65,3.7,3.65
2025-12-05 08:00:00,3.68,3.68,3.64
2025-12-05 12:00:00,3.61,3.69,3.6
2025-12-05 16:00:00,3.64,3.67,3.61
2025-12-05 20:00:00,3.45,3.62,3.39
2025-12-06 00:00:00,3.49,3.49,3.43
2025-12-06 04:00:00,3.49,3.5,3.46
2025-12-06 08:00:00,3.49,3.5,3.47
2025-12-06 12:00:00,3.5,3.5,3.48
2025-12-06 16:00:00,3.51,3.52,3.49
2025-12-06 20:00:00,3.53,3.6,3.52
2025-12-07 00:00:00,3.56,3.58,3.54
2025-12-07 04:00:00,3.57,3.59,3.55
2025-12-07 08:00:00,3.52,3.57,3.51
2025-12-07 12:00:00,3.51,3.55,3.5
2025-12-07 16:00:00,3.46,3.52,3.37
2025-12-07 20:00:00,3.56,3.58,3.45
2025-12-08 00:00:00,3.45,3.57,3.41
2025-12-08 04:00:00,3.53,3.55,3.43
2025-12-08 08:00:00,3.58,3.6,3.54
2025-12-08 12:00:00,3.6,3.63,3.57
2025-12-08 16:00:00,3.56,3.63,3.56
2025-12-08 20:00:00,3.56,3.6,3.54
2025-12-09 00:00:00,3.59,3.62,3.56
2025-12-09 04:00:00,3.56,3.6,3.53
2025-12-09 08:00:00,3.58,3.59,3.53
2025-12-09 12:00:00,3.56,3.59,3.55
2025-12-09 16:00:00,3.73,3.73,3.57
2025-12-09 20:00:00,3.87,3.94,3.75
2025-12-10 00:00:00,3.8,3.87,3.76
2025-12-10 04:00:00,3.73,3.79,3.72
2025-12-10 08:00:00,3.68,3.74,3.67
2025-12-10 12:00:00,3.66,3.71,3.66
2025-12-10 16:00:00,3.68,3.7,3.65
2025-12-10 20:00:00,3.78,3.78,3.67
2025-12-11 00:00:00,3.63,3.87,3.63
2025-12-11 04:00:00,3.42,3.63,3.41
2025-12-11 08:00:00,3.44,3.47,3.4
2025-12-11 12:00:00,3.45,3.47,3.43
2025-12-11 16:00:00,3.42,3.47,3.41
2025-12-11 20:00:00,3.5,3.51,3.4
2025-12-12 00:00:00,3.61,3.71,3.49
2025-12-12 04:00:00,3.63,3.65,3.56
2025-12-12 08:00:00,3.62,3.66,3.58
2025-12-12 12:00:00,3.68,3.71,3.6
2025-12-12 16:00:00,3.5,3.69,3.5
2025-12-12 20:00:00,3.44,3.49,3.4
2025-12-13 00:00:00,3.49,3.5,3.44
2025-12-13 04:00:00,3.55,3.55,3.49
2025-12-13 08:00:00,3.56,3.56,3.52
2025-12-13 12:00:00,3.56,3.58,3.54
2025-12-13 16:00:00,3.55,3.58,3.52
2025-12-13 20:00:00,3.6,3.61,3.55
2025-12-14 00:00:00,3.61,3.61,3.59
2025-12-14 04:00:00,3.57,3.61,3.57
2025-12-14 08:00:00,3.51,3.56,3.5
2025-12-14 12:00:00,3.46,3.54,3.45
2025-12-14 16:00:00,3.48,3.52,3.45
2025-12-14 20:00:00,3.44,3.5,3.43
2025-12-15 00:00:00,3.44,3.45,3.42
2025-12-15 04:00:00,3.5,3.56,3.43
2025-12-15 08:00:00,3.52,3.57,3.51
2025-12-15 12:00:00,3.53,3.54,3.52
2025-12-15 16:00:00,3.34,3.55,3.31
2025-12-15 20:00:00,3.24,3.34,3.19
2025-12-16 00:00:00,3.26,3.26,3.21
2025-12-16 04:00:00,3.23,3.26,3.18
2025-12-16 08:00:00,3.19,3.23,3.18
2025-12-16 12:00:00,3.31,3.31,3.19
2025-12-16 16:00:00,3.33,3.33,3.26
2025-12-16 20:00:00,3.32,3.37,3.29
2025-12-17 00:00:00,3.31,3.33,3.29
2025-12-17 04:00:00,3.31,3.36,3.29
2025-12-17 08:00:00,3.29,3.32,3.28
2025-12-17 12:00:00,3.28,3.29,3.26
2025-12-17 16:00:00,3.26,3.37,3.26
2025-12-17 20:00:00,3.11,3.26,3.06
2025-12-18 00:00:00,3.07,3.14,3.06
2025-12-18 04:00:00,3.05,3.08,3.05
2025-12-18 08:00:00,3.05,3.08,3.01
2025-12-18 12:00:00,3.06,3.07,3.04
2025-12-18 16:00:00,3.21,3.25,3.07
2025-12-18 20:00:00,2.94,3.21,2.94
2025-12-19 00:00:00,3.02,3.07,2.94
2025-12-19 04:00:00,3.15,3.15,2.98
2025-12-19 08:00:00,3.18,3.21,3.1
2025-12-19 12:00:00,3.21,3.21,3.16
2025-12-19 16:00:00,3.44,3.45,3.2
2025-12-19 20:00:00,3.72,3.83,3.46
2025-12-20 00:00:00,3.82,3.87,3.73
2025-12-20 04:00:00,3.82,3.84,3.74
2025-12-20 08:00:00,3.93,3.98,3.82
2025-12-20 12:00:00,3.92,3.94,3.88
2025-12-20 16:00:00,3.96,3.96,3.87
2025-12-20 20:00:00,3.87,3.95,3.86
2025-12-21 00:00:00,3.8,3.88,3.8
2025-12-21 04:00:00,3.77,3.81,3.72
2025-12-21 08:00:00,3.81,3.86,3.8
2025-12-21 12:00:00,3.79,3.86,3.77
2025-12-21 16:00:00,3.75,3.84,3.72
2025-12-21 20:00:00,3.76,3.84,3.73
2025-12-22 00:00:00,3.81,3.81,3.71
2025-12-22 04:00:00,3.83,3.87,3.78
2025-12-22 08:00:00,3.8,3.84,3.79
2025-12-22 12:00:00,3.8,3.83,3.77
2025-12-22 16:00:00,3.77,3.83,3.76
2025-12-22 20:00:00,3.75,3.81,3.75
2025-12-23 00:00:00,3.85,3.85,3.74
2025-12-23 04:00:00,3.89,3.93,3.8
2025-12-23 08:00:00,3.76,3.87,3.73
2025-12-23 12:00:00,3.76,3.79,3.73
2025-12-23 16:00:00,3.8,3.81,3.75
2025-12-23 20:00:00,3.91,3.95,3.82
2025-12-24 00:00:00,3.87,3.93,3.87
2025-12-24 04:00:00,3.95,3.96,3.84
2025-12-24 08:00:00,3.85,4.02,3.79
2025-12-24 12:00:00,3.89,3.89,3.8
2025-12-24 16:00:00,3.86,3.92,3.85
2025-12-24 20:00:00,3.88,3.92,3.82
2025-12-25 00:00:00,3.89,3.91,3.87
2025-12-25 04:00:00,3.95,3.96,3.87
2025-12-25 08:00:00,3.99,3.99,3.94
2025-12-25 12:00:00,3.92,4.01,3.89
2025-12-25 16:00:00,3.94,3.94,3.88
2025-12-25 20:00:00,3.92,3.93,3.88
2025-12-26 00:00:00,3.77,3.93,3.77
2025-12-26 04:00:00,3.85,3.9,3.78
2025-12-26 08:00:00,3.82,3.91,3.82
2025-12-26 12:00:00,3.86,3.86,3.81
2025-12-26 16:00:00,3.82,3.92,3.8
2025-12-26 20:00:00,3.85,3.86,3.8
2025-12-27 00:00:00,3.86,3.89,3.84
2025-12-27 04:00:00,3.91,3.91,3.86
2025-12-27 08:00:00,3.94,3.95,3.88
2025-12-27 12:00:00,3.91,3.94,3.85
2025-12-27 16:00:00,3.89,3.91,3.88
2025-12-27 20:00:00,3.85,3.9,3.85
2025-12-28 00:00:00,3.89,3.89,3.84
2025-12-28 04:00:00,3.85,3.91,3.84
2025-12-28 08:00:00,3.83,3.85,3.82
2025-12-28 12:00:00,3.81,3.84,3.8
2025-12-28 16:00:00,3.8,3.84,3.78
2025-12-28 20:00:00,3.76,3.81,3.75
2025-12-29 00:00:00,3.81,3.81,3.76
2025-12-29 04:00:00,3.96,3.97,3.8
2025-12-29 08:00:00,3.98,3.99,3.94
2025-12-29 12:00:00,3.93,4.05,3.93
2025-12-29 16:00:00,3.88,3.91,3.82
2025-12-29 20:00:00,3.85,3.9,3.82
2025-12-30 00:00:00,3.82,3.85,3.82
2025-12-30 04:00:00,3.8,3.84,3.78
2025-12-30 08:00:00,3.82,3.83,3.79
2025-12-30 12:00:00,3.95,3.96,3.83
2025-12-30 16:00:00,3.94,4.01,3.92
2025-12-30 20:00:00,3.94,3.96,3.91
2025-12-31 00:00:00,3.91,3.96,3.91
2025-12-31 04:00:00,3.96,3.96,3.88
2025-12-31 08:00:00,4.0,4.04,3.96
2025-12-31 12:00:00,3.96,4.02,3.93
2025-12-31 16:00:00,3.94,3.98,3.92
2025-12-31 20:00:00,3.83,3.94,3.79
2026-01-01 00:00:00,3.84,3.86,3.8
2026-01-01 04:00:00,3.85,3.87,3.84
2026-01-01 08:00:00,3.91,3.92,3.83
2026-01-01 12:00:00,4.03,4.03,3.9
2026-01-01 16:00:00,4.19,4.23,4.04
2026-01-01 20:00:00,4.54,4.54,4.15
2026-01-02 00:00:00,4.56,4.62,4.44
2026-01-02 04:00:00,4.48,4.55,4.48
2026-01-02 08:00:00,4.41,4.48,4.4
2026-01-02 12:00:00,4.41,4.44,4.37
2026-01-02 16:00:00,4.43,4.48,4.41
2026-01-02 20:00:00,4.43,4.49,4.42
2026-01-03 00:00:00,4.33,4.42,4.29
2026-01-03 04:00:00,4.43,4.44,4.33
2026-01-03 08:00:00,4.3,4.44,4.29
