,close,high,low
2025-12-04 12:00:00,3887.83,3912.19,3877.83
2025-12-04 16:00:00,3892.78,3894.93,3859.1
2025-12-04 20:00:00,3812.95,3911.75,3760.81
2025-12-05 00:00:00,3829.42,3843.36,3801.62
2025-12-05 04:00:00,3869.63,3890.57,3827.87
2025-12-05 08:00:00,3872.38,3885.33,3850.42
2025-12-05 12:00:00,3821.34,3871.31,3794.89
2025-12-05 16:00:00,3803.82,3836.57,3773.86
2025-12-05 20:00:00,3700.48,3787.4,3659.21
2025-12-06 00:00:00,3689.61,3715.26,3677.62
2025-12-06 04:00:00,3707.32,3712.25,3677.43
2025-12-06 08:00:00,3698.65,3714.51,3697.78
2025-12-06 12:00:00,3710.18,3710.18,3675.49
2025-12-06 16:00:00,3713.47,3733.0,3695.99
2025-12-06 20:00:00,3695.67,3737.14,3695.67
2025-12-07 00:00:00,3708.63,3720.3,3698.37
2025-12-07 04:00:00,3726.61,3727.83,3706.41
2025-12-07 08:00:00,3709.47,3731.4,3704.52
2025-12-07 12:00:00,3707.98,3715.35,3692.16
2025-12-07 16:00:00,3667.28,3725.58,3604.85
2025-12-07 20:00:00,3823.11,3827.75,3656.88
2025-12-08 00:00:00,3723.61,3829.19,3700.17
2025-12-08 04:00:00,3797.52,3819.28,3720.77
2025-12-08 08:00:00,3820.88,3829.08,3795.94
2025-12-08 12:00:00,3833.0,3875.67,3817.69
2025-12-08 16:00:00,3785.51,3864.5,3777.5
2025-12-08 20:00:00,3810.37,3818.73,3780.2
2025-12-09 00:00:00,3815.53,3841.66,3803.71
2025-12-09 04:00:00,3809.09,3831.22,3778.01
2025-12-09 08:00:00,3814.65,3818.27,3776.21
2025-12-09 12:00:00,3802.49,3816.74,3785.62
2025-12-09 16:00:00,3957.81,3957.81,3786.37
2025-12-09 20:00:00,4109.77,4134.7,3950.14
2025-12-10 00:00:00,4057.42,4099.75,4019.43
2025-12-10 04:00:00,4047.41,4057.15,4015.3
2025-12-10 08:00:00,4058.0,4059.17,4032.84
2025-12-10 12:00:00,4045.57,4086.32,4032.5
2025-12-10 16:00:00,4045.27,4071.47,4035.04
2025-12-10 20:00:00,4123.21,4163.22,4057.41
2025-12-11 00:00:00,4060.22,4159.58,4058.78
2025-12-11 04:00:00,3887.46,4061.18,3876.34
2025-12-11 08:00:00,3894.3,3944.08,3887.22
2025-12-11 12:00:00,3888.41,3911.57,3863.02
2025-12-11 16:00:00,3847.89,3936.44,3847.89
2025-12-11 20:00:00,3922.49,3940.06,3852.09
2025-12-12 00:00:00,3936.96,3979.66,3884.66
2025-12-12 04:00:00,3970.25,3985.19,3913.22
2025-12-12 08:00:00,3966.63,3982.09,3952.99
2025-12-12 12:00:00,3959.37,3973.22,3949.65
2025-12-12 16:00:00,3763.64,3966.92,3763.64
2025-12-12 20:00:00,3763.51,3805.62,3701.72
2025-12-13 00:00:00,3785.42,3795.96,3756.11
2025-12-13 04:00:00,3778.0,3793.58,3747.17
2025-12-13 08:00:00,3781.59,3781.59,3755.11
2025-12-13 12:00:00,3807.34,3833.13,3771.37
2025-12-13 16:00:00,3782.23,3826.83,3769.54
2025-12-13 20:00:00,3777.54,3794.36,3762.86
2025-12-14 00:00:00,3796.02,3832.59,3761.22
2025-12-14 04:00:00,3814.32,3819.2,3778.28
2025-12-14 08:00:00,3792.41,3814.46,3779.21
2025-12-14 12:00:00,3790.11,3812.36,3743.37
2025-12-14 16:00:00,3747.73,3807.13,3733.86
2025-12-14 20:00:00,3777.22,3807.19,3758.44
2025-12-15 00:00:00,3732.18,3794.75,3711.54
2025-12-15 04:00:00,3799.53,3838.0,3717.3
2025-12-15 08:00:00,3803.75,3836.46,3795.68
2025-12-15 12:00:00,3862.78,3872.08,3810.16
2025-12-15 16:00:00,3674.08,3868.09,3662.64
2025-12-15 20:00:00,3571.45,3696.62,3561.86
2025-12-16 00:00:00,3620.82,3620.82,3559.48
2025-12-16 04:00:00,3594.46,3634.48,3579.74
