,close,high,low
2025-12-04 16:00:00,0.199839,0.199839,0.196852
2025-12-04 20:00:00,0.19678,0.199939,0.194673
2025-12-05 00:00:00,0.195345,0.197077,0.195345
2025-12-05 04:00:00,0.197135,0.197525,0.195325
2025-12-05 08:00:00,0.234089,0.244655,0.195565
2025-12-05 12:00:00,0.216443,0.23375,0.21217
2025-12-05 16:00:00,0.21169,0.216799,0.207448
2025-12-05 20:00:00,0.206665,0.209485,0.203511
2025-12-06 00:00:00,0.208369,0.208934,0.204099
2025-12-06 04:00:00,0.201008,0.215337,0.198234
2025-12-06 08:00:00,0.202192,0.203214,0.197818
2025-12-06 12:00:00,0.201096,0.203307,0.197164
2025-12-06 16:00:00,0.198625,0.202061,0.198197
2025-12-06 20:00:00,0.199236,0.202356,0.198582
2025-12-07 00:00:00,0.197016,0.200386,0.197016
2025-12-07 04:00:00,0.192104,0.197522,0.18998
2025-12-07 08:00:00,0.190257,0.192264,0.190067
2025-12-07 12:00:00,0.188459,0.190905,0.188055
2025-12-07 16:00:00,0.185855,0.189237,0.183738
2025-12-07 20:00:00,0.189669,0.191506,0.186324
2025-12-08 00:00:00,0.187036,0.191176,0.185778
2025-12-08 04:00:00,0.188507,0.189894,0.186291
2025-12-08 08:00:00,0.19159,0.194719,0.188536
2025-12-08 12:00:00,0.191737,0.194138,0.191084
2025-12-08 16:00:00,0.189492,0.192471,0.188923
2025-12-08 20:00:00,0.189264,0.190893,0.188411
2025-12-09 00:00:00,0.190583,0.190848,0.18877
2025-12-09 04:00:00,0.188335,0.190667,0.187465
2025-12-09 08:00:00,0.189245,0.190014,0.187323
2025-12-09 12:00:00,0.193882,0.195691,0.188865
2025-12-09 16:00:00,0.197743,0.197743,0.193065
2025-12-09 20:00:00,0.198684,0.200328,0.197792
2025-12-10 00:00:00,0.195694,0.19853,0.195383
2025-12-10 04:00:00,0.195171,0.196116,0.193976
2025-12-10 08:00:00,0.19567,0.197564,0.194445
2025-12-10 12:00:00,0.19322,0.197377,0.193188
2025-12-10 16:00:00,0.193507,0.194654,0.192858
2025-12-10 20:00:00,0.197346,0.198525,0.193755
2025-12-11 00:00:00,0.193984,0.198601,0.193336
2025-12-11 04:00:00,0.185312,0.193867,0.185312
2025-12-11 08:00:00,0.184887,0.186466,0.183564
2025-12-11 12:00:00,0.184741,0.185495,0.183688
2025-12-11 16:00:00,0.184124,0.185438,0.183341
2025-12-11 20:00:00,0.187069,0.187761,0.183481
2025-12-12 00:00:00,0.188201,0.189888,0.186745
2025-12-12 04:00:00,0.186334,0.188333,0.185963
2025-12-12 08:00:00,0.187255,0.188114,0.186034
2025-12-12 12:00:00,0.18672,0.187788,0.185941
2025-12-12 16:00:00,0.183439,0.187711,0.1834
2025-12-12 20:00:00,0.182518,0.183688,0.18155
2025-12-13 00:00:00,0.183655,0.184291,0.182559
2025-12-13 04:00:00,0.183875,0.183944,0.183137
2025-12-13 08:00:00,0.183635,0.184401,0.183035
2025-12-13 12:00:00,0.183453,0.184278,0.183137
2025-12-13 16:00:00,0.183789,0.184029,0.183352
2025-12-13 20:00:00,0.184668,0.184855,0.183674
2025-12-14 00:00:00,0.184393,0.185004,0.183592
2025-12-14 04:00:00,0.183889,0.184377,0.182551
2025-12-14 08:00:00,0.181666,0.18394,0.181632
2025-12-14 12:00:00,0.180264,0.182872,0.18002
2025-12-14 16:00:00,0.179924,0.181053,0.179471
2025-12-14 20:00:00,0.178405,0.180724,0.178324
2025-12-15 00:00:00,0.177934,0.179333,0.177582
2025-12-15 04:00:00,0.177396,0.179776,0.176888
2025-12-15 08:00:00,0.177847,0.178646,0.177388
2025-12-15 12:00:00,0.17786,0.179096,0.177507
2025-12-15 16:00:00,0.173021,0.177921,0.173021
2025-12-15 20:00:00,0.168412,0.172957,0.166949
2025-12-16 00:00:00,0.16908,0.169205,0.166841
2025-12-16 04:00:00,0.167361,0.169073,0.166857
2025-12-16 08:00:00,0.167967,0.169229,0.166135
2025-12-16 12:00:00,0.168797,0.168996,0.167441
2025-12-16 16:00:00,0.170025,0.170025,0.167541
2025-12-16 20:00:00,0.169445,0.170661,0.168841
2025-12-17 00:00:00,0.169877,0.171023,0.169347
2025-12-17 04:00:00,0.168405,0.169798,0.168405
2025-12-17 08:00:00,0.167755,0.168579,0.167546
2025-12-17 12:00:00,0.167052,0.167829,0.167012
2025-12-17 16:00:00,0.168205,0.171748,0.167
2025-12-17 20:00:00,0.163531,0.167795,0.163099
2025-12-18 00:00:00,0.163392,0.16479,0.162703
2025-12-18 04:00:00,0.161653,0.164093,0.161333
2025-12-18 08:00:00,0.160504,0.161858,0.160151
2025-12-18 12:00:00,0.160899,0.161961,0.16044
2025-12-18 16:00:00,0.163252,0.164419,0.160842
2025-12-18 20:00:00,0.15759,0.163845,0.157231
2025-12-19 00:00:00,0.156881,0.158733,0.155951
2025-12-19 04:00:00,0.159513,0.160163,0.155371
2025-12-19 08:00:00,0.160894,0.161403,0.159163
2025-12-19 12:00:00,0.161722,0.161722,0.160672
2025-12-19 16:00:00,0.16254,0.16254,0.161026
2025-12-19 20:00:00,0.163694,0.163937,0.161566
2025-12-20 00:00:00,0.163968,0.164315,0.163454
2025-12-20 04:00:00,0.164994,0.16631,0.163928
2025-12-20 08:00:00,0.165806,0.166221,0.163293
2025-12-20 12:00:00,0.166974,0.166974,0.165903
2025-12-20 16:00:00,0.167704,0.16925,0.166308
2025-12-20 20:00:00,0.167828,0.168091,0.167068
2025-12-21 00:00:00,0.167757,0.168285,0.167445
2025-12-21 04:00:00,0.165337,0.173921,0.165198
2025-12-21 08:00:00,0.167926,0.16848,0.165101
2025-12-21 12:00:00,0.166261,0.168306,0.166158
2025-12-21 16:00:00,0.165901,0.167476,0.164114
2025-12-21 20:00:00,0.165577,0.166035,0.164646
2025-12-22 00:00:00,0.16443,0.166033,0.164247
2025-12-22 04:00:00,0.165718,0.166603,0.164431
2025-12-22 08:00:00,0.164647,0.166523,0.164023
2025-12-22 12:00:00,0.16668,0.16684,0.164299
2025-12-22 16:00:00,0.167269,0.168345,0.166009
2025-12-22 20:00:00,0.165489,0.167552,0.165383
2025-12-23 00:00:00,0.165363,0.165769,0.164248
2025-12-23 04:00:00,0.164359,0.166592,0.164273
2025-12-23 08:00:00,0.162842,0.164552,0.162842
2025-12-23 12:00:00,0.163094,0.163476,0.162219
2025-12-23 16:00:00,0.161271,0.162703,0.161271
2025-12-23 20:00:00,0.161959,0.162315,0.161121
2025-12-24 00:00:00,0.161011,0.162378,0.160701
2025-12-24 04:00:00,0.161045,0.162644,0.16027
2025-12-24 08:00:00,0.161044,0.161545,0.160606
2025-12-24 12:00:00,0.160632,0.160977,0.159764
2025-12-24 16:00:00,0.161292,0.161617,0.160202
2025-12-24 20:00:00,0.162797,0.163316,0.161351
2025-12-25 00:00:00,0.163148,0.163982,0.162644
2025-12-25 04:00:00,0.164634,0.165086,0.163143
2025-12-25 08:00:00,0.164971,0.164971,0.164206
2025-12-25 12:00:00,0.165512,0.166646,0.164922
2025-12-25 16:00:00,0.1665,0.166754,0.164922
2025-12-25 20:00:00,0.166737,0.166737,0.165605
2025-12-26 00:00:00,0.163302,0.16672,0.163302
2025-12-26 04:00:00,0.16572,0.166902,0.162985
2025-12-26 08:00:00,0.164544,0.1658,0.164411
2025-12-26 12:00:00,0.16501,0.16501,0.163866
2025-12-26 16:00:00,0.163268,0.165101,0.16292
2025-12-26 20:00:00,0.1634,0.163558,0.162307
2025-12-27 00:00:00,0.163769,0.164113,0.163274
2025-12-27 04:00:00,0.164588,0.164876,0.163902
2025-12-27 08:00:00,0.164427,0.165142,0.164042
2025-12-27 12:00:00,0.164125,0.164596,0.162465
2025-12-27 16:00:00,0.164924,0.165009,0.164102
2025-12-27 20:00:00,0.164862,0.164892,0.164186
2025-12-28 00:00:00,0.166986,0.167316,0.164867
2025-12-28 04:00:00,0.166982,0.167644,0.166127
2025-12-28 08:00:00,0.166996,0.168312,0.166816
