,close,high,low
2025-12-04 12:00:00,22.5,23.02,22.45
2025-12-04 16:00:00,22.24,22.53,21.85
2025-12-04 20:00:00,22.26,22.55,21.92
2025-12-05 00:00:00,21.93,22.26,21.91
2025-12-05 04:00:00,22.43,22.43,21.96
2025-12-05 08:00:00,22.65,22.65,22.23
2025-12-05 12:00:00,21.98,22.67,21.94
2025-12-05 16:00:00,21.79,22.09,21.67
2025-12-05 20:00:00,20.5,21.72,20.2
2025-12-06 00:00:00,20.75,20.84,20.44
2025-12-06 04:00:00,20.75,21.01,20.66
2025-12-06 08:00:00,20.72,20.75,20.59
2025-12-06 12:00:00,20.97,21.06,20.72
2025-12-06 16:00:00,21.09,21.21,20.98
2025-12-06 20:00:00,21.4,21.94,21.09
2025-12-07 00:00:00,21.25,21.49,21.23
2025-12-07 04:00:00,21.45,21.5,21.25
2025-12-07 08:00:00,21.15,21.52,21.13
2025-12-07 12:00:00,20.83,21.17,20.83
2025-12-07 16:00:00,20.77,20.86,20.39
2025-12-07 20:00:00,21.16,21.23,20.64
2025-12-08 00:00:00,20.44,21.25,20.39
2025-12-08 04:00:00,20.92,21.01,20.43
2025-12-08 08:00:00,21.45,21.54,20.9
2025-12-08 12:00:00,21.51,21.7,21.46
2025-12-08 16:00:00,21.54,21.84,21.51
2025-12-08 20:00:00,21.23,21.6,21.12
2025-12-09 00:00:00,21.36,21.67,21.2
2025-12-09 04:00:00,21.22,21.41,20.99
2025-12-09 08:00:00,21.13,21.24,20.82
2025-12-09 12:00:00,21.1,21.11,20.97
2025-12-09 16:00:00,22.1,22.1,21.11
2025-12-09 20:00:00,23.38,23.42,22.14
2025-12-10 00:00:00,22.67,23.37,22.47
2025-12-10 04:00:00,22.24,22.72,22.14
2025-12-10 08:00:00,22.09,22.35,22.06
2025-12-10 12:00:00,21.86,22.19,21.83
2025-12-10 16:00:00,21.97,22.07,21.86
2025-12-10 20:00:00,22.47,22.51,21.96
2025-12-11 00:00:00,21.86,22.66,21.86
2025-12-11 04:00:00,20.57,21.84,20.51
2025-12-11 08:00:00,20.86,20.93,20.49
2025-12-11 12:00:00,20.71,20.87,20.68
2025-12-11 16:00:00,20.87,21.01,20.64
2025-12-11 20:00:00,21.14,21.24,20.64
2025-12-12 00:00:00,21.29,21.63,21.03
2025-12-12 04:00:00,21.25,21.41,21.07
2025-12-12 08:00:00,21.29,21.46,21.21
2025-12-12 12:00:00,21.16,21.32,21.15
2025-12-12 16:00:00,20.54,21.29,20.54
2025-12-12 20:00:00,20.31,20.52,20.0
2025-12-13 00:00:00,20.93,20.95,20.32
2025-12-13 04:00:00,20.96,20.99,20.66
2025-12-13 08:00:00,21.1,21.12,20.78
2025-12-13 12:00:00,21.09,21.12,20.94
2025-12-13 16:00:00,20.98,21.08,20.82
2025-12-13 20:00:00,21.04,21.04,20.83
2025-12-14 00:00:00,21.07,21.08,20.87
2025-12-14 04:00:00,20.81,21.07,20.81
2025-12-14 08:00:00,20.78,20.81,20.6
2025-12-14 12:00:00,20.69,20.9,20.61
2025-12-14 16:00:00,20.49,20.82,20.46
2025-12-14 20:00:00,20.33,20.56,20.28
2025-12-15 00:00:00,20.31,22.08,20.24
2025-12-15 04:00:00,20.55,20.69,20.19
2025-12-15 08:00:00,20.26,20.57,20.25
2025-12-15 12:00:00,20.24,20.34,20.21
2025-12-15 16:00:00,19.44,20.6,19.44
2025-12-15 20:00:00,19.52,19.58,18.94
2025-12-16 00:00:00,19.39,19.49,19.13
2025-12-16 04:00:00,19.87,19.99,19.32
2025-12-16 08:00:00,19.79,20.18,19.79
2025-12-16 12:00:00,19.97,20.1,19.72
2025-12-16 16:00:00,20.09,20.11,19.81
2025-12-16 20:00:00,20.09,20.3,20.0
2025-12-17 00:00:00,19.9,20.13,19.89
2025-12-17 04:00:00,19.95,19.96,19.8
2025-12-17 08:00:00,20.23,20.26,19.81
2025-12-17 12:00:00,20.0,20.18,19.88
2025-12-17 16:00:00,20.0,20.46,19.88
2025-12-17 20:00:00,19.13,20.05,18.89
2025-12-18 00:00:00,18.99,19.33,18.94
2025-12-18 04:00:00,18.8,19.01,18.73
2025-12-18 08:00:00,18.54,18.88,18.54
2025-12-18 12:00:00,18.65,18.74,18.49
2025-12-18 16:00:00,19.5,19.53,18.63
2025-12-18 20:00:00,17.79,19.49,17.79
2025-12-19 00:00:00,18.07,18.42,17.74
2025-12-19 04:00:00,18.67,18.67,17.9
2025-12-19 08:00:00,18.91,19.08,18.64
2025-12-19 12:00:00,19.12,19.13,18.83
2025-12-19 16:00:00,19.54,19.57,19.0
2025-12-19 20:00:00,19.96,19.96,19.26
2025-12-20 00:00:00,19.66,20.01,19.66
2025-12-20 04:00:00,19.47,19.69,19.36
2025-12-20 08:00:00,19.51,19.51,19.35
2025-12-20 12:00:00,19.41,19.59,19.33
2025-12-20 16:00:00,19.32,19.43,19.2
2025-12-20 20:00:00,19.29,19.41,19.29
2025-12-21 00:00:00,19.43,19.51,19.28
2025-12-21 04:00:00,19.18,19.43,19.05
2025-12-21 08:00:00,19.22,19.25,19.1
2025-12-21 12:00:00,19.12,19.32,19.12
2025-12-21 16:00:00,18.76,19.18,18.58
2025-12-21 20:00:00,18.83,18.94,18.68
2025-12-22 00:00:00,18.98,19.05,18.71
2025-12-22 04:00:00,19.04,19.22,18.91
2025-12-22 08:00:00,19.19,19.24,19.03
2025-12-22 12:00:00,19.33,19.34,19.18
2025-12-22 16:00:00,19.25,19.38,19.2
2025-12-22 20:00:00,19.01,19.36,19.01
2025-12-23 00:00:00,19.23,19.24,18.94
2025-12-23 04:00:00,19.18,19.33,19.14
2025-12-23 08:00:00,19.24,19.36,19.03
2025-12-23 12:00:00,19.23,19.28,19.09
2025-12-23 16:00:00,18.96,19.12,18.92
2025-12-23 20:00:00,19.43,19.56,19.0
2025-12-24 00:00:00,19.36,19.54,19.19
2025-12-24 04:00:00,19.24,19.38,19.08
2025-12-24 08:00:00,19.11,19.32,18.96
2025-12-24 12:00:00,19.09,19.12,18.93
2025-12-24 16:00:00,19.06,19.22,19.0
2025-12-24 20:00:00,19.42,19.44,19.05
2025-12-25 00:00:00,19.61,19.73,19.37
2025-12-25 04:00:00,20.01,20.15,19.56
2025-12-25 08:00:00,20.14,20.23,19.94
2025-12-25 12:00:00,19.86,20.26,19.84
2025-12-25 16:00:00,20.08,20.09,19.85
2025-12-25 20:00:00,20.06,20.17,19.95
2025-12-26 00:00:00,19.52,20.1,19.5
2025-12-26 04:00:00,20.01,20.14,19.51
2025-12-26 08:00:00,19.86,20.07,19.86
2025-12-26 12:00:00,20.21,20.21,19.84
2025-12-26 16:00:00,19.99,20.26,19.85
2025-12-26 20:00:00,20.43,20.54,19.9
2025-12-27 00:00:00,20.27,20.43,20.19
2025-12-27 04:00:00,20.52,20.57,20.28
2025-12-27 08:00:00,20.3,20.5,20.3
2025-12-27 12:00:00,20.6,20.6,20.21
2025-12-27 16:00:00,20.54,20.61,20.39
2025-12-27 20:00:00,20.41,20.54,20.41
2025-12-28 00:00:00,20.7,20.71,20.33
2025-12-28 04:00:00,20.65,20.71,20.55
2025-12-28 08:00:00,20.75,20.8,20.65
2025-12-28 12:00:00,20.53,20.76,20.5
2025-12-28 16:00:00,20.63,20.67,20.36
2025-12-28 20:00:00,20.27,20.65,20.24
2025-12-29 00:00:00,20.24,20.3,20.11
2025-12-29 04:00:00,20.75,20.75,20.22
2025-12-29 08:00:00,20.46,20.76,20.4
2025-12-29 12:00:00,20.05,20.48,20.04
2025-12-29 16:00:00,20.16,20.2,19.84
2025-12-29 20:00:00,20.24,20.25,20.08
2025-12-30 00:00:00,19.94,20.24,19.94
2025-12-30 04:00:00,20.03,20.06,19.92
2025-12-30 08:00:00,20.06,20.1,19.96
2025-12-30 12:00:00,20.38,20.4,20.05
2025-12-30 16:00:00,20.24,20.36,20.11
2025-12-30 20:00:00,20.13,20.24,20.03
2025-12-31 00:00:00,20.11,20.14,20.04
2025-12-31 04:00:00,20.24,20.32,20.07
2025-12-31 08:00:00,20.22,20.35,20.16
2025-12-31 12:00:00,20.27,20.33,20.17
2025-12-31 16:00:00,20.08,20.31,20.08
2025-12-31 20:00:00,19.88,20.07,19.47
2026-01-01 00:00:00,20.01,20.08,19.76
2026-01-01 04:00:00,20.17,20.19,20.01
2026-01-01 08:00:00,20.41,20.46,20.17
2026-01-01 12:00:00,21.57,21.62,20.44
2026-01-01 16:00:00,21.36,21.67,20.93
2026-01-01 20:00:00,21.16,21.4,21.09
2026-01-02 00:00:00,21.2,21.25,21.02
2026-01-02 04:00:00,21.3,21.37,21.08
2026-01-02 08:00:00,21.22,21.32,21.15
