,close,high,low
2025-12-04 12:00:00,0.02139238,0.02161246,0.02138973
2025-12-04 16:00:00,0.02146928,0.02151647,0.02130744
2025-12-04 20:00:00,0.02141064,0.02160707,0.02129057
2025-12-05 00:00:00,0.02132968,0.02148519,0.02126726
2025-12-05 04:00:00,0.0212685,0.02143635,0.0212289
2025-12-05 08:00:00,0.02130247,0.02134492,0.02114726
2025-12-05 12:00:00,0.02116114,0.02158057,0.02116114
2025-12-05 16:00:00,0.02132095,0.02155562,0.02112763
2025-12-05 20:00:00,0.02097342,0.02133499,0.0207642
2025-12-06 00:00:00,0.02071258,0.02108129,0.02071258
2025-12-06 04:00:00,0.02073521,0.02082864,0.02051403
2025-12-06 08:00:00,0.02084755,0.02195446,0.02066575
2025-12-06 12:00:00,0.02097423,0.02105654,0.02063742
2025-12-06 16:00:00,0.02116206,0.02117591,0.02090426
2025-12-06 20:00:00,0.02118319,0.02136757,0.02113801
2025-12-07 00:00:00,0.02121122,0.02147435,0.02118608
2025-12-07 04:00:00,0.02105774,0.02119598,0.02079561
2025-12-07 08:00:00,0.0211322,0.02121604,0.02101743
2025-12-07 12:00:00,0.02098847,0.02108871,0.02091622
2025-12-07 16:00:00,0.02085939,0.02125109,0.02063369
2025-12-07 20:00:00,0.0214658,0.02150955,0.02095634
2025-12-08 00:00:00,0.02130014,0.02150477,0.02119244
2025-12-08 04:00:00,0.02122307,0.02130207,0.02089931
2025-12-08 08:00:00,0.02145999,0.02147736,0.02120047
2025-12-08 12:00:00,0.02148907,0.02158467,0.02140066
2025-12-08 16:00:00,0.02145907,0.02167039,0.02139699
2025-12-08 20:00:00,0.02140217,0.02173418,0.02139894
2025-12-09 00:00:00,0.02133516,0.02146763,0.02117847
2025-12-09 04:00:00,0.0211762,0.02135348,0.02107705
2025-12-09 08:00:00,0.02134022,0.02134022,0.02105726
2025-12-09 12:00:00,0.02139514,0.02144739,0.02117565
2025-12-09 16:00:00,0.02176165,0.02176165,0.02128796
2025-12-09 20:00:00,0.02191258,0.02197942,0.02167704
2025-12-10 00:00:00,0.02188399,0.02195771,0.02176602
2025-12-10 04:00:00,0.02161419,0.0218439,0.02151354
2025-12-10 08:00:00,0.02142879,0.02171094,0.02142879
2025-12-10 12:00:00,0.02154538,0.02167432,0.02144708
2025-12-10 16:00:00,0.02156365,0.02166318,0.02142758
2025-12-10 20:00:00,0.02175328,0.02186107,0.02155457
2025-12-11 00:00:00,0.0215624,0.02202711,0.02141868
2025-12-11 04:00:00,0.02087831,0.02160179,0.02082965
2025-12-11 08:00:00,0.02099032,0.0211105,0.02086559
2025-12-11 12:00:00,0.02099955,0.02109044,0.02088259
2025-12-11 16:00:00,0.02093165,0.02111279,0.0208435
2025-12-11 20:00:00,0.02098283,0.02107529,0.02076481
2025-12-12 00:00:00,0.02120737,0.02129641,0.02085197
2025-12-12 04:00:00,0.02111665,0.02122672,0.02105562
2025-12-12 08:00:00,0.02111976,0.02123007,0.02102981
2025-12-12 12:00:00,0.02120142,0.02126774,0.02108416
2025-12-12 16:00:00,0.02093681,0.02132399,0.02093681
2025-12-12 20:00:00,0.02069256,0.02089866,0.02057585
2025-12-13 00:00:00,0.02081941,0.02083279,0.0206276
2025-12-13 04:00:00,0.02101882,0.02101882,0.02081275
2025-12-13 08:00:00,0.02114096,0.02115396,0.02097115
2025-12-13 12:00:00,0.02111814,0.0212136,0.02105748
2025-12-13 16:00:00,0.02109084,0.02119916,0.02104271
2025-12-13 20:00:00,0.02111254,0.02111872,0.02108573
2025-12-14 00:00:00,0.02123538,0.02123538,0.02097104
2025-12-14 04:00:00,0.02109907,0.02117989,0.02099508
2025-12-14 08:00:00,0.02096393,0.021357,0.02095475
2025-12-14 12:00:00,0.02083242,0.02107139,0.0207621
2025-12-14 16:00:00,0.0207368,0.02096319,0.02070507
2025-12-14 20:00:00,0.02061144,0.02086072,0.02059558
2025-12-15 00:00:00,0.02046619,0.02069153,0.02039339
2025-12-15 04:00:00,0.0205322,0.0205773,0.02029243
2025-12-15 08:00:00,0.02046341,0.0206494,0.02046341
2025-12-15 12:00:00,0.02048978,0.02058601,0.02036559
2025-12-15 16:00:00,0.01996,0.02053411,0.01983202
2025-12-15 20:00:00,0.01981829,0.01996683,0.01962464
2025-12-16 00:00:00,0.01981613,0.01986646,0.01969507
2025-12-16 04:00:00,0.01925023,0.01980278,0.01924637
2025-12-16 08:00:00,0.01913203,0.01935821,0.01912059
2025-12-16 12:00:00,0.01960441,0.01960441,0.01918339
2025-12-16 16:00:00,0.01948361,0.01971043,0.01924601
