,close,high,low
2025-12-26 20:00:00,1.72,1.73,1.72
2025-12-27 00:00:00,1.71,1.73,1.71
2025-12-27 04:00:00,1.72,1.73,1.71
2025-12-27 08:00:00,1.73,1.73,1.72
2025-12-27 12:00:00,1.74,1.79,1.72
2025-12-27 16:00:00,1.72,1.75,1.72
2025-12-27 20:00:00,1.73,1.74,1.72
2025-12-28 00:00:00,1.73,1.73,1.72
2025-12-28 04:00:00,1.74,1.74,1.73
2025-12-28 08:00:00,1.92,1.99,1.74
2025-12-28 12:00:00,1.93,2.05,1.87
2025-12-28 16:00:00,1.86,1.96,1.86
2025-12-28 20:00:00,1.76,1.87,1.75
2025-12-29 00:00:00,1.78,1.82,1.75
2025-12-29 04:00:00,1.87,1.88,1.78
2025-12-29 08:00:00,1.83,1.94,1.82
2025-12-29 12:00:00,1.85,1.87,1.83
2025-12-29 16:00:00,1.83,1.86,1.82
2025-12-29 20:00:00,1.81,1.84,1.81
2025-12-30 00:00:00,1.83,1.85,1.8
2025-12-30 04:00:00,1.88,1.91,1.86
2025-12-30 08:00:00,1.9,1.92,1.86
2025-12-30 12:00:00,1.89,1.91,1.86
2025-12-30 16:00:00,1.87,1.89,1.86
2025-12-30 20:00:00,1.85,1.88,1.85
2025-12-31 00:00:00,1.89,1.99,1.85
2025-12-31 04:00:00,2.06,2.08,1.9
2025-12-31 08:00:00,1.96,2.0,1.96
2025-12-31 12:00:00,1.89,1.97,1.86
2025-12-31 16:00:00,1.97,1.98,1.9
2025-12-31 20:00:00,1.97,2.02,1.96
2026-01-01 00:00:00,2.09,2.1,1.98
2026-01-01 04:00:00,2.2,2.2,2.08
2026-01-01 08:00:00,2.38,2.4,2.17
2026-01-01 12:00:00,2.3,2.39,2.15
2026-01-01 16:00:00,2.5,2.53,2.32
2026-01-01 20:00:00,2.53,2.55,2.44
2026-01-02 00:00:00,2.53,2.57,2.52
2026-01-02 04:00:00,2.47,2.56,2.47
2026-01-02 08:00:00,2.61,2.62,2.43
2026-01-02 12:00:00,2.63,2.67,2.59
2026-01-02 16:00:00,2.73,2.78,2.61
2026-01-02 20:00:00,2.75,2.78,2.67
2026-01-03 00:00:00,2.7,2.8,2.68
2026-01-03 04:00:00,2.67,2.8,2.63
2026-01-03 08:00:00,2.76,2.79,2.62
2026-01-03 12:00:00,2.78,2.78,2.72
2026-01-03 16:00:00,2.79,2.79,2.76
2026-01-03 20:00:00,2.87,2.88,2.78
2026-01-04 00:00:00,2.87,2.88,2.86
2026-01-04 04:00:00,2.94,2.94,2.87
2026-01-04 08:00:00,2.96,2.98,2.78
2026-01-04 12:00:00,2.96,2.98,2.92
