,close,high,low
2025-12-04 12:00:00,5311.27,5336.15,5214.41
2025-12-04 16:00:00,5164.47,5326.17,5140.38
2025-12-04 20:00:00,5154.5,5291.19,5152.23
2025-12-05 00:00:00,5352.41,5402.14,5136.59
2025-12-05 04:00:00,5237.33,5351.83,5202.93
2025-12-05 08:00:00,5287.53,5367.12,5250.22
2025-12-05 12:00:00,5240.21,5293.21,5225.83
2025-12-05 16:00:00,5226.45,5322.87,5221.49
2025-12-05 20:00:00,5067.74,5254.25,5034.1
2025-12-06 00:00:00,5204.38,5243.88,5061.73
2025-12-06 04:00:00,5171.61,5217.95,5167.63
2025-12-06 08:00:00,5253.41,5269.4,5171.51
2025-12-06 12:00:00,5202.05,5257.6,5185.76
2025-12-06 16:00:00,5133.17,5210.51,5118.63
2025-12-06 20:00:00,5095.19,5159.11,5060.19
2025-12-07 00:00:00,5126.53,5155.62,5089.75
2025-12-07 04:00:00,5212.67,5230.73,5123.72
2025-12-07 08:00:00,5142.63,5211.94,5086.07
2025-12-07 12:00:00,5133.71,5138.04,5114.02
2025-12-07 16:00:00,5100.82,5149.24,5100.82
2025-12-07 20:00:00,5376.26,5382.82,5103.37
2025-12-08 00:00:00,5543.79,5545.63,5335.06
2025-12-08 04:00:00,5421.89,5694.53,5357.98
2025-12-08 08:00:00,5456.04,5650.07,5418.51
2025-12-08 12:00:00,5417.02,5474.28,5394.86
2025-12-08 16:00:00,5457.59,5473.08,5406.6
2025-12-08 20:00:00,5735.11,5763.03,5466.99
2025-12-09 00:00:00,5706.67,5739.76,5675.02
2025-12-09 04:00:00,5709.51,5740.12,5618.21
2025-12-09 08:00:00,5773.69,5773.69,5704.04
2025-12-09 12:00:00,5823.06,5834.43,5740.79
2025-12-09 16:00:00,5984.04,6033.36,5822.31
2025-12-09 20:00:00,6184.18,6186.14,5969.98
2025-12-10 00:00:00,6107.83,6248.69,6107.83
2025-12-10 04:00:00,6357.91,6372.67,6050.4
2025-12-10 08:00:00,6239.26,6430.49,6213.98
2025-12-10 12:00:00,6396.06,6425.65,6225.93
2025-12-10 16:00:00,6390.13,6416.47,6352.2
2025-12-10 20:00:00,6484.04,6484.04,6353.85
2025-12-11 00:00:00,6479.69,6494.05,6447.69
2025-12-11 04:00:00,6457.25,6489.96,6451.27
2025-12-11 08:00:00,6422.3,6465.45,6267.21
2025-12-11 12:00:00,6371.07,6459.78,6367.97
2025-12-11 16:00:00,6567.94,6586.11,6372.42
2025-12-11 20:00:00,6595.2,6723.24,6571.0
2025-12-12 00:00:00,6617.29,6681.06,6585.7
2025-12-12 04:00:00,6647.01,6710.98,6584.63
2025-12-12 08:00:00,6679.16,6691.57,6632.96
2025-12-12 12:00:00,6762.45,6767.87,6656.75
2025-12-12 16:00:00,6755.88,6787.15,6707.97
2025-12-12 20:00:00,6804.69,6825.47,6750.95
2025-12-13 00:00:00,6793.76,6807.2,6771.84
2025-12-13 04:00:00,6782.21,6793.25,6765.08
2025-12-13 08:00:00,6771.82,6789.61,6765.76
2025-12-13 12:00:00,6799.32,6828.05,6772.64
2025-12-13 16:00:00,6708.89,6805.77,6708.89
2025-12-13 20:00:00,5668.58,6653.78,5668.58
2025-12-14 00:00:00,6085.32,6326.35,5969.23
2025-12-14 04:00:00,5795.24,6264.56,5795.24
2025-12-14 08:00:00,5956.73,6032.16,5635.08
2025-12-14 12:00:00,6027.65,6168.85,5786.03
2025-12-14 16:00:00,6316.3,6353.16,6028.24
2025-12-14 20:00:00,6054.25,6316.2,5891.19
2025-12-15 00:00:00,6085.46,6085.76,5976.74
2025-12-15 04:00:00,6113.73,6114.93,6073.45
2025-12-15 08:00:00,6005.97,6115.39,5984.36
2025-12-15 12:00:00,6100.49,6130.25,6005.54
2025-12-15 16:00:00,5915.43,6091.76,5886.56
2025-12-15 20:00:00,5715.08,6024.09,5715.08
2025-12-16 00:00:00,5657.84,5845.3,5650.33
2025-12-16 04:00:00,5717.12,5782.02,5646.49
2025-12-16 08:00:00,5642.41,5761.66,5588.63
2025-12-16 12:00:00,5480.01,5690.5,5455.9
2025-12-16 16:00:00,5175.75,5507.47,5138.66
2025-12-16 20:00:00,5503.8,5669.18,5243.76
2025-12-17 00:00:00,5661.11,5668.94,5517.36
2025-12-17 04:00:00,5490.15,5666.67,5412.79
2025-12-17 08:00:00,5431.64,5487.92,5344.48
2025-12-17 12:00:00,5428.0,5506.18,5369.14
2025-12-17 16:00:00,5234.23,5414.13,5177.59
2025-12-17 20:00:00,4887.14,5229.08,4884.48
2025-12-18 00:00:00,4943.75,5097.16,4905.75
2025-12-18 04:00:00,4991.81,4991.81,4922.06
2025-12-18 08:00:00,4961.26,5084.06,4959.99
2025-12-18 12:00:00,5052.96,5088.28,4952.83
2025-12-18 16:00:00,5106.7,5132.56,5034.37
2025-12-18 20:00:00,4955.09,5213.42,4955.09
2025-12-19 00:00:00,4916.66,4916.66,4798.9
