,close,high,low
2025-12-04 12:00:00,0.999898,1.001,0.997997
2025-12-04 16:00:00,0.999845,1.003,0.997224
2025-12-04 20:00:00,1.0,1.003,0.981683
2025-12-05 00:00:00,0.999435,1.002,0.998792
2025-12-05 04:00:00,1.0,1.002,0.999116
2025-12-05 08:00:00,0.999796,1.003,0.998894
2025-12-05 12:00:00,1.001,1.002,0.997952
2025-12-05 16:00:00,0.998439,1.003,0.996402
2025-12-05 20:00:00,1.0,1.003,0.996247
2025-12-06 00:00:00,0.99962,1.001,0.998022
2025-12-06 04:00:00,1.0,1.001,0.998548
2025-12-06 08:00:00,0.999844,1.001,0.998359
2025-12-06 12:00:00,0.999643,1.001,0.999181
2025-12-06 16:00:00,0.999392,1.001,0.996514
2025-12-06 20:00:00,0.999037,1.001,0.998957
2025-12-07 00:00:00,1.0,1.002,0.998514
2025-12-07 04:00:00,1.0,1.001,0.998579
2025-12-07 08:00:00,0.998772,1.001,0.998193
2025-12-07 12:00:00,0.999785,1.001,0.998115
2025-12-07 16:00:00,1.003,1.009,0.997282
2025-12-07 20:00:00,1.0,1.006,0.996386
2025-12-08 00:00:00,1.001,1.003,0.99565
2025-12-08 04:00:00,0.999624,1.005,0.998108
2025-12-08 08:00:00,0.999148,1.003,0.998853
2025-12-08 12:00:00,1.0,1.002,0.997789
2025-12-08 16:00:00,0.998547,1.004,0.995396
2025-12-08 20:00:00,0.999731,1.002,0.995831
2025-12-09 00:00:00,0.999269,1.002,0.998623
2025-12-09 04:00:00,1.0,1.002,0.997878
2025-12-09 08:00:00,1.001,1.001,0.996602
2025-12-09 12:00:00,1.003,1.003,0.998687
2025-12-09 16:00:00,1.004,1.005,0.997268
2025-12-09 20:00:00,1.001,1.007,0.997269
2025-12-10 00:00:00,1.0,1.003,0.996919
2025-12-10 04:00:00,0.99976,1.001,0.997563
2025-12-10 08:00:00,0.99963,1.001,0.998582
2025-12-10 12:00:00,1.0,1.003,0.996985
2025-12-10 16:00:00,1.0,1.004,0.997751
2025-12-10 20:00:00,1.002,1.006,0.992674
2025-12-11 00:00:00,0.999656,1.005,0.996815
2025-12-11 04:00:00,1.0,1.002,0.995839
2025-12-11 08:00:00,0.999192,1.001,0.998183
2025-12-11 12:00:00,0.999491,1.002,0.996516
2025-12-11 16:00:00,1.0,1.003,0.997439
2025-12-11 20:00:00,0.999371,1.001,0.998365
2025-12-12 00:00:00,0.998762,1.003,0.998435
2025-12-12 04:00:00,1.0,1.002,0.997813
2025-12-12 08:00:00,0.999354,1.001,0.998452
2025-12-12 12:00:00,0.999709,1.001,0.998857
2025-12-12 16:00:00,0.999166,1.001,0.98988
2025-12-12 20:00:00,1.001,1.002,0.994747
2025-12-13 00:00:00,0.998704,1.002,0.998267
2025-12-13 04:00:00,0.999979,1.001,0.998469
2025-12-13 08:00:00,1.0,1.001,0.998891
2025-12-13 12:00:00,0.999059,1.001,0.998366
2025-12-13 16:00:00,0.998607,1.001,0.99831
2025-12-13 20:00:00,1.001,1.001,0.998088
2025-12-14 00:00:00,0.999641,1.001,0.998194
2025-12-14 04:00:00,0.999763,1.003,0.998318
2025-12-14 08:00:00,1.0,1.001,0.998426
2025-12-14 12:00:00,0.998844,1.001,0.996073
2025-12-14 16:00:00,1.0,1.003,0.995234
2025-12-14 20:00:00,0.999291,1.001,0.997794
2025-12-15 00:00:00,1.002,1.004,0.994252
2025-12-15 04:00:00,0.999624,1.008,0.996576
2025-12-15 08:00:00,0.999852,1.003,0.997916
2025-12-15 12:00:00,0.998485,1.005,0.997934
2025-12-15 16:00:00,1.001,1.001,0.975015
2025-12-15 20:00:00,1.001,1.003,0.992874
2025-12-16 00:00:00,0.999999,1.003,0.997346
2025-12-16 04:00:00,1.002,1.002,0.996133
2025-12-16 08:00:00,0.997394,1.003,0.992835
2025-12-16 12:00:00,1.001,1.003,0.997447
2025-12-16 16:00:00,1.005,1.005,0.988257
2025-12-16 20:00:00,1.0,1.003,0.996828
2025-12-17 00:00:00,1.002,1.002,0.998562
2025-12-17 04:00:00,1.0,1.001,0.997866
2025-12-17 08:00:00,0.999484,1.002,0.999049
2025-12-17 12:00:00,1.001,1.001,0.998876
2025-12-17 16:00:00,0.987084,1.02,0.987084
2025-12-17 20:00:00,0.999609,1.002,0.993533
2025-12-18 00:00:00,0.999532,1.003,0.998153
2025-12-18 04:00:00,0.999632,1.002,0.998263
2025-12-18 08:00:00,0.999151,1.002,0.99858
2025-12-18 12:00:00,0.999987,1.002,0.998344
2025-12-18 16:00:00,0.998899,1.006,0.995841
2025-12-18 20:00:00,0.999603,1.004,0.987212
2025-12-19 00:00:00,1.0,1.006,0.997215
2025-12-19 04:00:00,1.001,1.008,0.998001
2025-12-19 08:00:00,1.0,1.004,0.997125
2025-12-19 12:00:00,0.999404,1.002,0.998083
2025-12-19 16:00:00,0.999607,1.002,0.997752
2025-12-19 20:00:00,0.99866,1.003,0.996598
2025-12-20 00:00:00,0.998855,1.001,0.997855
2025-12-20 04:00:00,0.999875,1.001,0.998836
2025-12-20 08:00:00,1.0,1.001,0.998751
2025-12-20 12:00:00,1.0,1.002,0.998396
2025-12-20 16:00:00,1.0,1.001,0.997895
2025-12-20 20:00:00,0.999883,1.001,0.998204
2025-12-21 00:00:00,1.001,1.001,0.999052
2025-12-21 04:00:00,1.0,1.001,0.998359
2025-12-21 08:00:00,0.999908,1.001,0.999226
2025-12-21 12:00:00,0.99992,1.001,0.998974
2025-12-21 16:00:00,1.002,1.002,0.997254
2025-12-21 20:00:00,1.0,1.003,0.99754
2025-12-22 00:00:00,1.0,1.001,0.998403
2025-12-22 04:00:00,0.999881,1.006,0.996257
2025-12-22 08:00:00,1.0,1.002,0.998362
2025-12-22 12:00:00,1.002,1.002,0.998406
2025-12-22 16:00:00,1.002,1.003,0.997618
2025-12-22 20:00:00,0.999043,1.002,0.996416
2025-12-23 00:00:00,0.999751,1.001,0.998568
2025-12-23 04:00:00,1.001,1.002,0.997376
2025-12-23 08:00:00,1.001,1.001,0.996382
2025-12-23 12:00:00,1.0,1.002,0.997544
2025-12-23 16:00:00,1.0,1.002,0.99359
2025-12-23 20:00:00,0.999802,1.006,0.996755
2025-12-24 00:00:00,1.001,1.005,0.996181
2025-12-24 04:00:00,0.99996,1.002,0.996908
2025-12-24 08:00:00,1.0,1.002,0.997079
2025-12-24 12:00:00,0.99955,1.002,0.997165
2025-12-24 16:00:00,0.999693,1.001,0.997378
2025-12-24 20:00:00,0.999826,1.001,0.998105
2025-12-25 00:00:00,1.0,1.001,0.998895
2025-12-25 04:00:00,1.0,1.0,0.997816
2025-12-25 08:00:00,0.999692,1.0,0.998304
2025-12-25 12:00:00,0.998877,1.0,0.998296
2025-12-25 16:00:00,0.999785,1.001,0.998721
2025-12-25 20:00:00,1.0,1.002,0.998354
2025-12-26 00:00:00,1.0,1.001,0.997611
2025-12-26 04:00:00,1.0,1.005,0.998876
2025-12-26 08:00:00,0.999637,1.001,0.997501
2025-12-26 12:00:00,0.998899,1.001,0.99875
2025-12-26 16:00:00,0.999712,1.002,0.998719
2025-12-26 20:00:00,0.999815,1.001,0.997657
2025-12-27 00:00:00,1.001,1.001,0.998774
2025-12-27 04:00:00,0.998753,1.001,0.99864
2025-12-27 08:00:00,1.001,1.002,0.996854
2025-12-27 12:00:00,1.0,1.001,0.999202
2025-12-27 16:00:00,0.999827,1.001,0.998922
2025-12-27 20:00:00,0.999662,1.001,0.99854
2025-12-28 00:00:00,0.999575,1.003,0.997903
2025-12-28 04:00:00,0.999861,1.001,0.998862
2025-12-28 08:00:00,0.999059,1.001,0.99818
2025-12-28 12:00:00,0.999888,1.002,0.998955
2025-12-28 16:00:00,0.999474,1.002,0.998542
2025-12-28 20:00:00,0.999466,1.001,0.998118
2025-12-29 00:00:00,0.999575,1.001,0.998101
2025-12-29 04:00:00,1.001,1.005,0.997872
2025-12-29 08:00:00,0.998993,1.002,0.996419
2025-12-29 12:00:00,0.999409,1.002,0.996866
2025-12-29 16:00:00,1.001,1.001,0.997013
2025-12-29 20:00:00,1.0,1.001,0.998347
2025-12-30 00:00:00,0.999919,1.001,0.998594
2025-12-30 04:00:00,1.0,1.001,0.997788
2025-12-30 08:00:00,0.999826,1.001,0.998858
2025-12-30 12:00:00,0.998927,1.003,0.998451
2025-12-30 16:00:00,0.999535,1.004,0.997473
2025-12-30 20:00:00,1.0,1.002,0.997499
2025-12-31 00:00:00,0.99951,1.003,0.998264
2025-12-31 04:00:00,0.998979,1.001,0.997966
2025-12-31 08:00:00,0.99965,1.0,0.998253
2025-12-31 12:00:00,0.999966,1.001,0.998515
