,close,high,low
2025-12-04 16:00:00,3223.86,3224.16,3143.12
2025-12-04 20:00:00,3126.34,3223.88,3090.82
2025-12-05 00:00:00,3148.04,3151.21,3122.93
2025-12-05 04:00:00,3170.71,3191.21,3147.75
2025-12-05 08:00:00,3181.26,3181.58,3153.75
2025-12-05 12:00:00,3136.35,3181.57,3109.92
2025-12-05 16:00:00,3112.58,3154.71,3089.52
2025-12-05 20:00:00,3035.06,3101.01,2990.57
2025-12-06 00:00:00,3009.8,3047.84,3009.79
2025-12-06 04:00:00,3044.03,3044.06,3009.78
2025-12-06 08:00:00,3044.06,3044.06,3043.74
2025-12-06 12:00:00,3040.47,3044.06,3014.94
2025-12-06 16:00:00,3047.63,3065.0,3029.18
2025-12-06 20:00:00,3027.07,3065.7,3027.07
2025-12-07 00:00:00,3031.93,3051.61,3027.07
2025-12-07 04:00:00,3055.37,3055.67,3031.79
2025-12-07 08:00:00,3032.2,3060.85,3032.2
2025-12-07 12:00:00,3043.32,3043.62,3024.49
2025-12-07 16:00:00,2982.58,3052.29,2931.07
2025-12-07 20:00:00,3123.71,3148.9,3003.57
2025-12-08 00:00:00,3051.88,3143.24,3023.5
2025-12-08 04:00:00,3118.02,3129.75,3042.88
2025-12-08 08:00:00,3138.69,3138.69,3117.97
2025-12-08 12:00:00,3141.05,3179.47,3138.65
2025-12-08 16:00:00,3093.06,3174.43,3093.06
2025-12-08 20:00:00,3124.49,3130.94,3082.23
2025-12-09 00:00:00,3115.61,3149.23,3115.29
2025-12-09 04:00:00,3122.78,3140.81,3093.05
2025-12-09 08:00:00,3125.54,3129.17,3097.31
2025-12-09 12:00:00,3097.21,3127.46,3097.2
2025-12-09 16:00:00,3223.12,3223.12,3102.14
2025-12-09 20:00:00,3349.63,3388.98,3245.73
2025-12-10 00:00:00,3318.18,3349.63,3289.54
2025-12-10 04:00:00,3312.32,3318.5,3289.53
2025-12-10 08:00:00,3312.76,3331.43,3312.0
2025-12-10 12:00:00,3299.37,3361.01,3299.37
2025-12-10 16:00:00,3309.18,3336.34,3299.38
2025-12-10 20:00:00,3383.55,3420.26,3309.5
2025-12-11 00:00:00,3325.7,3426.8,3321.74
2025-12-11 04:00:00,3191.89,3324.59,3173.06
2025-12-11 08:00:00,3213.63,3213.63,3191.89
2025-12-11 12:00:00,3189.26,3213.63,3184.5
2025-12-11 16:00:00,3165.76,3207.18,3150.58
2025-12-11 20:00:00,3202.7,3232.16,3159.87
2025-12-12 00:00:00,3228.07,3270.47,3195.04
2025-12-12 04:00:00,3241.11,3262.75,3190.47
2025-12-12 08:00:00,3262.95,3262.97,3234.65
2025-12-12 12:00:00,3229.72,3262.96,3229.72
2025-12-12 16:00:00,3091.27,3250.09,3091.27
2025-12-12 20:00:00,3064.18,3098.19,3047.66
2025-12-13 00:00:00,3095.01,3095.28,3064.17
2025-12-13 04:00:00,3095.0,3095.3,3094.68
2025-12-13 08:00:00,3095.28,3095.28,3094.67
2025-12-13 12:00:00,3117.22,3135.69,3095.05
2025-12-13 16:00:00,3121.51,3121.51,3099.29
2025-12-13 20:00:00,3096.82,3121.51,3096.81
2025-12-14 00:00:00,3119.18,3119.52,3084.05
2025-12-14 04:00:00,3126.81,3127.11,3119.15
2025-12-14 08:00:00,3106.22,3127.1,3106.18
2025-12-14 12:00:00,3082.37,3106.49,3075.23
2025-12-14 16:00:00,3074.93,3105.71,3074.56
2025-12-14 20:00:00,3102.19,3104.66,3074.93
2025-12-15 00:00:00,3066.67,3102.2,3058.54
2025-12-15 04:00:00,3111.79,3146.6,3058.79
2025-12-15 08:00:00,3123.79,3143.07,3105.98
2025-12-15 12:00:00,3147.62,3171.61,3123.6
2025-12-15 16:00:00,3005.55,3147.94,2991.95
2025-12-15 20:00:00,2939.08,2997.96,2910.79
2025-12-16 00:00:00,2968.04,2968.04,2921.71
2025-12-16 04:00:00,2927.49,2975.64,2927.49
2025-12-16 08:00:00,2919.42,2947.11,2911.97
2025-12-16 12:00:00,2960.55,2961.44,2919.42
2025-12-16 16:00:00,2938.31,2961.82,2898.49
2025-12-16 20:00:00,2954.49,2969.97,2916.95
2025-12-17 00:00:00,2963.18,2963.18,2942.18
2025-12-17 04:00:00,2962.48,2972.86,2942.98
2025-12-17 08:00:00,2952.05,2962.48,2919.97
2025-12-17 12:00:00,2930.45,2952.05,2912.37
2025-12-17 16:00:00,2939.43,3024.47,2916.78
2025-12-17 20:00:00,2818.33,2934.92,2799.57
2025-12-18 00:00:00,2834.27,2834.56,2814.55
2025-12-18 04:00:00,2824.82,2845.68,2824.53
2025-12-18 08:00:00,2824.55,2824.82,2824.25
2025-12-18 12:00:00,2859.83,2859.83,2824.25
2025-12-18 16:00:00,2965.21,2990.34,2859.52
2025-12-18 20:00:00,2778.8,2959.0,2778.8
2025-12-19 00:00:00,2833.71,2833.72,2778.83
2025-12-19 04:00:00,2920.25,2920.25,2811.83
2025-12-19 08:00:00,2947.26,2975.96,2902.21
2025-12-19 12:00:00,2968.38,2968.38,2937.86
2025-12-19 16:00:00,2958.97,3007.06,2945.43
2025-12-19 20:00:00,2993.18,3003.41,2939.23
2025-12-20 00:00:00,2973.34,2999.42,2973.3
2025-12-20 04:00:00,2991.65,2991.67,2970.84
2025-12-20 08:00:00,2991.94,2991.95,2991.64
2025-12-20 12:00:00,2974.51,2991.94,2974.24
2025-12-20 16:00:00,2968.45,2974.79,2968.42
2025-12-20 20:00:00,2968.74,2968.74,2968.42
2025-12-21 00:00:00,2968.74,2969.02,2968.42
2025-12-21 04:00:00,2979.39,2979.39,2961.85
2025-12-21 08:00:00,2980.28,2980.28,2979.06
2025-12-21 12:00:00,3007.62,3007.63,2981.0
2025-12-21 16:00:00,2975.63,3007.63,2945.69
2025-12-21 20:00:00,2993.47,2993.75,2967.73
2025-12-22 00:00:00,3008.35,3008.63,2971.18
2025-12-22 04:00:00,3030.32,3046.75,2995.87
2025-12-22 08:00:00,3039.5,3039.53,3030.32
2025-12-22 12:00:00,3050.22,3050.96,3024.96
2025-12-22 16:00:00,3041.9,3067.53,3023.63
2025-12-22 20:00:00,2983.53,3054.1,2983.53
2025-12-23 00:00:00,3011.43,3011.73,2967.38
2025-12-23 04:00:00,2995.89,3030.6,2974.67
2025-12-23 08:00:00,2965.47,2995.9,2947.09
2025-12-23 12:00:00,2971.45,2971.45,2950.63
2025-12-23 16:00:00,2928.85,2971.79,2903.76
2025-12-23 20:00:00,2931.14,2962.48,2909.47
2025-12-24 00:00:00,2969.6,2983.44,2930.87
2025-12-24 04:00:00,2942.79,2974.35,2920.59
2025-12-24 08:00:00,2939.84,2954.27,2917.21
2025-12-24 12:00:00,2934.1,2940.13,2915.86
2025-12-24 16:00:00,2925.33,2935.53,2902.91
2025-12-24 20:00:00,2930.99,2949.51,2925.33
2025-12-25 00:00:00,2959.41,2959.41,2930.72
2025-12-25 04:00:00,2936.1,2959.41,2934.1
2025-12-25 08:00:00,2935.96,2936.21,2935.62
2025-12-25 12:00:00,2911.07,2935.96,2911.07
2025-12-25 16:00:00,2964.88,2964.9,2911.07
2025-12-25 20:00:00,2961.68,2965.14,2943.87
2025-12-26 00:00:00,2891.47,2961.68,2891.41
2025-12-26 04:00:00,2956.64,2988.88,2891.13
2025-12-26 08:00:00,2956.22,2986.88,2950.46
2025-12-26 12:00:00,2973.56,2973.88,2950.34
2025-12-26 16:00:00,2923.99,2983.17,2899.3
2025-12-26 20:00:00,2931.71,2932.02,2905.5
2025-12-27 00:00:00,2917.78,2934.78,2917.34
2025-12-27 04:00:00,2917.64,2918.14,2917.54
