,close,high,low
2025-12-04 12:00:00,0.054981,0.055003,0.054921
2025-12-04 16:00:00,0.054925,0.05498,0.054832
2025-12-04 20:00:00,0.054759,0.054982,0.054687
2025-12-05 00:00:00,0.054636,0.055074,0.054636
2025-12-05 04:00:00,0.054848,0.054864,0.054606
2025-12-05 08:00:00,0.055004,0.055039,0.054884
2025-12-05 12:00:00,0.054673,0.05506,0.054673
2025-12-05 16:00:00,0.054539,0.05474,0.054493
2025-12-05 20:00:00,0.054337,0.054518,0.054175
2025-12-06 00:00:00,0.054354,0.054514,0.054321
2025-12-06 04:00:00,0.054279,0.054448,0.054279
2025-12-06 08:00:00,0.054525,0.054544,0.054195
2025-12-06 12:00:00,0.054307,0.05453,0.054281
2025-12-06 16:00:00,0.053957,0.054391,0.053957
2025-12-06 20:00:00,0.051983,0.054018,0.051983
2025-12-07 00:00:00,0.051393,0.052238,0.051042
2025-12-07 04:00:00,0.050635,0.051392,0.050585
2025-12-07 08:00:00,0.050199,0.050644,0.050145
2025-12-07 12:00:00,0.051294,0.051433,0.04997283
2025-12-07 16:00:00,0.051202,0.051384,0.051158
2025-12-07 20:00:00,0.051709,0.052715,0.051226
2025-12-08 00:00:00,0.051602,0.05177,0.051589
2025-12-08 04:00:00,0.051657,0.051678,0.051577
2025-12-08 08:00:00,0.051597,0.05165,0.051582
2025-12-08 12:00:00,0.051328,0.05182,0.051259
2025-12-08 16:00:00,0.051472,0.051574,0.051445
2025-12-08 20:00:00,0.051491,0.051548,0.051455
2025-12-09 00:00:00,0.051492,0.051513,0.051461
2025-12-09 04:00:00,0.051471,0.051533,0.051462
2025-12-09 08:00:00,0.051455,0.051514,0.051394
2025-12-09 12:00:00,0.051438,0.051479,0.051401
2025-12-09 16:00:00,0.051262,0.05137,0.05116
2025-12-09 20:00:00,0.051436,0.051616,0.05126
2025-12-10 00:00:00,0.051179,0.051525,0.051107
2025-12-10 04:00:00,0.050555,0.05118,0.05052
2025-12-10 08:00:00,0.050505,0.050592,0.050468
2025-12-10 12:00:00,0.050506,0.050574,0.05049
2025-12-10 16:00:00,0.050498,0.050557,0.050476
2025-12-10 20:00:00,0.050579,0.050696,0.050481
2025-12-11 00:00:00,0.050564,0.050702,0.050548
2025-12-11 04:00:00,0.05056,0.050608,0.050545
2025-12-11 08:00:00,0.050471,0.050597,0.050468
2025-12-11 12:00:00,0.050534,0.050548,0.050456
2025-12-11 16:00:00,0.050509,0.050532,0.050468
2025-12-11 20:00:00,0.050394,0.050546,0.050264
2025-12-12 00:00:00,0.050225,0.050391,0.05021
2025-12-12 04:00:00,0.050112,0.050252,0.050077
2025-12-12 08:00:00,0.04970841,0.050123,0.04965248
2025-12-12 12:00:00,0.04974106,0.04977872,0.0496665
2025-12-12 16:00:00,0.04908815,0.05009,0.04907869
2025-12-12 20:00:00,0.04881072,0.0491341,0.04878429
2025-12-13 00:00:00,0.04851219,0.04895679,0.04847363
2025-12-13 04:00:00,0.04849833,0.0485799,0.04843984
2025-12-13 08:00:00,0.04818898,0.04854411,0.04815285
2025-12-13 12:00:00,0.04783677,0.04818041,0.04783677
2025-12-13 16:00:00,0.04781845,0.04790634,0.04779534
2025-12-13 20:00:00,0.04781984,0.04785535,0.04776473
2025-12-14 00:00:00,0.04781467,0.04788868,0.04777256
2025-12-14 04:00:00,0.04780514,0.04783679,0.0477718
2025-12-14 08:00:00,0.04773656,0.0478274,0.04769165
2025-12-14 12:00:00,0.04716456,0.04780477,0.04715865
2025-12-14 16:00:00,0.04715667,0.04725322,0.04708797
2025-12-14 20:00:00,0.04712372,0.0471929,0.04704213
2025-12-15 00:00:00,0.04711845,0.04717512,0.04705993
2025-12-15 04:00:00,0.04711484,0.04716296,0.04706097
2025-12-15 08:00:00,0.04701851,0.0471542,0.0468975
2025-12-15 12:00:00,0.04704836,0.04706247,0.04696979
2025-12-15 16:00:00,0.04694627,0.04706672,0.04687522
2025-12-15 20:00:00,0.04643444,0.04697856,0.04643444
2025-12-16 00:00:00,0.04628797,0.04657731,0.04625418
2025-12-16 04:00:00,0.04615408,0.04631883,0.04612877
2025-12-16 08:00:00,0.04611768,0.0461846,0.04603377
2025-12-16 12:00:00,0.04606056,0.04611364,0.04597893
2025-12-16 16:00:00,0.04608347,0.04611703,0.04598235
2025-12-16 20:00:00,0.04597491,0.04610288,0.04595222
2025-12-17 00:00:00,0.04598976,0.04607767,0.04596381
2025-12-17 04:00:00,0.04596281,0.0460505,0.04593462
2025-12-17 08:00:00,0.046024,0.04609872,0.04592725
