,close,high,low
2025-12-04 12:00:00,0.44579,0.447812,0.443331
2025-12-04 16:00:00,0.451174,0.451174,0.442267
2025-12-04 20:00:00,0.460253,0.460253,0.448548
2025-12-05 00:00:00,0.458089,0.465258,0.45499
2025-12-05 04:00:00,0.452416,0.46001,0.445177
2025-12-05 08:00:00,0.451398,0.455433,0.448496
2025-12-05 12:00:00,0.455039,0.455039,0.44961
2025-12-05 16:00:00,0.454254,0.456045,0.450759
2025-12-05 20:00:00,0.462285,0.463036,0.453125
2025-12-06 00:00:00,0.459258,0.466007,0.459258
2025-12-06 04:00:00,0.452582,0.462202,0.450998
2025-12-06 08:00:00,0.455556,0.460505,0.452052
2025-12-06 12:00:00,0.450757,0.459771,0.450751
2025-12-06 16:00:00,0.455586,0.455586,0.451501
2025-12-06 20:00:00,0.460245,0.461319,0.45571
2025-12-07 00:00:00,0.455999,0.459988,0.452362
2025-12-07 04:00:00,0.452746,0.456157,0.450783
2025-12-07 08:00:00,0.439697,0.456283,0.438735
2025-12-07 12:00:00,0.452453,0.454306,0.437455
2025-12-07 16:00:00,0.454158,0.454866,0.449405
2025-12-07 20:00:00,0.453936,0.454344,0.452068
2025-12-08 00:00:00,0.455121,0.455134,0.452971
2025-12-08 04:00:00,0.449079,0.455535,0.448014
2025-12-08 08:00:00,0.445848,0.451115,0.444912
2025-12-08 12:00:00,0.449754,0.454858,0.446213
2025-12-08 16:00:00,0.451102,0.454378,0.449426
2025-12-08 20:00:00,0.447943,0.454191,0.445501
2025-12-09 00:00:00,0.449689,0.450538,0.443284
2025-12-09 04:00:00,0.447616,0.449853,0.442401
2025-12-09 08:00:00,0.445845,0.453452,0.445491
2025-12-09 12:00:00,0.447085,0.451523,0.444007
2025-12-09 16:00:00,0.444966,0.448503,0.439764
2025-12-09 20:00:00,0.443092,0.449145,0.442065
2025-12-10 00:00:00,0.447075,0.447075,0.442213
2025-12-10 04:00:00,0.437556,0.448226,0.437556
2025-12-10 08:00:00,0.430893,0.436241,0.427441
2025-12-10 12:00:00,0.435057,0.43618,0.429606
2025-12-10 16:00:00,0.438821,0.440418,0.431978
2025-12-10 20:00:00,0.436913,0.440227,0.433568
2025-12-11 00:00:00,0.436982,0.438922,0.435643
2025-12-11 04:00:00,0.424538,0.436672,0.424538
2025-12-11 08:00:00,0.433865,0.434724,0.420861
2025-12-11 12:00:00,0.425698,0.435793,0.425698
2025-12-11 16:00:00,0.420907,0.432357,0.420907
2025-12-11 20:00:00,0.420433,0.422613,0.40997
2025-12-12 00:00:00,0.389454,0.422761,0.344948
2025-12-12 04:00:00,0.396597,0.403008,0.384214
2025-12-12 08:00:00,0.386764,0.40027,0.382465
2025-12-12 12:00:00,0.383271,0.391031,0.383271
2025-12-12 16:00:00,0.385289,0.389201,0.381729
2025-12-12 20:00:00,0.384101,0.384101,0.374872
2025-12-13 00:00:00,0.376308,0.384841,0.376308
2025-12-13 04:00:00,0.384209,0.384209,0.373439
2025-12-13 08:00:00,0.382993,0.38803,0.377827
2025-12-13 12:00:00,0.383214,0.387563,0.379235
2025-12-13 16:00:00,0.382781,0.386482,0.379934
2025-12-13 20:00:00,0.388315,0.389399,0.382335
2025-12-14 00:00:00,0.391532,0.391703,0.387314
2025-12-14 04:00:00,0.39322,0.39322,0.390379
2025-12-14 08:00:00,0.397664,0.397761,0.392901
2025-12-14 12:00:00,0.401611,0.402876,0.39703
2025-12-14 16:00:00,0.395762,0.400618,0.394119
2025-12-14 20:00:00,0.396095,0.397221,0.38909
2025-12-15 00:00:00,0.394287,0.395823,0.393281
2025-12-15 04:00:00,0.390824,0.394512,0.388278
2025-12-15 08:00:00,0.391387,0.394225,0.389179
