,close,high,low
2025-12-04 16:00:00,0.02754828,0.02757313,0.02701074
2025-12-04 20:00:00,0.02689295,0.02760244,0.02642782
2025-12-05 00:00:00,0.02648543,0.02686691,0.02645239
2025-12-05 04:00:00,0.02647996,0.02672489,0.02647759
2025-12-05 08:00:00,0.02668399,0.02669489,0.02619389
2025-12-05 12:00:00,0.02599765,0.0267064,0.02597226
2025-12-05 16:00:00,0.02567447,0.02610232,0.02553502
2025-12-05 20:00:00,0.02442652,0.02558411,0.02421
2025-12-06 00:00:00,0.02467936,0.02467936,0.02427653
2025-12-06 04:00:00,0.0251366,0.02515585,0.02465632
2025-12-06 08:00:00,0.02524635,0.02528054,0.02504819
2025-12-06 12:00:00,0.02522148,0.0252448,0.02505621
2025-12-06 16:00:00,0.02522282,0.02531274,0.0250844
2025-12-06 20:00:00,0.02599827,0.02650345,0.02522403
2025-12-07 00:00:00,0.02599236,0.02634326,0.02568163
2025-12-07 04:00:00,0.02587346,0.0262574,0.02580809
2025-12-07 08:00:00,0.02578504,0.02613959,0.02575061
2025-12-07 12:00:00,0.02519698,0.02576703,0.02519698
2025-12-07 16:00:00,0.02481804,0.02528385,0.02423297
2025-12-07 20:00:00,0.02564975,0.02571708,0.02478841
2025-12-08 00:00:00,0.02474688,0.02575587,0.02468317
2025-12-08 04:00:00,0.02542645,0.02545587,0.02471334
2025-12-08 08:00:00,0.02663484,0.02663484,0.02542786
2025-12-08 12:00:00,0.02726009,0.02751429,0.02652801
2025-12-08 16:00:00,0.02848892,0.02869102,0.02745554
2025-12-08 20:00:00,0.02700142,0.02863658,0.02695309
2025-12-09 00:00:00,0.02683214,0.02752779,0.02678815
2025-12-09 04:00:00,0.0265755,0.0271935,0.02629436
2025-12-09 08:00:00,0.02702123,0.0270253,0.02634707
2025-12-09 12:00:00,0.02649323,0.02695021,0.02635365
2025-12-09 16:00:00,0.02758561,0.02758561,0.02648497
2025-12-09 20:00:00,0.02843378,0.02930862,0.02762669
2025-12-10 00:00:00,0.02816472,0.02845819,0.0275181
2025-12-10 04:00:00,0.02785053,0.02813979,0.02768576
2025-12-10 08:00:00,0.02816564,0.02816564,0.02771729
2025-12-10 12:00:00,0.02754723,0.02815517,0.02753475
2025-12-10 16:00:00,0.02830267,0.02832813,0.02752628
2025-12-10 20:00:00,0.02887364,0.02920942,0.02829867
2025-12-11 00:00:00,0.02775045,0.02930642,0.02775045
2025-12-11 04:00:00,0.0264736,0.02773106,0.0264736
2025-12-11 08:00:00,0.02659303,0.02676948,0.02639235
2025-12-11 12:00:00,0.02672984,0.02672984,0.02640435
2025-12-11 16:00:00,0.02657573,0.02676729,0.02650248
2025-12-11 20:00:00,0.02708075,0.02720723,0.02645082
2025-12-12 00:00:00,0.02798053,0.0289935,0.02693228
2025-12-12 04:00:00,0.02742853,0.02809954,0.02736611
2025-12-12 08:00:00,0.02756868,0.0278079,0.02733286
2025-12-12 12:00:00,0.02758318,0.02791255,0.02737186
2025-12-12 16:00:00,0.02639237,0.02758905,0.02639237
2025-12-12 20:00:00,0.0261268,0.02638484,0.02553594
2025-12-13 00:00:00,0.02654388,0.02686487,0.0261544
2025-12-13 04:00:00,0.02668917,0.02671371,0.0264618
2025-12-13 08:00:00,0.02646457,0.02669744,0.02635012
2025-12-13 12:00:00,0.02682021,0.02682021,0.02645906
2025-12-13 16:00:00,0.02700423,0.02708147,0.02681738
2025-12-13 20:00:00,0.02726168,0.02726168,0.02698415
2025-12-14 00:00:00,0.02725765,0.02726819,0.02701654
2025-12-14 04:00:00,0.02705052,0.02722835,0.0269602
2025-12-14 08:00:00,0.02666645,0.0270614,0.02653051
2025-12-14 12:00:00,0.02618486,0.02683241,0.02610829
2025-12-14 16:00:00,0.02603332,0.02644884,0.02597207
2025-12-14 20:00:00,0.02595748,0.02613449,0.02575357
2025-12-15 00:00:00,0.02558663,0.0261559,0.02554932
2025-12-15 04:00:00,0.02614307,0.02635609,0.02552996
2025-12-15 08:00:00,0.02604311,0.02637846,0.0260288
2025-12-15 12:00:00,0.02585638,0.02616894,0.02585262
2025-12-15 16:00:00,0.02469626,0.02596372,0.02452474
2025-12-15 20:00:00,0.02405369,0.02461474,0.02375143
2025-12-16 00:00:00,0.02455076,0.02455076,0.02388785
2025-12-16 04:00:00,0.02436994,0.02451714,0.02415063
2025-12-16 08:00:00,0.02403109,0.02438751,0.02402931
2025-12-16 12:00:00,0.02439736,0.02448436,0.02397536
2025-12-16 16:00:00,0.02437598,0.02447028,0.02396982
2025-12-16 20:00:00,0.0240617,0.02437257,0.02388307
2025-12-17 00:00:00,0.0240784,0.02409771,0.02401591
2025-12-17 04:00:00,0.02384334,0.02413436,0.02383322
2025-12-17 08:00:00,0.0236623,0.02385869,0.02355716
2025-12-17 12:00:00,0.02351791,0.02364697,0.02330001
2025-12-17 16:00:00,0.02329111,0.02414257,0.02321386
2025-12-17 20:00:00,0.02240202,0.02320016,0.02222506
2025-12-18 00:00:00,0.02245548,0.02257709,0.02237112
2025-12-18 04:00:00,0.02226369,0.02249383,0.02226369
2025-12-18 08:00:00,0.02256117,0.02256117,0.02210399
2025-12-18 12:00:00,0.02286645,0.02301564,0.02265263
2025-12-18 16:00:00,0.0237599,0.02387199,0.02280953
2025-12-18 20:00:00,0.02183636,0.02415409,0.02183636
2025-12-19 00:00:00,0.02206316,0.02230386,0.02175951
2025-12-19 04:00:00,0.02295293,0.02300067,0.02187977
2025-12-19 08:00:00,0.02324943,0.02339723,0.02283469
2025-12-19 12:00:00,0.02353046,0.02353046,0.0232411
2025-12-19 16:00:00,0.02360314,0.0237091,0.02330037
