,close,high,low
2025-12-04 04:00:00,0.249958,0.252843,0.249105
2025-12-04 08:00:00,0.248509,0.249559,0.246833
2025-12-04 12:00:00,0.246752,0.248702,0.245861
2025-12-04 16:00:00,0.245523,0.247254,0.2426
2025-12-04 20:00:00,0.238871,0.246982,0.235419
2025-12-05 00:00:00,0.237581,0.239401,0.236904
2025-12-05 04:00:00,0.237703,0.23969,0.236869
2025-12-05 08:00:00,0.240545,0.241026,0.234944
2025-12-05 12:00:00,0.231409,0.24081,0.231029
2025-12-05 16:00:00,0.23184,0.233179,0.228731
2025-12-05 20:00:00,0.224723,0.230036,0.220782
2025-12-06 00:00:00,0.231351,0.231473,0.22452
2025-12-06 04:00:00,0.234533,0.235734,0.231205
2025-12-06 08:00:00,0.236942,0.237602,0.232787
2025-12-06 12:00:00,0.243094,0.243094,0.235474
2025-12-06 16:00:00,0.236807,0.24334,0.236457
2025-12-06 20:00:00,0.236831,0.239729,0.236342
2025-12-07 00:00:00,0.236202,0.238,0.235919
2025-12-07 04:00:00,0.237087,0.237836,0.236084
2025-12-07 08:00:00,0.233799,0.237133,0.233799
2025-12-07 12:00:00,0.231108,0.234234,0.231108
2025-12-07 16:00:00,0.227505,0.233176,0.223417
2025-12-07 20:00:00,0.234932,0.234932,0.226829
2025-12-08 00:00:00,0.22637,0.235438,0.225727
2025-12-08 04:00:00,0.232796,0.233333,0.22595
2025-12-08 08:00:00,0.235309,0.236348,0.232851
2025-12-08 12:00:00,0.243264,0.243264,0.235128
2025-12-08 16:00:00,0.23682,0.244373,0.235851
2025-12-08 20:00:00,0.235239,0.239697,0.233978
2025-12-09 00:00:00,0.236958,0.238451,0.234876
2025-12-09 04:00:00,0.234208,0.237748,0.231903
2025-12-09 08:00:00,0.233006,0.234676,0.231238
2025-12-09 12:00:00,0.232058,0.233485,0.230588
2025-12-09 16:00:00,0.244508,0.244508,0.232023
2025-12-09 20:00:00,0.257724,0.26801,0.244607
2025-12-10 00:00:00,0.247089,0.257744,0.2453
2025-12-10 04:00:00,0.241216,0.24727,0.240261
2025-12-10 08:00:00,0.239381,0.241696,0.23865
2025-12-10 12:00:00,0.236194,0.239954,0.236133
2025-12-10 16:00:00,0.239527,0.240161,0.236208
2025-12-10 20:00:00,0.24307,0.243158,0.238933
2025-12-11 00:00:00,0.236512,0.247216,0.23566
2025-12-11 04:00:00,0.225269,0.236738,0.224523
2025-12-11 08:00:00,0.226044,0.227103,0.22462
2025-12-11 12:00:00,0.226859,0.227554,0.224081
2025-12-11 16:00:00,0.226584,0.228099,0.225155
2025-12-11 20:00:00,0.23293,0.236264,0.225907
2025-12-12 00:00:00,0.232711,0.237966,0.232038
2025-12-12 04:00:00,0.232729,0.233372,0.22995
2025-12-12 08:00:00,0.235677,0.235817,0.23151
2025-12-12 12:00:00,0.2355,0.237916,0.23361
2025-12-12 16:00:00,0.225263,0.235525,0.225263
