,close,high,low
2025-12-04 12:00:00,14.74,14.74,14.72
2025-12-04 16:00:00,14.73,14.74,14.7
2025-12-04 20:00:00,14.46,14.74,14.3
2025-12-05 00:00:00,14.4,14.49,14.4
2025-12-05 04:00:00,14.47,14.5,14.4
2025-12-05 08:00:00,14.37,14.47,14.35
2025-12-05 12:00:00,13.84,14.37,13.79
2025-12-05 16:00:00,13.75,13.82,13.63
2025-12-05 20:00:00,13.41,13.7,13.26
2025-12-06 00:00:00,13.23,13.42,13.16
2025-12-06 04:00:00,13.33,13.37,13.16
2025-12-06 08:00:00,13.24,13.33,13.23
2025-12-06 12:00:00,13.23,13.31,13.18
2025-12-06 16:00:00,13.34,13.34,13.18
2025-12-06 20:00:00,13.31,13.45,13.3
2025-12-07 00:00:00,13.39,13.43,13.31
2025-12-07 04:00:00,13.5,13.53,13.4
2025-12-07 08:00:00,13.41,13.5,13.39
2025-12-07 12:00:00,13.35,13.43,13.33
2025-12-07 16:00:00,13.21,13.43,13.02
2025-12-07 20:00:00,13.74,13.81,13.32
2025-12-08 00:00:00,13.42,13.8,13.36
2025-12-08 04:00:00,13.54,13.62,13.4
2025-12-08 08:00:00,13.67,13.71,13.54
2025-12-08 12:00:00,13.73,13.84,13.67
2025-12-08 16:00:00,13.58,13.78,13.55
2025-12-08 20:00:00,13.6,13.7,13.54
2025-12-09 00:00:00,13.64,13.73,13.57
2025-12-09 04:00:00,13.69,13.69,13.54
2025-12-09 08:00:00,13.7,13.74,13.56
2025-12-09 12:00:00,13.57,13.74,13.53
2025-12-09 16:00:00,14.08,14.08,13.58
2025-12-09 20:00:00,14.62,14.71,14.1
2025-12-10 00:00:00,14.61,14.62,14.55
2025-12-10 04:00:00,14.61,14.62,14.59
2025-12-10 08:00:00,14.61,14.61,14.59
2025-12-10 12:00:00,14.24,14.62,14.2
2025-12-10 16:00:00,14.23,14.31,14.18
2025-12-10 20:00:00,14.5,14.56,14.22
2025-12-11 00:00:00,14.16,14.62,14.16
2025-12-11 04:00:00,13.34,14.14,13.31
2025-12-11 08:00:00,13.4,13.47,13.28
2025-12-11 12:00:00,13.33,13.42,13.27
2025-12-11 16:00:00,13.02,13.35,13.02
2025-12-11 20:00:00,13.34,13.36,12.93
2025-12-12 00:00:00,13.43,13.56,13.25
2025-12-12 04:00:00,13.64,13.72,13.4
2025-12-12 08:00:00,13.69,13.77,13.56
2025-12-12 12:00:00,13.56,13.66,13.5
2025-12-12 16:00:00,13.05,13.65,13.05
2025-12-12 20:00:00,13.06,13.18,12.84
2025-12-13 00:00:00,13.12,13.15,13.05
2025-12-13 04:00:00,13.22,13.23,13.1
2025-12-13 08:00:00,13.31,13.37,13.2
2025-12-13 12:00:00,13.39,13.45,13.33
2025-12-13 16:00:00,13.35,13.4,13.25
2025-12-13 20:00:00,13.39,13.4,13.32
2025-12-14 00:00:00,13.38,13.39,13.27
2025-12-14 04:00:00,13.31,13.39,13.31
2025-12-14 08:00:00,13.24,13.32,13.2
2025-12-14 12:00:00,13.06,13.27,13.01
2025-12-14 16:00:00,13.03,13.12,12.99
2025-12-14 20:00:00,12.97,13.07,12.94
2025-12-15 00:00:00,12.9,13.0,12.86
2025-12-15 04:00:00,13.08,13.23,12.86
2025-12-15 08:00:00,13.17,13.28,13.09
2025-12-15 12:00:00,13.21,13.31,13.18
2025-12-15 16:00:00,12.46,13.22,12.46
2025-12-15 20:00:00,12.4,12.51,12.27
2025-12-16 00:00:00,12.33,12.4,12.28
2025-12-16 04:00:00,12.25,12.34,12.19
2025-12-16 08:00:00,12.2,12.32,12.14
2025-12-16 12:00:00,12.35,12.35,12.14
2025-12-16 16:00:00,12.22,12.35,11.98
2025-12-16 20:00:00,12.31,12.34,12.17
2025-12-17 00:00:00,12.33,12.35,12.28
2025-12-17 04:00:00,12.31,12.36,12.3
2025-12-17 08:00:00,12.21,12.31,12.09
2025-12-17 12:00:00,12.15,12.23,12.06
2025-12-17 16:00:00,12.31,12.52,12.14
2025-12-17 20:00:00,11.86,12.28,11.73
2025-12-18 00:00:00,11.84,11.96,11.81
2025-12-18 04:00:00,11.73,11.86,11.7
2025-12-18 08:00:00,11.74,11.78,11.67
2025-12-18 12:00:00,11.71,11.78,11.69
2025-12-18 16:00:00,12.21,12.27,11.69
2025-12-18 20:00:00,11.32,12.18,11.32
2025-12-19 00:00:00,11.44,11.55,11.31
2025-12-19 04:00:00,11.76,11.76,11.28
2025-12-19 08:00:00,11.91,11.99,11.62
2025-12-19 12:00:00,12.0,12.0,11.9
2025-12-19 16:00:00,12.16,12.28,11.94
2025-12-19 20:00:00,12.32,12.35,12.08
2025-12-20 00:00:00,12.25,12.35,12.25
2025-12-20 04:00:00,12.26,12.28,12.2
2025-12-20 08:00:00,12.32,12.32,12.2
2025-12-20 12:00:00,12.3,12.35,12.25
2025-12-20 16:00:00,12.26,12.3,12.17
2025-12-20 20:00:00,12.26,12.29,12.23
2025-12-21 00:00:00,12.2,12.27,12.15
2025-12-21 04:00:00,12.19,12.24,12.11
2025-12-21 08:00:00,12.12,12.19,12.12
2025-12-21 12:00:00,12.24,12.3,12.11
2025-12-21 16:00:00,12.08,12.27,11.98
2025-12-21 20:00:00,12.12,12.16,12.02
2025-12-22 00:00:00,12.14,12.19,11.99
2025-12-22 04:00:00,12.17,12.33,12.07
2025-12-22 08:00:00,12.18,12.24,12.15
2025-12-22 12:00:00,12.31,12.31,12.17
2025-12-22 16:00:00,12.33,12.38,12.31
2025-12-22 20:00:00,12.16,12.38,12.16
2025-12-23 00:00:00,12.39,12.41,12.1
2025-12-23 04:00:00,12.42,12.5,12.36
2025-12-23 08:00:00,12.21,12.4,12.15
2025-12-23 12:00:00,12.3,12.31,12.16
2025-12-23 16:00:00,11.95,12.22,11.93
2025-12-23 20:00:00,12.1,12.14,11.94
2025-12-24 00:00:00,12.18,12.28,12.09
2025-12-24 04:00:00,12.07,12.2,11.98
2025-12-24 08:00:00,12.0,12.12,11.95
2025-12-24 12:00:00,12.1,12.12,11.98
2025-12-24 16:00:00,12.0,12.13,11.92
2025-12-24 20:00:00,12.03,12.03,11.91
2025-12-25 00:00:00,12.1,12.11,12.02
2025-12-25 04:00:00,12.13,12.18,12.05
2025-12-25 08:00:00,12.2,12.2,12.14
2025-12-25 12:00:00,12.15,12.28,12.12
2025-12-25 16:00:00,12.33,12.33,12.15
2025-12-25 20:00:00,12.45,12.48,12.34
2025-12-26 00:00:00,12.09,12.47,12.09
2025-12-26 04:00:00,12.51,12.54,12.04
2025-12-26 08:00:00,12.41,12.54,12.41
2025-12-26 12:00:00,12.45,12.48,12.4
2025-12-26 16:00:00,12.23,12.48,12.18
2025-12-26 20:00:00,12.36,12.36,12.19
2025-12-27 00:00:00,12.34,12.36,12.33
2025-12-27 04:00:00,12.4,12.4,12.34
2025-12-27 08:00:00,12.45,12.45,12.38
2025-12-27 12:00:00,12.46,12.47,12.4
2025-12-27 16:00:00,12.54,12.54,12.44
2025-12-27 20:00:00,12.52,12.57,12.51
2025-12-28 00:00:00,12.67,12.67,12.52
2025-12-28 04:00:00,12.77,12.83,12.68
2025-12-28 08:00:00,12.78,12.82,12.76
2025-12-28 12:00:00,12.7,12.83,12.68
2025-12-28 16:00:00,12.73,12.75,12.6
2025-12-28 20:00:00,12.58,12.74,12.58
2025-12-29 00:00:00,12.64,12.64,12.54
2025-12-29 04:00:00,13.05,13.05,12.62
2025-12-29 08:00:00,13.01,13.12,12.91
2025-12-29 12:00:00,12.72,13.01,12.68
2025-12-29 16:00:00,12.67,12.72,12.53
2025-12-29 20:00:00,12.5,12.68,12.5
2025-12-30 00:00:00,12.36,12.5,12.35
2025-12-30 04:00:00,12.38,12.39,12.33
2025-12-30 08:00:00,12.42,12.42,12.36
2025-12-30 12:00:00,12.48,12.51,12.41
2025-12-30 16:00:00,12.55,12.55,12.46
2025-12-30 20:00:00,12.49,12.6,12.47
2025-12-31 00:00:00,12.55,12.56,12.46
2025-12-31 04:00:00,12.57,12.67,12.51
2025-12-31 08:00:00,12.53,12.59,12.52
2025-12-31 12:00:00,12.55,12.55,12.47
2025-12-31 16:00:00,12.47,12.6,12.45
2025-12-31 20:00:00,12.32,12.46,12.32
2026-01-01 00:00:00,12.31,12.36,12.26
2026-01-01 04:00:00,12.27,12.34,12.27
2026-01-01 08:00:00,12.27,12.27,12.22
2026-01-01 12:00:00,12.35,12.35,12.26
2026-01-01 16:00:00,12.48,12.48,12.33
2026-01-01 20:00:00,13.42,13.42,12.49
2026-01-02 00:00:00,13.53,13.62,13.39
2026-01-02 04:00:00,13.76,13.77,13.5
2026-01-02 08:00:00,13.38,13.71,13.38
2026-01-02 12:00:00,13.36,13.54,13.36
2026-01-02 16:00:00,13.26,13.42,13.12
2026-01-02 20:00:00,13.65,13.65,13.27
2026-01-03 00:00:00,13.78,13.92,13.57
2026-01-03 04:00:00,14.23,14.23,13.8
2026-01-03 08:00:00,13.73,14.25,13.72
