,close,high,low
2025-12-04 16:00:00,0.00228096,0.00232284,0.00225417
2025-12-04 20:00:00,0.0024508,0.00246539,0.00226065
2025-12-05 00:00:00,0.00231838,0.00245911,0.00230686
2025-12-05 04:00:00,0.00226957,0.00237344,0.00225714
2025-12-05 08:00:00,0.00222687,0.00226503,0.00219756
2025-12-05 12:00:00,0.00215924,0.00223611,0.00215894
2025-12-05 16:00:00,0.00211023,0.00216431,0.0021002
2025-12-05 20:00:00,0.00200941,0.00209427,0.00200941
2025-12-06 00:00:00,0.00194958,0.0020065,0.00194918
2025-12-06 04:00:00,0.00192161,0.00195633,0.00190501
2025-12-06 08:00:00,0.00196442,0.00199235,0.00189942
2025-12-06 12:00:00,0.00201337,0.00209449,0.00194689
2025-12-06 16:00:00,0.0020101,0.00202585,0.00197423
2025-12-06 20:00:00,0.00202226,0.00208755,0.00199975
2025-12-07 00:00:00,0.00199535,0.00204067,0.00199205
2025-12-07 04:00:00,0.00202885,0.00202998,0.00198075
2025-12-07 08:00:00,0.00199407,0.00203242,0.00198731
2025-12-07 12:00:00,0.00197536,0.00202924,0.00197536
2025-12-07 16:00:00,0.00199361,0.00199898,0.00196759
2025-12-07 20:00:00,0.00197716,0.00199993,0.00197089
2025-12-08 00:00:00,0.00198007,0.00199655,0.00191051
2025-12-08 04:00:00,0.00199025,0.00199495,0.00195472
2025-12-08 08:00:00,0.00198627,0.00200533,0.00197257
2025-12-08 12:00:00,0.00198651,0.00199502,0.00197593
2025-12-08 16:00:00,0.00197161,0.00199281,0.00195319
2025-12-08 20:00:00,0.0019542,0.00198914,0.00194879
2025-12-09 00:00:00,0.00196791,0.00197501,0.00193426
2025-12-09 04:00:00,0.00194626,0.00197161,0.0019354
2025-12-09 08:00:00,0.0019179,0.00194839,0.00190272
2025-12-09 12:00:00,0.00186371,0.00192726,0.00185713
2025-12-09 16:00:00,0.00195561,0.00196534,0.00186584
2025-12-09 20:00:00,0.00191039,0.00196128,0.00188628
2025-12-10 00:00:00,0.00194828,0.0019527,0.00191152
2025-12-10 04:00:00,0.00194895,0.00197288,0.00194581
2025-12-10 08:00:00,0.00199137,0.00199419,0.00194634
2025-12-10 12:00:00,0.0020075,0.00207286,0.00190996
2025-12-10 16:00:00,0.00198374,0.0020155,0.00195972
2025-12-10 20:00:00,0.00198333,0.00203855,0.00197219
