,close,high,low
2025-12-04 20:00:00,5.24,5.34,5.2
2025-12-05 00:00:00,5.26,5.28,5.25
2025-12-05 04:00:00,5.28,5.31,5.26
2025-12-05 08:00:00,5.29,5.3,5.25
2025-12-05 12:00:00,5.21,5.29,5.2
2025-12-05 16:00:00,5.19,5.22,5.16
2025-12-05 20:00:00,5.09,5.16,5.04
2025-12-06 00:00:00,5.09,5.11,5.07
2025-12-06 04:00:00,5.12,5.12,5.08
2025-12-06 08:00:00,5.11,5.12,5.11
2025-12-06 12:00:00,5.11,5.11,5.08
2025-12-06 16:00:00,5.14,5.15,5.11
2025-12-06 20:00:00,5.11,5.16,5.1
2025-12-07 00:00:00,5.11,5.13,5.1
2025-12-07 04:00:00,5.15,5.15,5.11
2025-12-07 08:00:00,5.12,5.15,5.11
2025-12-07 12:00:00,5.11,5.12,5.1
2025-12-07 16:00:00,5.05,5.13,5.0
2025-12-07 20:00:00,5.23,5.25,5.08
2025-12-08 00:00:00,5.13,5.24,5.1
2025-12-08 04:00:00,5.2,5.22,5.12
2025-12-08 08:00:00,5.23,5.24,5.2
2025-12-08 12:00:00,5.27,5.3,5.23
2025-12-08 16:00:00,5.18,5.28,5.18
2025-12-08 20:00:00,5.19,5.21,5.16
2025-12-09 00:00:00,5.18,5.23,5.18
2025-12-09 04:00:00,5.17,5.2,5.14
2025-12-09 08:00:00,5.17,5.18,5.14
2025-12-09 12:00:00,5.17,5.18,5.16
2025-12-09 16:00:00,5.29,5.29,5.15
2025-12-09 20:00:00,5.45,5.49,5.33
2025-12-10 00:00:00,5.37,5.45,5.34
2025-12-10 04:00:00,5.36,5.37,5.33
2025-12-10 08:00:00,5.38,5.38,5.35
2025-12-10 12:00:00,5.33,5.41,5.33
2025-12-10 16:00:00,5.37,5.38,5.34
2025-12-10 20:00:00,5.41,5.44,5.36
2025-12-11 00:00:00,5.35,5.5,5.35
2025-12-11 04:00:00,5.15,5.35,5.14
2025-12-11 08:00:00,5.18,5.2,5.15
2025-12-11 12:00:00,5.18,5.19,5.16
2025-12-11 16:00:00,5.16,5.19,5.14
2025-12-11 20:00:00,5.23,5.25,5.13
2025-12-12 00:00:00,5.31,5.35,5.23
2025-12-12 04:00:00,5.33,5.34,5.26
2025-12-12 08:00:00,5.34,5.35,5.31
2025-12-12 12:00:00,5.32,5.34,5.31
2025-12-12 16:00:00,5.21,5.34,5.2
2025-12-12 20:00:00,5.14,5.19,5.13
2025-12-13 00:00:00,5.18,5.19,5.15
2025-12-13 04:00:00,5.19,5.19,5.17
2025-12-13 08:00:00,5.19,5.19,5.18
2025-12-13 12:00:00,5.21,5.23,5.19
2025-12-13 16:00:00,5.2,5.22,5.18
2025-12-13 20:00:00,5.2,5.21,5.18
2025-12-14 00:00:00,5.21,5.21,5.18
2025-12-14 04:00:00,5.21,5.22,5.2
2025-12-14 08:00:00,5.2,5.21,5.19
2025-12-14 12:00:00,5.14,5.21,5.14
2025-12-14 16:00:00,5.13,5.17,5.13
2025-12-14 20:00:00,5.12,5.15,5.11
2025-12-15 00:00:00,5.08,5.12,5.06
2025-12-15 04:00:00,5.15,5.18,5.08
2025-12-15 08:00:00,5.17,5.18,5.15
2025-12-15 12:00:00,5.18,5.21,5.17
2025-12-15 16:00:00,4.99,5.19,4.98
2025-12-15 20:00:00,4.92,4.99,4.88
2025-12-16 00:00:00,4.97,4.97,4.89
2025-12-16 04:00:00,4.93,4.97,4.92
2025-12-16 08:00:00,4.93,4.97,4.91
2025-12-16 12:00:00,5.0,5.0,4.93
2025-12-16 16:00:00,5.02,5.02,4.97
2025-12-16 20:00:00,5.0,5.04,4.98
2025-12-17 00:00:00,5.02,5.02,5.0
2025-12-17 04:00:00,5.0,5.03,4.99
2025-12-17 08:00:00,4.99,4.99,4.94
2025-12-17 12:00:00,4.96,4.99,4.94
2025-12-17 16:00:00,4.99,5.11,4.96
2025-12-17 20:00:00,4.82,4.95,4.79
2025-12-18 00:00:00,4.85,4.85,4.82
2025-12-18 04:00:00,4.85,4.87,4.84
2025-12-18 08:00:00,4.85,4.87,4.83
2025-12-18 12:00:00,4.89,4.9,4.85
2025-12-18 16:00:00,5.02,5.05,4.88
2025-12-18 20:00:00,4.74,5.01,4.74
2025-12-19 00:00:00,4.81,4.82,4.74
2025-12-19 04:00:00,4.91,4.91,4.78
2025-12-19 08:00:00,4.97,4.99,4.9
2025-12-19 12:00:00,5.0,5.0,4.97
2025-12-19 16:00:00,4.99,5.03,4.98
2025-12-19 20:00:00,5.01,5.03,4.95
2025-12-20 00:00:00,5.01,5.03,5.0
2025-12-20 04:00:00,5.01,5.02,4.99
2025-12-20 08:00:00,5.0,5.02,5.0
2025-12-20 12:00:00,5.01,5.02,5.0
2025-12-20 16:00:00,5.0,5.01,4.99
2025-12-20 20:00:00,4.99,5.0,4.99
2025-12-21 00:00:00,4.99,5.0,4.99
2025-12-21 04:00:00,4.98,5.0,4.97
2025-12-21 08:00:00,4.98,4.99,4.98
2025-12-21 12:00:00,5.0,5.03,4.98
2025-12-21 16:00:00,4.96,5.02,4.93
2025-12-21 20:00:00,5.0,5.0,4.97
2025-12-22 00:00:00,5.01,5.01,4.97
