,close,high,low
2025-12-04 20:00:00,1.0,1.001,0.998731
2025-12-05 00:00:00,1.0,1.001,0.999571
2025-12-05 04:00:00,1.0,1.001,0.999448
2025-12-05 08:00:00,0.999853,1.0,0.999525
2025-12-05 12:00:00,0.999904,1.001,0.999341
2025-12-05 16:00:00,1.0,1.001,0.998712
2025-12-05 20:00:00,0.999726,1.002,0.998995
2025-12-06 00:00:00,0.999852,1.0,0.99911
2025-12-06 04:00:00,0.999991,1.0,0.999635
2025-12-06 08:00:00,0.999721,1.0,0.999666
2025-12-06 12:00:00,1.0,1.0,0.999612
2025-12-06 16:00:00,0.999974,1.001,0.999489
2025-12-06 20:00:00,0.999993,1.001,0.999652
2025-12-07 00:00:00,0.999907,1.0,0.999631
2025-12-07 04:00:00,0.999846,1.0,0.9996
2025-12-07 08:00:00,0.999906,1.0,0.999669
2025-12-07 12:00:00,0.999993,1.0,0.999776
2025-12-07 16:00:00,1.002,1.004,0.999477
2025-12-07 20:00:00,1.0,1.003,0.996512
2025-12-08 00:00:00,0.999115,1.002,0.998702
2025-12-08 04:00:00,1.0,1.001,0.99912
2025-12-08 08:00:00,0.99944,1.001,0.998939
2025-12-08 12:00:00,1.0,1.001,0.999078
2025-12-08 16:00:00,0.999163,1.001,0.999163
2025-12-08 20:00:00,0.999837,1.001,0.99888
2025-12-09 00:00:00,1.0,1.001,0.999498
2025-12-09 04:00:00,1.0,1.001,0.999365
2025-12-09 08:00:00,1.0,1.0,0.999508
2025-12-09 12:00:00,1.0,1.0,0.999297
2025-12-09 16:00:00,1.001,1.001,0.998633
2025-12-09 20:00:00,0.999876,1.001,0.999137
2025-12-10 00:00:00,0.999764,1.001,0.999572
2025-12-10 04:00:00,0.999762,1.001,0.998936
2025-12-10 08:00:00,1.0,1.001,0.999574
2025-12-10 12:00:00,0.999722,1.001,0.999508
2025-12-10 16:00:00,1.0,1.001,0.99934
2025-12-10 20:00:00,0.999875,1.001,0.999088
2025-12-11 00:00:00,0.999905,1.001,0.999316
2025-12-11 04:00:00,0.99999,1.001,0.999171
2025-12-11 08:00:00,0.999808,1.001,0.999319
2025-12-11 12:00:00,1.0,1.0,0.999616
2025-12-11 16:00:00,1.0,1.001,0.998867
2025-12-11 20:00:00,1.0,1.001,0.999467
2025-12-12 00:00:00,0.999976,1.001,0.999239
2025-12-12 04:00:00,0.999917,1.0,0.99923
2025-12-12 08:00:00,0.999961,1.0,0.999582
2025-12-12 12:00:00,0.99992,1.0,0.999515
2025-12-12 16:00:00,0.999351,1.001,0.99847
2025-12-12 20:00:00,0.999977,1.001,0.998975
2025-12-13 00:00:00,1.0,1.001,0.999564
2025-12-13 04:00:00,0.999921,1.0,0.999621
2025-12-13 08:00:00,0.999945,1.0,0.999712
2025-12-13 12:00:00,0.999947,1.0,0.999502
2025-12-13 16:00:00,0.999971,1.0,0.99972
2025-12-13 20:00:00,0.999871,1.0,0.999718
2025-12-14 00:00:00,0.999958,1.0,0.999587
2025-12-14 04:00:00,0.999958,1.001,0.999664
2025-12-14 08:00:00,0.999981,1.0,0.999732
2025-12-14 12:00:00,0.999787,1.0,0.999776
2025-12-14 16:00:00,1.0,1.0,0.999357
2025-12-14 20:00:00,0.999982,1.001,0.99845
2025-12-15 00:00:00,0.999863,1.001,0.999457
2025-12-15 04:00:00,0.999965,1.001,0.997104
2025-12-15 08:00:00,0.999864,1.001,0.999657
2025-12-15 12:00:00,0.999999,1.0,0.999359
2025-12-15 16:00:00,0.999823,1.002,0.996752
2025-12-15 20:00:00,1.0,1.001,0.998853
2025-12-16 00:00:00,0.999886,1.0,0.999643
2025-12-16 04:00:00,0.999766,1.002,0.998834
2025-12-16 08:00:00,0.999809,1.0,0.998636
2025-12-16 12:00:00,0.999401,1.0,0.999401
2025-12-16 16:00:00,0.999739,1.001,0.996971
2025-12-16 20:00:00,0.99988,1.001,0.998611
2025-12-17 00:00:00,0.999812,1.0,0.999225
2025-12-17 04:00:00,1.0,1.0,0.999367
2025-12-17 08:00:00,0.999347,1.001,0.998877
2025-12-17 12:00:00,0.999717,1.0,0.999301
2025-12-17 16:00:00,0.999526,1.002,0.998221
2025-12-17 20:00:00,0.99958,1.001,0.999012
2025-12-18 00:00:00,0.999668,1.001,0.999269
2025-12-18 04:00:00,0.99966,1.0,0.998778
2025-12-18 08:00:00,0.999628,1.0,0.999043
2025-12-18 12:00:00,0.999598,0.999904,0.999168
2025-12-18 16:00:00,0.999525,1.001,0.996921
2025-12-18 20:00:00,0.999569,1.0,0.998849
2025-12-19 00:00:00,0.999611,1.0,0.996452
2025-12-19 04:00:00,0.999631,1.004,0.998164
2025-12-19 08:00:00,0.999387,1.0,0.998366
2025-12-19 12:00:00,0.999545,1.0,0.998938
2025-12-19 16:00:00,0.999629,1.0,0.999145
2025-12-19 20:00:00,0.999584,1.002,0.998358
2025-12-20 00:00:00,0.999673,1.0,0.998671
2025-12-20 04:00:00,0.999641,0.999816,0.999574
2025-12-20 08:00:00,0.999785,0.999987,0.99957
2025-12-20 12:00:00,0.99964,0.999763,0.999466
2025-12-20 16:00:00,0.999603,1.0,0.999457
2025-12-20 20:00:00,0.99976,0.999806,0.99956
2025-12-21 00:00:00,0.999708,0.999873,0.999437
2025-12-21 04:00:00,0.999778,1.0,0.999584
2025-12-21 08:00:00,0.999816,0.999837,0.999512
2025-12-21 12:00:00,0.999767,1.0,0.999184
2025-12-21 16:00:00,0.999749,1.0,0.999183
2025-12-21 20:00:00,0.99981,0.99996,0.999283
2025-12-22 00:00:00,0.999792,1.0,0.999392
2025-12-22 04:00:00,0.999645,1.0,0.999038
2025-12-22 08:00:00,0.999683,0.999966,0.999463
2025-12-22 12:00:00,0.999649,0.999864,0.999105
2025-12-22 16:00:00,0.999529,1.0,0.999367
2025-12-22 20:00:00,0.999726,0.999856,0.99939
2025-12-23 00:00:00,0.999607,0.999858,0.999458
2025-12-23 04:00:00,0.999518,0.999771,0.999517
2025-12-23 08:00:00,0.999477,0.999784,0.999204
2025-12-23 12:00:00,0.999792,0.999792,0.999449
2025-12-23 16:00:00,0.999577,0.99999,0.99844
2025-12-23 20:00:00,0.999429,1.001,0.999181
2025-12-24 00:00:00,0.999423,0.999944,0.999051
2025-12-24 04:00:00,0.999667,0.999976,0.99912
2025-12-24 08:00:00,0.999642,1.0,0.99782
2025-12-24 12:00:00,0.99953,0.999873,0.999386
2025-12-24 16:00:00,0.999822,1.0,0.998468
2025-12-24 20:00:00,0.999518,0.999917,0.999025
2025-12-25 00:00:00,0.999892,0.999938,0.99946
2025-12-25 04:00:00,0.999707,0.999838,0.99931
2025-12-25 08:00:00,0.999617,0.999863,0.999447
2025-12-25 12:00:00,0.99951,1.0,0.999366
2025-12-25 16:00:00,0.999712,0.999997,0.999208
2025-12-25 20:00:00,0.999678,0.999925,0.999228
2025-12-26 00:00:00,0.999456,1.0,0.999423
2025-12-26 04:00:00,0.999615,1.0,0.998921
2025-12-26 08:00:00,0.999547,0.999865,0.999064
2025-12-26 12:00:00,0.999772,0.999932,0.999166
2025-12-26 16:00:00,0.999542,1.001,0.998923
2025-12-26 20:00:00,0.999455,1.0,0.998922
2025-12-27 00:00:00,0.999625,0.999844,0.999179
2025-12-27 04:00:00,0.999852,0.999908,0.999109
2025-12-27 08:00:00,0.999837,0.999963,0.999242
2025-12-27 12:00:00,0.99964,1.0,0.999301
2025-12-27 16:00:00,0.999834,0.999936,0.999561
