,close,high,low
2025-12-04 16:00:00,0.07792,0.0781,0.076961
2025-12-04 20:00:00,0.076046,0.078101,0.074763
2025-12-05 00:00:00,0.075799,0.07647,0.075588
2025-12-05 04:00:00,0.0757,0.07629,0.075585
2025-12-05 08:00:00,0.075553,0.07612,0.074914
2025-12-05 12:00:00,0.07422,0.075692,0.073972
2025-12-05 16:00:00,0.073775,0.074271,0.072914
2025-12-05 20:00:00,0.071101,0.07361,0.069871
2025-12-06 00:00:00,0.071544,0.072087,0.070865
2025-12-06 04:00:00,0.071794,0.071872,0.07075
2025-12-06 08:00:00,0.071667,0.071785,0.070864
2025-12-06 12:00:00,0.071915,0.071915,0.071271
2025-12-06 16:00:00,0.073265,0.073498,0.071887
2025-12-06 20:00:00,0.075342,0.076723,0.073283
2025-12-07 00:00:00,0.075129,0.07617,0.07488
2025-12-07 04:00:00,0.075295,0.075866,0.07489
2025-12-07 08:00:00,0.073994,0.075344,0.073825
2025-12-07 12:00:00,0.072792,0.074037,0.072792
2025-12-07 16:00:00,0.071809,0.073156,0.070333
2025-12-07 20:00:00,0.073671,0.074296,0.071756
2025-12-08 00:00:00,0.070914,0.073856,0.070563
2025-12-08 04:00:00,0.072899,0.073008,0.071005
2025-12-08 08:00:00,0.073507,0.073926,0.072834
2025-12-08 12:00:00,0.073946,0.074717,0.07353
2025-12-08 16:00:00,0.07328,0.074512,0.073042
2025-12-08 20:00:00,0.072324,0.074028,0.072018
2025-12-09 00:00:00,0.072604,0.07334,0.072261
2025-12-09 04:00:00,0.072576,0.072897,0.071791
2025-12-09 08:00:00,0.073525,0.07377,0.071973
2025-12-09 12:00:00,0.073253,0.073726,0.072849
2025-12-09 16:00:00,0.078122,0.078122,0.07358
2025-12-09 20:00:00,0.08124,0.083339,0.07865
2025-12-10 00:00:00,0.081704,0.082129,0.079002
2025-12-10 04:00:00,0.080132,0.0816,0.079252
2025-12-10 08:00:00,0.07976,0.080184,0.078595
2025-12-10 12:00:00,0.078302,0.079773,0.077979
2025-12-10 16:00:00,0.07807,0.07869,0.077924
2025-12-10 20:00:00,0.079028,0.079385,0.077994
2025-12-11 00:00:00,0.077032,0.080364,0.07654
2025-12-11 04:00:00,0.072136,0.077032,0.072136
2025-12-11 08:00:00,0.072519,0.073216,0.071928
2025-12-11 12:00:00,0.07382,0.0739,0.072054
2025-12-11 16:00:00,0.072817,0.073738,0.072754
2025-12-11 20:00:00,0.073268,0.073455,0.072153
2025-12-12 00:00:00,0.073816,0.075126,0.072673
2025-12-12 04:00:00,0.074107,0.07467,0.072677
2025-12-12 08:00:00,0.075072,0.075183,0.073594
2025-12-12 12:00:00,0.074792,0.075838,0.074792
2025-12-12 16:00:00,0.072662,0.075408,0.072662
2025-12-12 20:00:00,0.071212,0.072431,0.070873
2025-12-13 00:00:00,0.072329,0.072608,0.071328
2025-12-13 04:00:00,0.072646,0.072718,0.072067
2025-12-13 08:00:00,0.072302,0.07264,0.071819
2025-12-13 12:00:00,0.072462,0.072884,0.072204
2025-12-13 16:00:00,0.072627,0.072756,0.072237
2025-12-13 20:00:00,0.072955,0.073008,0.072557
2025-12-14 00:00:00,0.072885,0.072909,0.0722
2025-12-14 04:00:00,0.073112,0.073413,0.072576
2025-12-14 08:00:00,0.072217,0.073053,0.071784
2025-12-14 12:00:00,0.070451,0.072206,0.070337
2025-12-14 16:00:00,0.070116,0.071321,0.070055
2025-12-14 20:00:00,0.068879,0.070591,0.068654
2025-12-15 00:00:00,0.068522,0.069232,0.068201
2025-12-15 04:00:00,0.07005,0.070748,0.068288
2025-12-15 08:00:00,0.0701,0.071184,0.070041
2025-12-15 12:00:00,0.070068,0.071294,0.070068
2025-12-15 16:00:00,0.066804,0.070356,0.066214
2025-12-15 20:00:00,0.065551,0.066881,0.06427
2025-12-16 00:00:00,0.067021,0.067111,0.065424
2025-12-16 04:00:00,0.066028,0.067,0.065777
2025-12-16 08:00:00,0.0653,0.066308,0.065246
2025-12-16 12:00:00,0.066439,0.066552,0.065258
2025-12-16 16:00:00,0.066153,0.066504,0.065032
2025-12-16 20:00:00,0.065907,0.066377,0.065222
2025-12-17 00:00:00,0.0658,0.066144,0.065672
2025-12-17 04:00:00,0.06534,0.066002,0.06533
2025-12-17 08:00:00,0.065239,0.065425,0.064645
2025-12-17 12:00:00,0.064839,0.065232,0.064173
2025-12-17 16:00:00,0.063993,0.066501,0.063993
2025-12-17 20:00:00,0.061199,0.064117,0.060416
2025-12-18 00:00:00,0.060647,0.061667,0.060265
2025-12-18 04:00:00,0.059841,0.060852,0.059822
2025-12-18 08:00:00,0.05993,0.060306,0.05936
2025-12-18 12:00:00,0.060443,0.060649,0.060082
2025-12-18 16:00:00,0.062529,0.062791,0.060384
2025-12-18 20:00:00,0.056935,0.062556,0.056935
2025-12-19 00:00:00,0.057894,0.058498,0.056812
2025-12-19 04:00:00,0.059973,0.060219,0.057322
2025-12-19 08:00:00,0.060791,0.061269,0.059985
2025-12-19 12:00:00,0.06121,0.06121,0.0604
2025-12-19 16:00:00,0.06114,0.061682,0.061108
2025-12-19 20:00:00,0.062376,0.062377,0.060611
2025-12-20 00:00:00,0.062492,0.062858,0.062154
2025-12-20 04:00:00,0.062794,0.062823,0.062132
2025-12-20 08:00:00,0.063327,0.063327,0.062269
2025-12-20 12:00:00,0.063651,0.063921,0.062687
2025-12-20 16:00:00,0.064031,0.064651,0.063366
2025-12-20 20:00:00,0.064871,0.065292,0.064135
2025-12-21 00:00:00,0.064786,0.065333,0.064592
2025-12-21 04:00:00,0.063354,0.064683,0.062854
2025-12-21 08:00:00,0.063625,0.06368,0.063019
2025-12-21 12:00:00,0.062802,0.063744,0.062802
2025-12-21 16:00:00,0.061063,0.063107,0.060686
2025-12-21 20:00:00,0.066082,0.067874,0.061093
2025-12-22 00:00:00,0.068586,0.06876,0.063813
2025-12-22 04:00:00,0.073471,0.073945,0.067285
2025-12-22 08:00:00,0.071202,0.073955,0.069283
2025-12-22 12:00:00,0.067357,0.070872,0.067212
2025-12-22 16:00:00,0.065469,0.068062,0.065238
2025-12-22 20:00:00,0.064615,0.06621,0.064615
2025-12-23 00:00:00,0.065091,0.065091,0.064084
2025-12-23 04:00:00,0.064756,0.065628,0.064526
2025-12-23 08:00:00,0.063713,0.064687,0.063713
2025-12-23 12:00:00,0.067098,0.068325,0.063603
2025-12-23 16:00:00,0.067378,0.068103,0.066195
2025-12-23 20:00:00,0.06767,0.06826,0.066387
2025-12-24 00:00:00,0.066677,0.067487,0.066585
2025-12-24 04:00:00,0.065496,0.067086,0.064721
2025-12-24 08:00:00,0.064732,0.065593,0.064365
2025-12-24 12:00:00,0.064287,0.064631,0.063932
2025-12-24 16:00:00,0.065471,0.065645,0.064208
2025-12-24 20:00:00,0.065584,0.065584,0.064891
2025-12-25 00:00:00,0.065314,0.065932,0.065265
2025-12-25 04:00:00,0.066246,0.066286,0.065031
2025-12-25 08:00:00,0.067001,0.067001,0.065941
2025-12-25 12:00:00,0.065918,0.067365,0.065529
2025-12-25 16:00:00,0.065684,0.066057,0.065243
2025-12-25 20:00:00,0.066281,0.06643,0.065536
2025-12-26 00:00:00,0.064047,0.066455,0.064033
2025-12-26 04:00:00,0.065747,0.066339,0.063848
2025-12-26 08:00:00,0.065979,0.068489,0.065517
2025-12-26 12:00:00,0.066439,0.066439,0.065787
2025-12-26 16:00:00,0.065942,0.067082,0.065541
2025-12-26 20:00:00,0.066203,0.066227,0.065013
2025-12-27 00:00:00,0.06567,0.066323,0.065536
2025-12-27 04:00:00,0.066411,0.066488,0.065577
