,close,high,low
2026-01-20 08:00:00,0.999837,0.999837,0.999783
2026-01-20 12:00:00,0.999857,0.999857,0.999809
2026-01-20 16:00:00,0.999895,0.999896,0.99981
2026-01-20 20:00:00,0.999927,0.999932,0.999871
2026-01-21 00:00:00,0.999978,0.999978,0.9999
2026-01-21 04:00:00,0.999824,0.99998,0.999824
2026-01-21 08:00:00,0.999763,0.999881,0.999763
2026-01-21 12:00:00,0.999798,0.99986,0.999759
2026-01-21 16:00:00,0.999718,0.999862,0.999672
2026-01-21 20:00:00,0.999623,0.999804,0.999614
2026-01-22 00:00:00,0.999721,0.999814,0.999623
2026-01-22 04:00:00,0.999724,0.999812,0.999716
2026-01-22 08:00:00,0.999721,0.999814,0.999641
2026-01-22 12:00:00,0.999737,0.999811,0.999642
2026-01-22 16:00:00,0.999876,0.999911,0.999721
2026-01-22 20:00:00,0.999865,0.999898,0.999831
2026-01-23 00:00:00,0.999864,0.999902,0.999863
2026-01-23 04:00:00,0.99997,0.999979,0.999864
2026-01-23 08:00:00,0.999927,0.999962,0.999906
2026-01-23 12:00:00,0.999868,0.999928,0.999864
2026-01-23 16:00:00,0.999904,0.99992,0.999868
2026-01-23 20:00:00,0.999852,0.999904,0.99977
2026-01-24 00:00:00,0.999923,0.999923,0.999852
2026-01-24 04:00:00,0.999946,0.999946,0.999899
2026-01-24 08:00:00,0.999966,0.99998,0.999939
2026-01-24 12:00:00,0.99998,0.99998,0.999966
2026-01-24 16:00:00,0.999978,0.999986,0.999964
2026-01-24 20:00:00,0.999994,0.999998,0.999977
2026-01-25 00:00:00,0.999995,0.999996,0.999994
2026-01-25 04:00:00,0.999994,0.999996,0.999994
2026-01-25 08:00:00,0.999974,0.999995,0.999974
2026-01-25 12:00:00,0.99998,0.999986,0.999974
