,close,high,low
2025-12-04 12:00:00,12.05,12.14,11.4
2025-12-04 16:00:00,11.91,12.26,11.9
2025-12-04 20:00:00,11.7,12.01,11.59
2025-12-05 00:00:00,11.98,11.98,11.67
2025-12-05 04:00:00,11.87,12.02,11.73
2025-12-05 08:00:00,11.87,11.96,11.82
2025-12-05 12:00:00,11.61,12.03,11.57
2025-12-05 16:00:00,11.81,12.22,11.8
2025-12-05 20:00:00,11.69,11.83,11.62
2025-12-06 00:00:00,11.77,11.79,11.47
2025-12-06 04:00:00,11.58,11.77,11.58
2025-12-06 08:00:00,11.59,11.6,11.51
2025-12-06 12:00:00,11.78,11.8,11.58
2025-12-06 16:00:00,11.68,11.79,11.48
2025-12-06 20:00:00,11.77,11.79,11.67
2025-12-07 00:00:00,11.44,11.77,11.42
2025-12-07 04:00:00,11.51,11.53,11.3
2025-12-07 08:00:00,11.45,11.55,11.44
2025-12-07 12:00:00,11.44,11.47,11.35
2025-12-07 16:00:00,11.44,11.59,11.26
2025-12-07 20:00:00,11.26,11.47,11.26
2025-12-08 00:00:00,11.24,11.34,11.15
2025-12-08 04:00:00,11.31,11.35,11.23
2025-12-08 08:00:00,11.66,11.86,11.29
2025-12-08 12:00:00,11.47,11.92,11.45
2025-12-08 16:00:00,11.57,11.63,11.43
2025-12-08 20:00:00,11.4,11.77,11.34
2025-12-09 00:00:00,11.33,11.43,11.28
2025-12-09 04:00:00,11.34,11.36,11.27
2025-12-09 08:00:00,11.38,11.4,11.31
2025-12-09 12:00:00,11.38,11.41,11.32
2025-12-09 16:00:00,11.56,11.57,11.4
2025-12-09 20:00:00,11.56,11.59,11.46
2025-12-10 00:00:00,11.45,11.56,11.37
2025-12-10 04:00:00,11.53,11.57,11.47
2025-12-10 08:00:00,11.48,11.5,11.46
2025-12-10 12:00:00,11.38,11.49,11.29
2025-12-10 16:00:00,11.28,11.44,11.28
2025-12-10 20:00:00,11.48,11.56,11.28
2025-12-11 00:00:00,11.76,11.76,11.47
2025-12-11 04:00:00,11.7,11.77,11.7
