,close,high,low
2025-12-04 20:00:00,0.00500403,0.00524196,0.00464901
2025-12-05 00:00:00,0.00470993,0.00511426,0.00468565
2025-12-05 04:00:00,0.00472654,0.00475845,0.0046919
2025-12-05 08:00:00,0.00459572,0.00472306,0.00457978
2025-12-05 12:00:00,0.00458781,0.00461888,0.00458074
2025-12-05 16:00:00,0.00460646,0.00465008,0.00457276
2025-12-05 20:00:00,0.00441122,0.00460128,0.00437326
2025-12-06 00:00:00,0.00435267,0.0044211,0.00435267
2025-12-06 04:00:00,0.00437166,0.00437934,0.00432062
2025-12-06 08:00:00,0.00440177,0.00440177,0.00433457
2025-12-06 12:00:00,0.00457289,0.00458069,0.00439922
2025-12-06 16:00:00,0.00457491,0.00457855,0.00453423
2025-12-06 20:00:00,0.00458102,0.00462272,0.00457284
2025-12-07 00:00:00,0.00463212,0.00463808,0.00455663
2025-12-07 04:00:00,0.00460014,0.00466438,0.00460014
2025-12-07 08:00:00,0.00458576,0.00461691,0.00456643
2025-12-07 12:00:00,0.00455421,0.00462566,0.00455421
2025-12-07 16:00:00,0.00447296,0.00460326,0.0044181
2025-12-07 20:00:00,0.00456602,0.00457349,0.00445768
2025-12-08 00:00:00,0.00444248,0.00456304,0.00441366
2025-12-08 04:00:00,0.00447279,0.00451348,0.00441388
2025-12-08 08:00:00,0.00449318,0.004545,0.00446272
2025-12-08 12:00:00,0.00451406,0.00453848,0.00447964
2025-12-08 16:00:00,0.00446068,0.00451094,0.00445385
2025-12-08 20:00:00,0.00442978,0.00449352,0.00440145
2025-12-09 00:00:00,0.00443034,0.00447325,0.00442381
2025-12-09 04:00:00,0.0044059,0.00443016,0.00435766
2025-12-09 08:00:00,0.00444168,0.00444561,0.00438311
2025-12-09 12:00:00,0.00439469,0.00444705,0.00437408
2025-12-09 16:00:00,0.0044922,0.0044922,0.00439647
2025-12-09 20:00:00,0.00457537,0.00459043,0.00449761
2025-12-10 00:00:00,0.00455067,0.00457682,0.00450907
2025-12-10 04:00:00,0.00446979,0.00455777,0.00445903
2025-12-10 08:00:00,0.00447359,0.00451174,0.0044562
2025-12-10 12:00:00,0.00435372,0.00447298,0.00434924
2025-12-10 16:00:00,0.00436802,0.00438899,0.00435623
2025-12-10 20:00:00,0.00441418,0.00442901,0.00436303
2025-12-11 00:00:00,0.00439653,0.00446703,0.0043212
2025-12-11 04:00:00,0.0045649,0.00463297,0.0043997
2025-12-11 08:00:00,0.00438605,0.00455951,0.00436505
2025-12-11 12:00:00,0.00451894,0.0045685,0.00431712
2025-12-11 16:00:00,0.00444338,0.00450554,0.00441544
2025-12-11 20:00:00,0.00443958,0.00445067,0.00438554
2025-12-12 00:00:00,0.0044533,0.0045496,0.00443056
2025-12-12 04:00:00,0.00446369,0.00449087,0.00438956
2025-12-12 08:00:00,0.00440708,0.00446757,0.00440708
2025-12-12 12:00:00,0.00433919,0.00437625,0.00430957
2025-12-12 16:00:00,0.00431168,0.00439368,0.00431168
2025-12-12 20:00:00,0.00425957,0.00429304,0.00421713
2025-12-13 00:00:00,0.00454921,0.00455611,0.00425759
2025-12-13 04:00:00,0.00450025,0.00463168,0.00445776
2025-12-13 08:00:00,0.00453528,0.00454679,0.00447736
2025-12-13 12:00:00,0.00448981,0.00453223,0.00447979
2025-12-13 16:00:00,0.00446645,0.00451816,0.00443502
2025-12-13 20:00:00,0.00455448,0.00457553,0.00448886
2025-12-14 00:00:00,0.00456317,0.00456329,0.00454131
2025-12-14 04:00:00,0.00448492,0.00455874,0.00448492
2025-12-14 08:00:00,0.00442599,0.00448878,0.00441721
2025-12-14 12:00:00,0.00444547,0.00444921,0.00441505
2025-12-14 16:00:00,0.00441471,0.00444308,0.00438239
2025-12-14 20:00:00,0.00458088,0.00458088,0.00440835
2025-12-15 00:00:00,0.00460388,0.00495771,0.00457234
2025-12-15 04:00:00,0.00479813,0.00502831,0.00460131
2025-12-15 08:00:00,0.00461537,0.0047994,0.00461537
2025-12-15 12:00:00,0.00447093,0.00463682,0.00440175
2025-12-15 16:00:00,0.0043634,0.00449276,0.00434689
2025-12-15 20:00:00,0.00427484,0.00435826,0.00424889
2025-12-16 00:00:00,0.00427092,0.00427431,0.00422716
2025-12-16 04:00:00,0.00422873,0.00427236,0.00420973
2025-12-16 08:00:00,0.00421372,0.00424167,0.00420013
2025-12-16 12:00:00,0.00430804,0.00431511,0.00421186
2025-12-16 16:00:00,0.00428938,0.00436495,0.00425495
2025-12-16 20:00:00,0.00423963,0.00429295,0.00422038
2025-12-17 00:00:00,0.0042515,0.00426639,0.00422389
2025-12-17 04:00:00,0.00424912,0.00429973,0.00421066
2025-12-17 08:00:00,0.00422975,0.00424964,0.00421659
2025-12-17 12:00:00,0.00410139,0.00422468,0.00408581
2025-12-17 16:00:00,0.00409693,0.00416878,0.00395212
2025-12-17 20:00:00,0.00431153,0.00451337,0.00409101
2025-12-18 00:00:00,0.00424119,0.00433703,0.00424061
2025-12-18 04:00:00,0.00435026,0.00448705,0.00422281
2025-12-18 08:00:00,0.00416806,0.00436671,0.00414976
2025-12-18 12:00:00,0.00403216,0.00418582,0.00401337
2025-12-18 16:00:00,0.00413438,0.00414236,0.00400624
2025-12-18 20:00:00,0.00410465,0.00413054,0.00404872
2025-12-19 00:00:00,0.00415849,0.00421689,0.00410488
2025-12-19 04:00:00,0.00419018,0.00420129,0.00413076
2025-12-19 08:00:00,0.00424186,0.00425039,0.00418795
2025-12-19 12:00:00,0.00424612,0.0042707,0.00423571
2025-12-19 16:00:00,0.00424259,0.00426324,0.00422474
2025-12-19 20:00:00,0.00422651,0.00424926,0.00419922
2025-12-20 00:00:00,0.00424932,0.00442561,0.00420939
2025-12-20 04:00:00,0.00416802,0.00448306,0.00412791
2025-12-20 08:00:00,0.00421883,0.00422187,0.00417237
2025-12-20 12:00:00,0.00421431,0.00422903,0.00416833
2025-12-20 16:00:00,0.00419926,0.00423679,0.00419014
2025-12-20 20:00:00,0.00419612,0.00421256,0.00418047
2025-12-21 00:00:00,0.00426228,0.00427048,0.00418916
2025-12-21 04:00:00,0.00420329,0.00428103,0.00418638
2025-12-21 08:00:00,0.00422626,0.00422734,0.00419289
2025-12-21 12:00:00,0.00420742,0.00424754,0.00420226
2025-12-21 16:00:00,0.00417986,0.00421302,0.00413535
2025-12-21 20:00:00,0.00415758,0.0041892,0.00415758
2025-12-22 00:00:00,0.00418351,0.00419128,0.00413916
2025-12-22 04:00:00,0.00418584,0.004212,0.00416179
2025-12-22 08:00:00,0.00414231,0.00419243,0.00414231
2025-12-22 12:00:00,0.00422341,0.00422341,0.00411994
2025-12-22 16:00:00,0.00432051,0.00434423,0.00423628
2025-12-22 20:00:00,0.00430807,0.00437876,0.00429415
2025-12-23 00:00:00,0.00429298,0.00434442,0.00427687
2025-12-23 04:00:00,0.00426442,0.00434593,0.00426372
2025-12-23 08:00:00,0.00423312,0.00426411,0.00422719
2025-12-23 12:00:00,0.00428302,0.00430348,0.00421935
2025-12-23 16:00:00,0.00427721,0.00435152,0.00426823
2025-12-23 20:00:00,0.0042662,0.00429277,0.00425086
2025-12-24 00:00:00,0.0043125,0.0043125,0.00426609
2025-12-24 04:00:00,0.00426162,0.00432689,0.00425016
2025-12-24 08:00:00,0.00430811,0.00431296,0.00426331
2025-12-24 12:00:00,0.00427959,0.00431303,0.00425903
2025-12-24 16:00:00,0.00428302,0.00431305,0.00427502
2025-12-24 20:00:00,0.0042913,0.00431449,0.00428109
2025-12-25 00:00:00,0.00432642,0.00432642,0.00427742
2025-12-25 04:00:00,0.00429332,0.00433348,0.00429332
2025-12-25 08:00:00,0.0043682,0.00437099,0.00429536
2025-12-25 12:00:00,0.00527141,0.00527141,0.00432405
2025-12-25 16:00:00,0.00478894,0.00654011,0.00464944
2025-12-25 20:00:00,0.00434725,0.00473294,0.00432489
2025-12-26 00:00:00,0.00413779,0.00434808,0.00409951
2025-12-26 04:00:00,0.00421141,0.00421976,0.00413865
2025-12-26 08:00:00,0.00428169,0.00443899,0.00420823
2025-12-26 12:00:00,0.00437585,0.0046104,0.00428313
2025-12-26 16:00:00,0.00422346,0.00437384,0.00421822
2025-12-26 20:00:00,0.00419958,0.00423981,0.00416888
2025-12-27 00:00:00,0.00439474,0.00447877,0.00416149
2025-12-27 04:00:00,0.00427967,0.00439542,0.00424316
2025-12-27 08:00:00,0.00422681,0.00434936,0.00422447
2025-12-27 12:00:00,0.0042275,0.00425909,0.00421976
2025-12-27 16:00:00,0.00422693,0.00426003,0.00418452
2025-12-27 20:00:00,0.00429077,0.00429077,0.0042196
2025-12-28 00:00:00,0.00428469,0.00431822,0.0042465
2025-12-28 04:00:00,0.0042684,0.0042805,0.00425794
2025-12-28 08:00:00,0.00423268,0.0042762,0.004206
2025-12-28 12:00:00,0.0042832,0.00433042,0.00422141
2025-12-28 16:00:00,0.00437267,0.00439436,0.00427719
2025-12-28 20:00:00,0.00430614,0.00437723,0.00425598
2025-12-29 00:00:00,0.00421883,0.0042875,0.00420549
2025-12-29 04:00:00,0.00424557,0.00424557,0.00419537
2025-12-29 08:00:00,0.00433374,0.00435116,0.00421712
2025-12-29 12:00:00,0.00429069,0.0043475,0.00427563
2025-12-29 16:00:00,0.0042362,0.00428956,0.0042362
2025-12-29 20:00:00,0.00422193,0.00423861,0.00421066
2025-12-30 00:00:00,0.00423109,0.00423596,0.00421251
2025-12-30 04:00:00,0.00421943,0.00423724,0.00420166
2025-12-30 08:00:00,0.00432067,0.00433511,0.00417158
2025-12-30 12:00:00,0.00427265,0.00433261,0.00422984
2025-12-30 16:00:00,0.00436456,0.00436477,0.00426397
2025-12-30 20:00:00,0.00435705,0.0043861,0.00428731
2025-12-31 00:00:00,0.00431267,0.00437015,0.00430214
2025-12-31 04:00:00,0.00431011,0.00432021,0.00429338
2025-12-31 08:00:00,0.00434601,0.00437295,0.00430682
2025-12-31 12:00:00,0.00438966,0.00438966,0.00432542
2025-12-31 16:00:00,0.00434393,0.0044015,0.00433954
2025-12-31 20:00:00,0.00432183,0.0043447,0.00431982
2026-01-01 00:00:00,0.00433434,0.00435539,0.00430581
2026-01-01 04:00:00,0.00427988,0.00433696,0.00427988
2026-01-01 08:00:00,0.00424463,0.00428345,0.00423673
2026-01-01 12:00:00,0.00411875,0.00423658,0.00411875
2026-01-01 16:00:00,0.00419393,0.00419607,0.00412109
2026-01-01 20:00:00,0.00425622,0.0042681,0.00416719
2026-01-02 00:00:00,0.00422483,0.00425998,0.00422382
2026-01-02 04:00:00,0.00422233,0.00422473,0.00420527
2026-01-02 08:00:00,0.0042273,0.00425454,0.00418881
2026-01-02 12:00:00,0.00421217,0.00426438,0.00421217
2026-01-02 16:00:00,0.00426944,0.00427752,0.00417943
2026-01-02 20:00:00,0.00429439,0.00430719,0.00426665
2026-01-03 00:00:00,0.00428459,0.00431789,0.00428262
2026-01-03 04:00:00,0.00436493,0.0044,0.00428979
2026-01-03 08:00:00,0.00428756,0.0043697,0.00428756
2026-01-03 12:00:00,0.00431323,0.0043206,0.00427998
2026-01-03 16:00:00,0.00430984,0.00432041,0.00430007
