,close,high,low
2025-12-04 16:00:00,0.115427,0.116209,0.114006
2025-12-04 20:00:00,0.113465,0.116024,0.111442
2025-12-05 00:00:00,0.11267,0.113482,0.112417
2025-12-05 04:00:00,0.111967,0.112795,0.11193
2025-12-05 08:00:00,0.111712,0.112217,0.110278
2025-12-05 12:00:00,0.109138,0.111585,0.1086
2025-12-05 16:00:00,0.109393,0.110574,0.108149
2025-12-05 20:00:00,0.106365,0.109351,0.105692
2025-12-06 00:00:00,0.107997,0.108229,0.106234
2025-12-06 04:00:00,0.117651,0.117772,0.107529
2025-12-06 08:00:00,0.113505,0.117873,0.111151
2025-12-06 12:00:00,0.109276,0.113719,0.109188
2025-12-06 16:00:00,0.110491,0.110504,0.109246
2025-12-06 20:00:00,0.110611,0.111562,0.110371
2025-12-07 00:00:00,0.109972,0.111618,0.109599
2025-12-07 04:00:00,0.110885,0.111026,0.109321
2025-12-07 08:00:00,0.109235,0.110924,0.108791
2025-12-07 12:00:00,0.108659,0.109619,0.108356
2025-12-07 16:00:00,0.107713,0.109317,0.104896
2025-12-07 20:00:00,0.111986,0.11212,0.107924
2025-12-08 00:00:00,0.108309,0.11203,0.107354
2025-12-08 04:00:00,0.109119,0.111769,0.105897
2025-12-08 08:00:00,0.108746,0.109273,0.108354
2025-12-08 12:00:00,0.108937,0.109533,0.108644
2025-12-08 16:00:00,0.108185,0.110121,0.107869
2025-12-08 20:00:00,0.107319,0.108858,0.107057
2025-12-09 00:00:00,0.107854,0.108373,0.106994
2025-12-09 04:00:00,0.107333,0.108553,0.106367
2025-12-09 08:00:00,0.107302,0.107349,0.106077
2025-12-09 12:00:00,0.106648,0.107565,0.106322
2025-12-09 16:00:00,0.110717,0.110717,0.106743
2025-12-09 20:00:00,0.110362,0.112776,0.110312
2025-12-10 00:00:00,0.10957,0.110507,0.109119
2025-12-10 04:00:00,0.108665,0.109509,0.107804
2025-12-10 08:00:00,0.108899,0.109468,0.108382
2025-12-10 12:00:00,0.106927,0.109041,0.106911
2025-12-10 16:00:00,0.10691,0.107379,0.10639
2025-12-10 20:00:00,0.108368,0.108368,0.106775
2025-12-11 00:00:00,0.106306,0.109483,0.105763
2025-12-11 04:00:00,0.102254,0.106597,0.101841
2025-12-11 08:00:00,0.102838,0.1041,0.102196
2025-12-11 12:00:00,0.10363,0.104023,0.102388
