,close,high,low
2025-12-04 04:00:00,0.03783622,0.03889547,0.03783622
2025-12-04 08:00:00,0.03735147,0.03798911,0.03735147
2025-12-04 12:00:00,0.03680818,0.03725952,0.03672812
2025-12-04 16:00:00,0.03734373,0.0373828,0.03667122
2025-12-04 20:00:00,0.03707726,0.03747575,0.03611027
2025-12-05 00:00:00,0.03762096,0.03799898,0.03706394
2025-12-05 04:00:00,0.03806071,0.03822965,0.03744528
2025-12-05 08:00:00,0.03644799,0.03822324,0.03644799
2025-12-05 12:00:00,0.03575871,0.03654514,0.0351788
2025-12-05 16:00:00,0.03469832,0.03572358,0.03469832
2025-12-05 20:00:00,0.03372731,0.03455111,0.03299365
2025-12-06 00:00:00,0.03361081,0.03374138,0.03295873
2025-12-06 04:00:00,0.03367595,0.03374252,0.03319121
2025-12-06 08:00:00,0.03310147,0.03370289,0.03292765
2025-12-06 12:00:00,0.03298578,0.03334203,0.03289824
2025-12-06 16:00:00,0.03361204,0.03364139,0.03264539
2025-12-06 20:00:00,0.03308239,0.03375663,0.03308239
2025-12-07 00:00:00,0.03303763,0.03342234,0.0329105
2025-12-07 04:00:00,0.03307023,0.03326722,0.0328774
2025-12-07 08:00:00,0.03314032,0.03348631,0.03296698
2025-12-07 12:00:00,0.03313672,0.033384,0.03262914
2025-12-07 16:00:00,0.03257463,0.03344479,0.03220508
2025-12-07 20:00:00,0.03333639,0.03335311,0.03222202
2025-12-08 00:00:00,0.0319864,0.03396334,0.0319864
2025-12-08 04:00:00,0.03274298,0.03282077,0.03172247
2025-12-08 08:00:00,0.03384378,0.03384378,0.03263687
2025-12-08 12:00:00,0.03301368,0.03384274,0.03301368
2025-12-08 16:00:00,0.0324142,0.03310108,0.0324142
2025-12-08 20:00:00,0.03238971,0.03290891,0.03217883
2025-12-09 00:00:00,0.03278456,0.0328731,0.03233176
2025-12-09 04:00:00,0.03212223,0.03305719,0.03179935
2025-12-09 08:00:00,0.03252674,0.03258253,0.03177868
2025-12-09 12:00:00,0.03262266,0.03270813,0.03218562
2025-12-09 16:00:00,0.03522687,0.03522687,0.0326458
2025-12-09 20:00:00,0.03494606,0.03600988,0.03481289
2025-12-10 00:00:00,0.03498418,0.03517279,0.03417382
2025-12-10 04:00:00,0.03476953,0.03505074,0.03437606
2025-12-10 08:00:00,0.03518568,0.03564746,0.03477101
2025-12-10 12:00:00,0.03477452,0.03539966,0.03463583
2025-12-10 16:00:00,0.03534678,0.03579289,0.03469831
2025-12-10 20:00:00,0.0359752,0.03607212,0.03516538
2025-12-11 00:00:00,0.03421757,0.03626337,0.03421757
2025-12-11 04:00:00,0.0325237,0.03432548,0.03250448
