,close,high,low
2025-12-15 00:00:00,0.134068,0.134916,0.133814
2025-12-15 04:00:00,0.135943,0.137032,0.13395
2025-12-15 08:00:00,0.134953,0.136517,0.134953
2025-12-15 12:00:00,0.133811,0.135637,0.133706
2025-12-15 16:00:00,0.129046,0.134427,0.128773
2025-12-15 20:00:00,0.128124,0.129368,0.126421
2025-12-16 00:00:00,0.129265,0.129308,0.127432
2025-12-16 04:00:00,0.128325,0.129274,0.127607
2025-12-16 08:00:00,0.127554,0.128789,0.12738
2025-12-16 12:00:00,0.130543,0.130599,0.127596
2025-12-16 16:00:00,0.13045,0.130758,0.129031
2025-12-16 20:00:00,0.130536,0.13096,0.129442
2025-12-17 00:00:00,0.129755,0.130599,0.129499
2025-12-17 04:00:00,0.128549,0.129842,0.128509
2025-12-17 08:00:00,0.128831,0.128897,0.127399
2025-12-17 12:00:00,0.127936,0.128767,0.127385
2025-12-17 16:00:00,0.127726,0.131276,0.127414
2025-12-17 20:00:00,0.124378,0.127488,0.123281
2025-12-18 00:00:00,0.124014,0.125189,0.123772
2025-12-18 04:00:00,0.122833,0.124171,0.122791
2025-12-18 08:00:00,0.12251,0.123269,0.121666
2025-12-18 12:00:00,0.123306,0.123741,0.122486
2025-12-18 16:00:00,0.126032,0.126865,0.123354
2025-12-18 20:00:00,0.117093,0.125609,0.117093
2025-12-19 00:00:00,0.11887,0.119624,0.11672
2025-12-19 04:00:00,0.120629,0.120884,0.11724
2025-12-19 08:00:00,0.120899,0.122114,0.120088
2025-12-19 12:00:00,0.120268,0.121026,0.119922
2025-12-19 16:00:00,0.120922,0.121546,0.119844
2025-12-19 20:00:00,0.122523,0.122583,0.120117
2025-12-20 00:00:00,0.122211,0.122791,0.122017
2025-12-20 04:00:00,0.122365,0.122412,0.1217
2025-12-20 08:00:00,0.12289,0.12289,0.121779
2025-12-20 12:00:00,0.123342,0.124047,0.122545
2025-12-20 16:00:00,0.12196,0.123509,0.121828
2025-12-20 20:00:00,0.121241,0.122301,0.121177
2025-12-21 00:00:00,0.121909,0.122015,0.121137
2025-12-21 04:00:00,0.120944,0.122297,0.120062
2025-12-21 08:00:00,0.121776,0.121792,0.120651
2025-12-21 12:00:00,0.120684,0.122234,0.120684
2025-12-21 16:00:00,0.119161,0.121159,0.117983
2025-12-21 20:00:00,0.118697,0.119458,0.118364
2025-12-22 00:00:00,0.11985,0.120145,0.118039
2025-12-22 04:00:00,0.120939,0.12133,0.119451
2025-12-22 08:00:00,0.120287,0.121129,0.120104
2025-12-22 12:00:00,0.121568,0.121568,0.120217
2025-12-22 16:00:00,0.121471,0.122212,0.121302
2025-12-22 20:00:00,0.120267,0.122334,0.120267
2025-12-23 00:00:00,0.121222,0.121333,0.119647
2025-12-23 04:00:00,0.120689,0.121951,0.120412
2025-12-23 08:00:00,0.11924,0.120763,0.119045
2025-12-23 12:00:00,0.119897,0.119918,0.118809
2025-12-23 16:00:00,0.118201,0.119869,0.117427
2025-12-23 20:00:00,0.118532,0.119373,0.117933
2025-12-24 00:00:00,0.117347,0.119124,0.117224
2025-12-24 04:00:00,0.116716,0.11807,0.115749
2025-12-24 08:00:00,0.114944,0.11697,0.11479
2025-12-24 12:00:00,0.115099,0.115435,0.114624
2025-12-24 16:00:00,0.115884,0.115934,0.11448
2025-12-24 20:00:00,0.115305,0.116171,0.115041
2025-12-25 00:00:00,0.116348,0.116557,0.115372
2025-12-25 04:00:00,0.117683,0.117683,0.116221
2025-12-25 08:00:00,0.11785,0.11785,0.117075
2025-12-25 12:00:00,0.119781,0.119781,0.117587
2025-12-25 16:00:00,0.12394,0.124985,0.120212
2025-12-25 20:00:00,0.126907,0.127113,0.123563
2025-12-26 00:00:00,0.123529,0.128589,0.12296
2025-12-26 04:00:00,0.124385,0.126074,0.121377
2025-12-26 08:00:00,0.122164,0.124362,0.122164
2025-12-26 12:00:00,0.122865,0.122969,0.121929
2025-12-26 16:00:00,0.121171,0.123594,0.121168
2025-12-26 20:00:00,0.120907,0.120976,0.119944
2025-12-27 00:00:00,0.119753,0.12131,0.11939
2025-12-27 04:00:00,0.120889,0.121049,0.119144
2025-12-27 08:00:00,0.120592,0.120915,0.120294
2025-12-27 12:00:00,0.123175,0.123175,0.119146
2025-12-27 16:00:00,0.125612,0.129376,0.123856
2025-12-27 20:00:00,0.124719,0.125715,0.124432
2025-12-28 00:00:00,0.126888,0.127554,0.124357
2025-12-28 04:00:00,0.126075,0.127651,0.125808
2025-12-28 08:00:00,0.125927,0.12662,0.125392
2025-12-28 12:00:00,0.125365,0.126083,0.125274
2025-12-28 16:00:00,0.124784,0.125565,0.124033
2025-12-28 20:00:00,0.122698,0.1248,0.122698
2025-12-29 00:00:00,0.12447,0.12447,0.12239
2025-12-29 04:00:00,0.127892,0.128432,0.124178
2025-12-29 08:00:00,0.134627,0.134682,0.128241
2025-12-29 12:00:00,0.130586,0.135929,0.129023
2025-12-29 16:00:00,0.145726,0.151428,0.128116
2025-12-29 20:00:00,0.138855,0.145033,0.13445
2025-12-30 00:00:00,0.139031,0.141469,0.136265
2025-12-30 04:00:00,0.17404,0.193805,0.138835
2025-12-30 08:00:00,0.169587,0.175293,0.160284
2025-12-30 12:00:00,0.177596,0.188154,0.164031
2025-12-30 16:00:00,0.164334,0.17622,0.164334
2025-12-30 20:00:00,0.17184,0.173514,0.163621
2025-12-31 00:00:00,0.168919,0.173822,0.166877
2025-12-31 04:00:00,0.156324,0.168544,0.153744
2025-12-31 08:00:00,0.152113,0.15685,0.152113
2025-12-31 12:00:00,0.150076,0.152167,0.149208
2025-12-31 16:00:00,0.145705,0.149798,0.145481
2025-12-31 20:00:00,0.142719,0.146732,0.14253
2026-01-01 00:00:00,0.140801,0.144119,0.140801
2026-01-01 04:00:00,0.139222,0.141425,0.13562
2026-01-01 08:00:00,0.137393,0.13948,0.136747
2026-01-01 12:00:00,0.139511,0.139662,0.135491
2026-01-01 16:00:00,0.136828,0.143023,0.136121
2026-01-01 20:00:00,0.140705,0.140876,0.136405
2026-01-02 00:00:00,0.137871,0.141433,0.137871
2026-01-02 04:00:00,0.138595,0.139288,0.136261
2026-01-02 08:00:00,0.138475,0.139007,0.137013
2026-01-02 12:00:00,0.138098,0.141166,0.138024
2026-01-02 16:00:00,0.139442,0.140022,0.138125
2026-01-02 20:00:00,0.139919,0.141588,0.138955
2026-01-03 00:00:00,0.142523,0.142749,0.139147
2026-01-03 04:00:00,0.146637,0.147641,0.141179
2026-01-03 08:00:00,0.144578,0.148107,0.143218
2026-01-03 12:00:00,0.144109,0.146565,0.142952
2026-01-03 16:00:00,0.14948,0.150869,0.143243
2026-01-03 20:00:00,0.1478,0.14986,0.145832
2026-01-04 00:00:00,0.148392,0.148392,0.146557
2026-01-04 04:00:00,0.151576,0.154688,0.146129
2026-01-04 08:00:00,0.15041,0.151805,0.148155
2026-01-04 12:00:00,0.149602,0.151514,0.149168
2026-01-04 16:00:00,0.15069,0.152454,0.148248
2026-01-04 20:00:00,0.148013,0.151105,0.147831
2026-01-05 00:00:00,0.145735,0.148,0.145735
2026-01-05 04:00:00,0.145943,0.147227,0.144886
2026-01-05 08:00:00,0.144198,0.146177,0.142973
2026-01-05 12:00:00,0.14537,0.14537,0.142875
2026-01-05 16:00:00,0.149192,0.150178,0.143779
2026-01-05 20:00:00,0.149133,0.150273,0.148187
2026-01-06 00:00:00,0.150179,0.15019,0.147761
2026-01-06 04:00:00,0.15095,0.151194,0.148558
2026-01-06 08:00:00,0.148484,0.151539,0.148484
2026-01-06 12:00:00,0.149398,0.14988,0.147849
2026-01-06 16:00:00,0.149243,0.1514,0.148998
2026-01-06 20:00:00,0.145901,0.149948,0.144144
2026-01-07 00:00:00,0.150043,0.150134,0.145947
2026-01-07 04:00:00,0.147268,0.150578,0.147164
2026-01-07 08:00:00,0.146719,0.147288,0.145244
2026-01-07 12:00:00,0.145653,0.147271,0.144156
2026-01-07 16:00:00,0.1431,0.146015,0.14287
2026-01-07 20:00:00,0.144151,0.144167,0.143048
2026-01-08 00:00:00,0.143534,0.144161,0.141871
2026-01-08 04:00:00,0.14334,0.145942,0.142952
2026-01-08 08:00:00,0.142978,0.144524,0.140405
2026-01-08 12:00:00,0.140493,0.143084,0.139592
2026-01-08 16:00:00,0.141247,0.14136,0.138185
2026-01-08 20:00:00,0.140993,0.141541,0.140521
2026-01-09 00:00:00,0.140772,0.141372,0.139691
2026-01-09 04:00:00,0.140767,0.141617,0.140509
2026-01-09 08:00:00,0.140639,0.141204,0.140385
2026-01-09 12:00:00,0.140225,0.140912,0.138838
2026-01-09 16:00:00,0.142887,0.143035,0.139748
2026-01-09 20:00:00,0.142349,0.144475,0.141516
2026-01-10 00:00:00,0.143721,0.143902,0.141494
2026-01-10 04:00:00,0.142105,0.144246,0.141778
2026-01-10 08:00:00,0.143862,0.144117,0.141524
2026-01-10 12:00:00,0.143613,0.145225,0.142947
2026-01-10 16:00:00,0.142247,0.144333,0.142243
2026-01-10 20:00:00,0.143382,0.143382,0.141455
2026-01-11 00:00:00,0.141911,0.144001,0.141599
2026-01-11 04:00:00,0.140171,0.141883,0.140171
2026-01-11 08:00:00,0.139142,0.140344,0.13902
2026-01-11 12:00:00,0.139093,0.13982,0.138817
2026-01-11 16:00:00,0.136775,0.13925,0.136775
2026-01-11 20:00:00,0.13722,0.137951,0.136738
2026-01-12 00:00:00,0.13493,0.137123,0.13462
2026-01-12 04:00:00,0.136991,0.138377,0.133751
2026-01-12 08:00:00,0.134695,0.137232,0.134643
2026-01-12 12:00:00,0.134923,0.135407,0.13394
2026-01-12 16:00:00,0.137281,0.137407,0.133481
2026-01-12 20:00:00,0.137659,0.140084,0.137189
2026-01-13 00:00:00,0.137192,0.138379,0.136484
2026-01-13 04:00:00,0.137798,0.139292,0.136248
2026-01-13 08:00:00,0.138271,0.139892,0.137752
2026-01-13 12:00:00,0.142236,0.142444,0.138357
2026-01-13 16:00:00,0.143239,0.144095,0.141407
2026-01-13 20:00:00,0.143494,0.143494,0.141996
