,close,high,low
2025-12-15 00:00:00,0.434979,0.436188,0.432044
2025-12-15 04:00:00,0.434247,0.440773,0.432612
2025-12-15 08:00:00,0.431231,0.434707,0.431231
2025-12-15 12:00:00,0.43008,0.431959,0.429272
2025-12-15 16:00:00,0.416962,0.430088,0.416962
2025-12-15 20:00:00,0.411289,0.415665,0.404258
2025-12-16 00:00:00,0.406642,0.410096,0.403439
2025-12-16 04:00:00,0.402463,0.407345,0.399741
2025-12-16 08:00:00,0.396907,0.405056,0.396517
2025-12-16 12:00:00,0.406199,0.406848,0.397256
2025-12-16 16:00:00,0.402477,0.406901,0.397606
2025-12-16 20:00:00,0.400954,0.403711,0.398675
2025-12-17 00:00:00,0.405842,0.412484,0.400809
2025-12-17 04:00:00,0.403465,0.40747,0.402338
2025-12-17 08:00:00,0.403022,0.404423,0.400357
2025-12-17 12:00:00,0.395749,0.403183,0.3951
2025-12-17 16:00:00,0.395768,0.408564,0.395162
2025-12-17 20:00:00,0.386657,0.395459,0.383451
2025-12-18 00:00:00,0.385153,0.387279,0.384543
2025-12-18 04:00:00,0.380681,0.386103,0.380413
2025-12-18 08:00:00,0.370502,0.381589,0.369856
2025-12-18 12:00:00,0.368784,0.373795,0.367301
2025-12-18 16:00:00,0.375205,0.379741,0.367886
2025-12-18 20:00:00,0.351827,0.374946,0.351827
2025-12-19 00:00:00,0.355239,0.357033,0.351842
2025-12-19 04:00:00,0.362729,0.363332,0.350534
2025-12-19 08:00:00,0.36626,0.367653,0.362116
2025-12-19 12:00:00,0.36748,0.367926,0.365528
2025-12-19 16:00:00,0.371171,0.37166,0.366601
2025-12-19 20:00:00,0.378878,0.379455,0.370892
2025-12-20 00:00:00,0.380613,0.38134,0.376016
2025-12-20 04:00:00,0.37696,0.383578,0.375567
2025-12-20 08:00:00,0.379223,0.379223,0.3734
2025-12-20 12:00:00,0.379108,0.380977,0.376929
2025-12-20 16:00:00,0.376136,0.379214,0.375938
2025-12-20 20:00:00,0.375912,0.376432,0.374268
2025-12-21 00:00:00,0.376268,0.376841,0.374408
2025-12-21 04:00:00,0.372646,0.377664,0.370312
2025-12-21 08:00:00,0.371225,0.372998,0.370544
2025-12-21 12:00:00,0.371589,0.378106,0.370687
2025-12-21 16:00:00,0.366339,0.372257,0.363774
2025-12-21 20:00:00,0.36632,0.367338,0.363781
2025-12-22 00:00:00,0.366171,0.36886,0.363175
2025-12-22 04:00:00,0.371209,0.382205,0.366824
2025-12-22 08:00:00,0.374757,0.375449,0.371201
2025-12-22 12:00:00,0.376393,0.378115,0.373923
2025-12-22 16:00:00,0.379506,0.381417,0.376048
2025-12-22 20:00:00,0.378804,0.385344,0.378693
2025-12-23 00:00:00,0.37536,0.377826,0.371466
2025-12-23 04:00:00,0.372864,0.376746,0.371884
2025-12-23 08:00:00,0.368544,0.372285,0.366333
2025-12-23 12:00:00,0.371611,0.373619,0.368946
2025-12-23 16:00:00,0.37062,0.372258,0.368709
2025-12-23 20:00:00,0.37631,0.37763,0.371327
2025-12-24 00:00:00,0.372909,0.378155,0.372685
2025-12-24 04:00:00,0.369682,0.372354,0.366095
2025-12-24 08:00:00,0.368712,0.370518,0.365592
2025-12-24 12:00:00,0.36481,0.368505,0.363893
2025-12-24 16:00:00,0.36613,0.366808,0.363452
2025-12-24 20:00:00,0.368009,0.368237,0.366289
2025-12-25 00:00:00,0.369321,0.37038,0.368176
2025-12-25 04:00:00,0.373663,0.373845,0.369019
2025-12-25 08:00:00,0.373317,0.375085,0.371658
2025-12-25 12:00:00,0.372389,0.37501,0.370446
2025-12-25 16:00:00,0.372971,0.375884,0.370681
2025-12-25 20:00:00,0.372597,0.375638,0.372568
2025-12-26 00:00:00,0.366372,0.374295,0.366372
2025-12-26 04:00:00,0.372258,0.374309,0.365867
2025-12-26 08:00:00,0.37278,0.374921,0.371516
2025-12-26 12:00:00,0.373817,0.374428,0.372631
2025-12-26 16:00:00,0.367597,0.374321,0.366449
2025-12-26 20:00:00,0.365715,0.367043,0.363219
2025-12-27 00:00:00,0.36491,0.366123,0.364001
2025-12-27 04:00:00,0.366914,0.367179,0.364676
2025-12-27 08:00:00,0.367162,0.368404,0.367106
2025-12-27 12:00:00,0.368575,0.368575,0.364398
2025-12-27 16:00:00,0.371088,0.371801,0.369009
2025-12-27 20:00:00,0.372973,0.372973,0.370282
2025-12-28 00:00:00,0.379659,0.380136,0.372691
2025-12-28 04:00:00,0.375613,0.378555,0.374909
2025-12-28 08:00:00,0.376553,0.377335,0.375082
2025-12-28 12:00:00,0.373504,0.377052,0.373213
2025-12-28 16:00:00,0.374578,0.375789,0.37097
2025-12-28 20:00:00,0.372591,0.375628,0.370188
2025-12-29 00:00:00,0.373959,0.373959,0.371282
2025-12-29 04:00:00,0.383515,0.384545,0.372967
2025-12-29 08:00:00,0.384831,0.388076,0.382518
2025-12-29 12:00:00,0.38153,0.385053,0.377887
2025-12-29 16:00:00,0.379061,0.383929,0.375123
2025-12-29 20:00:00,0.376326,0.379128,0.375392
2025-12-30 00:00:00,0.374151,0.376953,0.373529
2025-12-30 04:00:00,0.376068,0.376549,0.373587
2025-12-30 08:00:00,0.369749,0.376741,0.369486
2025-12-30 12:00:00,0.374471,0.374612,0.370508
2025-12-30 16:00:00,0.373923,0.376459,0.373361
2025-12-30 20:00:00,0.371792,0.37467,0.37139
2025-12-31 00:00:00,0.371711,0.372229,0.37022
2025-12-31 04:00:00,0.372607,0.376722,0.371124
2025-12-31 08:00:00,0.369514,0.373622,0.367925
2025-12-31 12:00:00,0.370353,0.370727,0.367168
2025-12-31 16:00:00,0.362397,0.370766,0.362291
2025-12-31 20:00:00,0.35256,0.363411,0.35256
2026-01-01 00:00:00,0.353726,0.354432,0.350306
2026-01-01 04:00:00,0.351463,0.355409,0.351463
2026-01-01 08:00:00,0.349526,0.350882,0.345968
