,close,high,low
2025-12-15 00:00:00,0.179692,0.182854,0.178965
2025-12-15 04:00:00,0.18273,0.183574,0.17972
2025-12-15 08:00:00,0.178609,0.183023,0.178609
2025-12-15 12:00:00,0.178174,0.179533,0.176208
2025-12-15 16:00:00,0.179243,0.181399,0.177994
2025-12-15 20:00:00,0.178722,0.179688,0.177015
2025-12-16 00:00:00,0.177688,0.179412,0.176598
2025-12-16 04:00:00,0.174992,0.177914,0.172409
2025-12-16 08:00:00,0.176385,0.176385,0.174383
2025-12-16 12:00:00,0.177813,0.178945,0.176367
2025-12-16 16:00:00,0.176441,0.178658,0.176363
2025-12-16 20:00:00,0.174258,0.176143,0.173849
2025-12-17 00:00:00,0.173456,0.174384,0.172716
2025-12-17 04:00:00,0.17512,0.176282,0.172319
2025-12-17 08:00:00,0.175189,0.1771,0.174907
2025-12-17 12:00:00,0.172821,0.175324,0.172771
2025-12-17 16:00:00,0.174362,0.17483,0.171751
2025-12-17 20:00:00,0.172749,0.174748,0.172749
2025-12-18 00:00:00,0.214946,0.214946,0.172612
2025-12-18 04:00:00,0.231508,0.231508,0.213031
2025-12-18 08:00:00,0.167835,0.243323,0.155293
2025-12-18 12:00:00,0.198865,0.201956,0.165111
2025-12-18 16:00:00,0.199935,0.211487,0.17887
2025-12-18 20:00:00,0.202229,0.207372,0.198326
2025-12-19 00:00:00,0.20375,0.205146,0.199838
2025-12-19 04:00:00,0.20861,0.211082,0.204341
2025-12-19 08:00:00,0.204794,0.208435,0.201818
2025-12-19 12:00:00,0.201448,0.204884,0.199855
2025-12-19 16:00:00,0.194586,0.201732,0.193455
2025-12-19 20:00:00,0.182966,0.194503,0.182966
2025-12-20 00:00:00,0.177284,0.183287,0.177284
2025-12-20 04:00:00,0.174427,0.180594,0.174427
2025-12-20 08:00:00,0.177028,0.177028,0.169863
2025-12-20 12:00:00,0.17442,0.177937,0.173683
2025-12-20 16:00:00,0.172636,0.174585,0.171536
2025-12-20 20:00:00,0.185946,0.186722,0.171647
2025-12-21 00:00:00,0.185516,0.186514,0.183325
2025-12-21 04:00:00,0.186101,0.187382,0.185284
2025-12-21 08:00:00,0.183213,0.1854,0.181632
2025-12-21 12:00:00,0.184739,0.185312,0.182088
2025-12-21 16:00:00,0.182641,0.185697,0.182037
2025-12-21 20:00:00,0.183182,0.183182,0.180174
2025-12-22 00:00:00,0.183092,0.184476,0.181887
2025-12-22 04:00:00,0.182684,0.184584,0.180282
2025-12-22 08:00:00,0.180385,0.183072,0.179276
2025-12-22 12:00:00,0.181821,0.182766,0.18035
2025-12-22 16:00:00,0.192304,0.192304,0.181286
2025-12-22 20:00:00,0.183334,0.19067,0.181499
2025-12-23 00:00:00,0.18402,0.186052,0.183615
2025-12-23 04:00:00,0.17652,0.183874,0.17652
2025-12-23 08:00:00,0.17717,0.179241,0.1769
2025-12-23 12:00:00,0.179382,0.180641,0.176242
2025-12-23 16:00:00,0.180009,0.180518,0.177324
2025-12-23 20:00:00,0.176062,0.179869,0.176062
2025-12-24 00:00:00,0.173838,0.176794,0.173838
2025-12-24 04:00:00,0.166926,0.174864,0.165378
2025-12-24 08:00:00,0.166998,0.167921,0.166591
2025-12-24 12:00:00,0.155142,0.16707,0.155116
2025-12-24 16:00:00,0.147498,0.155959,0.14691
2025-12-24 20:00:00,0.14144,0.14911,0.14144
2025-12-25 00:00:00,0.143996,0.147356,0.137404
2025-12-25 04:00:00,0.142537,0.144311,0.139244
2025-12-25 08:00:00,0.1414,0.144741,0.140371
2025-12-25 12:00:00,0.139532,0.142127,0.13934
2025-12-25 16:00:00,0.138036,0.139953,0.137219
2025-12-25 20:00:00,0.134116,0.138264,0.133279
2025-12-26 00:00:00,0.131398,0.134556,0.129943
2025-12-26 04:00:00,0.13316,0.134619,0.129623
2025-12-26 08:00:00,0.132104,0.135057,0.131245
2025-12-26 12:00:00,0.127044,0.132601,0.12648
2025-12-26 16:00:00,0.121809,0.126719,0.121809
2025-12-26 20:00:00,0.118436,0.122659,0.118057
2025-12-27 00:00:00,0.125086,0.125086,0.117433
2025-12-27 04:00:00,0.119398,0.130145,0.119395
2025-12-27 08:00:00,0.120944,0.121675,0.118442
2025-12-27 12:00:00,0.12809,0.130948,0.121161
2025-12-27 16:00:00,0.12894,0.13019,0.126033
2025-12-27 20:00:00,0.13206,0.135959,0.127507
2025-12-28 00:00:00,0.132001,0.132676,0.130528
2025-12-28 04:00:00,0.132307,0.137694,0.132034
2025-12-28 08:00:00,0.133269,0.133405,0.130439
2025-12-28 12:00:00,0.131708,0.133174,0.130493
2025-12-28 16:00:00,0.135496,0.135496,0.130769
2025-12-28 20:00:00,0.140183,0.140922,0.135509
2025-12-29 00:00:00,0.141323,0.144289,0.139934
2025-12-29 04:00:00,0.139757,0.143155,0.139757
2025-12-29 08:00:00,0.140154,0.140154,0.137321
2025-12-29 12:00:00,0.142297,0.142639,0.139692
2025-12-29 16:00:00,0.139383,0.143315,0.138182
2025-12-29 20:00:00,0.138574,0.140762,0.137846
2025-12-30 00:00:00,0.140163,0.140984,0.138241
2025-12-30 04:00:00,0.140389,0.140875,0.138166
2025-12-30 08:00:00,0.139032,0.143963,0.139032
2025-12-30 12:00:00,0.138241,0.140468,0.137688
2025-12-30 16:00:00,0.139545,0.140007,0.137515
2025-12-30 20:00:00,0.14193,0.142719,0.137907
2025-12-31 00:00:00,0.142749,0.143205,0.14194
2025-12-31 04:00:00,0.142108,0.143748,0.142108
2025-12-31 08:00:00,0.139045,0.142209,0.138867
2025-12-31 12:00:00,0.140511,0.14061,0.138379
2025-12-31 16:00:00,0.139876,0.141398,0.138957
2025-12-31 20:00:00,0.137672,0.140429,0.136532
2026-01-01 00:00:00,0.133951,0.137222,0.133951
2026-01-01 04:00:00,0.134859,0.135443,0.133249
2026-01-01 08:00:00,0.136919,0.138,0.134221
2026-01-01 12:00:00,0.1345,0.136797,0.133985
2026-01-01 16:00:00,0.134363,0.135066,0.1334
2026-01-01 20:00:00,0.132041,0.134567,0.13107
2026-01-02 00:00:00,0.132711,0.132809,0.131039
2026-01-02 04:00:00,0.129212,0.133028,0.128474
2026-01-02 08:00:00,0.124407,0.129409,0.122624
2026-01-02 12:00:00,0.125652,0.126463,0.122373
2026-01-02 16:00:00,0.122004,0.125874,0.119322
2026-01-02 20:00:00,0.118572,0.123245,0.11816
2026-01-03 00:00:00,0.119345,0.119408,0.117647
2026-01-03 04:00:00,0.120133,0.120913,0.116264
2026-01-03 08:00:00,0.116724,0.120338,0.114682
2026-01-03 12:00:00,0.116044,0.116979,0.114984
2026-01-03 16:00:00,0.114673,0.116477,0.114309
