,close,high,low
2025-12-15 00:00:00,3747.02,3782.17,3724.72
2025-12-15 04:00:00,3803.74,3836.52,3739.85
2025-12-15 08:00:00,3818.6,3837.75,3793.97
2025-12-15 12:00:00,3854.25,3874.31,3821.55
2025-12-15 16:00:00,3666.39,3856.17,3657.17
2025-12-15 20:00:00,3598.28,3681.49,3555.37
2025-12-16 00:00:00,3620.84,3625.11,3570.73
2025-12-16 04:00:00,3585.97,3633.6,3580.86
2025-12-16 08:00:00,3571.4,3600.36,3552.1
2025-12-16 12:00:00,3610.96,3610.96,3572.71
2025-12-16 16:00:00,3612.12,3620.54,3549.34
2025-12-16 20:00:00,3604.94,3617.55,3572.02
2025-12-17 00:00:00,3617.6,3619.0,3592.45
2025-12-17 04:00:00,3601.44,3619.96,3593.81
2025-12-17 08:00:00,3599.86,3602.82,3567.31
2025-12-17 12:00:00,3577.22,3599.32,3561.06
2025-12-17 16:00:00,3557.84,3677.05,3549.83
2025-12-17 20:00:00,3443.2,3567.04,3417.73
2025-12-18 00:00:00,3454.01,3464.37,3429.26
2025-12-18 04:00:00,3457.31,3473.76,3449.24
2025-12-18 08:00:00,3461.75,3468.96,3449.45
2025-12-18 12:00:00,3488.75,3495.92,3461.24
2025-12-18 16:00:00,3627.08,3646.58,3487.96
2025-12-18 20:00:00,3406.11,3619.18,3406.11
2025-12-19 00:00:00,3454.33,3457.96,3403.08
2025-12-19 04:00:00,3565.8,3565.8,3440.62
2025-12-19 08:00:00,3603.36,3627.33,3547.82
2025-12-19 12:00:00,3621.59,3626.37,3591.8
2025-12-19 16:00:00,3621.19,3647.01,3606.47
2025-12-19 20:00:00,3647.61,3658.02,3600.56
2025-12-20 00:00:00,3638.56,3662.69,3634.31
2025-12-20 04:00:00,3650.21,3655.89,3631.57
2025-12-20 08:00:00,3644.42,3652.21,3635.33
2025-12-20 12:00:00,3648.7,3651.84,3634.26
2025-12-20 16:00:00,3638.21,3656.65,3629.16
2025-12-20 20:00:00,3637.69,3640.43,3633.24
2025-12-21 00:00:00,3636.99,3648.66,3634.5
2025-12-21 04:00:00,3631.87,3640.95,3619.86
2025-12-21 08:00:00,3640.84,3640.84,3632.03
2025-12-21 12:00:00,3660.54,3672.56,3639.47
2025-12-21 16:00:00,3633.56,3671.72,3601.84
2025-12-21 20:00:00,3656.06,3656.06,3629.87
2025-12-22 00:00:00,3670.43,3672.93,3630.29
2025-12-22 04:00:00,3688.37,3717.35,3660.14
2025-12-22 08:00:00,3699.62,3713.0,3689.73
2025-12-22 12:00:00,3725.7,3728.05,3697.97
2025-12-22 16:00:00,3721.08,3745.25,3695.25
2025-12-22 20:00:00,3637.04,3729.57,3637.04
2025-12-23 00:00:00,3676.68,3679.24,3626.53
2025-12-23 04:00:00,3659.02,3703.68,3643.32
2025-12-23 08:00:00,3623.12,3660.49,3603.34
2025-12-23 12:00:00,3628.72,3633.37,3611.55
2025-12-23 16:00:00,3572.09,3620.94,3561.37
2025-12-23 20:00:00,3591.57,3618.0,3568.75
2025-12-24 00:00:00,3624.66,3640.23,3596.98
2025-12-24 04:00:00,3600.06,3633.02,3574.53
2025-12-24 08:00:00,3587.83,3611.89,3567.57
2025-12-24 12:00:00,3579.45,3589.54,3567.02
2025-12-24 16:00:00,3570.06,3587.84,3540.89
2025-12-24 20:00:00,3596.93,3603.34,3570.76
2025-12-25 00:00:00,3603.12,3615.34,3595.27
2025-12-25 04:00:00,3598.71,3610.77,3589.82
2025-12-25 08:00:00,3593.04,3601.2,3590.17
