,close,high,low
2025-12-15 00:00:00,0.204594,0.206246,0.20364
2025-12-15 04:00:00,0.209718,0.211744,0.204738
2025-12-15 08:00:00,0.209395,0.21251,0.209395
2025-12-15 12:00:00,0.210237,0.211015,0.209728
2025-12-15 16:00:00,0.199105,0.211992,0.197703
2025-12-15 20:00:00,0.194235,0.198571,0.191565
2025-12-16 00:00:00,0.197705,0.197705,0.192692
2025-12-16 04:00:00,0.194626,0.197558,0.19352
2025-12-16 08:00:00,0.192756,0.195686,0.192575
2025-12-16 12:00:00,0.197905,0.198127,0.192562
2025-12-16 16:00:00,0.198122,0.198122,0.194258
2025-12-16 20:00:00,0.198857,0.199856,0.197362
2025-12-17 00:00:00,0.198174,0.199538,0.197914
2025-12-17 04:00:00,0.197139,0.19843,0.196285
2025-12-17 08:00:00,0.19657,0.197668,0.195394
2025-12-17 12:00:00,0.194534,0.196476,0.193212
2025-12-17 16:00:00,0.193348,0.200831,0.193348
2025-12-17 20:00:00,0.183782,0.193031,0.181924
2025-12-18 00:00:00,0.18252,0.185429,0.18163
2025-12-18 04:00:00,0.180924,0.182905,0.180696
2025-12-18 08:00:00,0.179624,0.181473,0.178408
2025-12-18 12:00:00,0.182439,0.182455,0.179839
2025-12-18 16:00:00,0.188642,0.190129,0.182228
2025-12-18 20:00:00,0.172119,0.18856,0.172119
2025-12-19 00:00:00,0.175686,0.177348,0.171971
2025-12-19 04:00:00,0.181448,0.182207,0.173389
2025-12-19 08:00:00,0.186248,0.187457,0.180778
2025-12-19 12:00:00,0.187455,0.187523,0.185992
2025-12-19 16:00:00,0.188702,0.189943,0.186394
2025-12-19 20:00:00,0.194387,0.194387,0.187311
2025-12-20 00:00:00,0.196149,0.196484,0.194162
2025-12-20 04:00:00,0.194247,0.196526,0.193433
2025-12-20 08:00:00,0.195719,0.195719,0.192405
2025-12-20 12:00:00,0.195258,0.196603,0.193427
2025-12-20 16:00:00,0.1953,0.195734,0.193661
2025-12-20 20:00:00,0.1947,0.196224,0.194442
2025-12-21 00:00:00,0.195709,0.195709,0.194456
2025-12-21 04:00:00,0.193129,0.195591,0.191551
2025-12-21 08:00:00,0.194517,0.195481,0.193291
2025-12-21 12:00:00,0.192637,0.195689,0.192247
2025-12-21 16:00:00,0.187019,0.192969,0.185623
2025-12-21 20:00:00,0.18894,0.190147,0.186854
