,close,high,low
2025-12-17 16:00:00,19.97,20.69,19.97
2025-12-17 20:00:00,19.43,19.96,19.19
2025-12-18 00:00:00,19.46,19.48,19.29
2025-12-18 04:00:00,18.94,19.49,18.87
2025-12-18 08:00:00,18.6,19.04,18.59
2025-12-18 12:00:00,18.8,18.86,18.53
2025-12-18 16:00:00,19.2,19.47,18.87
2025-12-18 20:00:00,17.91,19.18,17.91
2025-12-19 00:00:00,17.89,18.12,17.69
2025-12-19 04:00:00,18.43,18.49,17.59
2025-12-19 08:00:00,18.65,18.66,18.24
2025-12-19 12:00:00,18.61,18.71,18.39
2025-12-19 16:00:00,19.27,19.42,18.56
2025-12-19 20:00:00,19.68,19.69,19.15
2025-12-20 00:00:00,19.53,19.84,19.46
2025-12-20 04:00:00,19.53,19.53,19.53
2025-12-20 08:00:00,19.58,19.58,19.53
2025-12-20 12:00:00,19.26,19.71,19.1
2025-12-20 16:00:00,19.44,19.5,19.11
2025-12-20 20:00:00,19.44,19.55,19.3
2025-12-21 00:00:00,19.17,19.44,19.06
2025-12-21 04:00:00,19.01,19.22,18.86
2025-12-21 08:00:00,18.9,19.01,18.85
2025-12-21 12:00:00,18.82,19.2,18.82
2025-12-21 16:00:00,18.61,18.89,18.4
2025-12-21 20:00:00,18.73,18.73,18.55
2025-12-22 00:00:00,18.71,18.84,18.48
2025-12-22 04:00:00,18.9,19.1,18.71
2025-12-22 08:00:00,18.84,19.08,18.84
2025-12-22 12:00:00,19.18,19.2,18.79
2025-12-22 16:00:00,19.08,19.5,19.07
2025-12-22 20:00:00,18.64,19.31,18.64
2025-12-23 00:00:00,18.63,18.9,18.61
2025-12-23 04:00:00,18.48,18.83,18.4
2025-12-23 08:00:00,18.25,18.51,18.17
2025-12-23 12:00:00,18.15,18.34,18.12
2025-12-23 16:00:00,17.96,18.35,17.88
2025-12-23 20:00:00,17.9,18.13,17.9
2025-12-24 00:00:00,17.87,18.22,17.66
2025-12-24 04:00:00,17.51,17.87,17.34
2025-12-24 08:00:00,17.16,17.52,17.0
2025-12-24 12:00:00,17.28,17.28,17.05
2025-12-24 16:00:00,17.71,17.71,17.26
2025-12-24 20:00:00,17.99,18.1,17.67
2025-12-25 00:00:00,17.98,18.1,17.81
2025-12-25 04:00:00,18.41,18.41,17.96
2025-12-25 08:00:00,18.24,18.46,18.21
2025-12-25 12:00:00,18.24,18.36,18.1
2025-12-25 16:00:00,18.5,18.56,18.24
2025-12-25 20:00:00,18.57,18.72,18.48
2025-12-26 00:00:00,17.96,18.6,17.96
2025-12-26 04:00:00,18.62,18.71,17.96
2025-12-26 08:00:00,18.19,18.63,18.16
2025-12-26 12:00:00,18.25,18.37,18.19
2025-12-26 16:00:00,17.93,18.33,17.87
2025-12-26 20:00:00,17.84,17.91,17.68
2025-12-27 00:00:00,17.68,17.86,17.65
2025-12-27 04:00:00,17.83,17.88,17.69
2025-12-27 08:00:00,17.76,17.85,17.66
2025-12-27 12:00:00,17.98,17.98,17.7
2025-12-27 16:00:00,18.13,18.28,17.97
2025-12-27 20:00:00,18.19,18.2,17.99
2025-12-28 00:00:00,18.44,18.5,18.1
2025-12-28 04:00:00,18.43,18.54,18.32
2025-12-28 08:00:00,18.57,18.61,18.39
2025-12-28 12:00:00,18.44,18.68,18.44
2025-12-28 16:00:00,18.5,18.59,18.38
2025-12-28 20:00:00,18.28,18.72,18.26
2025-12-29 00:00:00,18.5,18.5,18.22
2025-12-29 04:00:00,19.09,19.12,18.46
2025-12-29 08:00:00,18.86,19.2,18.74
