,close,high,low
2025-12-15 00:00:00,1.74,1.76,1.73
2025-12-15 04:00:00,1.77,1.78,1.74
2025-12-15 08:00:00,1.77,1.78,1.77
2025-12-15 12:00:00,1.77,1.78,1.77
2025-12-15 16:00:00,1.75,1.78,1.72
2025-12-15 20:00:00,1.71,1.76,1.69
2025-12-16 00:00:00,1.73,1.74,1.7
2025-12-16 04:00:00,1.72,1.74,1.71
2025-12-16 08:00:00,1.7,1.72,1.7
2025-12-16 12:00:00,1.74,1.74,1.7
2025-12-16 16:00:00,1.74,1.75,1.71
2025-12-16 20:00:00,1.75,1.75,1.72
2025-12-17 00:00:00,1.74,1.76,1.74
2025-12-17 04:00:00,1.74,1.75,1.73
2025-12-17 08:00:00,1.74,1.74,1.72
2025-12-17 12:00:00,1.73,1.74,1.71
2025-12-17 16:00:00,1.71,1.76,1.71
2025-12-17 20:00:00,1.66,1.71,1.65
2025-12-18 00:00:00,1.67,1.68,1.66
2025-12-18 04:00:00,1.66,1.67,1.66
2025-12-18 08:00:00,1.67,1.67,1.65
2025-12-18 12:00:00,1.67,1.68,1.67
2025-12-18 16:00:00,1.72,1.72,1.67
2025-12-18 20:00:00,1.6,1.72,1.6
2025-12-19 00:00:00,1.62,1.63,1.6
2025-12-19 04:00:00,1.67,1.67,1.61
2025-12-19 08:00:00,1.68,1.69,1.66
2025-12-19 12:00:00,1.68,1.69,1.67
2025-12-19 16:00:00,1.68,1.7,1.67
2025-12-19 20:00:00,1.72,1.72,1.68
2025-12-20 00:00:00,1.73,1.74,1.72
2025-12-20 04:00:00,1.73,1.73,1.72
2025-12-20 08:00:00,1.73,1.73,1.72
2025-12-20 12:00:00,1.73,1.74,1.72
2025-12-20 16:00:00,1.72,1.73,1.72
2025-12-20 20:00:00,1.74,1.74,1.72
2025-12-21 00:00:00,1.74,1.75,1.73
2025-12-21 04:00:00,1.73,1.74,1.72
2025-12-21 08:00:00,1.72,1.73,1.72
2025-12-21 12:00:00,1.73,1.74,1.72
2025-12-21 16:00:00,1.69,1.73,1.67
2025-12-21 20:00:00,1.7,1.71,1.69
2025-12-22 00:00:00,1.71,1.72,1.69
2025-12-22 04:00:00,1.74,1.74,1.71
2025-12-22 08:00:00,1.72,1.74,1.72
2025-12-22 12:00:00,1.78,1.78,1.72
2025-12-22 16:00:00,1.77,1.82,1.77
2025-12-22 20:00:00,1.81,1.85,1.77
2025-12-23 00:00:00,1.82,1.82,1.79
2025-12-23 04:00:00,1.86,1.88,1.82
2025-12-23 08:00:00,1.82,1.85,1.81
2025-12-23 12:00:00,1.81,1.82,1.79
2025-12-23 16:00:00,1.79,1.81,1.78
2025-12-23 20:00:00,1.8,1.81,1.79
2025-12-24 00:00:00,1.81,1.82,1.8
2025-12-24 04:00:00,1.76,1.82,1.76
2025-12-24 08:00:00,1.74,1.77,1.73
2025-12-24 12:00:00,1.74,1.75,1.73
2025-12-24 16:00:00,1.75,1.75,1.73
2025-12-24 20:00:00,1.76,1.77,1.75
2025-12-25 00:00:00,1.76,1.77,1.76
2025-12-25 04:00:00,1.77,1.78,1.75
2025-12-25 08:00:00,1.77,1.78,1.76
2025-12-25 12:00:00,1.83,1.83,1.75
2025-12-25 16:00:00,1.86,1.86,1.83
2025-12-25 20:00:00,1.87,1.88,1.86
2025-12-26 00:00:00,1.82,1.88,1.82
2025-12-26 04:00:00,1.88,1.89,1.81
2025-12-26 08:00:00,1.86,1.88,1.86
2025-12-26 12:00:00,1.88,1.88,1.85
2025-12-26 16:00:00,1.84,1.88,1.84
2025-12-26 20:00:00,1.84,1.85,1.84
2025-12-27 00:00:00,1.83,1.84,1.82
2025-12-27 04:00:00,1.82,1.84,1.81
2025-12-27 08:00:00,1.8,1.82,1.79
2025-12-27 12:00:00,1.8,1.8,1.79
2025-12-27 16:00:00,1.8,1.81,1.79
2025-12-27 20:00:00,1.83,1.84,1.8
2025-12-28 00:00:00,1.85,1.85,1.82
2025-12-28 04:00:00,1.84,1.85,1.84
2025-12-28 08:00:00,1.85,1.85,1.84
2025-12-28 12:00:00,1.82,1.85,1.82
2025-12-28 16:00:00,1.83,1.83,1.82
2025-12-28 20:00:00,1.8,1.83,1.8
2025-12-29 00:00:00,1.82,1.82,1.8
2025-12-29 04:00:00,1.87,1.87,1.82
2025-12-29 08:00:00,1.85,1.87,1.85
2025-12-29 12:00:00,1.81,1.85,1.81
2025-12-29 16:00:00,1.81,1.81,1.79
2025-12-29 20:00:00,1.78,1.81,1.78
2025-12-30 00:00:00,1.75,1.79,1.75
2025-12-30 04:00:00,1.75,1.76,1.74
2025-12-30 08:00:00,1.75,1.76,1.74
2025-12-30 12:00:00,1.68,1.77,1.68
2025-12-30 16:00:00,1.71,1.71,1.68
2025-12-30 20:00:00,1.69,1.71,1.68
2025-12-31 00:00:00,1.68,1.69,1.67
2025-12-31 04:00:00,1.67,1.69,1.67
2025-12-31 08:00:00,1.67,1.68,1.67
2025-12-31 12:00:00,1.67,1.67,1.66
