,close,high,low
2025-12-14 20:00:00,2.11,2.13,2.11
2025-12-15 00:00:00,2.11,2.12,2.1
2025-12-15 04:00:00,2.14,2.16,2.1
2025-12-15 08:00:00,2.14,2.16,2.14
2025-12-15 12:00:00,2.14,2.15,2.14
2025-12-15 16:00:00,2.06,2.15,2.05
2025-12-15 20:00:00,2.03,2.06,2.01
2025-12-16 00:00:00,2.05,2.06,2.02
2025-12-16 04:00:00,2.04,2.05,2.03
2025-12-16 08:00:00,2.03,2.05,2.03
2025-12-16 12:00:00,2.06,2.06,2.03
2025-12-16 16:00:00,2.04,2.07,2.03
2025-12-16 20:00:00,2.03,2.04,2.0
2025-12-17 00:00:00,2.0,2.03,1.99
2025-12-17 04:00:00,2.0,2.01,1.99
2025-12-17 08:00:00,2.01,2.01,1.99
2025-12-17 12:00:00,2.0,2.01,1.98
2025-12-17 16:00:00,2.02,2.08,2.0
2025-12-17 20:00:00,1.94,2.02,1.93
2025-12-18 00:00:00,1.94,1.96,1.94
2025-12-18 04:00:00,1.9,1.94,1.9
2025-12-18 08:00:00,1.9,1.91,1.89
2025-12-18 12:00:00,1.9,1.92,1.9
2025-12-18 16:00:00,1.96,1.97,1.9
2025-12-18 20:00:00,1.84,1.96,1.84
2025-12-19 00:00:00,1.85,1.87,1.84
2025-12-19 04:00:00,1.9,1.9,1.85
2025-12-19 08:00:00,1.88,1.9,1.86
2025-12-19 12:00:00,1.87,1.88,1.86
2025-12-19 16:00:00,1.93,1.94,1.87
2025-12-19 20:00:00,1.98,1.98,1.93
2025-12-20 00:00:00,1.96,1.98,1.96
2025-12-20 04:00:00,1.98,1.98,1.96
2025-12-20 08:00:00,1.99,1.99,1.97
2025-12-20 12:00:00,1.97,2.0,1.97
2025-12-20 16:00:00,1.98,1.98,1.96
2025-12-20 20:00:00,1.97,1.98,1.97
2025-12-21 00:00:00,1.98,2.0,1.97
2025-12-21 04:00:00,1.97,1.99,1.96
2025-12-21 08:00:00,1.97,1.97,1.96
2025-12-21 12:00:00,1.96,1.98,1.96
2025-12-21 16:00:00,1.92,1.96,1.91
2025-12-21 20:00:00,1.93,1.93,1.92
2025-12-22 00:00:00,1.94,1.94,1.92
2025-12-22 04:00:00,1.95,1.97,1.93
2025-12-22 08:00:00,1.95,1.95,1.95
2025-12-22 12:00:00,1.96,1.96,1.95
2025-12-22 16:00:00,1.98,1.98,1.96
2025-12-22 20:00:00,1.95,2.0,1.95
2025-12-23 00:00:00,1.95,1.96,1.93
2025-12-23 04:00:00,1.94,1.96,1.94
2025-12-23 08:00:00,1.92,1.94,1.92
2025-12-23 12:00:00,1.96,1.96,1.92
2025-12-23 16:00:00,1.95,1.96,1.93
2025-12-23 20:00:00,1.97,1.99,1.95
2025-12-24 00:00:00,1.97,1.99,1.96
2025-12-24 04:00:00,1.95,1.99,1.94
2025-12-24 08:00:00,1.93,1.95,1.93
2025-12-24 12:00:00,1.93,1.94,1.93
2025-12-24 16:00:00,1.95,1.95,1.93
2025-12-24 20:00:00,1.95,1.95,1.94
2025-12-25 00:00:00,1.98,1.99,1.95
2025-12-25 04:00:00,1.99,2.0,1.98
2025-12-25 08:00:00,1.99,1.99,1.98
2025-12-25 12:00:00,2.0,2.01,1.99
2025-12-25 16:00:00,2.01,2.01,1.99
2025-12-25 20:00:00,2.0,2.02,2.0
2025-12-26 00:00:00,1.96,2.01,1.96
2025-12-26 04:00:00,2.04,2.04,1.95
2025-12-26 08:00:00,2.02,2.05,2.02
2025-12-26 12:00:00,2.02,2.03,2.02
2025-12-26 16:00:00,2.02,2.04,2.0
2025-12-26 20:00:00,2.04,2.04,2.0
2025-12-27 00:00:00,2.04,2.05,2.03
2025-12-27 04:00:00,2.05,2.05,2.04
2025-12-27 08:00:00,2.03,2.05,2.03
2025-12-27 12:00:00,2.05,2.05,2.03
2025-12-27 16:00:00,2.05,2.05,2.04
2025-12-27 20:00:00,2.05,2.06,2.05
2025-12-28 00:00:00,2.08,2.09,2.05
2025-12-28 04:00:00,2.08,2.09,2.07
2025-12-28 08:00:00,2.1,2.1,2.08
2025-12-28 12:00:00,2.09,2.11,2.09
2025-12-28 16:00:00,2.08,2.1,2.08
2025-12-28 20:00:00,2.06,2.08,2.06
2025-12-29 00:00:00,2.07,2.07,2.06
2025-12-29 04:00:00,2.1,2.1,2.07
2025-12-29 08:00:00,2.06,2.1,2.06
2025-12-29 12:00:00,2.03,2.06,2.03
2025-12-29 16:00:00,2.01,2.03,2.0
2025-12-29 20:00:00,1.97,2.01,1.97
2025-12-30 00:00:00,1.96,1.97,1.96
2025-12-30 04:00:00,1.98,1.98,1.96
2025-12-30 08:00:00,1.97,1.99,1.97
