,close,high,low
2025-12-14 16:00:00,0.999213,1.0,0.998637
2025-12-14 20:00:00,0.999597,1.0,0.999018
2025-12-15 00:00:00,0.999902,1.0,0.999187
2025-12-15 04:00:00,0.99992,1.0,0.999068
2025-12-15 08:00:00,0.999702,1.0,0.999148
2025-12-15 12:00:00,1.0,1.0,0.998814
2025-12-15 16:00:00,0.999135,1.001,0.998864
2025-12-15 20:00:00,0.999515,1.001,0.998791
2025-12-16 00:00:00,0.99936,1.0,0.998506
2025-12-16 04:00:00,0.999721,1.0,0.999138
2025-12-16 08:00:00,1.0,1.0,0.999035
2025-12-16 12:00:00,1.0,1.001,0.998711
2025-12-16 16:00:00,0.999478,1.0,0.9982
2025-12-16 20:00:00,0.998881,1.0,0.998559
2025-12-17 00:00:00,0.999732,1.0,0.998684
2025-12-17 04:00:00,0.999817,1.0,0.999019
2025-12-17 08:00:00,0.99965,1.0,0.999352
2025-12-17 12:00:00,0.999845,1.0,0.999359
2025-12-17 16:00:00,0.999915,1.001,0.999058
2025-12-17 20:00:00,0.999676,1.001,0.998595
2025-12-18 00:00:00,0.999519,1.0,0.999188
2025-12-18 04:00:00,0.999699,1.0,0.998381
2025-12-18 08:00:00,0.999074,0.999895,0.998805
2025-12-18 12:00:00,0.999335,1.0,0.998761
2025-12-18 16:00:00,0.999715,1.001,0.998846
2025-12-18 20:00:00,0.999996,1.001,0.997934
2025-12-19 00:00:00,0.999413,1.001,0.999078
2025-12-19 04:00:00,0.999219,1.002,0.998448
2025-12-19 08:00:00,0.999614,1.0,0.998666
2025-12-19 12:00:00,0.999561,1.001,0.998864
2025-12-19 16:00:00,1.0,1.001,0.998677
2025-12-19 20:00:00,0.998772,1.002,0.998009
2025-12-20 00:00:00,0.999656,0.999911,0.997918
2025-12-20 04:00:00,0.999308,1.0,0.998923
2025-12-20 08:00:00,0.9993,1.0,0.998193
2025-12-20 12:00:00,0.999616,1.001,0.998181
2025-12-20 16:00:00,0.999273,1.001,0.998885
