,close,high,low
2025-12-17 12:00:00,40.29,40.39,39.73
2025-12-17 16:00:00,40.27,41.31,39.89
2025-12-17 20:00:00,38.48,40.49,38.18
2025-12-18 00:00:00,38.05,39.07,38.05
2025-12-18 04:00:00,37.98,38.34,37.73
2025-12-18 08:00:00,37.84,38.03,37.53
2025-12-18 12:00:00,37.71,38.25,37.63
2025-12-18 16:00:00,38.68,38.98,37.73
2025-12-18 20:00:00,35.38,38.59,35.38
2025-12-19 00:00:00,35.81,36.57,35.3
2025-12-19 04:00:00,36.36,36.48,35.16
2025-12-19 08:00:00,37.21,37.42,36.27
2025-12-19 12:00:00,37.58,37.58,36.87
2025-12-19 16:00:00,37.71,37.95,37.26
2025-12-19 20:00:00,39.27,39.53,37.79
2025-12-20 00:00:00,38.65,39.54,38.62
2025-12-20 04:00:00,38.81,39.0,38.47
2025-12-20 08:00:00,39.87,39.87,38.66
2025-12-20 12:00:00,39.37,41.01,38.97
2025-12-20 16:00:00,39.82,40.23,39.0
2025-12-20 20:00:00,40.14,40.25,39.43
2025-12-21 00:00:00,40.02,40.27,39.87
2025-12-21 04:00:00,39.44,40.0,39.15
2025-12-21 08:00:00,39.67,39.79,39.23
2025-12-21 12:00:00,38.93,39.94,38.93
2025-12-21 16:00:00,37.92,39.12,37.68
2025-12-21 20:00:00,38.34,38.53,37.95
2025-12-22 00:00:00,38.27,38.52,37.83
2025-12-22 04:00:00,38.46,39.18,38.15
2025-12-22 08:00:00,38.52,38.56,37.99
2025-12-22 12:00:00,38.64,38.86,38.15
2025-12-22 16:00:00,38.75,38.76,38.35
2025-12-22 20:00:00,37.81,39.02,37.81
2025-12-23 00:00:00,38.28,38.37,37.57
2025-12-23 04:00:00,37.99,38.9,37.62
2025-12-23 08:00:00,37.46,37.99,37.36
2025-12-23 12:00:00,37.55,37.83,37.25
2025-12-23 16:00:00,37.39,37.66,37.08
2025-12-23 20:00:00,37.93,38.1,37.36
2025-12-24 00:00:00,37.76,38.12,37.56
2025-12-24 04:00:00,37.28,38.05,36.97
2025-12-24 08:00:00,36.74,37.43,36.59
2025-12-24 12:00:00,36.62,36.77,36.3
2025-12-24 16:00:00,37.3,37.41,36.53
2025-12-24 20:00:00,37.72,37.72,37.31
2025-12-25 00:00:00,38.33,38.38,37.74
2025-12-25 04:00:00,39.45,39.45,38.04
2025-12-25 08:00:00,39.55,39.97,39.32
2025-12-25 12:00:00,39.48,39.85,39.23
