,close,high,low
2025-12-14 20:00:00,0.351147,0.364207,0.348371
2025-12-15 00:00:00,0.349417,0.353563,0.345123
2025-12-15 04:00:00,0.351124,0.353495,0.343136
2025-12-15 08:00:00,0.357043,0.361024,0.35036
2025-12-15 12:00:00,0.353574,0.358201,0.350164
2025-12-15 16:00:00,0.340246,0.35527,0.338955
2025-12-15 20:00:00,0.338286,0.344459,0.336331
2025-12-16 00:00:00,0.334356,0.337231,0.328194
2025-12-16 04:00:00,0.324201,0.334869,0.318129
2025-12-16 08:00:00,0.324935,0.328947,0.319745
2025-12-16 12:00:00,0.332853,0.333767,0.324729
2025-12-16 16:00:00,0.34249,0.34249,0.33122
2025-12-16 20:00:00,0.344418,0.345386,0.339769
2025-12-17 00:00:00,0.351589,0.353575,0.344642
2025-12-17 04:00:00,0.348371,0.355499,0.347413
2025-12-17 08:00:00,0.349352,0.350854,0.34287
2025-12-17 12:00:00,0.343382,0.348943,0.340504
2025-12-17 16:00:00,0.33814,0.355873,0.33814
2025-12-17 20:00:00,0.31014,0.339517,0.307814
2025-12-18 00:00:00,0.306551,0.31561,0.301767
2025-12-18 04:00:00,0.310047,0.310047,0.304906
2025-12-18 08:00:00,0.286398,0.312125,0.286398
2025-12-18 12:00:00,0.276824,0.288788,0.273787
2025-12-18 16:00:00,0.284615,0.289555,0.267219
2025-12-18 20:00:00,0.251415,0.282864,0.250378
2025-12-19 00:00:00,0.243912,0.255594,0.243723
2025-12-19 04:00:00,0.260112,0.264859,0.239757
2025-12-19 08:00:00,0.27663,0.283764,0.259454
2025-12-19 12:00:00,0.281854,0.284178,0.276468
2025-12-19 16:00:00,0.278732,0.283979,0.277829
2025-12-19 20:00:00,0.280851,0.283668,0.273318
2025-12-20 00:00:00,0.283636,0.285379,0.278895
2025-12-20 04:00:00,0.281829,0.283109,0.278514
2025-12-20 08:00:00,0.28037,0.281853,0.27986
2025-12-20 12:00:00,0.291927,0.294083,0.280523
2025-12-20 16:00:00,0.288878,0.292429,0.287373
2025-12-20 20:00:00,0.292096,0.294394,0.286096
2025-12-21 00:00:00,0.288684,0.296399,0.288297
2025-12-21 04:00:00,0.28855,0.292624,0.284775
2025-12-21 08:00:00,0.291374,0.29341,0.286627
2025-12-21 12:00:00,0.291646,0.293448,0.289348
2025-12-21 16:00:00,0.285657,0.292586,0.282321
2025-12-21 20:00:00,0.288653,0.288653,0.284431
2025-12-22 00:00:00,0.291332,0.292907,0.287708
2025-12-22 04:00:00,0.294179,0.303027,0.291383
2025-12-22 08:00:00,0.297856,0.301216,0.293625
2025-12-22 12:00:00,0.312883,0.312883,0.300007
2025-12-22 16:00:00,0.300421,0.315388,0.298805
2025-12-22 20:00:00,0.290693,0.303312,0.290693
2025-12-23 00:00:00,0.291365,0.293335,0.289513
2025-12-23 04:00:00,0.287362,0.295686,0.285791
2025-12-23 08:00:00,0.285992,0.289036,0.284735
2025-12-23 12:00:00,0.28937,0.289749,0.284403
2025-12-23 16:00:00,0.274879,0.288176,0.269681
2025-12-23 20:00:00,0.278432,0.281636,0.274943
2025-12-24 00:00:00,0.278153,0.28072,0.275604
2025-12-24 04:00:00,0.282286,0.282286,0.274363
2025-12-24 08:00:00,0.278841,0.283975,0.278274
2025-12-24 12:00:00,0.27854,0.280273,0.275513
2025-12-24 16:00:00,0.2891,0.289477,0.278012
2025-12-24 20:00:00,0.287207,0.291051,0.285347
2025-12-25 00:00:00,0.29092,0.29297,0.285487
2025-12-25 04:00:00,0.292429,0.292813,0.288283
2025-12-25 08:00:00,0.293153,0.293971,0.291257
2025-12-25 12:00:00,0.290331,0.295565,0.289462
2025-12-25 16:00:00,0.293374,0.293918,0.289297
2025-12-25 20:00:00,0.294632,0.298088,0.293283
2025-12-26 00:00:00,0.289273,0.298191,0.288594
2025-12-26 04:00:00,0.303898,0.308663,0.283254
2025-12-26 08:00:00,0.300354,0.304911,0.300281
2025-12-26 12:00:00,0.302985,0.307823,0.300002
2025-12-26 16:00:00,0.302631,0.309752,0.299214
2025-12-26 20:00:00,0.298785,0.30265,0.293955
2025-12-27 00:00:00,0.299077,0.300373,0.297031
2025-12-27 04:00:00,0.304727,0.305097,0.299037
2025-12-27 08:00:00,0.309308,0.312079,0.303811
2025-12-27 12:00:00,0.308705,0.310172,0.30541
2025-12-27 16:00:00,0.310984,0.311508,0.307859
2025-12-27 20:00:00,0.311761,0.31314,0.309812
2025-12-28 00:00:00,0.318371,0.318371,0.311038
2025-12-28 04:00:00,0.319652,0.319747,0.312213
2025-12-28 08:00:00,0.317852,0.319835,0.31516
2025-12-28 12:00:00,0.311192,0.318945,0.310128
2025-12-28 16:00:00,0.312681,0.315879,0.308213
2025-12-28 20:00:00,0.306837,0.314108,0.304701
2025-12-29 00:00:00,0.308582,0.309453,0.30528
2025-12-29 04:00:00,0.317375,0.317466,0.306685
2025-12-29 08:00:00,0.311135,0.317446,0.307987
2025-12-29 12:00:00,0.303316,0.31188,0.302764
2025-12-29 16:00:00,0.293097,0.302828,0.292885
2025-12-29 20:00:00,0.290385,0.296599,0.289137
2025-12-30 00:00:00,0.288776,0.289937,0.285177
2025-12-30 04:00:00,0.284021,0.289861,0.281099
2025-12-30 08:00:00,0.282938,0.286099,0.282354
2025-12-30 12:00:00,0.288225,0.289133,0.282817
2025-12-30 16:00:00,0.293195,0.293195,0.284072
2025-12-30 20:00:00,0.293045,0.295673,0.290311
2025-12-31 00:00:00,0.285899,0.293655,0.285868
2025-12-31 04:00:00,0.287289,0.291307,0.285695
2025-12-31 08:00:00,0.284325,0.288753,0.284325
2025-12-31 12:00:00,0.28492,0.285934,0.282611
2025-12-31 16:00:00,0.285886,0.288417,0.283581
2025-12-31 20:00:00,0.26764,0.285974,0.265156
2026-01-01 00:00:00,0.268231,0.269965,0.265872
2026-01-01 04:00:00,0.266208,0.269467,0.266208
2026-01-01 08:00:00,0.268774,0.268774,0.26277
2026-01-01 12:00:00,0.276008,0.276008,0.268472
2026-01-01 16:00:00,0.275916,0.27649,0.273756
2026-01-01 20:00:00,0.286098,0.286098,0.274464
2026-01-02 00:00:00,0.29031,0.291028,0.28405
2026-01-02 04:00:00,0.291983,0.292977,0.283111
2026-01-02 08:00:00,0.28711,0.291999,0.28711
2026-01-02 12:00:00,0.294296,0.299731,0.287385
2026-01-02 16:00:00,0.308021,0.31204,0.293946
2026-01-02 20:00:00,0.323648,0.326459,0.306244
2026-01-03 00:00:00,0.33199,0.335102,0.3191
2026-01-03 04:00:00,0.349323,0.349323,0.331428
2026-01-03 08:00:00,0.325834,0.348086,0.321547
2026-01-03 12:00:00,0.332412,0.333985,0.324502
2026-01-03 16:00:00,0.329204,0.337031,0.329204
2026-01-03 20:00:00,0.333625,0.33963,0.327958
2026-01-04 00:00:00,0.355437,0.358819,0.330012
2026-01-04 04:00:00,0.35692,0.361794,0.351261
2026-01-04 08:00:00,0.350566,0.357901,0.346225
2026-01-04 12:00:00,0.362163,0.364117,0.34399
2026-01-04 16:00:00,0.375854,0.375854,0.356374
2026-01-04 20:00:00,0.360989,0.378424,0.360989
2026-01-05 00:00:00,0.392003,0.392003,0.360517
2026-01-05 04:00:00,0.387952,0.40372,0.384708
2026-01-05 08:00:00,0.391733,0.396504,0.384548
2026-01-05 12:00:00,0.382322,0.391177,0.378168
2026-01-05 16:00:00,0.386125,0.386591,0.371457
2026-01-05 20:00:00,0.397946,0.403036,0.384346
2026-01-06 00:00:00,0.432219,0.435695,0.400084
2026-01-06 04:00:00,0.439435,0.439435,0.417567
2026-01-06 08:00:00,0.429206,0.456934,0.427063
2026-01-06 12:00:00,0.44809,0.450761,0.428851
2026-01-06 16:00:00,0.438794,0.459214,0.437212
2026-01-06 20:00:00,0.421707,0.435373,0.414011
2026-01-07 00:00:00,0.467053,0.469122,0.423665
2026-01-07 04:00:00,0.446577,0.46342,0.443914
2026-01-07 08:00:00,0.445385,0.447926,0.436863
2026-01-07 12:00:00,0.438116,0.447434,0.427018
2026-01-07 16:00:00,0.414579,0.436118,0.411027
2026-01-07 20:00:00,0.43003,0.432106,0.4143
2026-01-08 00:00:00,0.413602,0.428834,0.412728
2026-01-08 04:00:00,0.394434,0.418103,0.394434
2026-01-08 08:00:00,0.392489,0.39961,0.380059
2026-01-08 12:00:00,0.387576,0.394518,0.381435
2026-01-08 16:00:00,0.404846,0.406069,0.38355
2026-01-08 20:00:00,0.400272,0.411504,0.400272
2026-01-09 00:00:00,0.399853,0.409059,0.391337
2026-01-09 04:00:00,0.403217,0.403217,0.393787
2026-01-09 08:00:00,0.40142,0.402715,0.39631
2026-01-09 12:00:00,0.409361,0.414473,0.394618
2026-01-09 16:00:00,0.410203,0.416091,0.394547
2026-01-09 20:00:00,0.400966,0.423987,0.396601
2026-01-10 00:00:00,0.402871,0.408642,0.398465
2026-01-10 04:00:00,0.363838,0.401488,0.362753
2026-01-10 08:00:00,0.370148,0.372142,0.361074
2026-01-10 12:00:00,0.375085,0.376271,0.369828
2026-01-10 16:00:00,0.385722,0.394549,0.379696
2026-01-10 20:00:00,0.380531,0.387834,0.37916
2026-01-11 00:00:00,0.369641,0.381035,0.362373
2026-01-11 04:00:00,0.375757,0.379152,0.369097
2026-01-11 08:00:00,0.384154,0.384154,0.372733
2026-01-11 12:00:00,0.384122,0.390134,0.383246
2026-01-11 16:00:00,0.386367,0.396272,0.384264
2026-01-11 20:00:00,0.383404,0.397592,0.382759
2026-01-12 00:00:00,0.374328,0.384094,0.36475
2026-01-12 04:00:00,0.38952,0.393914,0.372741
2026-01-12 08:00:00,0.369205,0.395538,0.369205
2026-01-12 12:00:00,0.374173,0.374173,0.365161
2026-01-12 16:00:00,0.374732,0.374809,0.365469
2026-01-12 20:00:00,0.372845,0.3776,0.36722
2026-01-13 00:00:00,0.367614,0.378929,0.362413
2026-01-13 04:00:00,0.365899,0.369026,0.362566
2026-01-13 08:00:00,0.37453,0.380232,0.36641
2026-01-13 12:00:00,0.386597,0.389686,0.373825
2026-01-13 16:00:00,0.389334,0.396451,0.384791
