,close,high,low
2025-12-14 20:00:00,0.519582,0.525657,0.513314
2025-12-15 00:00:00,0.509208,0.540062,0.509208
2025-12-15 04:00:00,0.500875,0.509154,0.497132
2025-12-15 08:00:00,0.505737,0.508645,0.495027
2025-12-15 12:00:00,0.49355,0.508957,0.484829
2025-12-15 16:00:00,0.484558,0.51113,0.48398
2025-12-15 20:00:00,0.48165,0.493266,0.471313
2025-12-16 00:00:00,0.466427,0.477734,0.460678
2025-12-16 04:00:00,0.471236,0.471866,0.453859
2025-12-16 08:00:00,0.49394,0.49698,0.456655
2025-12-16 12:00:00,0.45771,0.489588,0.452284
2025-12-16 16:00:00,0.446874,0.456709,0.444172
2025-12-16 20:00:00,0.441352,0.446836,0.436641
2025-12-17 00:00:00,0.370929,0.441376,0.363226
2025-12-17 04:00:00,0.342398,0.367714,0.338472
2025-12-17 08:00:00,0.342641,0.350443,0.335873
2025-12-17 12:00:00,0.425393,0.492081,0.334201
2025-12-17 16:00:00,0.472452,0.521963,0.411898
2025-12-17 20:00:00,0.482277,0.490787,0.468722
2025-12-18 00:00:00,0.478887,0.539671,0.452811
2025-12-18 04:00:00,0.473184,0.488695,0.473184
2025-12-18 08:00:00,0.467149,0.48048,0.465105
2025-12-18 12:00:00,1.34,1.39,0.47028
2025-12-18 16:00:00,1.33,1.34,1.32
2025-12-18 20:00:00,1.33,1.34,1.33
2025-12-19 00:00:00,1.31,1.33,1.31
2025-12-19 04:00:00,1.3,1.31,1.3
2025-12-19 08:00:00,1.3,1.31,1.29
2025-12-19 12:00:00,1.28,1.29,1.28
2025-12-19 16:00:00,1.28,1.28,1.27
2025-12-19 20:00:00,1.29,1.29,1.27
2025-12-20 00:00:00,1.28,1.29,1.27
2025-12-20 04:00:00,1.28,1.28,1.27
2025-12-20 08:00:00,1.3,1.3,1.28
2025-12-20 12:00:00,1.3,1.31,1.29
2025-12-20 16:00:00,1.32,1.32,1.3
2025-12-20 20:00:00,1.31,1.32,1.31
2025-12-21 00:00:00,1.31,1.32,1.31
2025-12-21 04:00:00,1.3,1.31,1.3
2025-12-21 08:00:00,1.3,1.31,1.3
2025-12-21 12:00:00,0.454739,1.3,0.454739
2025-12-21 16:00:00,0.455557,0.470054,0.451713
2025-12-21 20:00:00,0.448892,1.29,0.442784
2025-12-22 00:00:00,1.29,1.3,0.446797
2025-12-22 04:00:00,1.31,1.41,0.454053
2025-12-22 08:00:00,1.3,1.3,1.29
2025-12-22 12:00:00,1.28,1.31,1.28
2025-12-22 16:00:00,1.26,1.29,1.26
2025-12-22 20:00:00,1.36,1.36,1.26
2025-12-23 00:00:00,1.25,1.38,1.25
2025-12-23 04:00:00,1.26,1.27,1.25
2025-12-23 08:00:00,1.36,1.36,1.26
2025-12-23 12:00:00,1.25,1.27,1.25
2025-12-23 16:00:00,1.19,1.25,1.19
2025-12-23 20:00:00,1.15,1.19,1.15
2025-12-24 00:00:00,1.13,1.14,1.13
2025-12-24 04:00:00,1.11,1.13,1.11
2025-12-24 08:00:00,1.12,1.13,1.11
2025-12-24 12:00:00,1.11,1.12,1.11
2025-12-24 16:00:00,1.1,1.11,1.099
2025-12-24 20:00:00,1.1,1.11,1.096
2025-12-25 00:00:00,1.089,1.1,1.087
2025-12-25 04:00:00,1.085,1.089,1.082
2025-12-25 08:00:00,1.083,1.085,1.077
2025-12-25 12:00:00,1.068,1.083,1.067
2025-12-25 16:00:00,1.069,1.071,1.066
2025-12-25 20:00:00,1.065,1.072,1.061
2025-12-26 00:00:00,1.06,1.067,1.06
2025-12-26 04:00:00,1.055,1.062,1.055
2025-12-26 08:00:00,1.053,1.058,1.053
2025-12-26 12:00:00,0.473996,1.059,0.442812
2025-12-26 16:00:00,0.465229,0.504596,0.460248
2025-12-26 20:00:00,0.495218,0.552843,0.465443
2025-12-27 00:00:00,0.49851,0.500367,0.494458
2025-12-27 04:00:00,1.15,1.15,0.495618
2025-12-27 08:00:00,1.15,1.15,1.14
2025-12-27 12:00:00,1.13,1.15,1.13
2025-12-27 16:00:00,1.091,1.13,1.091
2025-12-27 20:00:00,1.089,1.094,1.088
2025-12-28 00:00:00,1.047,1.092,1.047
2025-12-28 04:00:00,1.044,1.05,1.044
2025-12-28 08:00:00,1.045,1.047,1.042
2025-12-28 12:00:00,1.047,1.047,1.041
2025-12-28 16:00:00,1.049,1.05,1.045
2025-12-28 20:00:00,1.048,1.052,1.045
2025-12-29 00:00:00,1.038,1.048,1.036
2025-12-29 04:00:00,1.034,1.041,1.034
