,close,high,low
2025-12-14 20:00:00,0.993104,0.993805,0.992662
2025-12-15 00:00:00,0.993018,0.994397,0.992621
2025-12-15 04:00:00,0.993058,0.993956,0.992642
2025-12-15 08:00:00,0.992656,0.9932,0.992656
2025-12-15 12:00:00,0.992861,0.993385,0.992491
2025-12-15 16:00:00,0.993141,0.993241,0.991939
2025-12-15 20:00:00,0.992991,0.99378,0.992168
2025-12-16 00:00:00,0.993242,0.993519,0.992374
2025-12-16 04:00:00,0.992843,0.994202,0.991734
2025-12-16 08:00:00,0.992787,0.99331,0.991536
2025-12-16 12:00:00,0.992554,0.993353,0.991815
2025-12-16 16:00:00,0.993151,0.993484,0.991586
2025-12-16 20:00:00,0.992712,0.993451,0.991919
2025-12-17 00:00:00,0.992719,0.993032,0.992272
2025-12-17 04:00:00,0.992203,0.99282,0.991871
2025-12-17 08:00:00,0.992501,0.992821,0.991879
2025-12-17 12:00:00,0.992635,0.992793,0.991755
2025-12-17 16:00:00,0.990036,0.99454,0.990036
2025-12-17 20:00:00,0.991951,0.992422,0.990913
2025-12-18 00:00:00,0.992053,0.992721,0.991574
2025-12-18 04:00:00,0.991968,0.992687,0.991742
2025-12-18 08:00:00,0.991623,0.99224,0.991577
2025-12-18 12:00:00,0.991799,0.992091,0.99153
2025-12-18 16:00:00,0.992195,0.993231,0.991437
2025-12-18 20:00:00,0.991746,0.993205,0.989715
2025-12-19 00:00:00,0.991734,0.993459,0.991149
2025-12-19 04:00:00,0.992099,0.993182,0.990604
2025-12-19 08:00:00,0.991492,0.992301,0.991199
2025-12-19 12:00:00,0.991437,0.992358,0.991038
2025-12-19 16:00:00,0.991114,0.99222,0.991031
2025-12-19 20:00:00,0.992018,0.99257,0.990684
2025-12-20 00:00:00,0.99194,0.992106,0.991213
2025-12-20 04:00:00,0.991847,0.992365,0.991638
2025-12-20 08:00:00,0.991958,0.992058,0.991472
2025-12-20 12:00:00,0.992357,0.992357,0.991572
2025-12-20 16:00:00,0.992206,0.992588,0.99128
2025-12-20 20:00:00,0.991992,0.992315,0.99134
2025-12-21 00:00:00,0.991931,0.99295,0.991439
2025-12-21 04:00:00,0.992009,0.992969,0.991212
2025-12-21 08:00:00,0.991901,0.992242,0.991401
2025-12-21 12:00:00,0.991624,0.992406,0.990863
2025-12-21 16:00:00,0.992145,0.992514,0.99034
2025-12-21 20:00:00,0.992172,0.992351,0.991159
2025-12-22 00:00:00,0.991685,0.99254,0.987514
2025-12-22 04:00:00,0.991819,0.992657,0.988083
2025-12-22 08:00:00,0.991834,0.992,0.991438
2025-12-22 12:00:00,0.991802,0.991939,0.99139
2025-12-22 16:00:00,0.991846,0.992284,0.991269
2025-12-22 20:00:00,0.991374,0.992129,0.99114
2025-12-23 00:00:00,0.992032,0.992166,0.991414
2025-12-23 04:00:00,0.991844,0.992217,0.99152
2025-12-23 08:00:00,0.991388,0.992163,0.991087
2025-12-23 12:00:00,0.991564,0.991718,0.991066
2025-12-23 16:00:00,0.991548,0.991954,0.990627
2025-12-23 20:00:00,0.991654,0.992036,0.990429
2025-12-24 00:00:00,0.991697,0.992448,0.99081
2025-12-24 04:00:00,0.99135,0.992247,0.990989
2025-12-24 08:00:00,0.991294,0.992011,0.990833
2025-12-24 12:00:00,0.991389,0.992204,0.990807
2025-12-24 16:00:00,0.992026,0.992918,0.991192
2025-12-24 20:00:00,0.991662,0.992399,0.990928
2025-12-25 00:00:00,0.991625,0.992176,0.990669
2025-12-25 04:00:00,0.991981,0.992759,0.990588
2025-12-25 08:00:00,0.991696,0.991972,0.99127
2025-12-25 12:00:00,0.991603,0.991823,0.9911
2025-12-25 16:00:00,0.992218,0.992298,0.991418
2025-12-25 20:00:00,0.992003,0.992173,0.991593
2025-12-26 00:00:00,0.991482,0.991982,0.990979
2025-12-26 04:00:00,0.992383,0.99292,0.991178
2025-12-26 08:00:00,0.99199,0.992894,0.990428
2025-12-26 12:00:00,0.991806,0.992716,0.991216
2025-12-26 16:00:00,0.991176,0.993095,0.991063
2025-12-26 20:00:00,0.99134,0.992248,0.990625
2025-12-27 00:00:00,0.992157,0.992365,0.991052
2025-12-27 04:00:00,0.991935,0.992037,0.990542
2025-12-27 08:00:00,0.991985,0.992002,0.990845
2025-12-27 12:00:00,0.991664,0.992015,0.990622
2025-12-27 16:00:00,0.992395,0.992395,0.9913
2025-12-27 20:00:00,0.991736,0.99216,0.991139
2025-12-28 00:00:00,0.992125,0.993112,0.991123
2025-12-28 04:00:00,0.991428,0.992287,0.991065
2025-12-28 08:00:00,0.992419,0.99317,0.99056
2025-12-28 12:00:00,0.991675,0.993184,0.991296
2025-12-28 16:00:00,0.991492,0.992737,0.99114
2025-12-28 20:00:00,0.9921,0.992466,0.991056
2025-12-29 00:00:00,0.992656,0.993143,0.991079
2025-12-29 04:00:00,0.992094,0.993531,0.990288
