,close,high,low
2025-12-15 00:00:00,0.316237,0.31629,0.313543
2025-12-15 04:00:00,0.316379,0.318135,0.315119
2025-12-15 08:00:00,0.315867,0.317103,0.315372
2025-12-15 12:00:00,0.309243,0.317196,0.309097
2025-12-15 16:00:00,0.296347,0.309656,0.296347
2025-12-15 20:00:00,0.301457,0.301952,0.296519
2025-12-16 00:00:00,0.302696,0.30529,0.301156
2025-12-16 04:00:00,0.300485,0.302336,0.299768
2025-12-16 08:00:00,0.297763,0.301104,0.297574
2025-12-16 12:00:00,0.301315,0.301817,0.297678
2025-12-16 16:00:00,0.294264,0.301493,0.294264
2025-12-16 20:00:00,0.319771,0.328961,0.295019
2025-12-17 00:00:00,0.318049,0.321642,0.318049
2025-12-17 04:00:00,0.316177,0.318274,0.315351
2025-12-17 08:00:00,0.314825,0.316441,0.313407
2025-12-17 12:00:00,0.310948,0.315035,0.309731
2025-12-17 16:00:00,0.307357,0.310381,0.306823
2025-12-17 20:00:00,0.30216,0.306335,0.301278
2025-12-18 00:00:00,0.299845,0.30282,0.299845
2025-12-18 04:00:00,0.300314,0.300671,0.299369
2025-12-18 08:00:00,0.300967,0.303925,0.299086
2025-12-18 12:00:00,0.302456,0.303029,0.300342
2025-12-18 16:00:00,0.319966,0.323597,0.303416
2025-12-18 20:00:00,0.318847,0.322223,0.316022
2025-12-19 00:00:00,0.317769,0.320871,0.316339
2025-12-19 04:00:00,0.318572,0.319467,0.317111
2025-12-19 08:00:00,0.318614,0.319419,0.317941
2025-12-19 12:00:00,0.319008,0.320335,0.315194
2025-12-19 16:00:00,0.321903,0.321903,0.314584
2025-12-19 20:00:00,0.320252,0.32256,0.319043
2025-12-20 00:00:00,0.321407,0.321407,0.318379
2025-12-20 04:00:00,0.319913,0.321157,0.316688
2025-12-20 08:00:00,0.319467,0.320415,0.318014
2025-12-20 12:00:00,0.322427,0.322782,0.317908
2025-12-20 16:00:00,0.323354,0.323582,0.318362
2025-12-20 20:00:00,0.322304,0.324974,0.322089
2025-12-21 00:00:00,0.320001,0.322166,0.318347
2025-12-21 04:00:00,0.318425,0.320527,0.316618
2025-12-21 08:00:00,0.320781,0.32125,0.318243
2025-12-21 12:00:00,0.317577,0.321931,0.317577
2025-12-21 16:00:00,0.316829,0.319638,0.315413
2025-12-21 20:00:00,0.315879,0.317447,0.31367
2025-12-22 00:00:00,0.315817,0.315817,0.312046
2025-12-22 04:00:00,0.313735,0.31591,0.313488
2025-12-22 08:00:00,0.313819,0.314903,0.31327
2025-12-22 12:00:00,0.32031,0.321764,0.31384
2025-12-22 16:00:00,0.320985,0.323717,0.31911
2025-12-22 20:00:00,0.321191,0.322309,0.318264
2025-12-23 00:00:00,0.319591,0.321386,0.313925
2025-12-23 04:00:00,0.317348,0.319644,0.317216
2025-12-23 08:00:00,0.314036,0.320607,0.314036
