,close,high,low
2025-12-14 20:00:00,124.06,124.41,123.62
2025-12-15 00:00:00,123.19,124.26,123.02
2025-12-15 04:00:00,124.98,125.62,122.93
2025-12-15 08:00:00,124.87,125.57,124.18
2025-12-15 12:00:00,125.25,125.99,124.74
2025-12-15 16:00:00,120.65,125.35,120.65
2025-12-15 20:00:00,117.54,120.74,117.0
2025-12-16 00:00:00,117.15,117.37,116.02
2025-12-16 04:00:00,115.49,117.58,115.49
2025-12-16 08:00:00,115.45,116.17,115.05
2025-12-16 12:00:00,116.94,116.97,115.44
2025-12-16 16:00:00,116.27,117.3,115.7
2025-12-16 20:00:00,115.64,116.45,115.13
2025-12-17 00:00:00,116.15,116.22,115.53
2025-12-17 04:00:00,115.88,116.78,115.65
2025-12-17 08:00:00,115.62,116.14,115.17
2025-12-17 12:00:00,115.6,115.6,115.0
2025-12-17 16:00:00,115.57,118.62,115.12
2025-12-17 20:00:00,112.23,115.74,112.21
2025-12-18 00:00:00,113.38,113.38,112.32
2025-12-18 04:00:00,113.14,113.49,112.99
2025-12-18 08:00:00,113.46,113.55,113.02
2025-12-18 12:00:00,114.37,114.59,113.49
2025-12-18 16:00:00,118.6,119.62,114.3
2025-12-18 20:00:00,112.41,118.32,112.41
2025-12-19 00:00:00,113.84,114.05,112.42
2025-12-19 04:00:00,116.72,116.8,113.55
2025-12-19 08:00:00,118.11,118.8,116.78
2025-12-19 12:00:00,117.94,118.57,117.27
2025-12-19 16:00:00,118.91,119.19,117.71
2025-12-19 20:00:00,120.65,120.69,118.72
2025-12-20 00:00:00,119.71,121.0,119.71
2025-12-20 04:00:00,120.24,120.65,119.6
2025-12-20 08:00:00,120.69,120.95,119.45
2025-12-20 12:00:00,121.15,121.6,120.55
2025-12-20 16:00:00,120.45,121.57,119.98
2025-12-20 20:00:00,121.04,121.04,120.11
2025-12-21 00:00:00,121.19,121.38,120.46
2025-12-21 04:00:00,121.14,121.49,120.19
2025-12-21 08:00:00,121.46,121.52,121.07
2025-12-21 12:00:00,121.93,122.45,121.07
2025-12-21 16:00:00,121.17,122.05,120.59
2025-12-21 20:00:00,121.11,121.41,120.56
2025-12-22 00:00:00,121.52,121.67,120.42
2025-12-22 04:00:00,122.25,122.87,121.08
2025-12-22 08:00:00,122.92,123.27,122.31
2025-12-22 12:00:00,123.58,124.12,122.96
2025-12-22 16:00:00,123.96,124.41,123.42
2025-12-22 20:00:00,122.0,124.75,122.0
2025-12-23 00:00:00,123.5,123.5,121.58
2025-12-23 04:00:00,122.43,124.14,122.2
2025-12-23 08:00:00,121.74,123.06,121.74
2025-12-23 12:00:00,122.83,122.83,121.66
2025-12-23 16:00:00,121.25,123.27,121.22
2025-12-23 20:00:00,121.82,122.39,120.88
2025-12-24 00:00:00,122.23,122.87,121.63
2025-12-24 04:00:00,120.96,122.69,120.93
2025-12-24 08:00:00,120.79,121.6,120.35
2025-12-24 12:00:00,120.95,121.51,120.51
2025-12-24 16:00:00,121.39,121.8,120.8
2025-12-24 20:00:00,121.79,121.79,121.21
2025-12-25 00:00:00,122.17,122.64,121.76
2025-12-25 04:00:00,122.56,122.84,122.19
2025-12-25 08:00:00,122.65,122.74,122.48
