,close,high,low
2025-12-22 00:00:00,0.99984,1.001,0.998695
2025-12-22 04:00:00,1.0,1.004,0.998446
2025-12-22 08:00:00,1.0,1.001,0.999515
2025-12-22 12:00:00,1.0,1.0,0.99932
2025-12-22 16:00:00,1.001,1.001,0.998234
2025-12-22 20:00:00,0.999996,1.001,0.998307
2025-12-23 00:00:00,1.001,1.003,0.998657
2025-12-23 04:00:00,0.999804,1.001,0.998632
2025-12-23 08:00:00,0.999983,1.001,0.998575
2025-12-23 12:00:00,1.0,1.001,0.99855
2025-12-23 16:00:00,0.999431,1.003,0.997975
2025-12-23 20:00:00,0.999206,1.001,0.997267
2025-12-24 00:00:00,0.999762,1.0,0.996756
2025-12-24 04:00:00,0.999986,1.001,0.998508
2025-12-24 08:00:00,0.999426,1.001,0.997975
2025-12-24 12:00:00,1.0,1.001,0.99849
2025-12-24 16:00:00,1.004,1.004,0.993146
2025-12-24 20:00:00,0.999812,1.004,0.996569
2025-12-25 00:00:00,0.999801,1.001,0.999105
2025-12-25 04:00:00,0.998673,1.001,0.99628
2025-12-25 08:00:00,1.0,1.0,0.994634
2025-12-25 12:00:00,0.999414,1.004,0.998165
2025-12-25 16:00:00,1.0,1.001,0.99848
2025-12-25 20:00:00,0.999989,1.001,0.998204
2025-12-26 00:00:00,0.999618,1.0,0.996285
2025-12-26 04:00:00,1.0,1.043,0.997508
2025-12-26 08:00:00,0.999987,1.001,0.998206
2025-12-26 12:00:00,1.001,1.003,0.998899
2025-12-26 16:00:00,0.999612,1.001,0.998612
2025-12-26 20:00:00,0.999883,1.001,0.998878
2025-12-27 00:00:00,1.0,1.001,0.996658
2025-12-27 04:00:00,0.999994,1.0,0.999412
2025-12-27 08:00:00,1.0,1.001,0.999099
2025-12-27 12:00:00,0.999248,1.0,0.992835
2025-12-27 16:00:00,0.999829,1.0,0.998921
2025-12-27 20:00:00,0.999153,0.999998,0.998315
2025-12-28 00:00:00,1.0,1.005,0.99835
2025-12-28 04:00:00,0.999797,1.001,0.998569
2025-12-28 08:00:00,1.0,1.001,0.998297
2025-12-28 12:00:00,0.999005,1.001,0.99871
2025-12-28 16:00:00,0.999367,1.001,0.998409
2025-12-28 20:00:00,0.999973,1.001,0.998876
2025-12-29 00:00:00,1.001,1.001,0.998911
2025-12-29 04:00:00,0.999037,1.002,0.998193
2025-12-29 08:00:00,0.999421,1.001,0.99765
2025-12-29 12:00:00,1.0,1.001,0.998491
2025-12-29 16:00:00,0.999942,1.005,0.997362
2025-12-29 20:00:00,0.999926,1.002,0.918394
2025-12-30 00:00:00,1.0,1.001,0.998938
2025-12-30 04:00:00,1.0,1.001,0.998809
2025-12-30 08:00:00,0.999986,1.001,0.999153
2025-12-30 12:00:00,0.998933,1.003,0.998746
2025-12-30 16:00:00,1.0,1.001,0.998167
2025-12-30 20:00:00,0.999553,1.001,0.997883
2025-12-31 00:00:00,0.999679,1.001,0.999103
2025-12-31 04:00:00,0.999575,1.0,0.998909
2025-12-31 08:00:00,0.999466,1.0,0.999179
2025-12-31 12:00:00,0.999808,1.001,0.998795
2025-12-31 16:00:00,0.977532,1.001,0.977224
2025-12-31 20:00:00,1.0,1.001,0.956027
2026-01-01 00:00:00,0.999856,1.0,0.999529
2026-01-01 04:00:00,0.999638,0.999921,0.999562
2026-01-01 08:00:00,1.0,1.0,0.9995
2026-01-01 12:00:00,1.001,1.002,0.999873
2026-01-01 16:00:00,1.001,1.002,0.998178
2026-01-01 20:00:00,1.001,1.002,0.999825
2026-01-02 00:00:00,1.001,1.002,0.999984
2026-01-02 04:00:00,1.0,1.001,1.0
2026-01-02 08:00:00,0.999583,1.001,0.999293
2026-01-02 12:00:00,1.001,1.003,0.99966
2026-01-02 16:00:00,0.999691,1.002,0.999019
2026-01-02 20:00:00,1.0,1.001,0.998943
2026-01-03 00:00:00,0.999844,1.001,0.998837
2026-01-03 04:00:00,0.99993,1.0,0.999465
2026-01-03 08:00:00,0.99992,1.0,0.999008
2026-01-03 12:00:00,0.999705,1.0,0.999075
2026-01-03 16:00:00,1.001,1.001,0.9998
2026-01-03 20:00:00,1.001,1.001,1.0
2026-01-04 00:00:00,1.001,1.001,1.0
2026-01-04 04:00:00,1.002,1.002,0.997815
2026-01-04 08:00:00,0.99992,1.003,0.996888
2026-01-04 12:00:00,0.999665,1.0,0.999539
2026-01-04 16:00:00,1.001,1.001,0.999463
2026-01-04 20:00:00,0.245097,1.002,0.243118
2026-01-05 00:00:00,1.002,1.002,0.244136
2026-01-05 04:00:00,0.997082,1.002,0.990636
2026-01-05 08:00:00,1.002,1.002,0.988052
2026-01-05 12:00:00,1.001,1.005,0.999699
2026-01-05 16:00:00,1.001,1.002,0.999589
2026-01-05 20:00:00,0.999388,1.001,0.998728
2026-01-06 00:00:00,0.999818,1.001,0.999113
2026-01-06 04:00:00,1.0,1.0,0.99465
2026-01-06 08:00:00,0.999622,1.001,0.999436
2026-01-06 12:00:00,0.999992,1.0,0.998172
2026-01-06 16:00:00,0.999663,1.001,0.9983
2026-01-06 20:00:00,0.999629,0.999992,0.999169
2026-01-07 00:00:00,1.0,1.002,0.998458
2026-01-07 04:00:00,0.999848,1.001,0.998628
2026-01-07 08:00:00,0.999971,1.0,0.998655
2026-01-07 12:00:00,1.0,1.002,0.996398
2026-01-07 16:00:00,0.99892,1.002,0.996217
2026-01-07 20:00:00,1.003,1.003,0.998491
2026-01-08 00:00:00,1.001,1.004,0.999041
2026-01-08 04:00:00,0.999042,1.004,0.999042
2026-01-08 08:00:00,0.998702,1.002,0.994911
2026-01-08 12:00:00,0.99957,1.001,0.997446
2026-01-08 16:00:00,0.998144,1.0,0.997673
2026-01-08 20:00:00,0.999257,1.001,0.998783
2026-01-09 00:00:00,0.998261,0.999757,0.998261
2026-01-09 04:00:00,1.004,1.004,0.995603
2026-01-09 08:00:00,0.999125,1.007,0.999125
2026-01-09 12:00:00,0.998673,0.999846,0.99765
2026-01-09 16:00:00,0.998918,1.0,0.998055
2026-01-09 20:00:00,0.998124,1.001,0.997603
2026-01-10 00:00:00,1.0,1.0,0.997581
2026-01-10 04:00:00,1.0,1.002,0.998732
2026-01-10 08:00:00,0.99965,1.003,0.996895
2026-01-10 12:00:00,0.999273,1.001,0.998156
2026-01-10 16:00:00,0.998614,1.0,0.998392
2026-01-10 20:00:00,0.999497,0.999516,0.998429
2026-01-11 00:00:00,0.997458,0.99943,0.995747
2026-01-11 04:00:00,0.997639,1.0,0.992935
2026-01-11 08:00:00,0.994307,1.38,0.992064
2026-01-11 12:00:00,0.998269,0.998881,0.990905
2026-01-11 16:00:00,0.998229,0.999286,0.997218
2026-01-11 20:00:00,0.995815,1.006,0.991566
2026-01-12 00:00:00,1.29,1.29,0.991309
2026-01-12 04:00:00,0.998175,1.3,0.993621
2026-01-12 08:00:00,0.998488,0.999901,0.997666
2026-01-12 12:00:00,0.999298,0.999738,0.997601
2026-01-12 16:00:00,0.998902,1.002,0.996225
2026-01-12 20:00:00,0.999033,1.0,0.995967
2026-01-13 00:00:00,0.999078,0.999952,0.998296
2026-01-13 04:00:00,0.999888,1.0,0.998741
2026-01-13 08:00:00,0.999062,1.0,0.998492
2026-01-13 12:00:00,1.0,1.001,0.996901
2026-01-13 16:00:00,1.0,1.0,0.99604
2026-01-13 20:00:00,1.0,1.001,0.997393
2026-01-14 00:00:00,1.001,1.001,0.998659
2026-01-14 04:00:00,1.0,1.001,0.999156
2026-01-14 08:00:00,1.001,1.001,0.999356
2026-01-14 12:00:00,0.99978,1.002,0.998437
2026-01-14 16:00:00,1.001,1.003,0.999674
2026-01-14 20:00:00,1.0,1.002,0.99939
2026-01-15 00:00:00,0.999998,1.0,0.999426
2026-01-15 04:00:00,0.999106,1.001,0.998887
2026-01-15 08:00:00,0.998105,1.002,0.998105
2026-01-15 12:00:00,0.996173,1.001,0.996053
2026-01-15 16:00:00,1.001,1.001,0.994838
2026-01-15 20:00:00,1.0,1.001,0.998018
2026-01-16 00:00:00,0.998966,1.001,0.998301
2026-01-16 04:00:00,0.999107,1.001,0.998592
2026-01-16 08:00:00,0.999858,1.001,0.997359
2026-01-16 12:00:00,0.998954,1.001,0.998845
2026-01-16 16:00:00,0.998424,1.0,0.997907
2026-01-16 20:00:00,0.99998,1.001,0.998179
2026-01-17 00:00:00,1.0,1.001,0.997959
2026-01-17 04:00:00,1.0,1.001,0.99909
2026-01-17 08:00:00,1.002,1.002,0.998748
2026-01-17 12:00:00,0.999337,1.002,0.999239
2026-01-17 16:00:00,0.99952,1.001,0.998642
