,close,high,low
2025-12-22 00:00:00,0.12944,0.130261,0.129188
2025-12-22 04:00:00,0.129054,0.129601,0.12872
2025-12-22 08:00:00,0.128574,0.129468,0.128574
2025-12-22 12:00:00,0.129229,0.129461,0.125825
2025-12-22 16:00:00,0.129586,0.130442,0.129069
2025-12-22 20:00:00,0.129377,0.129784,0.128807
2025-12-23 00:00:00,0.128758,0.129382,0.128331
2025-12-23 04:00:00,0.129195,0.129763,0.128329
2025-12-23 08:00:00,0.129082,0.129518,0.128864
2025-12-23 12:00:00,0.127817,0.129245,0.127817
2025-12-23 16:00:00,0.133586,0.134936,0.127165
2025-12-23 20:00:00,0.132647,0.133864,0.132483
2025-12-24 00:00:00,0.13274,0.133044,0.131307
2025-12-24 04:00:00,0.13194,0.132743,0.130368
2025-12-24 08:00:00,0.129849,0.131847,0.129823
2025-12-24 12:00:00,0.130577,0.131993,0.128911
2025-12-24 16:00:00,0.126951,0.134714,0.126951
2025-12-24 20:00:00,0.12584,0.127901,0.12584
2025-12-25 00:00:00,0.125125,0.126148,0.121074
2025-12-25 04:00:00,0.124612,0.125281,0.121067
2025-12-25 08:00:00,0.124237,0.125356,0.124228
2025-12-25 12:00:00,0.125227,0.125298,0.123763
2025-12-25 16:00:00,0.12624,0.12631,0.12522
2025-12-25 20:00:00,0.126019,0.126373,0.125954
2025-12-26 00:00:00,0.125544,0.126033,0.125475
2025-12-26 04:00:00,0.12488,0.125558,0.123445
2025-12-26 08:00:00,0.124665,0.125029,0.124303
2025-12-26 12:00:00,0.123887,0.125513,0.123811
2025-12-26 16:00:00,0.123973,0.124379,0.123495
2025-12-26 20:00:00,0.123694,0.124212,0.122785
2025-12-27 00:00:00,0.123334,0.124105,0.123119
2025-12-27 04:00:00,0.123341,0.124748,0.123138
2025-12-27 08:00:00,0.122715,0.123421,0.121207
2025-12-27 12:00:00,0.12841,0.130803,0.122617
2025-12-27 16:00:00,0.127318,0.128344,0.126044
2025-12-27 20:00:00,0.125307,0.126828,0.124089
2025-12-28 00:00:00,0.124692,0.125605,0.124472
2025-12-28 04:00:00,0.124235,0.125187,0.122961
2025-12-28 08:00:00,0.123995,0.124624,0.123783
2025-12-28 12:00:00,0.123699,0.124678,0.123392
2025-12-28 16:00:00,0.124268,0.125463,0.123407
2025-12-28 20:00:00,0.12495,0.126039,0.124114
2025-12-29 00:00:00,0.124909,0.125398,0.124579
2025-12-29 04:00:00,0.124539,0.125968,0.124236
2025-12-29 08:00:00,0.12745,0.127649,0.124023
2025-12-29 12:00:00,0.1264,0.128875,0.126306
2025-12-29 16:00:00,0.123805,0.126423,0.123778
2025-12-29 20:00:00,0.124261,0.124998,0.123827
2025-12-30 00:00:00,0.123544,0.124808,0.123473
2025-12-30 04:00:00,0.123849,0.124759,0.12314
2025-12-30 08:00:00,0.123274,0.124622,0.123274
2025-12-30 12:00:00,0.123438,0.1236,0.122487
2025-12-30 16:00:00,0.123403,0.124443,0.121661
2025-12-30 20:00:00,0.123378,0.123912,0.120952
2025-12-31 00:00:00,0.12306,0.123625,0.121878
2025-12-31 04:00:00,0.126441,0.126589,0.122607
2025-12-31 08:00:00,0.124286,0.126425,0.124189
2025-12-31 12:00:00,0.123945,0.124024,0.123438
2025-12-31 16:00:00,0.123395,0.124817,0.123201
2025-12-31 20:00:00,0.123889,0.123987,0.122872
2026-01-01 00:00:00,0.123433,0.124002,0.123081
2026-01-01 04:00:00,0.123861,0.123897,0.12316
2026-01-01 08:00:00,0.123334,0.123932,0.123201
2026-01-01 12:00:00,0.123146,0.123837,0.12311
2026-01-01 16:00:00,0.12323,0.12384,0.122819
2026-01-01 20:00:00,0.123703,0.123843,0.123132
2026-01-02 00:00:00,0.123315,0.123891,0.123299
2026-01-02 04:00:00,0.12381,0.123909,0.122827
2026-01-02 08:00:00,0.12294,0.123786,0.122762
2026-01-02 12:00:00,0.122463,0.12362,0.122463
2026-01-02 16:00:00,0.12323,0.123451,0.121994
2026-01-02 20:00:00,0.123268,0.12365,0.123007
2026-01-03 00:00:00,0.123056,0.123816,0.123031
2026-01-03 04:00:00,0.122797,0.12415,0.122684
2026-01-03 08:00:00,0.12232,0.123735,0.122119
2026-01-03 12:00:00,0.12271,0.123138,0.119727
2026-01-03 16:00:00,0.122168,0.122921,0.120314
2026-01-03 20:00:00,0.12235,0.122789,0.121842
2026-01-04 00:00:00,0.12152,0.122839,0.120691
2026-01-04 04:00:00,0.124251,0.124251,0.121123
2026-01-04 08:00:00,0.121185,0.124759,0.121185
2026-01-04 12:00:00,0.122406,0.123174,0.121169
2026-01-04 16:00:00,0.121947,0.122541,0.121639
2026-01-04 20:00:00,0.120751,0.122173,0.120751
2026-01-05 00:00:00,0.121869,0.122113,0.119348
2026-01-05 04:00:00,0.12247,0.12247,0.121317
2026-01-05 08:00:00,0.120314,0.122735,0.120059
2026-01-05 12:00:00,0.12122,0.121312,0.118427
2026-01-05 16:00:00,0.12167,0.121728,0.119971
2026-01-05 20:00:00,0.119941,0.122083,0.119778
2026-01-06 00:00:00,0.119645,0.120393,0.119276
2026-01-06 04:00:00,0.12029,0.120487,0.119125
2026-01-06 08:00:00,0.120199,0.121338,0.120199
2026-01-06 12:00:00,0.120167,0.120931,0.119494
2026-01-06 16:00:00,0.119613,0.120266,0.119117
2026-01-06 20:00:00,0.119868,0.119893,0.119511
2026-01-07 00:00:00,0.119322,0.119849,0.119317
2026-01-07 04:00:00,0.123269,0.12337,0.118499
2026-01-07 08:00:00,0.121659,0.123271,0.121637
2026-01-07 12:00:00,0.121691,0.121803,0.120315
2026-01-07 16:00:00,0.121365,0.122025,0.120569
2026-01-07 20:00:00,0.120144,0.121372,0.120144
2026-01-08 00:00:00,0.121316,0.121316,0.120144
2026-01-08 04:00:00,0.121504,0.122205,0.120698
2026-01-08 08:00:00,0.120686,0.121646,0.120295
2026-01-08 12:00:00,0.119464,0.121747,0.119327
2026-01-08 16:00:00,0.119788,0.119835,0.11889
2026-01-08 20:00:00,0.119941,0.119941,0.119337
2026-01-09 00:00:00,0.119243,0.119987,0.119235
2026-01-09 04:00:00,0.1211,0.121516,0.119614
2026-01-09 08:00:00,0.120369,0.121334,0.120369
2026-01-09 12:00:00,0.119736,0.120369,0.119483
2026-01-09 16:00:00,0.119824,0.120153,0.119454
2026-01-09 20:00:00,0.120162,0.1203,0.119554
2026-01-10 00:00:00,0.119941,0.120178,0.119724
2026-01-10 04:00:00,0.120215,0.120227,0.119733
2026-01-10 08:00:00,0.119837,0.120215,0.119354
2026-01-10 12:00:00,0.119421,0.119837,0.11881
2026-01-10 16:00:00,0.119426,0.119632,0.118687
2026-01-10 20:00:00,0.1191,0.119687,0.118862
2026-01-11 00:00:00,0.119778,0.119823,0.118995
2026-01-11 04:00:00,0.119601,0.119791,0.118954
2026-01-11 08:00:00,0.119318,0.119695,0.119151
2026-01-11 12:00:00,0.118458,0.119912,0.118354
2026-01-11 16:00:00,0.119104,0.119331,0.118434
2026-01-11 20:00:00,0.11839,0.119221,0.11839
2026-01-12 00:00:00,0.11898,0.118995,0.11839
2026-01-12 04:00:00,0.120587,0.120587,0.118245
2026-01-12 08:00:00,0.124533,0.125351,0.120716
2026-01-12 12:00:00,0.123805,0.124588,0.122992
2026-01-12 16:00:00,0.127163,0.127163,0.121936
2026-01-12 20:00:00,0.127978,0.130177,0.127944
2026-01-13 00:00:00,0.1293,0.1293,0.127583
2026-01-13 04:00:00,0.130054,0.130674,0.126196
2026-01-13 08:00:00,0.132786,0.134752,0.129992
2026-01-13 12:00:00,0.128909,0.132786,0.12855
2026-01-13 16:00:00,0.125816,0.128909,0.125816
2026-01-13 20:00:00,0.124861,0.126034,0.124857
2026-01-14 00:00:00,0.124914,0.125222,0.124306
2026-01-14 04:00:00,0.124656,0.125736,0.124218
2026-01-14 08:00:00,0.121189,0.124746,0.121189
2026-01-14 12:00:00,0.120575,0.121129,0.118967
2026-01-14 16:00:00,0.12181,0.122642,0.120351
2026-01-14 20:00:00,0.1205,0.121914,0.1205
2026-01-15 00:00:00,0.121063,0.121063,0.120177
2026-01-15 04:00:00,0.121155,0.122551,0.120985
2026-01-15 08:00:00,0.118818,0.121926,0.118818
2026-01-15 12:00:00,0.118439,0.119704,0.118391
2026-01-15 16:00:00,0.117906,0.118772,0.117816
2026-01-15 20:00:00,0.117678,0.118936,0.117678
2026-01-16 00:00:00,0.118925,0.118925,0.117902
2026-01-16 04:00:00,0.118559,0.118788,0.117731
2026-01-16 08:00:00,0.118111,0.118661,0.117631
2026-01-16 12:00:00,0.117026,0.118037,0.115434
2026-01-16 16:00:00,0.119663,0.119868,0.116761
2026-01-16 20:00:00,0.120675,0.121079,0.118455
2026-01-17 00:00:00,0.119453,0.120746,0.118705
2026-01-17 04:00:00,0.118554,0.120329,0.117954
2026-01-17 08:00:00,0.117944,0.119492,0.117944
2026-01-17 12:00:00,0.115678,0.117821,0.115542
2026-01-17 16:00:00,0.11859,0.118804,0.114809
2026-01-17 20:00:00,0.116938,0.118052,0.116855
2026-01-18 00:00:00,0.115615,0.117184,0.115532
2026-01-18 04:00:00,0.11511,0.115475,0.114369
2026-01-18 08:00:00,0.11499,0.11563,0.114321
2026-01-18 12:00:00,0.114808,0.115244,0.113008
2026-01-18 16:00:00,0.119803,0.120522,0.114582
2026-01-18 20:00:00,0.119592,0.119988,0.119201
2026-01-19 00:00:00,0.119707,0.120035,0.119452
2026-01-19 04:00:00,0.119132,0.120221,0.118117
2026-01-19 08:00:00,0.118315,0.119907,0.118307
2026-01-19 12:00:00,0.118449,0.119786,0.117555
2026-01-19 16:00:00,0.123076,0.123076,0.118416
2026-01-19 20:00:00,0.12063,0.123196,0.119912
2026-01-20 00:00:00,0.120093,0.12063,0.118851
2026-01-20 04:00:00,0.119858,0.120093,0.118462
2026-01-20 08:00:00,0.11937,0.120283,0.116766
2026-01-20 12:00:00,0.118468,0.119686,0.117586
2026-01-20 16:00:00,0.118566,0.118908,0.117235
2026-01-20 20:00:00,0.118262,0.118546,0.118262
