,close,high,low
2025-12-14 20:00:00,5.15,5.24,5.14
2025-12-15 00:00:00,5.17,5.19,5.14
2025-12-15 04:00:00,5.27,5.33,5.16
2025-12-15 08:00:00,5.27,5.37,5.27
2025-12-15 12:00:00,5.28,5.32,5.27
2025-12-15 16:00:00,4.99,5.3,4.97
2025-12-15 20:00:00,4.91,4.98,4.83
2025-12-16 00:00:00,4.96,4.97,4.85
2025-12-16 04:00:00,4.93,4.97,4.9
2025-12-16 08:00:00,4.88,4.95,4.88
2025-12-16 12:00:00,5.0,5.0,4.87
2025-12-16 16:00:00,4.99,5.0,4.92
2025-12-16 20:00:00,4.98,5.02,4.94
2025-12-17 00:00:00,4.91,4.99,4.91
2025-12-17 04:00:00,4.89,4.94,4.89
2025-12-17 08:00:00,4.86,4.89,4.84
2025-12-17 12:00:00,4.84,4.86,4.8
2025-12-17 16:00:00,4.84,5.06,4.84
2025-12-17 20:00:00,4.66,4.84,4.6
2025-12-18 00:00:00,4.63,4.7,4.61
2025-12-18 04:00:00,4.6,4.65,4.59
2025-12-18 08:00:00,4.56,4.61,4.54
2025-12-18 12:00:00,4.58,4.62,4.56
2025-12-18 16:00:00,4.83,4.86,4.58
2025-12-18 20:00:00,4.37,4.81,4.37
2025-12-19 00:00:00,4.43,4.49,4.37
2025-12-19 04:00:00,4.58,4.58,4.37
2025-12-19 08:00:00,4.65,4.67,4.56
2025-12-19 12:00:00,4.69,4.69,4.64
2025-12-19 16:00:00,4.77,4.79,4.68
2025-12-19 20:00:00,4.88,4.88,4.74
2025-12-20 00:00:00,4.83,4.9,4.83
2025-12-20 04:00:00,4.8,4.83,4.78
2025-12-20 08:00:00,4.83,4.83,4.76
2025-12-20 12:00:00,4.83,4.87,4.79
2025-12-20 16:00:00,4.8,4.83,4.78
2025-12-20 20:00:00,4.78,4.81,4.77
2025-12-21 00:00:00,4.76,4.79,4.75
2025-12-21 04:00:00,4.73,4.77,4.69
2025-12-21 08:00:00,4.7,4.75,4.7
2025-12-21 12:00:00,4.68,4.74,4.68
2025-12-21 16:00:00,4.52,4.68,4.51
2025-12-21 20:00:00,4.58,4.6,4.51
2025-12-22 00:00:00,4.57,4.6,4.51
2025-12-22 04:00:00,4.62,4.66,4.55
2025-12-22 08:00:00,4.61,4.65,4.61
2025-12-22 12:00:00,4.68,4.69,4.61
2025-12-22 16:00:00,4.67,4.74,4.65
2025-12-22 20:00:00,4.59,4.75,4.59
2025-12-23 00:00:00,4.66,4.67,4.57
2025-12-23 04:00:00,4.62,4.7,4.61
2025-12-23 08:00:00,4.58,4.65,4.56
2025-12-23 12:00:00,4.59,4.61,4.57
2025-12-23 16:00:00,4.55,4.58,4.52
2025-12-23 20:00:00,4.61,4.63,4.54
2025-12-24 00:00:00,4.6,4.65,4.57
2025-12-24 04:00:00,4.55,4.62,4.49
2025-12-24 08:00:00,4.5,4.56,4.48
2025-12-24 12:00:00,4.45,4.49,4.45
2025-12-24 16:00:00,4.52,4.53,4.44
2025-12-24 20:00:00,4.52,4.56,4.48
2025-12-25 00:00:00,4.58,4.61,4.52
2025-12-25 04:00:00,4.62,4.62,4.54
2025-12-25 08:00:00,4.62,4.64,4.6
2025-12-25 12:00:00,4.58,4.66,4.56
2025-12-25 16:00:00,4.66,4.66,4.58
2025-12-25 20:00:00,4.64,4.66,4.6
2025-12-26 00:00:00,4.44,4.66,4.44
2025-12-26 04:00:00,4.65,4.67,4.42
2025-12-26 08:00:00,4.63,4.7,4.61
2025-12-26 12:00:00,4.67,4.67,4.62
2025-12-26 16:00:00,4.56,4.7,4.56
2025-12-26 20:00:00,4.65,4.66,4.54
2025-12-27 00:00:00,4.63,4.67,4.6
2025-12-27 04:00:00,4.68,4.69,4.62
2025-12-27 08:00:00,4.64,4.69,4.62
2025-12-27 12:00:00,4.66,4.66,4.58
2025-12-27 16:00:00,4.7,4.7,4.64
2025-12-27 20:00:00,4.72,4.72,4.68
2025-12-28 00:00:00,4.85,4.85,4.7
2025-12-28 04:00:00,4.84,4.85,4.8
2025-12-28 08:00:00,4.83,4.85,4.8
2025-12-28 12:00:00,4.8,4.85,4.8
