,close,high,low
2025-12-17 12:00:00,3.02,3.05,3.0
2025-12-17 16:00:00,2.99,3.11,2.99
2025-12-17 20:00:00,2.91,3.0,2.88
2025-12-18 00:00:00,2.89,2.94,2.89
2025-12-18 04:00:00,2.88,2.91,2.87
2025-12-18 08:00:00,2.87,2.9,2.86
2025-12-18 12:00:00,2.92,2.92,2.88
2025-12-18 16:00:00,3.04,3.04,2.92
2025-12-18 20:00:00,2.78,3.03,2.78
2025-12-19 00:00:00,2.8,2.84,2.78
2025-12-19 04:00:00,2.86,2.86,2.75
2025-12-19 08:00:00,2.87,2.9,2.85
2025-12-19 12:00:00,2.89,2.9,2.86
2025-12-19 16:00:00,2.92,2.94,2.88
2025-12-19 20:00:00,2.97,2.97,2.88
2025-12-20 00:00:00,2.95,2.99,2.92
2025-12-20 04:00:00,2.92,2.95,2.91
2025-12-20 08:00:00,2.93,2.93,2.89
2025-12-20 12:00:00,2.96,2.96,2.92
2025-12-20 16:00:00,3.02,3.02,2.94
2025-12-20 20:00:00,3.05,3.06,2.99
2025-12-21 00:00:00,3.42,3.47,3.05
2025-12-21 04:00:00,3.3,3.42,3.22
2025-12-21 08:00:00,3.18,3.31,3.18
2025-12-21 12:00:00,3.11,3.19,3.11
2025-12-21 16:00:00,3.07,3.13,3.06
2025-12-21 20:00:00,3.07,3.09,3.03
2025-12-22 00:00:00,3.04,3.08,3.02
2025-12-22 04:00:00,3.05,3.09,3.03
2025-12-22 08:00:00,3.07,3.07,3.02
2025-12-22 12:00:00,3.06,3.1,3.05
2025-12-22 16:00:00,3.06,3.07,3.02
2025-12-22 20:00:00,3.09,3.19,3.06
2025-12-23 00:00:00,3.04,3.09,3.01
2025-12-23 04:00:00,3.03,3.07,3.01
2025-12-23 08:00:00,3.0,3.03,3.0
2025-12-23 12:00:00,2.98,3.0,2.98
2025-12-23 16:00:00,2.95,2.99,2.95
2025-12-23 20:00:00,3.02,3.02,2.95
2025-12-24 00:00:00,3.03,3.03,2.99
2025-12-24 04:00:00,2.99,3.04,2.97
2025-12-24 08:00:00,2.97,3.01,2.97
2025-12-24 12:00:00,2.97,2.99,2.95
2025-12-24 16:00:00,2.98,3.0,2.96
2025-12-24 20:00:00,2.97,3.0,2.96
2025-12-25 00:00:00,3.01,3.02,2.97
2025-12-25 04:00:00,3.06,3.06,3.0
2025-12-25 08:00:00,3.08,3.09,3.06
2025-12-25 12:00:00,3.03,3.1,3.03
2025-12-25 16:00:00,3.07,3.08,3.04
2025-12-25 20:00:00,3.07,3.08,3.04
2025-12-26 00:00:00,2.98,3.12,2.98
2025-12-26 04:00:00,3.03,3.09,2.98
2025-12-26 08:00:00,3.01,3.05,3.01
2025-12-26 12:00:00,3.03,3.03,3.01
2025-12-26 16:00:00,3.0,3.04,3.0
2025-12-26 20:00:00,3.0,3.01,2.95
2025-12-27 00:00:00,2.99,3.01,2.97
2025-12-27 04:00:00,3.04,3.05,2.99
2025-12-27 08:00:00,3.02,3.05,3.01
2025-12-27 12:00:00,3.06,3.06,3.01
2025-12-27 16:00:00,3.06,3.07,3.04
2025-12-27 20:00:00,3.05,3.06,3.04
2025-12-28 00:00:00,3.08,3.08,3.03
2025-12-28 04:00:00,3.07,3.08,3.05
2025-12-28 08:00:00,3.1,3.1,3.06
2025-12-28 12:00:00,3.1,3.13,3.08
2025-12-28 16:00:00,3.09,3.11,3.07
2025-12-28 20:00:00,3.03,3.09,3.03
2025-12-29 00:00:00,3.04,3.04,3.02
2025-12-29 04:00:00,3.1,3.1,3.03
2025-12-29 08:00:00,3.1,3.12,3.08
2025-12-29 12:00:00,3.04,3.1,3.03
2025-12-29 16:00:00,2.96,3.04,2.95
2025-12-29 20:00:00,2.96,2.98,2.95
2025-12-30 00:00:00,2.88,2.96,2.88
2025-12-30 04:00:00,2.89,2.9,2.87
2025-12-30 08:00:00,2.91,2.93,2.88
2025-12-30 12:00:00,2.93,2.93,2.91
2025-12-30 16:00:00,2.91,2.94,2.9
2025-12-30 20:00:00,2.85,2.92,2.85
2025-12-31 00:00:00,2.83,2.85,2.83
2025-12-31 04:00:00,2.83,2.85,2.82
2025-12-31 08:00:00,2.83,2.84,2.82
2025-12-31 12:00:00,2.82,2.84,2.81
2025-12-31 16:00:00,2.78,2.82,2.78
2025-12-31 20:00:00,2.7,2.78,2.67
2026-01-01 00:00:00,2.84,2.84,2.68
2026-01-01 04:00:00,2.85,2.96,2.84
2026-01-01 08:00:00,2.85,2.89,2.83
2026-01-01 12:00:00,2.92,2.93,2.85
2026-01-01 16:00:00,2.97,2.99,2.91
2026-01-01 20:00:00,3.01,3.07,2.96
2026-01-02 00:00:00,3.0,3.02,2.98
2026-01-02 04:00:00,3.03,3.03,2.97
2026-01-02 08:00:00,3.0,3.03,2.99
2026-01-02 12:00:00,3.01,3.03,2.98
2026-01-02 16:00:00,3.01,3.04,2.99
2026-01-02 20:00:00,3.09,3.1,3.01
2026-01-03 00:00:00,3.16,3.16,3.07
