,close,high,low
2025-12-17 16:00:00,0.14154,0.143132,0.141142
2025-12-17 20:00:00,0.140139,0.142209,0.138717
2025-12-18 00:00:00,0.137227,0.140047,0.135888
2025-12-18 04:00:00,0.136185,0.137437,0.134503
2025-12-18 08:00:00,0.120209,0.135832,0.120176
2025-12-18 12:00:00,0.119733,0.120412,0.119686
2025-12-18 16:00:00,0.119558,0.120175,0.11933
2025-12-18 20:00:00,0.117394,0.120062,0.117394
2025-12-19 00:00:00,0.108932,0.117632,0.10886
2025-12-19 04:00:00,0.107785,0.108958,0.106317
2025-12-19 08:00:00,0.10313,0.10775,0.10313
2025-12-19 12:00:00,0.102414,0.103692,0.102414
2025-12-19 16:00:00,0.098171,0.103215,0.098171
2025-12-19 20:00:00,0.097878,0.098132,0.097114
2025-12-20 00:00:00,0.097528,0.097828,0.096614
2025-12-20 04:00:00,0.064001,0.097513,0.063906
2025-12-20 08:00:00,0.067411,0.068723,0.054502
2025-12-20 12:00:00,0.066308,0.067933,0.065546
2025-12-20 16:00:00,0.070723,0.070733,0.065746
2025-12-20 20:00:00,0.072926,0.074074,0.069598
2025-12-21 00:00:00,0.077311,0.077341,0.073001
2025-12-21 04:00:00,0.076422,0.07717,0.076167
2025-12-21 08:00:00,0.074246,0.076877,0.074246
2025-12-21 12:00:00,0.072151,0.0745,0.071586
2025-12-21 16:00:00,0.073035,0.075099,0.072108
2025-12-21 20:00:00,0.092238,0.092238,0.072458
2025-12-22 00:00:00,0.101766,0.102037,0.092639
2025-12-22 04:00:00,0.09927,0.102083,0.098419
2025-12-22 08:00:00,0.098431,0.099754,0.098023
2025-12-22 12:00:00,0.099589,0.099589,0.097812
2025-12-22 16:00:00,0.098733,0.099867,0.097823
2025-12-22 20:00:00,0.098912,0.099978,0.098342
2025-12-23 00:00:00,0.098748,0.099396,0.098239
2025-12-23 04:00:00,0.091419,0.098823,0.090473
2025-12-23 08:00:00,0.0909,0.09255,0.090399
2025-12-23 12:00:00,0.092228,0.092228,0.089987
2025-12-23 16:00:00,0.090304,0.091601,0.089792
2025-12-23 20:00:00,0.091906,0.091906,0.090236
2025-12-24 00:00:00,0.090391,0.09223,0.090327
2025-12-24 04:00:00,0.091272,0.092082,0.090241
2025-12-24 08:00:00,0.093816,0.094249,0.091252
2025-12-24 12:00:00,0.091097,0.093949,0.09094
2025-12-24 16:00:00,0.092014,0.092288,0.090444
2025-12-24 20:00:00,0.091151,0.092244,0.090716
2025-12-25 00:00:00,0.090308,0.091467,0.089829
2025-12-25 04:00:00,0.09054,0.091695,0.089784
2025-12-25 08:00:00,0.090428,0.091689,0.089777
2025-12-25 12:00:00,0.090631,0.091504,0.090063
2025-12-25 16:00:00,0.090666,0.091281,0.090404
2025-12-25 20:00:00,0.090307,0.090824,0.08902
2025-12-26 00:00:00,0.090587,0.090728,0.089853
2025-12-26 04:00:00,0.090637,0.091255,0.090437
2025-12-26 08:00:00,0.090576,0.091305,0.090573
2025-12-26 12:00:00,0.090618,0.091579,0.090096
2025-12-26 16:00:00,0.090936,0.091513,0.090485
2025-12-26 20:00:00,0.090722,0.091471,0.090618
2025-12-27 00:00:00,0.090708,0.09124,0.090438
2025-12-27 04:00:00,0.0906,0.091246,0.090472
2025-12-27 08:00:00,0.090729,0.090972,0.090308
2025-12-27 12:00:00,0.090838,0.09119,0.09042
2025-12-27 16:00:00,0.090687,0.091423,0.090416
2025-12-27 20:00:00,0.090749,0.091345,0.090392
2025-12-28 00:00:00,0.09045,0.090836,0.09039
2025-12-28 04:00:00,0.090675,0.090806,0.090259
2025-12-28 08:00:00,0.090644,0.090857,0.090569
2025-12-28 12:00:00,0.090706,0.091316,0.090596
2025-12-28 16:00:00,0.090535,0.091074,0.090287
2025-12-28 20:00:00,0.091264,0.09137,0.090603
2025-12-29 00:00:00,0.090645,0.091375,0.090645
2025-12-29 04:00:00,0.090579,0.091358,0.09056
2025-12-29 08:00:00,0.090804,0.091296,0.090565
2025-12-29 12:00:00,0.090757,0.09138,0.090648
2025-12-29 16:00:00,0.090967,0.091671,0.09045
2025-12-29 20:00:00,0.091449,0.091951,0.090834
2025-12-30 00:00:00,0.091808,0.091895,0.09077
2025-12-30 04:00:00,0.091752,0.091872,0.090815
2025-12-30 08:00:00,0.091831,0.091873,0.090906
2025-12-30 12:00:00,0.090903,0.091887,0.090769
2025-12-30 16:00:00,0.09195,0.09195,0.090806
2025-12-30 20:00:00,0.090918,0.091882,0.090729
2025-12-31 00:00:00,0.092551,0.092752,0.09094
2025-12-31 04:00:00,0.09424,0.094451,0.091555
2025-12-31 08:00:00,0.095797,0.096204,0.094136
2025-12-31 12:00:00,0.095078,0.095933,0.092532
2025-12-31 16:00:00,0.096923,0.096951,0.094504
2025-12-31 20:00:00,0.096727,0.097255,0.096727
2026-01-01 00:00:00,0.097253,0.097373,0.096453
2026-01-01 04:00:00,0.091243,0.097365,0.091013
2026-01-01 08:00:00,0.091094,0.093054,0.091094
2026-01-01 12:00:00,0.091185,0.092741,0.090987
2026-01-01 16:00:00,0.093756,0.093872,0.09113
2026-01-01 20:00:00,0.093982,0.094325,0.091781
2026-01-02 00:00:00,0.077279,0.094289,0.077279
2026-01-02 04:00:00,0.088689,0.090724,0.076527
2026-01-02 08:00:00,0.088263,0.08912,0.087823
2026-01-02 12:00:00,0.088062,0.088371,0.087121
2026-01-02 16:00:00,0.088509,0.088787,0.08736
2026-01-02 20:00:00,0.088512,0.088818,0.087864
2026-01-03 00:00:00,0.089029,0.090768,0.088244
2026-01-03 04:00:00,0.088876,0.090864,0.088177
2026-01-03 08:00:00,0.088262,0.091459,0.088262
2026-01-03 12:00:00,0.087873,0.088346,0.087202
2026-01-03 16:00:00,0.087848,0.08909,0.087148
2026-01-03 20:00:00,0.087542,0.088399,0.087173
2026-01-04 00:00:00,0.063426,0.08773,0.061545
2026-01-04 04:00:00,0.061991,0.063158,0.061113
2026-01-04 08:00:00,0.060912,0.062767,0.060237
2026-01-04 12:00:00,0.063395,0.063575,0.060999
2026-01-04 16:00:00,0.066286,0.066286,0.063162
2026-01-04 20:00:00,0.070271,0.070982,0.066446
2026-01-05 00:00:00,0.071245,0.07166,0.069648
2026-01-05 04:00:00,0.06886,0.071823,0.06886
2026-01-05 08:00:00,0.06167,0.068971,0.06167
2026-01-05 12:00:00,0.064057,0.064057,0.061277
2026-01-05 16:00:00,0.064103,0.064717,0.062606
2026-01-05 20:00:00,0.065692,0.065692,0.064235
2026-01-06 00:00:00,0.065867,0.06634,0.065357
2026-01-06 04:00:00,0.067982,0.067982,0.06551
2026-01-06 08:00:00,0.070206,0.070379,0.068235
2026-01-06 12:00:00,0.070978,0.070978,0.068394
2026-01-06 16:00:00,0.069517,0.071267,0.069455
2026-01-06 20:00:00,0.068372,0.069962,0.068317
2026-01-07 00:00:00,0.071994,0.07212,0.068389
2026-01-07 04:00:00,0.072569,0.073149,0.070491
2026-01-07 08:00:00,0.073234,0.073631,0.072533
2026-01-07 12:00:00,0.073425,0.073858,0.072929
2026-01-07 16:00:00,0.073298,0.073615,0.072997
2026-01-07 20:00:00,0.073382,0.073768,0.073034
2026-01-08 00:00:00,0.073552,0.073655,0.072874
2026-01-08 04:00:00,0.073465,0.073676,0.07315
2026-01-08 08:00:00,0.073344,0.073666,0.072896
2026-01-08 12:00:00,0.073255,0.073882,0.072944
2026-01-08 16:00:00,0.073136,0.073968,0.072846
2026-01-08 20:00:00,0.073421,0.073843,0.073102
2026-01-09 00:00:00,0.074039,0.074108,0.072955
2026-01-09 04:00:00,0.073899,0.074146,0.073462
2026-01-09 08:00:00,0.073925,0.074256,0.07344
2026-01-09 12:00:00,0.073689,0.074045,0.073502
2026-01-09 16:00:00,0.073871,0.074288,0.073415
2026-01-09 20:00:00,0.073229,0.074047,0.073189
2026-01-10 00:00:00,0.074208,0.074374,0.071201
2026-01-10 04:00:00,0.07382,0.074487,0.072854
2026-01-10 08:00:00,0.073624,0.073959,0.073404
2026-01-10 12:00:00,0.073648,0.074075,0.07326
2026-01-10 16:00:00,0.073677,0.074132,0.073264
2026-01-10 20:00:00,0.073695,0.074008,0.073262
2026-01-11 00:00:00,0.074096,0.074096,0.073368
2026-01-11 04:00:00,0.073685,0.074173,0.073363
2026-01-11 08:00:00,0.073385,0.073965,0.071253
2026-01-11 12:00:00,0.072495,0.073424,0.071674
2026-01-11 16:00:00,0.072593,0.073066,0.072291
2026-01-11 20:00:00,0.072456,0.073204,0.072121
2026-01-12 00:00:00,0.073262,0.073344,0.072382
2026-01-12 04:00:00,0.073043,0.073463,0.072709
2026-01-12 08:00:00,0.073005,0.073661,0.072435
2026-01-12 12:00:00,0.073239,0.073778,0.072886
2026-01-12 16:00:00,0.073376,0.073546,0.07313
2026-01-12 20:00:00,0.073336,0.073768,0.073208
2026-01-13 00:00:00,0.073269,0.073434,0.073091
2026-01-13 04:00:00,0.073183,0.073433,0.073102
2026-01-13 08:00:00,0.07329,0.073461,0.073138
2026-01-13 12:00:00,0.072733,0.073707,0.072567
2026-01-13 16:00:00,0.062732,0.072949,0.060347
2026-01-13 20:00:00,0.062877,0.062995,0.0621
2026-01-14 00:00:00,0.064461,0.064822,0.062486
2026-01-14 04:00:00,0.064427,0.066019,0.064427
2026-01-14 08:00:00,0.065295,0.065558,0.064414
2026-01-14 12:00:00,0.065006,0.065023,0.064176
2026-01-14 16:00:00,0.064587,0.065393,0.064454
2026-01-14 20:00:00,0.063832,0.064623,0.063457
2026-01-15 00:00:00,0.062642,0.063856,0.062619
2026-01-15 04:00:00,0.069111,0.070147,0.062152
2026-01-15 08:00:00,0.069865,0.070856,0.068849
2026-01-15 12:00:00,0.069702,0.071004,0.069627
2026-01-15 16:00:00,0.069547,0.070888,0.069209
2026-01-15 20:00:00,0.071225,0.071789,0.069533
2026-01-16 00:00:00,0.072134,0.072167,0.071153
2026-01-16 04:00:00,0.071413,0.072475,0.071305
2026-01-16 08:00:00,0.072518,0.073499,0.071152
2026-01-16 12:00:00,0.07306,0.074028,0.071919
