,close,high,low
2025-12-14 20:00:00,4323.15,4325.89,4321.22
2025-12-15 00:00:00,4319.37,4326.61,4317.64
2025-12-15 04:00:00,4340.2,4341.65,4318.28
2025-12-15 08:00:00,4352.87,4357.18,4339.46
2025-12-15 12:00:00,4354.63,4360.02,4351.02
2025-12-15 16:00:00,4339.32,4362.04,4333.71
2025-12-15 20:00:00,4324.65,4334.25,4309.23
2025-12-16 00:00:00,4316.96,4324.76,4312.6
2025-12-16 04:00:00,4302.34,4326.61,4298.61
2025-12-16 08:00:00,4297.76,4303.23,4289.26
2025-12-16 12:00:00,4288.67,4299.81,4286.98
2025-12-16 16:00:00,4340.18,4344.97,4289.84
2025-12-16 20:00:00,4324.63,4332.75,4312.12
2025-12-17 00:00:00,4322.47,4325.68,4312.68
2025-12-17 04:00:00,4335.55,4337.37,4322.32
2025-12-17 08:00:00,4330.99,4350.43,4330.55
2025-12-17 12:00:00,4328.06,4335.38,4325.95
2025-12-17 16:00:00,4342.88,4356.17,4327.59
2025-12-17 20:00:00,4346.51,4355.27,4336.05
2025-12-18 00:00:00,4358.9,4359.43,4348.14
2025-12-18 04:00:00,4339.72,4360.06,4337.63
2025-12-18 08:00:00,4341.17,4344.12,4338.02
2025-12-18 12:00:00,4338.01,4340.47,4332.42
2025-12-18 16:00:00,4346.05,4350.09,4328.4
2025-12-18 20:00:00,4336.37,4379.45,4336.37
2025-12-19 00:00:00,4345.8,4346.58,4335.91
2025-12-19 04:00:00,4329.33,4345.88,4326.43
2025-12-19 08:00:00,4333.13,4337.04,4325.83
2025-12-19 12:00:00,4335.84,4338.41,4331.56
2025-12-19 16:00:00,4353.81,4353.81,4332.01
2025-12-19 20:00:00,4355.4,4364.09,4353.11
2025-12-20 00:00:00,4349.15,4353.98,4347.84
2025-12-20 04:00:00,4354.19,4354.53,4348.55
2025-12-20 08:00:00,4355.76,4357.05,4353.9
2025-12-20 12:00:00,4351.76,4355.06,4351.38
2025-12-20 16:00:00,4350.78,4353.0,4348.97
2025-12-20 20:00:00,4350.52,4352.99,4350.23
2025-12-21 00:00:00,4351.14,4351.45,4349.88
2025-12-21 04:00:00,4355.54,4357.5,4349.29
2025-12-21 08:00:00,4354.87,4354.95,4351.84
2025-12-21 12:00:00,4357.39,4357.93,4353.16
2025-12-21 16:00:00,4363.24,4363.24,4356.39
2025-12-21 20:00:00,4362.5,4363.51,4361.45
2025-12-22 00:00:00,4364.86,4365.34,4357.56
2025-12-22 04:00:00,4405.62,4405.62,4368.26
2025-12-22 08:00:00,4428.48,4431.09,4405.95
2025-12-22 12:00:00,4425.6,4430.97,4424.53
2025-12-22 16:00:00,4446.58,4446.58,4424.91
2025-12-22 20:00:00,4448.46,4455.1,4447.04
2025-12-23 00:00:00,4480.02,4480.02,4449.3
2025-12-23 04:00:00,4501.56,4513.78,4483.91
2025-12-23 08:00:00,4503.19,4503.19,4485.46
2025-12-23 12:00:00,4506.02,4514.14,4498.85
2025-12-23 16:00:00,4469.42,4507.94,4458.2
2025-12-23 20:00:00,4507.24,4508.15,4473.15
2025-12-24 00:00:00,4530.41,4530.41,4502.54
2025-12-24 04:00:00,4509.51,4537.85,4501.04
2025-12-24 08:00:00,4500.77,4514.83,4500.77
2025-12-24 12:00:00,4505.42,4513.43,4496.23
2025-12-24 16:00:00,4468.91,4510.08,4467.53
2025-12-24 20:00:00,4494.87,4496.44,4471.46
2025-12-25 00:00:00,4494.13,4495.84,4490.02
2025-12-25 04:00:00,4490.13,4495.6,4487.83
2025-12-25 08:00:00,4490.87,4495.3,4490.87
2025-12-25 12:00:00,4496.41,4498.46,4490.37
2025-12-25 16:00:00,4500.9,4502.51,4493.41
2025-12-25 20:00:00,4506.13,4506.13,4498.84
2025-12-26 00:00:00,4515.49,4516.77,4505.67
2025-12-26 04:00:00,4516.0,4536.8,4510.28
2025-12-26 08:00:00,4521.83,4529.23,4514.47
2025-12-26 12:00:00,4524.23,4539.71,4523.4
2025-12-26 16:00:00,4562.55,4562.55,4525.88
2025-12-26 20:00:00,4545.32,4566.44,4538.39
2025-12-27 00:00:00,4554.42,4561.35,4546.21
2025-12-27 04:00:00,4547.32,4559.3,4544.76
2025-12-27 08:00:00,4559.02,4559.37,4545.32
2025-12-27 12:00:00,4562.31,4567.1,4559.12
2025-12-27 16:00:00,4566.1,4567.09,4560.53
2025-12-27 20:00:00,4571.94,4572.04,4563.43
2025-12-28 00:00:00,4567.9,4571.8,4567.54
2025-12-28 04:00:00,4560.96,4568.89,4560.65
2025-12-28 08:00:00,4562.37,4565.58,4559.3
2025-12-28 12:00:00,4570.94,4570.94,4563.03
2025-12-28 16:00:00,4555.56,4573.52,4546.53
2025-12-28 20:00:00,4553.46,4555.62,4551.16
2025-12-29 00:00:00,4550.81,4560.56,4550.81
2025-12-29 04:00:00,4527.05,4546.87,4510.72
2025-12-29 08:00:00,4488.12,4527.67,4477.01
2025-12-29 12:00:00,4457.5,4496.22,4457.5
2025-12-29 16:00:00,4345.8,4477.47,4339.38
2025-12-29 20:00:00,4353.09,4359.3,4343.28
2025-12-30 00:00:00,4354.81,4360.44,4339.94
2025-12-30 04:00:00,4373.88,4378.67,4346.63
2025-12-30 08:00:00,4388.75,4390.76,4372.18
2025-12-30 12:00:00,4395.19,4401.09,4370.11
2025-12-30 16:00:00,4379.63,4415.14,4376.5
2025-12-30 20:00:00,4362.31,4389.99,4362.31
2025-12-31 00:00:00,4353.91,4368.88,4353.91
2025-12-31 04:00:00,4359.21,4379.46,4349.28
2025-12-31 08:00:00,4339.06,4359.78,4302.28
2025-12-31 12:00:00,4323.79,4341.95,4319.57
2025-12-31 16:00:00,4346.67,4355.79,4318.17
2025-12-31 20:00:00,4325.33,4348.91,4324.85
2026-01-01 00:00:00,4329.94,4334.23,4320.63
2026-01-01 04:00:00,4334.13,4336.28,4328.64
2026-01-01 08:00:00,4333.76,4344.05,4333.76
2026-01-01 12:00:00,4339.76,4340.6,4334.39
2026-01-01 16:00:00,4338.04,4340.29,4334.89
