,close,high,low
2025-12-17 16:00:00,0.089926,0.092844,0.089569
2025-12-17 20:00:00,0.084315,0.089368,0.083057
2025-12-18 00:00:00,0.084368,0.085408,0.083695
2025-12-18 04:00:00,0.083301,0.08445,0.083301
2025-12-18 08:00:00,0.082785,0.083857,0.081947
2025-12-18 12:00:00,0.08395,0.084284,0.082748
2025-12-18 16:00:00,0.086619,0.087012,0.083554
2025-12-18 20:00:00,0.075856,0.086162,0.075856
2025-12-19 00:00:00,0.076872,0.078325,0.075911
2025-12-19 04:00:00,0.079582,0.079843,0.075946
2025-12-19 08:00:00,0.081265,0.081953,0.079475
2025-12-19 12:00:00,0.082265,0.082713,0.081314
2025-12-19 16:00:00,0.083156,0.083865,0.082154
2025-12-19 20:00:00,0.084564,0.084676,0.082267
2025-12-20 00:00:00,0.084157,0.084575,0.083982
2025-12-20 04:00:00,0.082993,0.083956,0.082618
2025-12-20 08:00:00,0.082799,0.082909,0.082164
2025-12-20 12:00:00,0.082977,0.083599,0.082097
2025-12-20 16:00:00,0.0818,0.083056,0.081656
2025-12-20 20:00:00,0.082267,0.082664,0.081533
2025-12-21 00:00:00,0.081774,0.082458,0.081406
2025-12-21 04:00:00,0.081073,0.08186,0.080542
2025-12-21 08:00:00,0.081824,0.081875,0.080852
2025-12-21 12:00:00,0.080797,0.082451,0.080797
2025-12-21 16:00:00,0.079428,0.081036,0.078088
2025-12-21 20:00:00,0.080354,0.080903,0.079496
2025-12-22 00:00:00,0.081627,0.082119,0.080102
2025-12-22 04:00:00,0.080742,0.083009,0.080637
2025-12-22 08:00:00,0.08171,0.081885,0.080739
2025-12-22 12:00:00,0.082185,0.08229,0.081225
2025-12-22 16:00:00,0.082018,0.082515,0.080934
2025-12-22 20:00:00,0.080476,0.082864,0.080476
2025-12-23 00:00:00,0.07996,0.08075,0.079908
2025-12-23 04:00:00,0.079296,0.080176,0.078807
2025-12-23 08:00:00,0.078499,0.079628,0.078113
2025-12-23 12:00:00,0.080015,0.080034,0.078484
2025-12-23 16:00:00,0.079321,0.080112,0.079079
2025-12-23 20:00:00,0.080144,0.080503,0.079361
2025-12-24 00:00:00,0.079434,0.080493,0.079434
2025-12-24 04:00:00,0.079065,0.079779,0.078052
2025-12-24 08:00:00,0.078909,0.079384,0.078162
2025-12-24 12:00:00,0.078387,0.078741,0.078083
2025-12-24 16:00:00,0.079319,0.079372,0.078048
2025-12-24 20:00:00,0.077857,0.079764,0.077452
2025-12-25 00:00:00,0.079006,0.079749,0.078036
2025-12-25 04:00:00,0.080663,0.081043,0.079019
2025-12-25 08:00:00,0.081988,0.082247,0.080834
2025-12-25 12:00:00,0.080782,0.082359,0.080547
2025-12-25 16:00:00,0.081434,0.081434,0.080674
2025-12-25 20:00:00,0.081266,0.081505,0.080714
2025-12-26 00:00:00,0.078361,0.081466,0.078361
2025-12-26 04:00:00,0.081313,0.081867,0.07811
2025-12-26 08:00:00,0.080508,0.081533,0.080508
2025-12-26 12:00:00,0.080492,0.081016,0.080373
2025-12-26 16:00:00,0.079054,0.081144,0.07887
2025-12-26 20:00:00,0.079573,0.079719,0.078201
2025-12-27 00:00:00,0.079495,0.079703,0.078773
2025-12-27 04:00:00,0.080147,0.080195,0.079529
2025-12-27 08:00:00,0.079693,0.080229,0.079693
2025-12-27 12:00:00,0.080178,0.080178,0.079064
2025-12-27 16:00:00,0.080276,0.080393,0.080057
2025-12-27 20:00:00,0.080079,0.080396,0.079923
2025-12-28 00:00:00,0.08107,0.08107,0.079885
