,close,high,low
2025-12-17 16:00:00,0.00276059,0.00277389,0.00266006
2025-12-17 20:00:00,0.00265666,0.00276486,0.00265026
2025-12-18 00:00:00,0.00271563,0.00274563,0.00264941
2025-12-18 04:00:00,0.00271182,0.00273367,0.00268378
2025-12-18 08:00:00,0.00275517,0.00275517,0.00270692
2025-12-18 12:00:00,0.00277902,0.00279071,0.00275357
2025-12-18 16:00:00,0.00280171,0.00280722,0.00276857
2025-12-18 20:00:00,0.0026807,0.00279906,0.0026807
2025-12-19 00:00:00,0.00256093,0.00268192,0.00250367
2025-12-19 04:00:00,0.00265179,0.00265179,0.00257142
2025-12-19 08:00:00,0.00267189,0.00270929,0.0026566
2025-12-19 12:00:00,0.0027023,0.002736,0.00266442
2025-12-19 16:00:00,0.00270447,0.00270808,0.00268558
2025-12-19 20:00:00,0.00276116,0.00276176,0.00270023
2025-12-20 00:00:00,0.00271994,0.00278187,0.00271818
2025-12-20 04:00:00,0.0027319,0.00274026,0.00271421
2025-12-20 08:00:00,0.00276993,0.00276993,0.00272741
2025-12-20 12:00:00,0.00290718,0.00298449,0.00276008
2025-12-20 16:00:00,0.00287318,0.00292256,0.00287318
2025-12-20 20:00:00,0.00286714,0.00288757,0.00285503
2025-12-21 00:00:00,0.0028431,0.00287982,0.00283231
2025-12-21 04:00:00,0.00280215,0.00284755,0.00280215
2025-12-21 08:00:00,0.00279893,0.00281233,0.00279347
2025-12-21 12:00:00,0.0028094,0.00281526,0.00279904
2025-12-21 16:00:00,0.00282471,0.00284532,0.00281484
2025-12-21 20:00:00,0.00282216,0.0028304,0.00280903
2025-12-22 00:00:00,0.00279245,0.00282322,0.00279245
2025-12-22 04:00:00,0.00279738,0.00281587,0.00278612
2025-12-22 08:00:00,0.00278904,0.00281567,0.00278858
2025-12-22 12:00:00,0.00268009,0.00280323,0.00256211
2025-12-22 16:00:00,0.00271334,0.00272413,0.00268771
2025-12-22 20:00:00,0.00270177,0.00273409,0.00270177
2025-12-23 00:00:00,0.00271341,0.00273047,0.00268586
2025-12-23 04:00:00,0.00266371,0.00272528,0.00266371
2025-12-23 08:00:00,0.00265687,0.00266638,0.00263804
2025-12-23 12:00:00,0.00265357,0.00267824,0.00263826
2025-12-23 16:00:00,0.00263161,0.00265466,0.0026276
2025-12-23 20:00:00,0.00264615,0.00266073,0.00261576
2025-12-24 00:00:00,0.00263542,0.00265013,0.00263282
2025-12-24 04:00:00,0.00265773,0.00265845,0.0026333
2025-12-24 08:00:00,0.00264207,0.00266927,0.00264207
2025-12-24 12:00:00,0.00267367,0.00267367,0.00263965
2025-12-24 16:00:00,0.00269721,0.00272048,0.00265965
2025-12-24 20:00:00,0.00268727,0.0027029,0.00267996
2025-12-25 00:00:00,0.00268599,0.00269947,0.00267659
2025-12-25 04:00:00,0.00269137,0.00270261,0.00268326
2025-12-25 08:00:00,0.00273466,0.00274816,0.00269283
2025-12-25 12:00:00,0.00271161,0.00273485,0.00270147
2025-12-25 16:00:00,0.00271291,0.00271575,0.00269522
2025-12-25 20:00:00,0.0027074,0.00271923,0.0026995
2025-12-26 00:00:00,0.00272225,0.00273897,0.00270865
2025-12-26 04:00:00,0.00274942,0.00274942,0.00271037
2025-12-26 08:00:00,0.00278607,0.00278607,0.00274982
2025-12-26 12:00:00,0.00275372,0.00278311,0.00275372
2025-12-26 16:00:00,0.00273241,0.00276538,0.002726
2025-12-26 20:00:00,0.00274672,0.00274786,0.00272007
2025-12-27 00:00:00,0.0027736,0.00279157,0.00274931
2025-12-27 04:00:00,0.00278441,0.00278471,0.00276493
2025-12-27 08:00:00,0.00276889,0.00280118,0.00275966
2025-12-27 12:00:00,0.00275118,0.00277165,0.00275118
2025-12-27 16:00:00,0.00274485,0.00275629,0.00274112
2025-12-27 20:00:00,0.00275515,0.00276206,0.00272755
2025-12-28 00:00:00,0.0026794,0.00275717,0.00266235
2025-12-28 04:00:00,0.00268417,0.00268776,0.00266224
2025-12-28 08:00:00,0.00268257,0.00269097,0.00267109
2025-12-28 12:00:00,0.00268508,0.00269454,0.00267488
2025-12-28 16:00:00,0.00280514,0.00280514,0.00268377
2025-12-28 20:00:00,0.00283491,0.00286971,0.00280446
2025-12-29 00:00:00,0.00278316,0.00285224,0.00275992
2025-12-29 04:00:00,0.00276259,0.00277296,0.00273576
2025-12-29 08:00:00,0.0027764,0.00278628,0.00275372
2025-12-29 12:00:00,0.00273546,0.00279205,0.00273299
2025-12-29 16:00:00,0.00281775,0.00283783,0.00269609
2025-12-29 20:00:00,0.00275721,0.00283103,0.00275721
2025-12-30 00:00:00,0.00274999,0.00277393,0.00274404
2025-12-30 04:00:00,0.0027671,0.00277281,0.00273289
2025-12-30 08:00:00,0.00279886,0.00280213,0.00276243
2025-12-30 12:00:00,0.0027528,0.00277455,0.00272423
2025-12-30 16:00:00,0.00278813,0.00279348,0.00274648
2025-12-30 20:00:00,0.00277645,0.00279991,0.00276795
2025-12-31 00:00:00,0.00276179,0.00279119,0.00275626
2025-12-31 04:00:00,0.00275879,0.00277544,0.00273068
2025-12-31 08:00:00,0.00272076,0.00279577,0.00272076
2025-12-31 12:00:00,0.00273055,0.0027325,0.00269651
2025-12-31 16:00:00,0.00273405,0.00276225,0.00272259
2025-12-31 20:00:00,0.00270896,0.00273627,0.00269766
2026-01-01 00:00:00,0.00274324,0.00275816,0.00268952
2026-01-01 04:00:00,0.00272103,0.00275089,0.00271727
2026-01-01 08:00:00,0.00272667,0.0027307,0.00270826
2026-01-01 12:00:00,0.00272488,0.00274635,0.00272488
2026-01-01 16:00:00,0.00272646,0.00273216,0.0026999
2026-01-01 20:00:00,0.002734,0.00273923,0.00271675
2026-01-02 00:00:00,0.00276059,0.00276571,0.00272819
2026-01-02 04:00:00,0.00277178,0.0027745,0.00274348
2026-01-02 08:00:00,0.00277139,0.00278774,0.00276823
2026-01-02 12:00:00,0.00278503,0.00279973,0.00277021
2026-01-02 16:00:00,0.00278088,0.00279719,0.00277275
2026-01-02 20:00:00,0.00283948,0.00283948,0.00278394
2026-01-03 00:00:00,0.00290793,0.00291486,0.00283766
2026-01-03 04:00:00,0.00293578,0.00293578,0.0029041
2026-01-03 08:00:00,0.00291832,0.00296626,0.00291754
2026-01-03 12:00:00,0.0029008,0.00290525,0.0028503
2026-01-03 16:00:00,0.00320294,0.00320687,0.00292571
2026-01-03 20:00:00,0.00318199,0.00320787,0.00317411
2026-01-04 00:00:00,0.00318751,0.00321651,0.0031826
2026-01-04 04:00:00,0.0031476,0.00318243,0.00313908
2026-01-04 08:00:00,0.00313047,0.00315689,0.00312594
2026-01-04 12:00:00,0.00311633,0.00313365,0.00310277
2026-01-04 16:00:00,0.00306803,0.00318711,0.00306491
2026-01-04 20:00:00,0.00307988,0.00310884,0.00306348
2026-01-05 00:00:00,0.003089,0.00310498,0.0030794
2026-01-05 04:00:00,0.00320418,0.00321883,0.00305391
2026-01-05 08:00:00,0.00309094,0.00320727,0.00309094
2026-01-05 12:00:00,0.00306834,0.00310483,0.00305728
2026-01-05 16:00:00,0.00342892,0.00342892,0.0030409
2026-01-05 20:00:00,0.00334651,0.00339775,0.00330476
2026-01-06 00:00:00,0.00351924,0.00353981,0.00333628
2026-01-06 04:00:00,0.0035114,0.00357955,0.00342946
2026-01-06 08:00:00,0.00340916,0.00354077,0.00338193
2026-01-06 12:00:00,0.00371611,0.00376053,0.00341403
2026-01-06 16:00:00,0.00352323,0.00375534,0.00352323
2026-01-06 20:00:00,0.0034611,0.00353996,0.0034611
2026-01-07 00:00:00,0.00343716,0.00347526,0.003404
2026-01-07 04:00:00,0.00332761,0.00343958,0.0033195
2026-01-07 08:00:00,0.00336665,0.00336665,0.00331568
2026-01-07 12:00:00,0.0033911,0.0033911,0.00334167
2026-01-07 16:00:00,0.00326486,0.00339843,0.00326486
2026-01-07 20:00:00,0.00327474,0.00330433,0.00325352
2026-01-08 00:00:00,0.00324692,0.00328796,0.00324692
2026-01-08 04:00:00,0.00325291,0.00327069,0.00323875
2026-01-08 08:00:00,0.00324698,0.00328612,0.00324467
2026-01-08 12:00:00,0.00323336,0.00325877,0.00319888
2026-01-08 16:00:00,0.00322321,0.00323516,0.00321628
2026-01-08 20:00:00,0.00326891,0.00327768,0.00321326
2026-01-09 00:00:00,0.00340518,0.00344505,0.00327712
2026-01-09 04:00:00,0.0033638,0.00341335,0.0033585
2026-01-09 08:00:00,0.00338621,0.00339583,0.00335372
2026-01-09 12:00:00,0.00339084,0.00340106,0.00335558
2026-01-09 16:00:00,0.00343176,0.00343802,0.00338875
2026-01-09 20:00:00,0.00349608,0.0035527,0.00342572
2026-01-10 00:00:00,0.00349768,0.00353172,0.00344774
2026-01-10 04:00:00,0.00348433,0.00350725,0.00348181
2026-01-10 08:00:00,0.00344548,0.00349075,0.00343881
2026-01-10 12:00:00,0.0034467,0.00347381,0.00343474
2026-01-10 16:00:00,0.00347347,0.00349399,0.0034406
2026-01-10 20:00:00,0.00351095,0.00352141,0.0034732
2026-01-11 00:00:00,0.00353822,0.00355481,0.00350528
2026-01-11 04:00:00,0.00361479,0.00367865,0.00352356
2026-01-11 08:00:00,0.00360499,0.00368444,0.00359153
2026-01-11 12:00:00,0.00363422,0.00363422,0.00360048
2026-01-11 16:00:00,0.00375981,0.0040231,0.00362345
2026-01-11 20:00:00,0.00376716,0.00380894,0.00375805
2026-01-12 00:00:00,0.00382706,0.00386822,0.00375481
2026-01-12 04:00:00,0.00384256,0.00386653,0.00378204
2026-01-12 08:00:00,0.00385825,0.0038736,0.00383423
2026-01-12 12:00:00,0.00391981,0.00395596,0.00384151
2026-01-12 16:00:00,0.00384637,0.00395201,0.00384637
2026-01-12 20:00:00,0.00383087,0.00384257,0.00379754
2026-01-13 00:00:00,0.00381966,0.00383487,0.00380702
2026-01-13 04:00:00,0.00370065,0.00381717,0.00370065
2026-01-13 08:00:00,0.00361828,0.00369212,0.00354568
2026-01-13 12:00:00,0.00357772,0.00361595,0.00357423
2026-01-13 16:00:00,0.0035871,0.00361097,0.00355579
2026-01-13 20:00:00,0.00363816,0.00364405,0.00359921
2026-01-14 00:00:00,0.00367674,0.00371102,0.00361125
2026-01-14 04:00:00,0.00367387,0.00368446,0.00365809
2026-01-14 08:00:00,0.00369071,0.00369071,0.0036542
2026-01-14 12:00:00,0.00363008,0.00368985,0.00362993
2026-01-14 16:00:00,0.00368888,0.00374129,0.00358959
2026-01-14 20:00:00,0.00368969,0.00369805,0.00365145
2026-01-15 00:00:00,0.00373804,0.00376353,0.00367433
2026-01-15 04:00:00,0.00372162,0.00373518,0.00370483
2026-01-15 08:00:00,0.00372683,0.00373858,0.00371029
2026-01-15 12:00:00,0.00370827,0.00373691,0.00370827
2026-01-15 16:00:00,0.00369176,0.00375268,0.00369176
2026-01-15 20:00:00,0.00368382,0.00371338,0.00366349
2026-01-16 00:00:00,0.00364265,0.00368074,0.00363966
2026-01-16 04:00:00,0.00360731,0.00365321,0.00359841
2026-01-16 08:00:00,0.00362073,0.00362106,0.00358932
2026-01-16 12:00:00,0.00360261,0.00363933,0.00359765
