,close,high,low
2025-12-17 12:00:00,1.71,1.71,1.69
2025-12-17 16:00:00,1.72,1.78,1.71
2025-12-17 20:00:00,1.65,1.72,1.63
2025-12-18 00:00:00,1.63,1.67,1.62
2025-12-18 04:00:00,1.61,1.63,1.61
2025-12-18 08:00:00,1.59,1.62,1.58
2025-12-18 12:00:00,1.61,1.62,1.59
2025-12-18 16:00:00,1.71,1.71,1.6
2025-12-18 20:00:00,1.52,1.75,1.52
2025-12-19 00:00:00,1.58,1.59,1.52
2025-12-19 04:00:00,1.64,1.65,1.58
2025-12-19 08:00:00,1.68,1.69,1.62
2025-12-19 12:00:00,1.65,1.68,1.62
2025-12-19 16:00:00,1.66,1.67,1.63
2025-12-19 20:00:00,1.71,1.71,1.66
2025-12-20 00:00:00,1.67,1.72,1.67
2025-12-20 04:00:00,1.65,1.68,1.65
2025-12-20 08:00:00,1.66,1.66,1.63
2025-12-20 12:00:00,1.67,1.67,1.64
2025-12-20 16:00:00,1.65,1.66,1.64
2025-12-20 20:00:00,1.63,1.66,1.63
2025-12-21 00:00:00,1.63,1.64,1.63
2025-12-21 04:00:00,1.6,1.63,1.59
2025-12-21 08:00:00,1.6,1.62,1.6
2025-12-21 12:00:00,1.6,1.62,1.6
2025-12-21 16:00:00,1.56,1.6,1.56
2025-12-21 20:00:00,1.47,1.57,1.46
2025-12-22 00:00:00,1.57,1.59,1.47
2025-12-22 04:00:00,1.55,1.58,1.55
2025-12-22 08:00:00,1.53,1.57,1.53
2025-12-22 12:00:00,1.57,1.59,1.54
2025-12-22 16:00:00,1.57,1.59,1.57
2025-12-22 20:00:00,1.52,1.57,1.52
2025-12-23 00:00:00,1.52,1.52,1.5
2025-12-23 04:00:00,1.48,1.52,1.47
2025-12-23 08:00:00,1.47,1.48,1.47
2025-12-23 12:00:00,1.5,1.5,1.47
2025-12-23 16:00:00,1.47,1.5,1.46
2025-12-23 20:00:00,1.5,1.5,1.44
2025-12-24 00:00:00,1.48,1.51,1.47
2025-12-24 04:00:00,1.46,1.48,1.45
2025-12-24 08:00:00,1.45,1.48,1.44
2025-12-24 12:00:00,1.46,1.47,1.44
2025-12-24 16:00:00,1.49,1.49,1.46
2025-12-24 20:00:00,1.49,1.5,1.48
2025-12-25 00:00:00,1.48,1.48,1.47
2025-12-25 04:00:00,1.5,1.5,1.47
2025-12-25 08:00:00,1.51,1.51,1.48
2025-12-25 12:00:00,1.48,1.51,1.47
2025-12-25 16:00:00,1.49,1.49,1.48
2025-12-25 20:00:00,1.49,1.5,1.47
2025-12-26 00:00:00,1.43,1.5,1.43
2025-12-26 04:00:00,1.47,1.48,1.43
2025-12-26 08:00:00,1.46,1.5,1.46
2025-12-26 12:00:00,1.47,1.47,1.46
2025-12-26 16:00:00,1.45,1.48,1.44
2025-12-26 20:00:00,1.45,1.45,1.43
2025-12-27 00:00:00,1.45,1.45,1.44
2025-12-27 04:00:00,1.51,1.52,1.45
2025-12-27 08:00:00,1.52,1.53,1.49
2025-12-27 12:00:00,1.52,1.54,1.51
2025-12-27 16:00:00,1.51,1.52,1.51
2025-12-27 20:00:00,1.5,1.51,1.5
2025-12-28 00:00:00,1.57,1.57,1.5
2025-12-28 04:00:00,1.55,1.57,1.53
2025-12-28 08:00:00,1.58,1.58,1.55
2025-12-28 12:00:00,1.62,1.69,1.58
2025-12-28 16:00:00,1.56,1.61,1.56
2025-12-28 20:00:00,1.52,1.57,1.52
2025-12-29 00:00:00,1.54,1.55,1.51
2025-12-29 04:00:00,1.62,1.62,1.54
2025-12-29 08:00:00,1.63,1.65,1.6
2025-12-29 12:00:00,1.61,1.63,1.6
2025-12-29 16:00:00,1.63,1.64,1.58
2025-12-29 20:00:00,1.58,1.63,1.57
2025-12-30 00:00:00,1.54,1.58,1.52
2025-12-30 04:00:00,1.53,1.54,1.51
2025-12-30 08:00:00,1.5,1.53,1.48
2025-12-30 12:00:00,1.51,1.51,1.5
2025-12-30 16:00:00,1.53,1.53,1.5
2025-12-30 20:00:00,1.53,1.54,1.52
2025-12-31 00:00:00,1.6,1.61,1.52
2025-12-31 04:00:00,1.6,1.64,1.6
2025-12-31 08:00:00,1.6,1.62,1.6
2025-12-31 12:00:00,1.65,1.67,1.6
2025-12-31 16:00:00,1.72,1.72,1.63
2025-12-31 20:00:00,1.71,1.73,1.68
2026-01-01 00:00:00,1.73,1.75,1.69
2026-01-01 04:00:00,1.69,1.74,1.67
2026-01-01 08:00:00,1.72,1.74,1.68
2026-01-01 12:00:00,1.92,1.95,1.72
2026-01-01 16:00:00,1.92,2.18,1.92
2026-01-01 20:00:00,1.93,1.93,1.86
2026-01-02 00:00:00,1.99,2.06,1.91
2026-01-02 04:00:00,2.27,2.27,1.91
2026-01-02 08:00:00,2.12,2.27,2.12
2026-01-02 12:00:00,2.08,2.12,2.07
2026-01-02 16:00:00,2.11,2.16,2.06
