,close,high,low
2025-12-15 00:00:00,0.146385,0.147674,0.145823
2025-12-15 04:00:00,0.147098,0.1498,0.146197
2025-12-15 08:00:00,0.146743,0.148254,0.146743
2025-12-15 12:00:00,0.146716,0.147308,0.146657
2025-12-15 16:00:00,0.140999,0.147334,0.140999
2025-12-15 20:00:00,0.139726,0.141536,0.138176
2025-12-16 00:00:00,0.141174,0.141185,0.138255
2025-12-16 04:00:00,0.139835,0.14124,0.139132
2025-12-16 08:00:00,0.139143,0.140803,0.138986
2025-12-16 12:00:00,0.142193,0.142193,0.139129
2025-12-16 16:00:00,0.141905,0.142386,0.139945
2025-12-16 20:00:00,0.141403,0.142135,0.140497
2025-12-17 00:00:00,0.141574,0.141904,0.141025
2025-12-17 04:00:00,0.138952,0.141614,0.138921
2025-12-17 08:00:00,0.136679,0.138941,0.13647
2025-12-17 12:00:00,0.135421,0.136556,0.134902
2025-12-17 16:00:00,0.135436,0.139087,0.134137
2025-12-17 20:00:00,0.131516,0.135471,0.130021
2025-12-18 00:00:00,0.130808,0.132425,0.130599
2025-12-18 04:00:00,0.127415,0.130999,0.127339
2025-12-18 08:00:00,0.127025,0.128028,0.126754
2025-12-18 12:00:00,0.128154,0.128236,0.127086
2025-12-18 16:00:00,0.131886,0.133147,0.128225
2025-12-18 20:00:00,0.12345,0.131592,0.12345
2025-12-19 00:00:00,0.124512,0.125245,0.123212
2025-12-19 04:00:00,0.12551,0.125992,0.122261
2025-12-19 08:00:00,0.127249,0.127709,0.124305
2025-12-19 12:00:00,0.126579,0.127185,0.126109
2025-12-19 16:00:00,0.12662,0.128057,0.126207
2025-12-19 20:00:00,0.130262,0.130357,0.126491
2025-12-20 00:00:00,0.129547,0.130599,0.129139
2025-12-20 04:00:00,0.129753,0.129803,0.128784
2025-12-20 08:00:00,0.12957,0.129767,0.128855
2025-12-20 12:00:00,0.129945,0.130333,0.129198
2025-12-20 16:00:00,0.128559,0.13003,0.128241
2025-12-20 20:00:00,0.128486,0.129026,0.12837
2025-12-21 00:00:00,0.129107,0.129544,0.128485
2025-12-21 04:00:00,0.127211,0.129137,0.126788
2025-12-21 08:00:00,0.127056,0.127184,0.126268
2025-12-21 12:00:00,0.127364,0.128231,0.12677
2025-12-21 16:00:00,0.12347,0.127732,0.123042
2025-12-21 20:00:00,0.125108,0.125508,0.123837
2025-12-22 00:00:00,0.125523,0.125832,0.123692
2025-12-22 04:00:00,0.12728,0.128604,0.12549
2025-12-22 08:00:00,0.126886,0.127822,0.126602
2025-12-22 12:00:00,0.127477,0.128105,0.127019
2025-12-22 16:00:00,0.127517,0.128456,0.127109
2025-12-22 20:00:00,0.125093,0.128462,0.125093
2025-12-23 00:00:00,0.124485,0.12479,0.123176
2025-12-23 04:00:00,0.123852,0.12554,0.123756
2025-12-23 08:00:00,0.121551,0.123684,0.121019
2025-12-23 12:00:00,0.121487,0.122324,0.121211
2025-12-23 16:00:00,0.121439,0.121439,0.11993
2025-12-23 20:00:00,0.122054,0.122778,0.121187
2025-12-24 00:00:00,0.121115,0.12267,0.121019
