,close,high,low
2025-12-14 20:00:00,130.37,131.33,129.8
2025-12-15 00:00:00,129.62,130.52,129.13
2025-12-15 04:00:00,131.31,133.07,129.31
2025-12-15 08:00:00,132.29,132.54,131.0
2025-12-15 12:00:00,132.24,132.88,132.21
2025-12-15 16:00:00,127.09,134.62,127.09
2025-12-15 20:00:00,125.22,126.86,124.27
2025-12-16 00:00:00,127.87,127.87,124.02
2025-12-16 04:00:00,125.98,127.9,125.42
2025-12-16 08:00:00,125.8,127.28,125.55
2025-12-16 12:00:00,128.64,128.64,125.64
2025-12-16 16:00:00,128.49,129.03,126.65
2025-12-16 20:00:00,127.92,129.46,126.91
2025-12-17 00:00:00,128.64,128.86,127.61
2025-12-17 04:00:00,128.49,129.41,128.4
2025-12-17 08:00:00,128.22,128.35,127.18
2025-12-17 12:00:00,127.67,128.29,126.29
2025-12-17 16:00:00,128.99,132.6,127.5
2025-12-17 20:00:00,122.15,127.58,121.6
2025-12-18 00:00:00,123.16,123.59,122.13
2025-12-18 04:00:00,123.6,123.94,123.03
2025-12-18 08:00:00,122.7,123.92,122.33
2025-12-18 12:00:00,123.8,123.97,122.63
2025-12-18 16:00:00,127.85,128.59,123.67
2025-12-18 20:00:00,117.73,127.39,117.73
2025-12-19 00:00:00,119.56,119.88,117.4
2025-12-19 04:00:00,121.87,122.27,117.81
2025-12-19 08:00:00,124.36,124.86,121.39
2025-12-19 12:00:00,125.29,125.43,123.9
2025-12-19 16:00:00,124.87,127.09,124.87
2025-12-19 20:00:00,126.14,126.42,123.99
2025-12-20 00:00:00,126.2,127.3,126.12
2025-12-20 04:00:00,126.25,126.37,125.37
2025-12-20 08:00:00,126.25,126.59,126.01
2025-12-20 12:00:00,126.34,126.75,125.9
2025-12-20 16:00:00,126.54,126.54,125.52
2025-12-20 20:00:00,126.05,126.54,125.77
2025-12-21 00:00:00,125.72,126.44,125.65
2025-12-21 04:00:00,125.23,126.03,124.69
2025-12-21 08:00:00,125.23,125.47,125.06
2025-12-21 12:00:00,125.52,126.44,124.96
2025-12-21 16:00:00,124.76,125.96,123.59
2025-12-21 20:00:00,125.63,126.18,124.46
2025-12-22 00:00:00,126.02,126.06,124.8
2025-12-22 04:00:00,125.93,127.45,124.94
2025-12-22 08:00:00,126.17,126.57,125.84
2025-12-22 12:00:00,127.14,127.21,125.76
2025-12-22 16:00:00,127.57,128.08,126.55
2025-12-22 20:00:00,125.01,128.13,125.01
2025-12-23 00:00:00,125.75,125.83,124.49
2025-12-23 04:00:00,125.68,126.66,125.22
2025-12-23 08:00:00,124.26,125.8,123.85
2025-12-23 12:00:00,124.92,125.07,123.99
2025-12-23 16:00:00,123.26,124.52,122.46
2025-12-23 20:00:00,123.84,124.62,123.23
2025-12-24 00:00:00,123.82,125.02,123.52
2025-12-24 04:00:00,122.54,124.03,121.9
2025-12-24 08:00:00,121.47,122.69,120.82
2025-12-24 12:00:00,122.35,122.35,121.15
2025-12-24 16:00:00,122.68,122.69,121.16
2025-12-24 20:00:00,122.71,123.04,121.88
2025-12-25 00:00:00,122.57,123.26,122.57
2025-12-25 04:00:00,122.51,122.99,122.08
2025-12-25 08:00:00,122.13,122.8,122.04
2025-12-25 12:00:00,121.71,122.42,121.4
2025-12-25 16:00:00,123.67,123.67,121.64
2025-12-25 20:00:00,123.33,124.16,122.86
2025-12-26 00:00:00,120.11,123.47,120.11
2025-12-26 04:00:00,122.57,123.89,119.55
2025-12-26 08:00:00,122.72,123.74,121.76
2025-12-26 12:00:00,123.63,123.71,122.29
2025-12-26 16:00:00,121.45,124.82,120.85
2025-12-26 20:00:00,122.23,122.23,121.15
2025-12-27 00:00:00,122.2,122.49,121.86
2025-12-27 04:00:00,123.51,123.51,121.81
2025-12-27 08:00:00,123.09,123.49,122.76
2025-12-27 12:00:00,122.99,123.23,122.68
2025-12-27 16:00:00,123.33,123.48,122.72
2025-12-27 20:00:00,123.1,123.33,122.78
2025-12-28 00:00:00,124.64,124.64,123.11
2025-12-28 04:00:00,124.1,124.63,123.87
2025-12-28 08:00:00,124.11,124.22,123.66
2025-12-28 12:00:00,124.46,124.66,123.93
2025-12-28 16:00:00,124.54,124.81,124.28
2025-12-28 20:00:00,123.31,124.63,123.12
2025-12-29 00:00:00,125.16,125.16,123.16
2025-12-29 04:00:00,128.83,129.04,125.1
2025-12-29 08:00:00,127.73,128.89,127.4
2025-12-29 12:00:00,125.1,128.08,125.09
2025-12-29 16:00:00,123.5,125.0,122.65
2025-12-29 20:00:00,122.97,123.72,122.79
2025-12-30 00:00:00,123.13,123.44,122.79
2025-12-30 04:00:00,123.52,123.52,122.62
2025-12-30 08:00:00,123.86,124.06,123.17
2025-12-30 12:00:00,124.14,124.93,123.89
2025-12-30 16:00:00,124.76,124.94,123.88
2025-12-30 20:00:00,124.41,126.05,123.86
2025-12-31 00:00:00,124.89,124.89,123.54
2025-12-31 04:00:00,125.4,125.79,124.53
2025-12-31 08:00:00,125.78,125.84,125.34
2025-12-31 12:00:00,126.58,126.58,125.35
2025-12-31 16:00:00,125.47,126.91,125.03
2025-12-31 20:00:00,124.38,125.52,124.38
2026-01-01 00:00:00,124.51,124.92,123.54
2026-01-01 04:00:00,125.1,125.47,124.46
2026-01-01 08:00:00,124.18,125.09,124.18
2026-01-01 12:00:00,124.9,125.08,124.11
2026-01-01 16:00:00,124.8,124.96,124.38
2026-01-01 20:00:00,125.52,125.52,124.21
2026-01-02 00:00:00,126.84,127.08,125.17
2026-01-02 04:00:00,127.56,127.59,125.79
2026-01-02 08:00:00,126.94,127.39,126.65
2026-01-02 12:00:00,127.94,129.4,126.97
2026-01-02 16:00:00,128.91,129.24,127.12
2026-01-02 20:00:00,131.54,131.86,128.68
2026-01-03 00:00:00,132.05,132.83,131.02
2026-01-03 04:00:00,132.81,132.95,132.09
2026-01-03 08:00:00,130.17,132.82,130.03
2026-01-03 12:00:00,130.61,131.28,129.96
2026-01-03 16:00:00,131.66,131.96,130.46
2026-01-03 20:00:00,131.62,132.0,131.4
2026-01-04 00:00:00,133.33,133.62,131.33
2026-01-04 04:00:00,134.45,134.47,133.3
2026-01-04 08:00:00,134.06,134.77,133.72
2026-01-04 12:00:00,134.23,134.68,133.33
2026-01-04 16:00:00,134.61,135.19,133.79
2026-01-04 20:00:00,133.48,135.32,133.31
2026-01-05 00:00:00,133.96,134.63,133.4
2026-01-05 04:00:00,136.69,137.14,133.95
2026-01-05 08:00:00,135.3,136.72,134.87
2026-01-05 12:00:00,135.62,136.02,134.81
2026-01-05 16:00:00,136.22,136.22,133.31
2026-01-05 20:00:00,138.35,138.48,134.48
2026-01-06 00:00:00,138.23,139.16,138.02
2026-01-06 04:00:00,138.3,138.42,137.09
2026-01-06 08:00:00,137.5,139.56,137.5
2026-01-06 12:00:00,139.38,139.38,137.5
2026-01-06 16:00:00,141.59,142.99,138.79
2026-01-06 20:00:00,137.41,141.61,136.57
2026-01-07 00:00:00,141.1,141.36,137.48
2026-01-07 04:00:00,139.37,141.05,138.77
2026-01-07 08:00:00,139.12,139.48,138.4
2026-01-07 12:00:00,137.93,139.43,136.72
2026-01-07 16:00:00,135.87,138.14,135.51
2026-01-07 20:00:00,135.74,136.24,134.72
2026-01-08 00:00:00,136.28,136.71,135.01
2026-01-08 04:00:00,136.72,137.82,135.98
2026-01-08 08:00:00,135.6,137.97,134.42
2026-01-08 12:00:00,134.32,135.92,133.86
2026-01-08 16:00:00,135.73,135.73,133.01
2026-01-08 20:00:00,137.77,138.59,136.02
2026-01-09 00:00:00,138.33,139.78,136.61
2026-01-09 04:00:00,140.64,140.73,137.91
2026-01-09 08:00:00,139.61,140.75,139.41
2026-01-09 12:00:00,138.31,139.42,137.28
2026-01-09 16:00:00,138.85,140.19,136.59
