,close,high,low
2025-12-14 16:00:00,402.85,428.76,401.37
2025-12-14 20:00:00,407.18,409.25,402.49
2025-12-15 00:00:00,405.77,407.2,397.91
2025-12-15 04:00:00,400.43,416.36,396.2
2025-12-15 08:00:00,403.26,411.04,399.47
2025-12-15 12:00:00,410.26,410.79,402.29
2025-12-15 16:00:00,414.14,414.79,407.47
2025-12-15 20:00:00,408.02,415.11,395.82
2025-12-16 00:00:00,412.71,413.49,396.36
2025-12-16 04:00:00,402.82,413.13,398.66
2025-12-16 08:00:00,383.71,403.55,383.24
2025-12-16 12:00:00,394.41,396.4,377.38
2025-12-16 16:00:00,405.39,405.39,391.78
2025-12-16 20:00:00,403.6,411.19,397.82
2025-12-17 00:00:00,402.76,410.78,402.16
2025-12-17 04:00:00,395.16,405.18,394.66
2025-12-17 08:00:00,392.3,396.18,389.11
2025-12-17 12:00:00,389.89,392.41,386.11
2025-12-17 16:00:00,395.72,408.32,391.21
2025-12-17 20:00:00,378.27,399.6,376.88
2025-12-18 00:00:00,376.31,388.16,373.6
2025-12-18 04:00:00,384.88,384.88,374.03
2025-12-18 08:00:00,393.65,398.28,385.31
2025-12-18 12:00:00,392.83,401.75,392.02
2025-12-18 16:00:00,400.48,402.79,393.17
2025-12-18 20:00:00,384.3,400.35,384.3
2025-12-19 00:00:00,386.64,396.5,383.95
2025-12-19 04:00:00,396.86,399.23,385.51
2025-12-19 08:00:00,408.74,409.62,395.99
2025-12-19 12:00:00,426.51,426.51,407.99
2025-12-19 16:00:00,431.22,436.28,426.37
2025-12-19 20:00:00,442.72,445.38,431.22
2025-12-20 00:00:00,445.17,453.09,439.89
2025-12-20 04:00:00,443.68,450.44,443.6
2025-12-20 08:00:00,449.07,449.83,436.87
2025-12-20 12:00:00,448.22,453.98,444.82
2025-12-20 16:00:00,449.21,450.59,446.92
2025-12-20 20:00:00,450.9,452.05,448.08
2025-12-21 00:00:00,446.96,452.46,444.13
2025-12-21 04:00:00,448.07,450.84,442.93
2025-12-21 08:00:00,442.43,447.98,442.43
2025-12-21 12:00:00,438.75,443.78,438.22
2025-12-21 16:00:00,434.88,438.58,431.58
2025-12-21 20:00:00,444.67,444.67,430.8
2025-12-22 00:00:00,441.97,448.51,438.4
2025-12-22 04:00:00,445.59,453.52,441.54
2025-12-22 08:00:00,443.12,445.6,439.21
2025-12-22 12:00:00,448.47,448.76,443.77
2025-12-22 16:00:00,446.07,454.36,444.16
2025-12-22 20:00:00,433.16,447.13,433.16
2025-12-23 00:00:00,431.77,434.93,428.13
2025-12-23 04:00:00,422.44,435.7,419.48
2025-12-23 08:00:00,416.13,422.63,414.21
2025-12-23 12:00:00,418.22,420.33,414.47
2025-12-23 16:00:00,415.05,418.38,412.57
2025-12-23 20:00:00,415.58,420.28,414.33
2025-12-24 00:00:00,416.74,419.63,414.81
2025-12-24 04:00:00,412.11,419.44,406.51
2025-12-24 08:00:00,406.76,411.41,406.51
2025-12-24 12:00:00,412.8,414.63,405.17
2025-12-24 16:00:00,438.58,441.53,411.89
2025-12-24 20:00:00,442.48,443.84,435.1
2025-12-25 00:00:00,447.87,450.02,443.42
2025-12-25 04:00:00,446.51,449.72,441.18
2025-12-25 08:00:00,446.4,448.14,443.4
2025-12-25 12:00:00,443.63,447.97,441.22
2025-12-25 16:00:00,445.21,445.21,438.42
2025-12-25 20:00:00,439.87,447.11,439.65
2025-12-26 00:00:00,437.18,441.02,436.33
2025-12-26 04:00:00,442.4,445.64,436.15
2025-12-26 08:00:00,443.53,447.65,439.35
2025-12-26 12:00:00,446.58,447.11,442.73
2025-12-26 16:00:00,444.36,447.69,443.08
2025-12-26 20:00:00,442.74,445.04,438.96
2025-12-27 00:00:00,447.74,447.74,442.84
2025-12-27 04:00:00,468.34,468.66,445.22
2025-12-27 08:00:00,469.38,470.2,466.67
2025-12-27 12:00:00,511.1,512.16,467.9
2025-12-27 16:00:00,515.1,515.1,503.21
2025-12-27 20:00:00,517.44,521.87,514.65
2025-12-28 00:00:00,515.05,516.35,509.04
2025-12-28 04:00:00,516.72,518.13,512.66
2025-12-28 08:00:00,517.41,518.0,512.48
2025-12-28 12:00:00,519.04,519.04,514.19
2025-12-28 16:00:00,536.6,539.13,515.86
2025-12-28 20:00:00,527.97,536.24,525.63
2025-12-29 00:00:00,530.2,530.66,523.29
2025-12-29 04:00:00,545.04,545.04,529.24
2025-12-29 08:00:00,527.81,545.65,526.57
2025-12-29 12:00:00,520.94,527.73,511.13
2025-12-29 16:00:00,525.28,527.46,521.31
2025-12-29 20:00:00,549.49,550.04,524.69
2025-12-30 00:00:00,540.91,550.69,540.19
2025-12-30 04:00:00,538.67,542.91,535.87
2025-12-30 08:00:00,530.53,541.85,526.19
2025-12-30 12:00:00,535.95,536.64,530.49
2025-12-30 16:00:00,538.02,541.02,535.24
2025-12-30 20:00:00,534.69,538.22,526.94
2025-12-31 00:00:00,527.84,534.49,523.81
2025-12-31 04:00:00,524.12,530.92,523.03
2025-12-31 08:00:00,526.38,527.73,521.31
2025-12-31 12:00:00,525.93,527.05,523.46
2025-12-31 16:00:00,504.24,525.21,504.24
2025-12-31 20:00:00,506.68,512.61,503.21
2026-01-01 00:00:00,512.5,513.9,507.18
2026-01-01 04:00:00,509.4,512.74,507.47
2026-01-01 08:00:00,517.08,518.36,507.17
2026-01-01 12:00:00,524.99,525.17,515.72
2026-01-01 16:00:00,522.97,533.79,522.54
2026-01-01 20:00:00,523.68,523.68,517.43
2026-01-02 00:00:00,523.93,525.78,520.1
2026-01-02 04:00:00,531.37,531.37,524.77
2026-01-02 08:00:00,520.88,529.99,520.88
2026-01-02 12:00:00,500.13,521.92,497.73
2026-01-02 16:00:00,485.74,502.25,483.25
2026-01-02 20:00:00,484.4,491.98,483.9
2026-01-03 00:00:00,488.46,488.87,481.88
2026-01-03 04:00:00,497.1,497.1,488.1
2026-01-03 08:00:00,508.22,517.68,496.42
2026-01-03 12:00:00,507.99,515.92,505.45
2026-01-03 16:00:00,505.69,514.76,505.19
2026-01-03 20:00:00,510.41,511.31,502.98
2026-01-04 00:00:00,511.43,511.79,504.84
2026-01-04 04:00:00,511.94,514.12,506.99
2026-01-04 08:00:00,505.89,515.68,504.37
2026-01-04 12:00:00,506.98,508.47,504.02
2026-01-04 16:00:00,508.53,508.6,495.75
2026-01-04 20:00:00,506.24,507.84,503.76
2026-01-05 00:00:00,502.46,507.04,499.34
2026-01-05 04:00:00,506.88,508.38,501.9
2026-01-05 08:00:00,492.5,506.74,491.68
2026-01-05 12:00:00,495.64,495.64,488.58
2026-01-05 16:00:00,491.21,496.32,489.28
2026-01-05 20:00:00,494.1,495.29,486.48
2026-01-06 00:00:00,503.62,503.99,489.93
2026-01-06 04:00:00,506.23,506.23,498.34
2026-01-06 08:00:00,505.54,513.98,503.76
2026-01-06 12:00:00,509.65,512.98,503.85
2026-01-06 16:00:00,512.39,525.08,509.87
2026-01-06 20:00:00,497.4,514.63,495.32
2026-01-07 00:00:00,501.86,503.87,496.44
2026-01-07 04:00:00,496.21,506.24,494.04
2026-01-07 08:00:00,493.18,497.45,490.6
2026-01-07 12:00:00,490.24,495.63,483.31
2026-01-07 16:00:00,481.82,490.02,479.48
