,close,high,low
2025-12-04 12:00:00,0.190562,0.192564,0.189949
2025-12-04 16:00:00,0.189312,0.190655,0.187024
2025-12-04 20:00:00,0.186481,0.190521,0.183869
2025-12-05 00:00:00,0.188412,0.189415,0.186704
2025-12-05 04:00:00,0.190585,0.192335,0.188336
2025-12-05 08:00:00,0.189482,0.190479,0.186177
2025-12-05 12:00:00,0.186614,0.189763,0.186248
2025-12-05 16:00:00,0.186771,0.18827,0.184612
2025-12-05 20:00:00,0.182521,0.186218,0.178487
2025-12-06 00:00:00,0.183272,0.183328,0.180358
2025-12-06 04:00:00,0.181327,0.183429,0.180612
2025-12-06 08:00:00,0.182609,0.182909,0.180777
2025-12-06 12:00:00,0.186143,0.186143,0.181519
2025-12-06 16:00:00,0.185203,0.186629,0.184254
2025-12-06 20:00:00,0.1847,0.187983,0.1847
2025-12-07 00:00:00,0.186267,0.187825,0.184951
2025-12-07 04:00:00,0.186558,0.187633,0.186246
2025-12-07 08:00:00,0.184571,0.186736,0.184571
2025-12-07 12:00:00,0.182597,0.185113,0.182584
2025-12-07 16:00:00,0.178028,0.183205,0.177039
2025-12-07 20:00:00,0.183602,0.184767,0.17799
2025-12-08 00:00:00,0.178621,0.183688,0.177689
2025-12-08 04:00:00,0.18016,0.180932,0.178352
2025-12-08 08:00:00,0.180532,0.181336,0.179958
2025-12-08 12:00:00,0.180222,0.18213,0.180122
2025-12-08 16:00:00,0.177727,0.18014,0.177528
2025-12-08 20:00:00,0.178123,0.179715,0.177261
2025-12-09 00:00:00,0.177128,0.178491,0.176549
2025-12-09 04:00:00,0.175404,0.178071,0.174286
2025-12-09 08:00:00,0.175992,0.176005,0.173959
2025-12-09 12:00:00,0.176608,0.176857,0.175294
2025-12-09 16:00:00,0.180723,0.180723,0.176721
2025-12-09 20:00:00,0.183327,0.187533,0.181062
2025-12-10 00:00:00,0.180891,0.183491,0.178955
2025-12-10 04:00:00,0.177401,0.180815,0.176839
2025-12-10 08:00:00,0.177239,0.177381,0.176563
2025-12-10 12:00:00,0.174391,0.177492,0.173756
2025-12-10 16:00:00,0.174803,0.175219,0.173682
2025-12-10 20:00:00,0.179162,0.179273,0.17468
2025-12-11 00:00:00,0.174053,0.18123,0.173863
2025-12-11 04:00:00,0.168563,0.17395,0.168554
2025-12-11 08:00:00,0.168153,0.168906,0.167934
2025-12-11 12:00:00,0.169751,0.169844,0.167615
2025-12-11 16:00:00,0.169969,0.171758,0.169537
2025-12-11 20:00:00,0.172654,0.172893,0.169227
2025-12-12 00:00:00,0.173914,0.175277,0.171884
2025-12-12 04:00:00,0.174533,0.174921,0.172391
2025-12-12 08:00:00,0.175757,0.176621,0.174279
2025-12-12 12:00:00,0.1744,0.175752,0.173471
2025-12-12 16:00:00,0.168852,0.174227,0.168852
2025-12-12 20:00:00,0.166258,0.167887,0.164644
2025-12-13 00:00:00,0.172047,0.172703,0.16627
2025-12-13 04:00:00,0.174826,0.175644,0.17115
2025-12-13 08:00:00,0.176449,0.177663,0.174116
2025-12-13 12:00:00,0.17552,0.176811,0.174908
2025-12-13 16:00:00,0.176731,0.17702,0.175478
2025-12-13 20:00:00,0.174457,0.178633,0.174423
2025-12-14 00:00:00,0.175909,0.176062,0.173235
2025-12-14 04:00:00,0.174944,0.175777,0.174726
2025-12-14 08:00:00,0.173263,0.174771,0.172459
2025-12-14 12:00:00,0.170619,0.173277,0.170428
2025-12-14 16:00:00,0.168591,0.171082,0.16853
2025-12-14 20:00:00,0.166976,0.16868,0.166116
2025-12-15 00:00:00,0.166267,0.16702,0.165656
2025-12-15 04:00:00,0.166886,0.168586,0.165648
2025-12-15 08:00:00,0.165934,0.167626,0.165854
2025-12-15 12:00:00,0.165253,0.166757,0.165253
2025-12-15 16:00:00,0.161317,0.165392,0.160161
2025-12-15 20:00:00,0.15818,0.161757,0.156499
2025-12-16 00:00:00,0.161821,0.161826,0.157432
2025-12-16 04:00:00,0.162988,0.162988,0.160335
2025-12-16 08:00:00,0.16153,0.164744,0.161268
2025-12-16 12:00:00,0.164508,0.164551,0.161557
2025-12-16 16:00:00,0.163565,0.165991,0.162519
2025-12-16 20:00:00,0.16212,0.164067,0.160627
2025-12-17 00:00:00,0.161783,0.162487,0.161297
2025-12-17 04:00:00,0.161749,0.162692,0.161481
2025-12-17 08:00:00,0.158377,0.161739,0.157884
2025-12-17 12:00:00,0.158315,0.158315,0.157463
2025-12-17 16:00:00,0.158315,0.163118,0.15821
2025-12-17 20:00:00,0.156249,0.157907,0.153629
2025-12-18 00:00:00,0.152786,0.156507,0.152054
2025-12-18 04:00:00,0.150953,0.153472,0.150911
2025-12-18 08:00:00,0.149201,0.151431,0.148456
2025-12-18 12:00:00,0.152547,0.1526,0.149407
2025-12-18 16:00:00,0.155888,0.157071,0.152373
2025-12-18 20:00:00,0.145043,0.155733,0.145043
2025-12-19 00:00:00,0.147546,0.148306,0.144745
2025-12-19 04:00:00,0.151123,0.151218,0.146726
2025-12-19 08:00:00,0.151935,0.152636,0.150185
2025-12-19 12:00:00,0.152401,0.152471,0.15177
2025-12-19 16:00:00,0.153795,0.154153,0.152018
2025-12-19 20:00:00,0.156776,0.15682,0.153617
2025-12-20 00:00:00,0.155661,0.157001,0.155493
2025-12-20 04:00:00,0.156121,0.156289,0.155289
2025-12-20 08:00:00,0.157289,0.157289,0.15528
2025-12-20 12:00:00,0.156661,0.157912,0.155126
2025-12-20 16:00:00,0.155887,0.156647,0.154733
2025-12-20 20:00:00,0.156716,0.156757,0.155773
2025-12-21 00:00:00,0.15741,0.158599,0.156557
2025-12-21 04:00:00,0.155069,0.15786,0.154322
2025-12-21 08:00:00,0.155833,0.156324,0.15497
2025-12-21 12:00:00,0.154944,0.156488,0.154944
2025-12-21 16:00:00,0.151992,0.155394,0.151346
2025-12-21 20:00:00,0.152854,0.153167,0.151692
2025-12-22 00:00:00,0.152831,0.153359,0.151431
2025-12-22 04:00:00,0.153446,0.155055,0.152441
2025-12-22 08:00:00,0.153888,0.154272,0.153427
2025-12-22 12:00:00,0.154386,0.154843,0.153477
2025-12-22 16:00:00,0.154471,0.155479,0.154234
2025-12-22 20:00:00,0.152172,0.15567,0.152172
2025-12-23 00:00:00,0.153051,0.153317,0.151471
2025-12-23 04:00:00,0.152568,0.15382,0.152396
2025-12-23 08:00:00,0.151695,0.152535,0.15084
2025-12-23 12:00:00,0.152027,0.152208,0.151405
2025-12-23 16:00:00,0.150033,0.151918,0.149357
2025-12-23 20:00:00,0.151367,0.152075,0.149962
2025-12-24 00:00:00,0.151445,0.152202,0.150839
2025-12-24 04:00:00,0.150097,0.151607,0.149347
2025-12-24 08:00:00,0.149365,0.150879,0.14921
2025-12-24 12:00:00,0.148893,0.149167,0.148195
2025-12-24 16:00:00,0.149604,0.149758,0.14828
2025-12-24 20:00:00,0.150632,0.150636,0.149436
2025-12-25 00:00:00,0.150421,0.151092,0.149711
2025-12-25 04:00:00,0.151098,0.151098,0.14987
2025-12-25 08:00:00,0.152881,0.152881,0.151294
2025-12-25 12:00:00,0.151501,0.153414,0.150945
2025-12-25 16:00:00,0.151625,0.151728,0.1503
2025-12-25 20:00:00,0.151377,0.151777,0.150099
2025-12-26 00:00:00,0.146468,0.151487,0.146468
2025-12-26 04:00:00,0.14841,0.149887,0.14574
2025-12-26 08:00:00,0.148139,0.149112,0.147526
2025-12-26 12:00:00,0.147542,0.148223,0.147203
2025-12-26 16:00:00,0.14644,0.148802,0.145927
2025-12-26 20:00:00,0.146765,0.146917,0.14554
2025-12-27 00:00:00,0.145943,0.146964,0.145846
2025-12-27 04:00:00,0.146553,0.146808,0.145919
2025-12-27 08:00:00,0.145754,0.146663,0.145458
2025-12-27 12:00:00,0.147566,0.147566,0.145537
2025-12-27 16:00:00,0.14741,0.147875,0.147038
2025-12-27 20:00:00,0.146831,0.147534,0.146463
2025-12-28 00:00:00,0.149626,0.149626,0.146497
2025-12-28 04:00:00,0.15081,0.151341,0.149833
2025-12-28 08:00:00,0.150894,0.15192,0.149964
2025-12-28 12:00:00,0.148929,0.150917,0.148872
2025-12-28 16:00:00,0.148385,0.149145,0.148098
2025-12-28 20:00:00,0.144872,0.148623,0.144872
2025-12-29 00:00:00,0.14675,0.14675,0.14473
2025-12-29 04:00:00,0.149125,0.149125,0.146599
2025-12-29 08:00:00,0.148703,0.150158,0.148073
2025-12-29 12:00:00,0.145452,0.148631,0.14509
2025-12-29 16:00:00,0.143186,0.145379,0.143004
2025-12-29 20:00:00,0.142107,0.142978,0.141398
2025-12-30 00:00:00,0.142436,0.143209,0.141506
2025-12-30 04:00:00,0.142544,0.142894,0.142128
2025-12-30 08:00:00,0.143423,0.143836,0.141701
2025-12-30 12:00:00,0.144297,0.144807,0.143361
2025-12-30 16:00:00,0.144185,0.144369,0.143083
2025-12-30 20:00:00,0.143677,0.144549,0.142946
2025-12-31 00:00:00,0.14389,0.14389,0.142922
2025-12-31 04:00:00,0.143409,0.144532,0.143128
2025-12-31 08:00:00,0.14362,0.14386,0.143186
2025-12-31 12:00:00,0.144463,0.144488,0.143222
2025-12-31 16:00:00,0.14297,0.144349,0.142749
2025-12-31 20:00:00,0.14105,0.14293,0.140533
2026-01-01 00:00:00,0.141336,0.141963,0.140176
2026-01-01 04:00:00,0.140488,0.141794,0.140328
2026-01-01 08:00:00,0.14031,0.140702,0.139877
2026-01-01 12:00:00,0.141572,0.141572,0.140207
2026-01-01 16:00:00,0.144014,0.144014,0.140789
2026-01-01 20:00:00,0.147959,0.147959,0.144174
2026-01-02 00:00:00,0.150416,0.150448,0.147517
2026-01-02 04:00:00,0.150847,0.150855,0.149037
2026-01-02 08:00:00,0.15021,0.151267,0.15015
2026-01-02 12:00:00,0.151116,0.153366,0.150255
2026-01-02 16:00:00,0.152519,0.152899,0.151178
2026-01-02 20:00:00,0.153821,0.15446,0.152149
2026-01-03 00:00:00,0.155509,0.15595,0.153574
2026-01-03 04:00:00,0.156851,0.156851,0.155191
2026-01-03 08:00:00,0.153671,0.15773,0.153613
