,close,high,low
2025-12-04 20:00:00,0.057524,0.05843,0.056789
2025-12-05 00:00:00,0.057332,0.057507,0.056975
2025-12-05 04:00:00,0.057737,0.058033,0.057152
2025-12-05 08:00:00,0.057712,0.05793,0.05722
2025-12-05 12:00:00,0.059549,0.059899,0.057546
2025-12-05 16:00:00,0.058686,0.059722,0.057536
2025-12-05 20:00:00,0.055842,0.058654,0.055541
2025-12-06 00:00:00,0.056606,0.056633,0.055784
2025-12-06 04:00:00,0.056691,0.056691,0.055734
2025-12-06 08:00:00,0.057067,0.057156,0.056236
2025-12-06 12:00:00,0.05683,0.057062,0.056264
2025-12-06 16:00:00,0.057119,0.057185,0.056592
2025-12-06 20:00:00,0.057027,0.058185,0.057011
2025-12-07 00:00:00,0.056416,0.05778,0.05622
2025-12-07 04:00:00,0.056319,0.056914,0.056085
2025-12-07 08:00:00,0.055631,0.056269,0.055532
2025-12-07 12:00:00,0.055392,0.055941,0.055343
2025-12-07 16:00:00,0.055133,0.055761,0.053922
2025-12-07 20:00:00,0.056023,0.056124,0.054863
2025-12-08 00:00:00,0.05483,0.056088,0.054498
2025-12-08 04:00:00,0.055073,0.05559,0.054725
2025-12-08 08:00:00,0.055253,0.055731,0.05494
2025-12-08 12:00:00,0.055007,0.055962,0.055007
2025-12-08 16:00:00,0.054807,0.055732,0.054728
2025-12-08 20:00:00,0.054603,0.055538,0.054319
2025-12-09 00:00:00,0.055175,0.055694,0.054619
2025-12-09 04:00:00,0.054214,0.055559,0.054061
2025-12-09 08:00:00,0.054442,0.054605,0.053807
2025-12-09 12:00:00,0.054045,0.054345,0.053836
2025-12-09 16:00:00,0.055594,0.055705,0.054077
2025-12-09 20:00:00,0.056544,0.05683,0.055527
2025-12-10 00:00:00,0.055473,0.056655,0.054974
2025-12-10 04:00:00,0.054651,0.055469,0.054428
2025-12-10 08:00:00,0.055134,0.055428,0.054523
2025-12-10 12:00:00,0.054817,0.055598,0.054654
2025-12-10 16:00:00,0.054921,0.055254,0.054704
2025-12-10 20:00:00,0.055466,0.055534,0.054862
