,close,high,low
2025-12-04 16:00:00,0.04477357,0.04537654,0.04379877
2025-12-04 20:00:00,0.04374696,0.04508343,0.04299965
2025-12-05 00:00:00,0.04328266,0.04378353,0.04323362
2025-12-05 04:00:00,0.04312052,0.04359005,0.0430724
2025-12-05 08:00:00,0.04310199,0.04317582,0.04256602
2025-12-05 12:00:00,0.04214394,0.04314649,0.04200072
2025-12-05 16:00:00,0.04201971,0.04235244,0.0414166
2025-12-05 20:00:00,0.04049532,0.04175877,0.03997295
2025-12-06 00:00:00,0.04063551,0.04071067,0.04007734
2025-12-06 04:00:00,0.04083754,0.04094558,0.04021467
2025-12-06 08:00:00,0.0404284,0.04085783,0.04037356
2025-12-06 12:00:00,0.04070276,0.04091052,0.04033518
2025-12-06 16:00:00,0.04165041,0.04165041,0.0406334
2025-12-06 20:00:00,0.04154756,0.04255067,0.04154756
2025-12-07 00:00:00,0.04233376,0.0425591,0.04149624
2025-12-07 04:00:00,0.04244844,0.04324433,0.04234416
2025-12-07 08:00:00,0.04196395,0.04261393,0.04194305
2025-12-07 12:00:00,0.04124433,0.041922,0.04123481
2025-12-07 16:00:00,0.04013773,0.04133526,0.03938772
2025-12-07 20:00:00,0.04113225,0.04168178,0.04013546
2025-12-08 00:00:00,0.03929869,0.04122149,0.03833595
2025-12-08 04:00:00,0.04022717,0.04036758,0.03917018
2025-12-08 08:00:00,0.04033714,0.04041134,0.03992229
2025-12-08 12:00:00,0.04097551,0.04125278,0.04035067
2025-12-08 16:00:00,0.04034342,0.04114866,0.04018496
2025-12-08 20:00:00,0.03983659,0.04060167,0.03962581
2025-12-09 00:00:00,0.04018117,0.0404213,0.03983646
2025-12-09 04:00:00,0.03991422,0.0403163,0.0395074
2025-12-09 08:00:00,0.03971367,0.04003551,0.03930374
2025-12-09 12:00:00,0.03942806,0.03967869,0.03917819
2025-12-09 16:00:00,0.04128803,0.04128803,0.03944551
2025-12-09 20:00:00,0.04251953,0.0428321,0.04155574
2025-12-10 00:00:00,0.04196264,0.04254227,0.04122143
2025-12-10 04:00:00,0.04144957,0.04199427,0.04133621
2025-12-10 08:00:00,0.04086976,0.04145476,0.0408317
2025-12-10 12:00:00,0.04009035,0.04095708,0.04002678
2025-12-10 16:00:00,0.04020446,0.04046312,0.0400386
2025-12-10 20:00:00,0.04139108,0.0414283,0.04011111
2025-12-11 00:00:00,0.03961723,0.04229764,0.03945798
2025-12-11 04:00:00,0.03688943,0.03957609,0.03688943
2025-12-11 08:00:00,0.03735313,0.03760482,0.03667911
2025-12-11 12:00:00,0.03698317,0.03733892,0.03691965
2025-12-11 16:00:00,0.03643189,0.03718139,0.03643189
2025-12-11 20:00:00,0.03766216,0.03805348,0.03629071
2025-12-12 00:00:00,0.03810913,0.03895471,0.03753543
2025-12-12 04:00:00,0.03787205,0.03821704,0.0372874
2025-12-12 08:00:00,0.037876,0.03827882,0.03754693
2025-12-12 12:00:00,0.03805821,0.03832909,0.03787988
2025-12-12 16:00:00,0.03664355,0.03853004,0.03664355
2025-12-12 20:00:00,0.03585447,0.03640604,0.03559067
2025-12-13 00:00:00,0.03660522,0.03687682,0.03589631
2025-12-13 04:00:00,0.03673684,0.03678575,0.03640801
2025-12-13 08:00:00,0.03686183,0.03686183,0.03629136
2025-12-13 12:00:00,0.03694493,0.03697295,0.03648869
2025-12-13 16:00:00,0.03676466,0.0371401,0.03664781
2025-12-13 20:00:00,0.0366251,0.03680834,0.03656821
2025-12-14 00:00:00,0.03662218,0.03666949,0.03619609
